voltage,current,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_4 transport over barrier 3,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_3 transport over barrier 3,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-150,-1.1489169838074401e-10,-0.00021001936973973588,1.5888718433113437e-08,-0.00015776027005100872,2.354194882574212e-05,-150,51673341241890.227,0.00048727100418469161,51673341241890.227,1.0604641113080544e+17,1.9155895026693819e+23,0.00039799692689375843,2.909720984782641e-09,7.382400485909116e-06,0.00038243741522955843,6.57844487484648e-12,-0.0072846064839492079,0.00032611636709165069,0.00054009344186885385,0.00077975918105554153,-150,-1.1011247753758284e-10,-1.1489169838074401e-10,-1.1432652876544437e-10,-1.1669092241242932e-10,-0.00019846564470071826,-0.00021001936973973588,-0.0005890831288869725,-0.0005964625715944767,1.590464846326948e-08,1.5888718433113437e-08,1.8747444962459052e-08,1.583772397767641e-08,-0.00015775949361795938,-0.00015776027005100872,-0.0001595270685447551,-0.00015214466805884598,2.19322394059418e-05,2.354194882574212e-05,0.00040436965463550023,0.0004043695965782815
-140,-1.5763732891537367e-10,-0.0003963949283666612,1.4686816990416645e-08,-0.00018118989597267095,0.00012878556422052378,-140,51980795020393.062,0.00045724549967670724,51980795020393.062,1.1368246392177896e+17,3.9546365372647578e+23,0.0005388181524722472,2.696362171719294e-08,1.2327197663047082e-06,0.0005398063143701899,3.918147882903138e-13,-0.0084871638144848709,-0.0009928486510188011,0.00076120553392137048,0.0010798936520358649,-140,-1.5763183339877883e-10,-1.5763732891537367e-10,-1.57950415616665e-10,-1.5802364818706914e-10,-0.0003969556884726444,-0.0003963949283666612,0.00014186246399960282,0.0001416339473257067,1.4676380811353716e-08,1.4686816990416645e-08,7.823155456816922e-09,-1.2276804726776293e-08,-0.00018118837991210057,-0.00018118989597267095,-0.00018020586789446467,-0.00017995717620636624,0.00012935725715124136,0.00012878556422052378,-0.0004104489992669269,-0.00041044905721894856
-130,-8.95051002556045e-11,-0.0003458666562897745,1.1697400702383566e-08,-0.00014886781579778882,0.0002092491987608705,-130,52290710194844.375,0.00042907015845202232,52290710194844.375,1.2186983681991813e+17,2.4126501928971605e+23,0.00030162302855449497,8.852220914381102e-08,6.472284437345952e-06,0.0002933812898950651,3.658992490092574e-12,-0.010168248662136514,-1.5873346544324136e-05,0.00041711705498860763,0.00059984315790920771,-130,-9.111662456473035e-11,-8.95051002556045e-11,-8.828147556316353e-11,-8.745763207463778e-11,-0.00034771805064792716,-0.0003458666562897745,-4.866646969294946e-05,-4.60950220934322e-05,1.1707361850046849e-08,1.1697400702383566e-08,5.12698079527309e-09,9.364918993908411e-08,-0.0001488678158239054,-0.00014886781579778882,-0.0001526802945298753,-0.00015534010023513477,0.00020774743893525738,0.0002092491987608705,-8.413193588716061e-05,-8.413209113419459e-05
-120,-3.4896031104361164e-11,-0.00014897602853562036,1.074112095245111e-08,-0.00011569653816038469,0.00011492865771031008,-120,52602995423750.484,0.00040263097396084,52602995423750.484,1.3064815879979136e+17,4.6277368128857486e+23,6.877549048342566e-05,9.564469156481343e-09,1.0545127021493572e-05,6.583208948921296e-05,5.982000827503374e-12,-0.012612406763668059,0.0017514312057254552,8.8980919731165189e-05,0.00013863004682505218,-120,-3.844465556242096e-11,-3.4896031104361164e-11,-3.5839115282884113e-11,-3.246265473491759e-11,-0.00015637560386494442,-0.00014897602853562036,-0.00021775151901904603,-0.00020721330983971173,1.072868705384773e-08,1.074112095245111e-08,1.3434244237911515e-08,2.0293156210329072e-08,-0.00011569623711693566,-0.00011569653816038469,-0.00011275577243960384,-0.00012330089946109742,0.0001149443988879284,0.00011492865771031008,0.0001807606894227362,0.00018076074719952304
-110,-2.877957230399346e-11,-8.743037151874578e-05,6.626522036214401e-09,-0.00010426476087650955,6.230049390658007e-05,-110,52917577255146.984,0.00037782096470542954,52917577255146.984,1.400599283748177e+17,6.714371654231669e+23,6.9980112364698876e-06,3.4390375776273557e-07,1.5773084065666496e-05,1.6623907921280157e-05,6.830652604599744e-12,-0.015957243999910747,-0.0014391170685190461,1.7811868257681575e-05,3.3640306152855125e-05,-110,-3.066692193292479e-11,-2.877957230399346e-11,-2.6078557316631345e-11,-2.383626932832505e-11,-8.967564718886933e-05,-8.743037151874578e-05,-9.39417459347885e-05,-8.69437346983186e-05,6.611762846790871e-09,6.626522036214401e-09,6.7207697357450274e-09,3.5051552060952644e-07,-0.00010426410108266282,-0.00010426476087650955,-0.00011269499664608042,-0.00012003718514832932,6.06184850084901e-05,6.230049390658007e-05,7.724200494177783e-05,7.724239292977025e-05
-100,-1.7019909590783905e-11,-1.5220048222554239e-05,5.54750600402547e-09,-9.822758362603288e-05,1.2546849295472923e-05,-100,53234397031325.258,0.0003545397413583616,53234397031325.258,1.5015071886544026e+17,8.9069342223289163e+23,3.2889708285999265e-05,7.442056062837397e-07,2.8482655596807286e-06,2.7641431544560627e-05,2.185277232484273e-12,-0.020987028589087055,-0.00099124209262202011,4.1342764010047384e-05,6.4974327980402201e-05,-100,-1.5508774433335056e-11,-1.7019909590783905e-11,-1.7331243568017505e-11,-1.769405166581933e-11,-1.1498809072918448e-05,-1.5220048222554239e-05,-4.3255752331371536e-05,-4.438851735891771e-05,5.543993564350962e-09,5.54750600402547e-09,-1.7554056301760362e-08,-7.386581002797143e-07,-9.822741884590869e-05,-9.822758362603288e-05,-9.72327851173511e-05,-9.537931806635216e-05,1.196982429974014e-05,1.2546849295472923e-05,3.961085172296888e-05,3.9611255844300766e-05
-90,-2.494739475437634e-11,-0.00014823794885608556,3.137301250992502e-09,-8.372359243267834e-05,0.00012423591422786734,-90,53553408331287.625,0.00033269310055479719,53553408331287.625,1.609693986499337e+17,7.1155202236581062e+24,0.00014832694772113822,1.3361135001771238e-06,6.807749513042225e-06,0.00014047958570842338,2.516235802000549e-12,-0.028390644105370351,-0.00077679745705425303,0.00020203757455003381,0.00029453738069830815,-90,-2.495316927681365e-11,-2.494739475437634e-11,-2.2768093860247416e-11,-2.24369334748131e-11,-0.0001487543612626041,-0.00014823794885608556,-1.4613139597692866e-06,-4.2741354146587217e-07,3.136033194170203e-09,3.137301250992502e-09,9.072863853991161e-09,-1.3270406363231327e-06,-8.372374969667362e-05,-8.372359243267834e-05,-9.053134194572056e-05,-9.022881885306275e-05,0.00012474036424237056,0.00012423591422786734,-1.573890733305716e-05,-1.573922146605282e-05
-80,-5.4574758481287445e-12,-2.3431817496666688e-05,1.5966602219034368e-09,-7.815986607286515e-05,3.812902705092533e-05,-80,53874574857527.633,0.00031219264371518379,53874574857527.633,1.7256836745544173e+17,2.6082667631748399e+24,2.0293905134499365e-05,7.356477132823983e-07,1.8941915774077413e-05,3.850114350159063e-05,6.394836048939028e-12,-0.038828501864878684,-0.00010349982972252198,4.5859371222080212e-05,7.8241626628855601e-05,-80,-5.037563663325059e-12,-5.4574758481287445e-12,-1.1432399712264087e-11,-1.1291007190898842e-11,-2.1114779158892816e-05,-2.3431817496666688e-05,-3.5790024658389488e-06,-3.1379123621673214e-06,1.5963060360582536e-09,1.5966602219034368e-09,2.415232268058442e-09,-7.332324810143399e-07,-7.815992199766697e-05,-7.815986607286515e-05,-5.9512352566800796e-05,-5.921800622358956e-05,3.668573236836892e-05,3.812902705092533e-05,-3.721164506653024e-07,-3.7190609480583503e-07
-70,-2.1788770916285527e-11,-0.0003801280824632944,7.488239834946357e-09,-5.0585230580624084e-05,0.00035165072792044984,-70,54197868689955.148,0.00029295541935599152,54197868689955.148,1.8500380982573789e+17,1.576890341707898e+24,0.00038885179072654724,1.5520348858424184e-05,7.386999774975983e-06,0.00038159054603531094,4.90620133750665e-12,-0.055546033099365781,-0.00091889038024507231,0.00055606575952757344,0.00080912738845043022,-70,-2.1824022635917912e-11,-2.1788770916285527e-11,-1.9485619943379084e-11,-2.4391821280885734e-11,-0.00038021149195799353,-0.0003801280824632944,8.640298768553705e-06,-6.671921800402e-06,7.488729356288757e-09,7.488239834946357e-09,-1.6383699211455108e-09,1.551871048850304e-05,-5.058506994259915e-05,-5.0585230580624084e-05,-5.7764463647908164e-05,-5.797206971757513e-05,0.0003516607343101441,0.00035165072792044984,-2.9929292526612028e-05,-2.9929811725166837e-05
-60,-6.940989556116731e-13,0.00038246668129290375,-1.3647398112820081e-08,-3.5915350509312165e-05,-0.0003719345828552055,-60,54523268843193.102,0.00027490358744116294,54523268843193.102,1.9833596698647158e+17,1.5572167532743328e+24,0.00039024889413874476,1.9859206245940096e-06,2.554430079191515e-06,0.0003876743857826946,8.248724485530803e-13,-0.084877479198809003,0.00096587493867822914,0.0005503703030843134,0.00078542754604243696,-60,-1.106332766916717e-12,-6.940989556116731e-13,-1.5189714041647533e-12,-6.982349236890605e-13,0.00038037428542736507,0.00038246668129290375,-7.78221284584101e-06,-5.220479216198991e-06,-1.3656063118292324e-08,-1.3647398112820081e-08,6.43407017520214e-09,-1.9794865544188074e-06,-3.5915353521431825e-05,-3.5915350509312165e-05,-3.336092344224031e-05,-3.3936581635663496e-05,-0.0003706999313521919,-0.0003719345828552055,1.573980292748911e-05,1.573966190525876e-05
-50,-3.7817145100243206e-12,-0.0007495742940732183,3.213138722744837e-08,-9.180975249830834e-06,0.000744755172718172,-50,54850760074550.023,0.00025796410441613341,54850760074550.023,2.1262942841872221e+17,1.0696461856326603e+24,0.0007666332547616935,2.687748225098746e-06,1.9986036738970964e-05,0.00074380987777538,7.336574673803528e-12,-0.12466855775437001,-0.00014374343448232685,0.0010639604386713944,0.0015272731574351465,-50,-3.85382936009762e-12,-3.7817145100243206e-12,2.5435888089974275e-12,3.482745313705908e-12,-0.0007498228359779091,-0.0007495742940732183,1.3875438088879408e-05,1.6810418783784387e-05,3.2131103674231385e-08,3.213138722744837e-08,1.8915061242997226e-08,-2.6556168378712975e-06,-9.180310598821961e-06,-9.180975249830834e-06,-2.8909654635464954e-05,-2.9166347337792925e-05,0.0007448534414606911,0.000744755172718172,1.0473361283236393e-06,1.0435636853111524e-06
-40,-1.8529759374422564e-11,0.0002791174219393018,6.680143251056271e-09,1.110894584124116e-05,-0.00032137810162539884,-40,55180331899125.812,0.00024206842764996781,55180331899125.812,2.2795344454798896e+17,1.5620023275705125e+24,0.0002863895242784867,4.1183376183110406e-06,2.0536231524357772e-05,0.000306821098935226,7.970021851974305e-12,0.21042666218933662,-0.000294431100132388,0.00042364619986909693,0.00062306979225783244,-40,-1.8600478597722595e-11,-1.8529759374422564e-11,-1.1983482829612763e-11,-1.063045674574829e-11,0.0002788539746561014,0.0002791174219393018,-7.272102339184877e-06,-3.048001487094631e-06,6.678425258592656e-09,6.680143251056271e-09,-1.483063319375438e-09,-4.111657475059984e-06,1.110901519041363e-05,1.110894584124116e-05,-9.314465454180257e-06,-9.427216333944143e-06,-0.00032126182466640785,-0.00032137810162539884,-1.4557002690172849e-05,-1.4558176543587494e-05
-30,-5.470999753632238e-11,0.000981706830998491,3.9477711075245345e-07,2.2997236758044238e-05,-0.0011033410344069463,-30,55512008280731.773,0.00022715223808969203,55512008280731.773,2.4438239635047146e+17,1.3037018115959818e+24,0.0010213620140787816,4.15216053207265e-05,1.2543893440531361e-05,0.0010088357743779598,1.3247593814787837e-11,0.39699486823840097,0.0013662221246190653,0.0014651809780550833,0.002126669175152817,-30,-5.4634198214696644e-11,-5.470999753632238e-11,-5.867297380286766e-11,-4.5425379988079824e-11,0.0009819436201112808,0.000981706830998491,-3.9418393967500815e-05,1.9281684332043846e-06,3.947734886545409e-07,3.9477711075245345e-07,3.884603769185666e-07,-4.1126828209974044e-05,2.299675870176543e-05,2.2997236758044238e-05,3.537239203652145e-05,3.554065214229679e-05,-0.0011034199448545223,-0.0011033410344069463,-9.45846488113189e-05,-9.458417047656254e-05
-20,-4.017479989485491e-11,0.0004994567234287636,1.1955517390172714e-06,4.993269435337228e-05,-0.0006000924806465241,-20,55846031138561.539,0.00021315518000458657,55846031138561.539,2.6199706306625939e+17,1.4487183623648953e+24,0.000537250353643133,4.5473432503167615e-05,7.92372134686089e-06,0.000529000884218011,1.455281916014413e-11,0.70139105218025977,0.00033034200794881952,0.00078843523907423424,0.0011677108151058354,-20,-3.997366551018867e-11,-4.017479989485491e-11,-4.270009182228926e-11,-2.814727266214513e-11,0.0004998245077771912,0.0004994567234287636,-3.7425845865941745e-05,7.996086757424103e-06,1.1955538327124778e-06,1.1955517390172714e-06,1.2062822653462977e-06,-4.426715023782132e-05,4.9932573148225856e-05,4.993269435337228e-05,5.7803648723578235e-05,5.785629449508675e-05,-0.0006000417184566231,-0.0006000924806465241,-7.109159642851304e-05,-7.109274421093856e-05
