voltage,current,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_4 transport over barrier 3,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_3 transport over barrier 3,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-150,9.868330312642218e-12,1.8256232789244486e-07,3.0514136754984682e-05,3.8940613213576396e-07,-8.879822531982638e-11,-150,28160591974.638733,8.8143795012663926e-10,28160591974.638733,3.1948467808304378e+19,3.4422693905973222e+18,5.690373168002723e-07,4.2405229942030936e-07,1.533035109928555e-07,8.304923018055089e-09,6.660509045247402e-14,0.1914429316803189,1.8043035457382395e-07,2.9929901339608151e-07,7.6738059384815321e-07,-150,9.834533060502069e-12,9.868330312642218e-12,9.901138150954543e-12,9.8937180303279e-12,5.239992006775968e-07,1.8256232789244486e-07,-4.503811612267558e-08,1.3748420481667186e-07,3.0303177481982857e-05,3.0514136754984682e-05,3.0727229781403166e-05,3.0680912971092766e-05,2.589185896795243e-07,3.8940613213576396e-07,4.122221006723798e-07,2.760167094480703e-07,-8.874762936682456e-11,-8.879822531982638e-11,-8.393087802413446e-09,-8.393670647421914e-09
-140,-2.4730510780050864e-13,7.909946526692762e-08,-7.884503568897946e-07,-4.87479609277361e-08,1.410972384029377e-09,-140,26361803354.99876,9.2663024021706726e-10,26361803354.99876,2.8449107541346148e+19,6.6978574135218971e+19,1.9524724180843313e-07,3.196308577198339e-07,3.2547091399684554e-07,1.4073358607834479e-08,5.1262610654142696e-14,0.21628213867096349,-7.5506626479038275e-08,4.2165341954430494e-07,9.809396471384606e-07,-140,-2.400762831337163e-13,-2.4730510780050864e-13,-2.348085352277193e-13,-2.86071145881862e-13,1.609594481571247e-07,7.909946526692762e-08,-3.4287793651308415e-08,1.2257060718410716e-07,-7.433409336954355e-07,-7.884503568897946e-07,-6.967322568389376e-07,-1.0163631145587715e-06,-1.7570346244610846e-07,-4.87479609277361e-08,-1.33663623866734e-08,1.4976745155073708e-07,1.4111832440588045e-09,1.410972384029377e-09,-1.2301261982643628e-08,-1.2662175363775674e-08
-130,-3.701763886124751e-13,8.839182932226474e-08,-1.1859128225551633e-06,-2.496920882581422e-08,-1.1555058343700362e-09,-130,24691238965.468102,9.7413958856817491e-10,24691238965.468102,2.5346715455595192e+19,6.2613543732097157e+18,4.1567770783548876e-07,1.3490529265987626e-07,3.0632225895089273e-07,1.2531945244777259e-08,2.3593648314837293e-14,0.24523195082959151,3.2855775053408642e-07,4.1770058532432891e-07,9.3822195320305009e-07,-130,-3.6410697052888025e-13,-3.701763886124751e-13,-3.520007052746275e-13,-3.465827402976378e-13,2.1887024953363976e-07,8.839182932226474e-08,-2.622643341796519e-08,-1.9680745830184902e-07,-1.1480078683234751e-06,-1.1859128225551633e-06,-1.0849871638950816e-06,-1.051007529895287e-06,-1.9337130652274936e-07,-2.496920882581422e-08,-2.3809953284518166e-08,1.1295095242814338e-07,-1.1553688776013721e-09,-1.1555058343700362e-09,1.1376439410407222e-08,1.1216868045504924e-08
-120,-1.2348318670166827e-11,-1.7589807369863604e-07,-3.7985685745123374e-05,-9.884315476294436e-07,2.753011207072306e-08,-120,23138793187.427727,1.0240847932973544e-09,23138793187.427727,2.2594606754119746e+19,1.6265116071719017e+18,3.703297303659764e-07,5.401472549237951e-07,2.727888616498853e-07,3.706043038302384e-08,9.246620786802903e-14,0.27896691829336751,-1.6038555744612992e-07,3.1824662765768935e-07,8.9860540692031176e-07,-120,-1.2304551249198749e-11,-1.2348318670166827e-11,-1.2381019486723745e-11,-1.2397017457066778e-11,-3.900345111433612e-07,-1.7589807369863604e-07,-1.9704780777384812e-08,-8.56029228688954e-08,-3.771248884731904e-05,-3.7985685745123374e-05,-3.8153123091697234e-05,-3.825263610224283e-05,-1.0474814189365134e-06,-9.884315476294436e-07,-9.404494630020138e-07,-7.746925572866281e-07,2.7528806120682656e-08,2.753011207072306e-08,-9.182703778070203e-09,-9.530318312300778e-09
-110,-6.596008510229287e-13,1.4160219416673668e-07,-2.115009235918375e-06,-8.561431790107685e-08,2.8335987476778516e-08,-110,21695220006.812847,1.0765907434317235e-09,21695220006.812847,2.0151780181257654e+19,9.6577721813777485e+17,4.380447548169007e-07,4.903420156059714e-07,1.1192178679978156e-07,4.732836004649031e-08,7.097216744402488e-14,0.31823013306687958,2.904633722711214e-07,4.7752197133175608e-07,1.1121244946691241e-06,-110,-6.482753442929603e-13,-6.596008510229287e-13,-6.380624632796335e-13,-5.886286835789038e-13,1.6056184294101217e-07,1.4160219416673668e-07,-1.511039461491913e-08,-2.7748291187588855e-07,-2.04432217287831e-06,-2.115009235918375e-06,-1.933274341138182e-06,-1.6246672203124035e-06,-1.7526144802104682e-07,-8.561431790107685e-08,-6.333966122126525e-08,-1.0954365655723161e-07,2.834068861133475e-08,2.8335987476778516e-08,-1.895650884520325e-08,-1.8987671435155562e-08
-100,-8.701745540127928e-12,-1.2173590261820595e-07,-2.6670124119698366e-05,-9.558458468856635e-07,4.9908939119688314e-08,-100,20352056208.636139,1.1317887311957467e-09,20352056208.636139,1.7982204317526626e+19,1.6096316162165432e+18,2.3560516282901796e-07,1.550083127749215e-07,3.1667483615373654e-07,1.1094945990411928e-08,2.485031922376671e-14,0.36390114101400095,-1.2560496331914806e-07,3.2265833750997568e-07,7.4292308631787369e-07,-100,-8.706445806145593e-12,-8.701745540127928e-12,-8.718312219079585e-12,-8.693461899855818e-12,-1.6363938039158643e-07,-1.2173590261820595e-07,-1.1512017574906983e-08,7.196578243743153e-08,-2.6699468435253948e-05,-2.6670124119698366e-05,-2.678450420471378e-05,-2.662949589193886e-05,-8.846109267324209e-07,-9.558458468856635e-07,-9.626879694335534e-07,-1.2012857628861575e-06,4.991753967240211e-08,4.9908939119688314e-08,6.089190396213068e-08,6.100388511010024e-08
-90,-1.4100323417366754e-12,1.4332116860101222e-07,-4.3982092140807056e-06,-2.0362201761186757e-07,2.750963316579781e-08,-90,19101551638.781342,1.1898167803101818e-09,19101551638.781342,1.605419586854509e+19,1.1509503851120173e+19,2.1887509410080026e-07,1.3729648870066514e-07,2.1786443828468907e-07,7.513248267304264e-10,2.2086577010331618e-14,0.41722269518148036,-4.2889582385630121e-08,2.5941287583403127e-07,5.7937881185047446e-07,-90,-1.3881105637320723e-12,-1.4100323417366754e-12,-1.3879457647263438e-12,-1.3887989936149958e-12,2.1001869324362155e-07,1.4332116860101222e-07,-8.856400857178708e-09,8.74537734324936e-08,-4.261346475686878e-06,-4.3982092140807056e-06,-4.2609127253800404e-06,-4.266404175723437e-06,-4.0718805394135416e-07,-2.0362201761186757e-07,-1.8932361565666509e-07,-2.803076988349338e-07,2.75011818407617e-08,2.750963316579781e-08,2.8087113392443412e-08,2.8252506667492128e-08
-80,-3.9016196899323205e-12,6.130644639691788e-08,-1.1924655606661803e-05,-6.091696510391416e-07,2.1247352764686976e-08,-80,17936605872.522659,1.2508199911232759e-09,17936605872.522659,1.4339877839988007e+19,4.620985511741396e+18,5.23584807644667e-07,2.2444035607804835e-07,2.4844285399076877e-07,5.123061892387571e-08,4.408617854450677e-14,0.47934327704065133,4.6445315055043679e-07,5.0920796986972616e-07,1.0165858592341358e-06,-80,-3.911280799562433e-12,-3.9016196899323205e-12,-3.89065454881774e-12,-3.867194621017926e-12,2.4873135020392345e-07,6.130644639691788e-08,-6.773824065981476e-09,-2.7485345744074353e-07,-1.1984950106125325e-05,-1.1924655606661803e-05,-1.1907453991000534e-05,-1.1760509750047277e-05,-7.363105396507308e-07,-6.091696510391416e-07,-6.095057077310092e-07,-4.87867685659962e-07,2.124656863139635e-08,2.1247352764686976e-08,7.247718755527206e-08,7.19745006927397e-08
-70,-7.172069119756869e-12,-3.387398468117926e-08,-2.1802156410092796e-05,-1.3145613553412067e-06,9.163899971426056e-08,-70,16850710691.521477,1.3149509034372148e-09,16850710691.521477,1.2814707109957167e+19,1.097992047066582e+18,3.484829693323957e-07,4.1564297248442017e-07,2.981625063024629e-08,5.9078514305744026e-08,5.717496064168532e-14,0.5515318442805025,-3.2845964992311849e-07,3.9774872247254078e-07,8.4453405313340154e-07,-70,-7.146946369377912e-12,-7.172069119756869e-12,-7.177203834698708e-12,-7.204121330019597e-12,-2.12052127555179e-07,-3.387398468117926e-08,-5.144700271057008e-09,1.364308417772167e-07,-2.164533725590445e-05,-2.1802156410092796e-05,-2.189330800593314e-05,-2.206098022838887e-05,-1.2931977835251018e-06,-1.3145613553412067e-06,-1.3111938062846645e-06,-1.2847451047109604e-06,9.163771276196915e-08,9.163899971426056e-08,1.5071622706771318e-07,1.5036417003178038e-07
-60,-6.005372680134962e-12,5.432719245579215e-08,-1.827698858128217e-05,-1.280816489018094e-06,1.4687280467267415e-07,-60,15837897827.44883,1.3823698779370841e-09,15837897827.44883,1.1457062310330276e+19,2.9333298190294415e+18,2.1404163326297623e-07,1.9950641408188197e-07,6.18617670639475e-08,2.7373295320495272e-08,3.635436221343365e-14,0.63538386588130058,3.0839724940445734e-08,2.2808149837917268e-07,5.068739984065363e-07,-60,-5.993735384975903e-12,-6.005372680134962e-12,-5.996150692373724e-12,-5.969018317921528e-12,-6.7384472167073e-08,5.432719245579215e-08,-3.92577126048024e-09,-1.5971444080718408e-07,-1.820437319111079e-05,-1.827698858128217e-05,-1.824675541376938e-05,-1.8077482167200287e-05,-1.2317414075369015e-06,-1.280816489018094e-06,-1.280026676340073e-06,-1.293603174600849e-06,1.468968520117666e-07,1.4687280467267415e-07,1.7415394601621044e-07,1.7424609999316942e-07
