voltage,current,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_4 transport over barrier 3,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_3 transport over barrier 3,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-150,-8.43716121711794e-10,-1.2309509915500408e-08,-1.0457696050791832e-07,-2.351100522542404e-06,-0.002632081080561899,-150,6261174757556.0879,0.0024920921942168171,6261174757556.085,2512416985248722.0,4.1373804675550216e+23,1.1580016505377225e-08,4.666286113896856e-07,2.1402564609473984e-08,2.880256229700895e-08,7.527708796879249e-14,6.0222737372918651,0.00087897608015942755,4.1766137614478791e-07,1.3338634926761855e-06,-150,-8.437032732647465e-10,-8.43716121711794e-10,-8.436953914341873e-10,-8.436408446238252e-10,-7.294934101231831e-10,-1.2309509915500408e-08,-4.8067299129554545e-09,-8.589969085175667e-09,7.685838306070725e-09,-1.0457696050791832e-07,5.872211762454496e-09,3.6205165088176727e-07,-2.3550822958462447e-06,-2.351100522542404e-06,-2.353519379821211e-06,-2.3336797312367707e-06,-0.0026321066998207243,-0.002632081080561899,-0.0026320778972584273,-0.0026320918775881944
-140,-5.169331431053566e-10,-7.836022668751251e-09,-2.0606821471425008e-08,-1.544193952125477e-06,-0.0016126090866409593,-140,5888717404672.7998,0.0028143254230858731,5888717404672.7969,2092408133177397.0,2.4249071145122976e+22,7.618721524111937e-10,1.164318603710015e-07,5.655394819115145e-09,3.669264383022834e-08,1.2165100455719504e-14,6.0733499989209951,0.00082902690583585052,3.9486391492901085e-07,1.2020496517631694e-06,-140,-5.16935424958221e-10,-5.169331431053566e-10,-5.169304817890922e-10,-5.169426468895479e-10,-8.093118619711959e-09,-7.836022668751251e-09,-7.765017903186705e-09,-8.526890055597898e-09,-2.2894646803384155e-09,-2.0606821471425008e-08,2.199325828321718e-09,-1.1423253454267979e-07,-1.5441599567900255e-06,-1.544193952125477e-06,-1.5444891352384951e-06,-1.5498153516091406e-06,-0.0016126251271089131,-0.0016126090866409593,-0.0016126121068972801,-0.001612588434465083
-130,-3.174365740531062e-10,-4.916719700281635e-09,-2.6972550970505438e-08,-9.862020355768403e-07,-0.0009902393513337993,-130,5538610855733.7275,0.0031782241465254501,5538610855733.7246,1742674714050215.0,3.5122177441499137e+22,9.750753516159124e-09,7.078836772311803e-08,2.157525366419395e-09,5.2187826429274387e-08,2.7361533132400412e-14,6.1171694526316589,0.00077518798612514475,9.5190479129961878e-08,3.8947674690908819e-07,-130,-3.1742517625320057e-10,-3.174365740531062e-10,-3.174305260408911e-10,-3.174092125199738e-10,-1.2764495349593119e-08,-4.916719700281635e-09,-3.0137418334339953e-09,-8.17871305679139e-09,1.029840081268052e-08,-2.6972550970505438e-08,7.154705195406294e-10,4.381581675261259e-08,-9.855938101210882e-07,-9.862020355768403e-07,-9.84044510210421e-07,-9.840459824772552e-07,-0.0009902148694891366,-0.0009902393513337993,-0.000990237300642476,-0.00099018716350737
-120,-1.9389003199212695e-10,-3.0343900257878766e-09,7.771383364607587e-08,-5.686213215505645e-07,-0.0006049014244506878,-120,5209526105412.5068,0.0035891758084186593,5209526105412.5029,1451454702551266.5,6.2700042729714721e+22,1.0667435283604407e-08,3.861706558139222e-06,3.320125626700166e-07,9.749381142017122e-07,9.741767662076605e-13,6.1465262248652577,0.00070280637691417158,4.5934202960273065e-06,1.2442039002244485e-05,-120,-1.9378265003054733e-10,-1.9389003199212695e-10,-1.9390707412510035e-10,-1.94756826796755e-10,3.543594806476591e-09,-3.0343900257878766e-09,-7.123840477127816e-09,-3.190466068797459e-09,6.9561040746957126e-09,7.771383364607587e-08,9.70211823171131e-09,-3.783992724493146e-06,-5.69223780111372e-07,-5.686213215505645e-07,-5.639215730994773e-07,-8.959341357694939e-07,-0.0006045371726486337,-0.0006049014244506878,-0.0006049188691945745,-0.0006055121107628354
-110,-1.1611157194941136e-10,-1.8028981692182977e-09,1.2757944656272002e-07,-2.048703886749964e-07,-0.00036235521938798865,-110,4900213936765.3662,0.0040532644614826819,4900213936765.3623,1208954901248380.5,2.9265003316858419e+22,2.2124634134654446e-08,2.7751520374763583e-07,2.9027953515176584e-08,2.668005174700887e-07,7.830277398311853e-14,6.1548751518253466,0.00065441481282238468,5.5450419746686553e-07,2.1725196821642202e-06,-110,-1.1605029295236941e-10,-1.1611157194941136e-10,-1.1612859572635253e-10,-1.1609393157801453e-10,-2.732181675346723e-09,-1.8028981692182977e-09,1.8476386300824992e-08,-3.648247833829454e-09,1.1122034807020675e-08,1.2757944656272002e-07,1.2442709472714587e-08,2.886372385546565e-07,-2.046135243460867e-07,-2.048703886749964e-07,-2.035316607175647e-07,-2.325596142327413e-07,-0.0003621049320372549,-0.00036235521938798865,-0.000362371732554725,-0.0003623650009825997
-100,-6.65574416767921e-11,-1.0194021403660587e-09,1.1969987789850478e-07,1.869400562282183e-07,-0.00020788464038012933,-100,4609500179169.835,0.0045773608403866031,4609500179169.8301,1007021368841989.1,7.2367183719886152e+21,8.942559605941494e-09,6.307631407187486e-07,9.57753011464758e-08,3.306310603934403e-07,8.049259896074579e-14,6.1382650164407391,0.0006439438813467817,7.5927231216907552e-07,2.6617378766494592e-06,-100,-6.649428866930152e-11,-6.65574416767921e-11,-6.657478126826227e-11,-6.656847926028878e-11,-5.293697008523779e-09,-1.0194021403660587e-09,3.648862597417715e-09,1.1911142345813713e-09,9.671827116974896e-09,1.1969987789850478e-07,1.0169683231175361e-08,-5.110632628202438e-07,1.9177455445884561e-07,1.869400562282183e-07,1.9317126976993513e-07,9.739596862345934e-08,-0.00020763066254403384,-0.00020788464038012933,-0.0002078917777294297,-0.00020756114666903625
-90,-3.555127760021557e-11,-5.44229960932355e-10,-3.0050249844038035e-08,6.82137711167991e-07,-0.00011128454319675463,-90,4336281251100.3779,0.0051692240815296893,4336281251100.3726,838865017787577.75,1.2682454426399068e+23,6.157538379999798e-09,7.274798909939761e-07,6.80246644865041e-08,2.2422761709410793e-07,1.922277924940547e-13,6.0980896144520251,0.00060777416109398445,1.1060975063691079e-06,3.139448014437785e-06,-90,-3.559996360009059e-11,-3.555127760021557e-11,-3.5541213213988765e-11,-3.540773580759654e-11,1.5006231812719761e-09,-5.44229960932355e-10,-1.821310191602492e-09,4.336228188397306e-09,1.436223358297628e-08,-3.0050249844038035e-08,1.962369308746215e-08,6.974296411499381e-07,6.81535033741909e-07,6.82137711167991e-07,6.762403158259327e-07,7.442649803124368e-07,-0.00011146044676024758,-0.00011128454319675463,-0.00011127374244828748,-0.00011123621914315347
-80,-1.7231331759370166e-11,-2.767208561702026e-10,2.2802506771668618e-08,1.330129621557624e-06,-5.445687523397691e-05,-80,4079519970821.0737,0.0058376165954199966,4079519970821.0679,698833146051717.75,9.4745751363067723e+21,3.145254251315674e-08,8.42711761798859e-07,2.1640242753337407e-07,1.8211760603281495e-07,1.2387157166726514e-13,6.038222139650312,0.00057129150271293435,1.2973319311452695e-06,2.8816285853618443e-06,-80,-1.7229051786171857e-11,-1.7231331759370166e-11,-1.7220253200714235e-11,-1.73441247723815e-11,1.1777063935181076e-08,-2.767208561702026e-10,2.12906070613375e-08,-1.0161935451819244e-08,2.3912250318725015e-08,2.2802506771668618e-08,3.809271307677066e-08,-8.046190487220883e-07,1.323861386737235e-06,1.330129621557624e-06,1.3252538436758071e-06,1.11372719402425e-06,-5.4459233751913416e-05,-5.445687523397691e-05,-5.4449072501899036e-05,-5.42771161458806e-05
-70,-7.382941973200805e-12,-1.4518937774152336e-10,4.543827758496377e-09,2.11384143434159e-06,-2.4101937495357717e-05,-70,3838241619092.3687,0.0065924337923146453,3838241619092.3618,582219213724517.0,1.2878059600693187e+22,3.087141398866216e-08,3.164117847981318e-06,3.54524887673757e-07,3.1518876142461186e-07,6.619476558238999e-13,5.8922464326405679,0.00053768183074268951,4.9328760575954825e-06,8.41950536458408e-06,-70,-7.368586043590015e-12,-7.382941973200805e-12,-7.384456824628526e-12,-8.030533699413915e-12,2.727251111056539e-08,-1.4518937774152336e-10,2.51658437958934e-08,3.072622461092063e-08,2.8281979674860125e-08,4.543827758496377e-09,1.9432188477159552e-08,-3.135835868306458e-06,2.1037364419385085e-06,2.11384143434159e-06,2.1045658602122626e-06,1.7593165466678329e-06,-2.409136550340918e-05,-2.4101937495357717e-05,-2.4134782922536755e-05,-2.440655426483379e-05
-60,-2.6870041168831114e-12,-6.848787688909127e-11,1.23639871674186e-08,3.0222858854100057e-06,-9.903661307597567e-06,-60,3611530238945.3643,0.0069745315634487642,3611530238945.3574,517816889362464.37,1.5402716291152122e+22,5.971711811222506e-09,1.4862650026259416e-06,2.853087011089883e-08,9.594449203957787e-08,2.6975145434612585e-13,4.103417230457401,0.00050631477946686541,2.1050013990527179e-06,3.6301593132060845e-06,-60,-2.707231581658448e-12,-2.6870041168831114e-12,-2.6806604710805e-12,-2.4374801273123223e-12,5.25308005427938e-09,-6.848787688909127e-11,5.903223934333415e-09,4.786941520476652e-09,3.427477948680924e-08,1.23639871674186e-08,4.2817429631731836e-08,1.4986289897933602e-06,3.0213095456588235e-06,3.0222858854100057e-06,3.0222881543461e-06,3.0498404157697223e-06,-9.982582014345098e-06,-9.903661307597567e-06,-9.905061730906083e-06,-9.88663752230552e-06
