voltage,current,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_4 transport over barrier 3,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_3 transport over barrier 3,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-150,-8.522963616516272e-12,-1.1873649383605813e-07,-2.6303559495046113e-05,-3.832407140310201e-07,-4.6461940084863414e-08,-150,28160591974.638733,8.8143795012663926e-10,28160591974.638733,3.1948467808304378e+19,3.4422693905973222e+18,9.566428232186028e-08,1.7198770665253246e-07,1.301310077018974e-07,1.5887128264341002e-07,5.0487191341250375e-14,1.5661217194586119e-05,3.044896830649042e-06,9.1767501028598776e-07,3.9095802052209052e-06,-150,-8.573450807857522e-12,-8.522963616516272e-12,-8.52774308045077e-12,-8.55456771909749e-12,-1.311824291624908e-07,-1.1873649383605813e-07,-4.3882624508381276e-08,-3.5518146840630504e-08,-2.6475547201698646e-05,-2.6303559495046113e-05,-2.631623073004779e-05,-2.632060818541504e-05,-4.6544664655812085e-07,-3.832407140310201e-07,-3.3531563885622343e-07,-4.3537443136615857e-07,1.5276196932475325e-08,-4.6461940084863414e-08,-1.1009735565683003e-07,-1.435950857109347e-07
-140,-4.712805277767789e-12,-5.5101978200696105e-08,-1.4543590300581988e-05,-2.7533742769252065e-07,-3.200768952163271e-10,-140,26361803354.99876,9.2663024021706726e-10,26361803354.99876,2.8449107541346148e+19,6.6978574135218971e+19,2.4983848680140674e-08,1.667485791151632e-07,3.3943343803189655e-07,3.9689963256448375e-08,9.274960136210369e-14,1.4733909748896243e-05,2.5911691019856028e-06,5.1114403728822524e-07,2.6974015998453268e-06,-140,-4.775316701443696e-12,-4.712805277767789e-12,-4.703664390078337e-12,-4.682567100081593e-12,-4.6386158742209305e-08,-5.5101978200696105e-08,-3.406186580393801e-08,-3.011812952055543e-08,-1.4697376172989607e-05,-1.4543590300581988e-05,-1.4530627593874444e-05,-1.4550858793427324e-05,-3.619861672632396e-07,-2.7533742769252065e-07,-1.858638029624274e-07,-2.2552729231343058e-08,-2.6720630204523857e-09,-3.200768952163271e-10,-4.00100401516647e-08,-3.755952276973673e-08
-130,-2.1309458015195905e-11,-4.13982874018013e-07,-6.562197725610381e-05,-1.3217336446217612e-06,-1.908463187937796e-08,-130,24691238965.468102,9.7413958856817491e-10,24691238965.468102,2.5346715455595192e+19,6.2613543732097157e+18,6.018426728735234e-07,4.032818368213532e-07,6.373767053542284e-07,7.306405762443894e-07,1.2943400172919852e-13,1.3885782492921809e-05,2.4671450909790459e-06,1.7842835194974081e-06,7.9440304138895453e-06,-130,-2.1410341177510795e-11,-2.1309458015195905e-11,-2.1374693453698108e-11,-2.1280907175781596e-11,-5.869637793049637e-07,-4.13982874018013e-07,-2.6923877138147438e-08,1.4878893568559687e-08,-6.596833918592893e-05,-6.562197725610381e-05,-6.556505734910757e-05,-6.558553218383167e-05,-1.512800736236386e-06,-1.3217336446217612e-06,-1.1956030358824154e-06,-8.754240308821577e-07,1.9443499703668764e-07,-1.908463187937796e-08,-5.362055792077018e-07,-4.040054091269951e-07
-120,1.279072108828087e-12,1.0090496851184055e-07,3.80351862526554e-06,7.425013242202762e-08,1.0101402660237947e-07,-120,23138793187.427727,1.0240847932973544e-09,23138793187.427727,2.2594606754119746e+19,1.6265116071719017e+18,3.0519985361284195e-07,5.946381051442495e-07,2.355254457535632e-06,1.6730944836366025e-07,4.045280036141211e-13,2.7366507736587071e-06,2.7366507736587071e-06,2.8622337102570279e-06,1.3147879180524567e-05,-120,1.0553335121816507e-12,1.279072108828087e-12,1.2809560971089545e-12,1.4598615157957718e-12,2.42324257179391e-07,1.0090496851184055e-07,-3.1894491400536366e-08,-6.287559643345094e-08,3.321798430988565e-06,3.80351862526554e-06,3.916436536132815e-06,3.392033477211953e-06,-2.895540092140436e-07,7.425013242202762e-08,1.0101683672051572e-07,2.0657004483215882e-06,-4.383579373078113e-09,1.0101402660237947e-07,4.69926067782147e-08,1.6292586899058215e-07
-110,-4.330782380289779e-12,-2.0842375485345067e-08,-1.3415258835787675e-05,-3.651826278029365e-07,9.147239770091884e-08,-110,21695220006.812847,1.0765907434317235e-09,21695220006.812847,2.0151780181257654e+19,9.6577721813777485e+17,3.350477158595269e-08,4.878151431022388e-07,2.5266198700169906e-06,2.10668641385136e-07,5.300289695729715e-13,2.3808288945861363e-06,2.3808288945861363e-06,2.7110010587896988e-06,1.1511895887292129e-05,-110,-3.88153992813315e-12,-4.330782380289779e-12,-4.371207921666437e-12,-4.411568897706122e-12,-4.71756724032546e-08,-2.0842375485345067e-08,-1.367090081730191e-08,-4.04658266554861e-08,-1.2944808986503631e-05,-1.3415258835787675e-05,-1.343262412960587e-05,-1.3128458022038103e-05,1.477044861530885e-06,-3.651826278029365e-07,-3.089249342958614e-07,-1.0495750084861057e-06,1.1520545269777461e-07,9.147239770091884e-08,-4.904899424340607e-08,-9.546318868736137e-08
-100,-2.316008268410446e-11,-5.223833879805438e-07,-7.13077100077562e-05,-2.5614570998292244e-06,5.647279916596501e-07,-100,20352056208.636139,1.1317887311957467e-09,20352056208.636139,1.7982204317526626e+19,1.6096316162165432e+18,6.954016792540556e-07,1.09322559183056e-06,1.257369776354519e-06,7.678906565071428e-07,6.90641168263201e-13,1.1779401916387279e-05,2.0569311710309665e-06,1.9205870505279346e-06,7.0607001593238904e-06,-100,-2.2633344606733252e-11,-2.316008268410446e-11,-2.3268602088006532e-11,-2.3323985774996453e-11,-4.3303840413511097e-07,-5.223833879805438e-07,-5.790002625085624e-09,1.7301829127351175e-07,-7.045950769679621e-05,-7.13077100077562e-05,-7.129664618297398e-05,-7.155273328862677e-05,-1.3729877537116408e-06,-2.5614570998292244e-06,-2.6303575300661598e-06,-2.5679303560853327e-06,7.216200056407671e-07,5.647279916596501e-07,-8.882073172693937e-09,-4.627065086637572e-08
-90,-1.818836602976524e-11,-4.2106723040050334e-07,-5.601391854436269e-05,-2.385527690430562e-06,6.495317670589929e-07,-90,19101551638.781342,1.1898167803101818e-09,19101551638.781342,1.605419586854509e+19,1.1509503851120173e+19,4.5458479298660466e-07,4.841342615691246e-07,9.787918721501302e-07,6.077793755469794e-07,3.158031162244749e-13,1.1213971227378704e-05,1.9481343728098116e-06,1.5278743935839151e-06,6.7052829673907589e-06,-90,-1.810216006048285e-11,-1.818836602976524e-11,-1.8291533911939492e-11,-1.8417963176707324e-11,-4.62382146931839e-07,-4.2106723040050334e-07,-7.797353945234338e-09,-9.579605005432946e-09,-5.57518178538885e-05,-5.601391854436269e-05,-5.60982082810881e-05,-5.623595211545762e-05,-2.702123310882598e-06,-2.385527690430562e-06,-2.4304774338107423e-06,-3.364319562580692e-06,8.354436774185212e-07,6.495317670589929e-07,2.276643018715418e-07,4.386221215124664e-07
-80,4.953337008792988e-12,2.889458930519467e-07,1.5451954143990906e-05,7.735907732006782e-07,-5.2336914130889e-07,-80,17936605872.522659,1.2508199911232759e-09,17936605872.522659,1.4339877839988007e+19,4.620985511741396e+18,6.229195246316806e-07,1.301602193798726e-06,1.3147707095295439e-07,6.995442922543612e-07,3.543505580466546e-13,2.2017162163161296e-06,2.2017162163161296e-06,1.6984929594651963e-06,1.0083145720695611e-05,-80,5.307687566839643e-12,4.953337008792988e-12,5.068769565884415e-12,5.062282930672837e-12,3.759435394275201e-07,2.889458930519467e-07,-6.4834081251059195e-09,-2.469759852041605e-07,1.6753556337789632e-05,1.5451954143990906e-05,1.5501978486034344e-05,1.5634367144912176e-05,8.684219210408628e-07,7.735907732006782e-07,8.635426982368662e-07,9.050678441536326e-07,-8.099226921198184e-07,-5.2336914130889e-07,-1.1037839986545727e-07,-1.6352877141301292e-07
-70,-2.6266767699286617e-11,-6.891504017290418e-07,-8.064467442984308e-05,-4.8668401680471846e-06,1.441497120203677e-06,-70,16850710691.521477,1.3149509034372148e-09,16850710691.521477,1.2814707109957167e+19,1.097992047066582e+18,8.362170437758962e-07,1.666217826823413e-06,1.7750530635296097e-06,9.788394635947035e-07,6.375634237757294e-13,2.0933494447949037e-06,2.0933494447949037e-06,4.1776484806823606e-06,1.3610489941414313e-05,-70,-2.6904331123062346e-11,-2.6266767699286617e-11,-2.6361935548492816e-11,-2.6287378475920423e-11,-8.362944993629828e-07,-6.891504017290418e-07,-7.745558708663624e-11,-1.3496416986233666e-07,-8.215681373258121e-05,-8.064467442984308e-05,-8.060469353412376e-05,-8.04905959057578e-05,-5.903293640585616e-06,-4.8668401680471846e-06,-4.789357455880645e-06,-4.1282405770560065e-06,1.5555368816368193e-06,1.441497120203677e-06,7.212101518650428e-07,5.766974180421158e-07
-60,-9.85346735467017e-12,-1.3581490070421068e-07,-3.003288829775755e-05,-2.1480860251492373e-06,4.21195331626311e-07,-60,15837897827.44883,1.3823698779370841e-09,15837897827.44883,1.1457062310330276e+19,2.9333298190294415e+18,1.7029751014609855e-07,4.5164508636133527e-07,1.170914284642224e-06,2.6770729042397755e-07,2.456765580446023e-13,3.5829437616471618e-06,2.0747319787927123e-06,2.9029642032076644e-06,1.4007974013865527e-05,-60,-9.819249499534833e-12,-9.85346735467017e-12,-9.817025743532882e-12,-9.607790796625567e-12,-1.6789812030786055e-07,-1.3581490070421068e-07,2.3993898382380003e-09,-7.064273318191891e-08,-2.9874849133193493e-05,-3.003288829775755e-05,-2.9909879156853384e-05,-2.9581243211396213e-05,-2.3161737772170454e-06,-2.1480860251492373e-06,-2.115059246977943e-06,-1.1452594925748214e-06,4.700389535700712e-07,4.21195331626311e-07,3.2630351884120394e-07,2.0233166314609363e-07
