voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4
-150,-0.0894349628200297,-279135.3396380453,-150,217679256.81744507,27981.808654549848,217651275.00879052,7779.3133211941386,53325772427414008.0,8.207280188798904e-09,2.6229018956769323e-15,3.0938285698395004e-09,-628544.9078436041,6.8451546757226402e-09,2.2921971876144198e-08,-150,-0.08943496282003068,-0.0894349628200297,-0.0894349628200287,-0.0894349628200285,-0.08943496282002805,-279135.3396380483,-279135.3396380453,-279135.33963804215,-279135.3396380415,-279135.3396380401
-140,-0.08176756220121867,-255204.62609618812,-140,203843166.46305934,30312.331445629086,203812854.1316137,6724.7604107486986,30972525816467764.0,8.789356797933578e-09,2.8171909249863347e-15,-6.8013818923980928e-09,-584296.25727061206,1.3180776251423627e-08,3.0808520179448351e-08,-140,-0.08176756220122017,-0.08176756220121867,-0.08176756220121864,-0.08176756220121735,-0.08176756220121882,-255204.6260961928,-255204.62609618812,-255204.62609618803,-255204.62609618402,-255204.62609618861
-130,-0.07461983381286084,-232895.8608391412,-130,191312368.307163,32836.956646126979,191279531.35051689,5826.129697976372,21062270159461604.0,1.132139004766941e-08,3.622102617839573e-15,3.5952213567244149e-08,-543734.54805188789,1.0844940433220197e-08,2.8001823082490773e-08,-130,-0.07461983381286127,-0.07461983381286084,-0.07461983381285923,-0.07461983381285765,-0.07461983381285965,-232895.86083914258,-232895.8608391412,-232895.8608391362,-232895.86083913126,-232895.86083913752
-120,-0.06794225669392451,-212054.4840634348,-120,180006622.46064174,35571.85047655263,179971050.61016518,5060.3671175131594,1.7188165152931974e+17,1.1350493878126144e-08,3.635980405647388e-15,3.6028625199466539e-08,-506578.04134748853,1.7833010080523821e-08,4.2139476796876352e-08,-120,-0.06794225669392412,-0.06794225669392451,-0.0679422566939232,-0.06794225669392497,-0.06794225669392133,-212054.48406343357,-212054.4840634348,-212054.48406343072,-212054.48406343622,-212054.48406342487
-110,-0.06168592276615696,-192527.848833199,-110,169853533.55156502,38534.525594516781,169814999.02597052,4407.8272907486917,33373371632746836.0,1.3009412214159966e-08,4.170275236248244e-15,1.8102582544088364e-08,-472560.27125157841,1.3446170046398307e-08,3.8829032433795874e-08,-110,-0.06168592276615806,-0.06168592276615696,-0.06168592276615756,-0.061685922766158516,-0.061685922766154345,-192527.84883320244,-192527.848833199,-192527.84883320087,-192527.84883320387,-192527.84883319086
-100,-0.05580081787506066,-174159.85603951517,-100,160788087.14764389,41743.953235529727,160746343.19440836,3851.7695303182636,53252925282693032.0,1.1496013030409813e-08,3.684552662974738e-15,-1.016640066683083e-08,-441427.60474406451,1.0376617277083661e-08,2.7766738242007705e-08,-100,-0.05580081787505897,-0.05580081787506066,-0.05580081787506098,-0.05580081787506081,-0.05580081787506266,-174159.8560395099,-174159.85603951517,-174159.85603951616,-174159.85603951564,-174159.8560395214
-90,-0.05023333424440016,-156783.1905255935,-90,152752233.44190085,45220.684693677606,152707012.75720719,3377.9283634610124,52773823213046056.0,1.0128132998943329e-08,3.247402347028583e-15,1.1284274793893789e-08,-412938.49913457135,1.4040513659084539e-08,3.4431234752219098e-08,-90,-0.05023333424439876,-0.05023333424440016,-0.05023333424439963,-0.05023333424440201,-0.050233334244401934,-156783.19052558916,-156783.1905255935,-156783.19052559187,-156783.1905255993,-156783.19052559906
-80,-0.04492269259327575,-140208.1541612851,-80,145694515.53571957,48986.982920067887,145645528.55279949,2974.1475561671041,24346958710299424.0,8.149072527885437e-09,2.609024107869118e-15,1.116851143473566e-08,-386866.71332757571,1.0291924888675847e-08,2.3905659674028357e-08,-80,-0.04492269259327836,-0.04492269259327575,-0.04492269259327684,-0.04492269259327802,-0.04492269259327583,-140208.15416129326,-140208.1541612851,-140208.15416128852,-140208.1541612922,-140208.15416128538
-70,-0.039796013877470504,-124207.28426176813,-70,139569739.93901691,53066.965081723632,139516672.97393519,2630.0682491278362,3.1225360732585792e+17,4.3655745685100555e-09,1.394717674685353e-15,-4.5908855076174553e-09,-363012.66281614185,6.3195248642599159e-09,1.7229027093890181e-08,-70,-0.03979601387747047,-0.039796013877470504,-0.039796013877469893,-0.03979601387746911,-0.039796013877470275,-124207.28426176801,-124207.28426176813,-124207.28426176621,-124207.28426176377,-124207.2842617674
-60,-0.03476224030719268,-108496.38048437166,-60,134338687.17761284,57486.756993789815,134281200.42061904,2336.8632047225274,23942153587282884.0,5.6461431086063385e-09,1.8110513089197866e-15,3.0171486624059122e-09,-341229.68312361703,1.0761800953130592e-08,3.0600787681578367e-08,-60,-0.03476224030719375,-0.03476224030719268,-0.03476224030719248,-0.03476224030719248,-0.03476224030719194,-108496.380484375,-108496.38048437166,-108496.38048437104,-108496.38048437104,-108496.38048436935
-50,-0.029706555519828176,-92717.08963741628,-50,129967860.65469801,62274.660413945494,129905585.99428406,2087.010347238981,36436473743360472.0,1.0855728760361671e-08,3.479855292809475e-15,6.7846981346681037e-09,-321473.57812031114,1.0523557835253007e-08,2.9563452130787482e-08,-50,-0.02970655551982913,-0.029706555519828176,-0.029706555519828797,-0.029706555519830057,-0.029706555519826577,-92717.08963741927,-92717.08963741628,-92717.08963741822,-92717.08963742215,-92717.08963741129
-40,-0.02449025683466792,-76436.50697461898,-40,126429272.1582548,67461.334270276828,126361810.82398452,1874.0997865789172,18615813585467740.0,6.912159733474255e-09,2.2169766022983595e-15,1.3845648163904599e-09,-303879.24198210973,9.8930813118408447e-09,2.7197248897437021e-08,-40,-0.02449025683466787,-0.02449025683466792,-0.024490256834667722,-0.024490256834666903,-0.02449025683466912,-76436.50697461882,-76436.50697461898,-76436.50697461836,-76436.50697461581,-76436.50697462272
