voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4
-150,-5.754142270406335e-07,-1.197283035873145,-150,2161899850641.4077,4.0480502768481963e-05,2161899850641.4077,53405953552648528.0,5.6253133446476301e+17,0.006969353833483183,3.3494714523719483e-09,0.0045298250985099211,-65.227350751106968,0.0048346228205222311,0.008829127245773628,-150,-5.767003591775195e-07,-5.754142270406335e-07,-5.749581370713304e-07,-5.733508877251476e-07,-5.748485229492187e-07,-1.1999591327039525,-1.197283035873145,-1.1963340346885776,-1.1929897788704693,-1.19610595703125
-140,-4.250572494018384e-07,-0.88443039825601,-140,2143816614164.9277,5.9288801604259735e-05,2143816614164.9277,36158879183871048.0,3.874038722609481e+17,0.006800695951824309,3.2684144744467312e-09,-0.0045384027227143246,-56.397043577044002,0.0049039647587747334,0.0089269067409362378,-140,-4.2390640993901764e-07,-4.250572494018384e-07,-4.2572755487784696e-07,-4.2717482441346437e-07,-4.2577202911376953e-07,-0.8820358092780225,-0.88443039825601,-0.8858251245897772,-0.8888365052298468,-0.8859176635742188
-130,-2.729624258507007e-07,-0.5679617683119033,-130,2125884734314.0669,8.6835927304889293e-05,2125884734314.0669,24481626445352292.0,5.147190515099056e+17,0.005995772504320485,2.8815682655764407e-09,-0.0038044299624101678,-51.353625362363715,0.0044695098315085356,0.0076382899575071243,-130,-2.719039633565757e-07,-2.729624258507007e-07,-2.737436559135513e-07,-2.7478553162215213e-07,-2.738061859130859e-07,-0.5657593910873402,-0.5679617683119033,-0.569587299029445,-0.5717551635916607,-0.5697174072265625
-120,-1.0935322453990095e-07,-0.22753479929234488,-120,2108102958230.5371,0.00012718216706809356,2108102958230.5369,16575460277397656.0,1.5752338956260106e+18,0.0011312241789604993,5.436663404084207e-10,-0.0012320500748630677,-49.802179924299558,0.0011710607395902131,0.0025268835438397559,-120,-1.0945867731503095e-07,-1.0935322453990095e-07,-1.09681944718637e-07,-1.0989689088030937e-07,-1.0969994201660157e-07,-0.227754218300106,-0.22753479929234488,-0.22821877802462964,-0.22866602347130538,-0.2282562255859375
-110,8.667203995683712e-08,0.18034132325600732,-110,2090470045400.365,0.00018627432356820966,2090470045400.3647,11222534621820166.0,1.7012084773908078e+18,0.0009340831889035894,4.489203805870643e-10,0.00094647128993686634,-51.622057822558631,0.00096270230370651573,0.0021200171551184069,-110,8.676033694770885e-08,8.667203995683712e-08,8.697021914064296e-08,8.712096033742418e-08,8.699948272705078e-08,0.18052504566730931,0.18034132325600732,0.18096175435006856,0.1812754064449109,0.18102264404296875
-100,3.5474100773042273e-07,0.7381211147116578,-100,2072984767813.7144,0.00027282223931769146,2072984767813.7141,7598298338867455.0,4.1257045632087048e+19,0.0009042740020959172,4.3459408540728486e-10,0.00069788827448282213,-56.895402270500284,0.00090064401522275733,0.0015581260373239737,-100,3.546455503687961e-07,3.5474100773042273e-07,3.5499580447983444e-07,3.550801444542034e-07,3.549756362915039e-07,0.7379224934848025,0.7381211147116578,0.7386512785681116,0.7388267674868985,0.7386093139648438
-90,7.615817849720643e-07,1.5846479088057932,-90,2055645910160.4941,0.00036738871081318415,2055645910160.4937,5595288721883952.0,2.7931891871509438e+19,0.0021339383274607826,1.0255707601776336e-09,0.0018663773006690717,-65.917961896386203,0.0023530556811742981,0.0037356712762297568,-90,7.614482346150326e-07,7.615817849720643e-07,7.623245622915268e-07,7.624738053752102e-07,7.623335632324219e-07,1.5843700262485072,1.5846479088057932,1.5861934296536138,1.586503964575968,1.586212158203125
-80,1.4139562007238452e-06,2.9420645042110802,-80,2038452270066.6924,0.00034516426876922076,2038452270066.6921,5905745334925197.0,1.4966990933731205e+18,0.0011694596368077015,5.620423014497041e-10,0.0010618398171349185,-79.286258289900914,0.0012896615474343206,0.0024629333968523561,-80,1.413961854803888e-06,1.4139562007238452e-06,1.414445283009804e-06,1.414518243025295e-06,1.4144556816101075e-06,2.9420762688387185,2.9420645042110802,2.9430821535784517,2.943233963847888,2.943103790283203
-70,2.480823737702065e-06,5.161930373911912,-70,2021402658377.0679,0.00032428424970187039,2021402658377.0676,6233428420391794.0,1.8603639919373207e+18,0.0007078661838022526,3.402004879353932e-10,-0.00062852179453284538,-97.940329519953977,0.00078298669524383142,0.0013805675270579002,-70,2.480840172270866e-06,2.480823737702065e-06,2.480535816724192e-06,2.4804999717829306e-06,2.480535763549805e-06,5.161964569851989,5.161930373911912,5.161331287399484,5.161256703668187,5.1613311767578125
-60,4.2296031129880355e-06,8.800672311668821,-60,2004495899490.6438,0.00030466732544386251,2004495899490.6436,6579293977686455.0,3.2634407192928722e+18,0.0007302398516912945,3.509532727228931e-10,-0.00060969943033530949,-123.28186324967294,0.00091502121581632512,0.0016395532159161241,-60,4.229691738744441e-06,4.2296031129880355e-06,4.2293811930505395e-06,4.229340785471718e-06,4.229384133911133e-06,8.800856718153227,8.800672311668821,8.800210555660714,8.800126478301536,8.800216674804688
