voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4
-150,-0.08943496282002965006579204969646776403818132007175331576234224993867453255794415,-279135.33963804511418778603282570782381721229828346268463099955331606482177780776,-150,217679256.81744503613155233900274066202340926280554272793846856211871372787801263,27981.808654549848267722682654470658125052382622920988512445724226118248165453726,217651275.00879048628328461632008619136528421042291980694995611639448760962984718,7779.3133211941373522703009406446689470918512496212080412442028630650065828805979,435358513.63489007226310467800548132404681852561108545587693712423742745575602526,2.2108591501041778240989060768769022902056960932956880345660680883631595016095813e-75,6.5888737145190770152178587820437618798187258639803172187986018906925901818560997e-82,11398615.321630340004912691809553851458197021683781854599262518494950033128292684,8.9343122234868555266328525692915191724470421949139639914894254628933275121939692e-76,7.1434560473409985022752351096549397477662568334897400262263241876911475667604766e-76,1.4261111298829037012228232940369398357837204056667086802151977576129793558731008e-75,-150,-0.08943496282002965006579204969646776403818132007175331576234224993867453255794415,-0.08943496282002965006579204969646776403818132007175331576234224993867453255794415,-0.08943496282002965006579204969646776403818132007175331576234224993867453255794415,-0.08943496282002965006579204969646776403818132007175331576234224993867453255794415,-0.08943496282002965006579204969646776403818132007175331576234224993867453255794415,-279135.33963804511418778603282570782381721229828346268463099955331606482177780776,-279135.33963804511418778603282570782381721229828346268463099955331606482177780776,-279135.33963804511418778603282570782381721229828346268463099955331606482177780776,-279135.33963804511418778603282570782381721229828346268463099955331606482177780776,-279135.33963804511418778603282570782381721229828346268463099955331606482177780776
-140,-0.081767562201218757925181028283202268345140675551601683658248234974786082237967094,-255204.62609618839593524051957870067520655706706648333748753322829932267982758487,-140,203843166.46305930347373850035404604959265504457194209897524913817462060401032437,30312.331445629084609036404073221743603521367733007018977366017346527054572642068,203812854.13161367438912946394997282784905152320420909195627177215727407695575173,6724.7604107486975322586958437539691152258921597372919073684183305681365191481252,407686332.92611860694747700070809209918531008914388419795049827634924120802064874,2.2108591501041778240989060768769022902056960932956880345660680883631595016095813e-75,6.5888737145190770152178587820437618798187258639803172187986018906925901818560997e-82,11249272.878337784549940559548085685749952700649084058682304745468536260440955365,9.9621414011663986006455300772196664283649306147210107137904574649814495527956999e-77,9.6475227100691997990746926746507615253665784371427656666845671589211845224625556e-76,2.0976302790549759639623253999696985897526387370271339062322984360038126288023243e-75,-140,-0.081767562201218757925181028283202268345140675551601683658248234974786082237967094,-0.081767562201218757925181028283202268345140675551601683658248234974786082237967094,-0.081767562201218757925181028283202268345140675551601683658248234974786082237967094,-0.081767562201218757925181028283202268345140675551601683658248234974786082237967094,-0.081767562201218757925181028283202268345140675551601683658248234974786082237967093,-255204.62609618839593524051957870067520655706706648333748753322829932267982758487,-255204.62609618839593524051957870067520655706706648333748753322829932267982758487,-255204.62609618839593524051957870067520655706706648333748753322829932267982758487,-255204.62609618839593524051957870067520655706706648333748753322829932267982758487,-255204.62609618839593524051957870067520655706706648333748753322829932267982758487
-130,-0.07461983381286066054325628069585998568994060089217802896994656227891887588563721,-232895.86083914065017005490257862533317608958558610157286287383159839542887659656,-130,191312368.30716299814593631320023632414638495719014133979034315244668355333833902,32836.956646126970783350330817442369791526468991063403069075652965020146790269679,191279531.35051687117515296286941888177659343072115027638727407679371853319154875,5826.1296979763734799762304002758702367242618221501063265010565778134858799792731,382624736.61432599629187262640047264829276991438028267958068630489336710667667804,8.29072181289066684037089778828838358827136034985883012962275533136184813103593e-76,2.6355494858076308060871435128175047519274903455921268875194407562770360727424399e-82,11251563.867384747374106777950911154909202685083603431926781764351009155036681754,-9.6007254296594960705275504174220305258706440887315421472524001373809703788514326e-76,8.0159748782765972740993351267997861483962972128939349744034093568285999951979911e-76,1.8737710178766177425935234442686592963180928325911013680123277567398880120524092e-75,-130,-0.07461983381286066054325628069585998568994060089217802896994656227891887588563721,-0.07461983381286066054325628069585998568994060089217802896994656227891887588563721,-0.07461983381286066054325628069585998568994060089217802896994656227891887588563721,-0.07461983381286066054325628069585998568994060089217802896994656227891887588563721,-0.07461983381286066054325628069585998568994060089217802896994656227891887588563721,-232895.86083914065017005490257862533317608958558610157286287383159839542887659656,-232895.86083914065017005490257862533317608958558610157286287383159839542887659656,-232895.86083914065017005490257862533317608958558610157286287383159839542887659656,-232895.86083914065017005490257862533317608958558610157286287383159839542887659656,-232895.86083914065017005490257862533317608958558610157286287383159839542887659656
-120,-0.067942256693924419595708179560263553850996892189418250268223077245316118792819608,-212054.48406343452880604822409533194043408872191815849691483689562830403108622214,-120,180006622.46064171413928630547394440304604241957099007969820583925210620183591202,35571.850476552630406969328700779489760103400427639190098231877565270733264651992,179971050.61016516150887933614524362355628231617056244050810760737454093110264737,5060.3671175131586764100621651553578313220508128575524370249051623173027294642516,360013244.92128342827857261094788880609208483914198015939641167850421240367182404,1.658144362578133368074179557657676717654272069971766025924551066272369626207186e-75,5.2710989716152616121742870256350095038549806911842537750388815125540721454848798e-82,11444202.31172477408469620666486932702294302265869899092231365230381795319813635,-1.9393269167364818939387069169132892701996306529325713892867441904238711525778503e-75,1.2277069305421237233885591161089239411932585392739423198882093065802983116865613e-75,1.9222902417264071809323318221714180437447570747943079578016034875209431072743023e-75,-120,-0.067942256693924419595708179560263553850996892189418250268223077245316118792819608,-0.067942256693924419595708179560263553850996892189418250268223077245316118792819608,-0.067942256693924419595708179560263553850996892189418250268223077245316118792819608,-0.067942256693924419595708179560263553850996892189418250268223077245316118792819608,-0.067942256693924419595708179560263553850996892189418250268223077245316118792819608,-212054.48406343452880604822409533194043408872191815849691483689562830403108622214,-212054.48406343452880604822409533194043408872191815849691483689562830403108622214,-212054.48406343452880604822409533194043408872191815849691483689562830403108622214,-212054.48406343452880604822409533194043408872191815849691483689562830403108622214,-212054.48406343452880604822409533194043408872191815849691483689562830403108622214
-110,-0.061685922766157110858827139630704265565501644714856498986564965625865800961568595,-192527.84883319948182392784336233991388014587131353837557160228174296909736729808,-110,169853533.55156498812685254785920696647994180131651679946485628450946049791745828,38534.525594516778779010609847356438528535900688802078573527201083033623677207213,169814999.02597047134807353724935961004141326541582799738628275730837746429378107,4407.827290748691097573598816762594776041685184334238087217706105043933960323987,339707067.10312997625370509571841393295988360263303359892971256901892099583491655,1.3817869688151111400618162980480639313785600583098050216037925552269746885059883e-75,4.6122116001633539106525011474306333158731081047862220531590213234848131272992698e-82,11892688.851546288310045393740524988639506553406389468128564865753022171040362408,-1.4720705586753745580964985495020701390489002572148491068327650293082710794228344e-75,9.3747058569770239595732289638547417346410861465418274295540067768529549856212547e-76,1.4053221269719754508892418971369617819339310419262471422067025871346759168399057e-75,-110,-0.061685922766157110858827139630704265565501644714856498986564965625865800961568595,-0.061685922766157110858827139630704265565501644714856498986564965625865800961568595,-0.061685922766157110858827139630704265565501644714856498986564965625865800961568596,-0.061685922766157110858827139630704265565501644714856498986564965625865800961568596,-0.061685922766157110858827139630704265565501644714856498986564965625865800961568596,-192527.84883319948182392784336233991388014587131353837557160228174296909736729808,-192527.84883319948182392784336233991388014587131353837557160228174296909736729808,-192527.84883319948182392784336233991388014587131353837557160228174296909736729808,-192527.84883319948182392784336233991388014587131353837557160228174296909736729808,-192527.84883319948182392784336233991388014587131353837557160228174296909736729808
-100,-0.055800817875060592026429328068364289152646170263357637698097096018409998477358758,-174159.85603951496518901364195931188735083748542778209845990963123921925549538005,-100,160788087.14764385748476358419270232429316830604495119650588489397653794966095275,41743.953235529723223040134823893883652777169213423311051755937274597600516118631,160746343.19440832776154054405787843040951552887573777319483313803926335206043663,3851.769530318263009015073404415815173975786490132646334901747686100347643365173,321576174.2952877149695271683854046485863366120899023930117697879530758993219055,1.1054295750520889120494530384384511451028480466478440172830340441815797508047907e-75,3.9533242287114462091307152692262571278912355183881903312791611344155541091136598e-82,12713554.816544605566258656300242160331598967385832319929299507840206272870055612,4.802596403502771678621273850970816136504925973582120480670191014171720770964502e-76,8.0422720077268244893377707461399283884432061896601629187692978270831536426920862e-76,1.6647470013907440637799444969866790981042775310965821930856191154535948676422342e-75,-100,-0.055800817875060592026429328068364289152646170263357637698097096018409998477358759,-0.055800817875060592026429328068364289152646170263357637698097096018409998477358758,-0.055800817875060592026429328068364289152646170263357637698097096018409998477358758,-0.055800817875060592026429328068364289152646170263357637698097096018409998477358758,-0.055800817875060592026429328068364289152646170263357637698097096018409998477358758,-174159.85603951496518901364195931188735083748542778209845990963123921925549538005,-174159.85603951496518901364195931188735083748542778209845990963123921925549538005,-174159.85603951496518901364195931188735083748542778209845990963123921925549538005,-174159.85603951496518901364195931188735083748542778209845990963123921925549538005,-174159.85603951496518901364195931188735083748542778209845990963123921925549538005
-90,-0.050233334244400274464529142037052755895301670706962407686925805593853645796678882,-156783.19052559387329364363851181346401161775359519519110615084154833445632054677,-90,152752233.44190080423570258406537153939383522039237698616147952777391859682594878,45220.684693677595607028452015748488607548151741971076324101822681397794102168923,152707012.75720712664009555561335579090522767224063501508515542595123719903184661,3377.9283634610121982516483082094926463819278649038088621513224849823816374109485,305504466.88380160847140516813074307878767044078475397232295905554783719365189757,1.1054295750520889120494530384384511451028480466478440172830340441815797508047907e-75,3.9533242287114462091307152692262571278912355183881903312791611344155541091136598e-82,14130739.652316347391307538447863051995603904189171569946777457936108396867539298,-1.7040148963353834877885565541695615781391824882151370273766230882973225241037669e-75,1.6511165000605719863032608169401026323369142897178102849164023665291089733161987e-75,3.3471581392368807998455744630572898599596592153685925507501534023605228520237825e-75,-90,-0.050233334244400274464529142037052755895301670706962407686925805593853645796678882,-0.050233334244400274464529142037052755895301670706962407686925805593853645796678882,-0.050233334244400274464529142037052755895301670706962407686925805593853645796678883,-0.050233334244400274464529142037052755895301670706962407686925805593853645796678883,-0.050233334244400274464529142037052755895301670706962407686925805593853645796678883,-156783.19052559387329364363851181346401161775359519519110615084154833445632054677,-156783.19052559387329364363851181346401161775359519519110615084154833445632054677,-156783.19052559387329364363851181346401161775359519519110615084154833445632054677,-156783.19052559387329364363851181346401161775359519519110615084154833445632054677,-156783.19052559387329364363851181346401161775359519519110615084154833445632054677
-80,-0.044922692593276032783544316414125455653248117950670987516976585961842979031232047,-140208.15416128600204089522541129518680304484781786869902818612239612858280362719,-80,145694515.53571955601135631747738085445164455431956112285616926970851841585976275,48986.982920067887440934650273981097412950350460154205564096114745993566586886831,145645528.55279948812391538282710687335423160396910096865060517359377242229317586,2974.1475561671036821797003367675721763465883449427922781401318599756065030059096,291389031.07143911202271263495476170890328910863912224571233853941703683171952549,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-75,9.2244232003267078213050022948612666317462162095724441063180426469696262545985396e-82,16626643.780443560939194709177287203814155993362440909445884651250816037329277058,-1.6024389022019110786279889282397855441429251005354604053580829973321679804848173e-75,1.1996792972563864325649576424860958374821664385399705968028093396493105933764189e-75,2.3846197930446006868389163292716250063077231825001803446915342478561934055932621e-75,-80,-0.044922692593276032783544316414125455653248117950670987516976585961842979031232047,-0.044922692593276032783544316414125455653248117950670987516976585961842979031232047,-0.044922692593276032783544316414125455653248117950670987516976585961842979031232048,-0.044922692593276032783544316414125455653248117950670987516976585961842979031232048,-0.044922692593276032783544316414125455653248117950670987516976585961842979031232048,-140208.15416128600204089522541129518680304484781786869902818612239612858280362719,-140208.15416128600204089522541129518680304484781786869902818612239612858280362719,-140208.1541612860020408952254112951868030448478178686990281861223961285828036272,-140208.1541612860020408952254112951868030448478178686990281861223961285828036272,-140208.1541612860020408952254112951868030448478178686990281861223961285828036272
-70,-0.039796013877470230751989099599476798948496591952852827021792961675728136549472633,-124207.28426176726829977900585403610264606229527039378798110788018341721075140709,-70,139569739.93901691178109168192401054071964903889924734878901145299149490693658999,53066.965081723624175320331575866296100720755604408905201695413677130443497605775,139516672.97393518815691636159243467442354831814364293988380975757781777649309239,2630.0682491278369251741751504633744187202535544649912279358764317334849295265031,279139479.87803382356218336384802108143929807779849469757802290598298981387317998,1.5199656656966222540679979278528703245164160641407855237641718107496721573565872e-75,4.6122116001633539106525011474306333158731081047862220531590213234848131272992698e-82,21437106.711116825730933404300712667293171673700569468936454834645650377672013231,-2.0386264060997908620442420503138235364853654690466367899772725061649179988049009e-75,1.2916894561898301857929562167994726999253695061606173553728875339985149427243166e-75,1.8847005670849430729374675438161467043909615379227974629919311636499629299244009e-75,-70,-0.039796013877470230751989099599476798948496591952852827021792961675728136549472634,-0.039796013877470230751989099599476798948496591952852827021792961675728136549472633,-0.039796013877470230751989099599476798948496591952852827021792961675728136549472634,-0.039796013877470230751989099599476798948496591952852827021792961675728136549472634,-0.039796013877470230751989099599476798948496591952852827021792961675728136549472634,-124207.28426176726829977900585403610264606229527039378798110788018341721075140709,-124207.28426176726829977900585403610264606229527039378798110788018341721075140709,-124207.28426176726829977900585403610264606229527039378798110788018341721075140709,-124207.28426176726829977900585403610264606229527039378798110788018341721075140709,-124207.28426176726829977900585403610264606229527039378798110788018341721075140709
-60,-0.034762240307192620413146919496774273511661684139861998575621972181916249525334344,-108496.38048437147993134815360713601622279320213886888683850143609372316871793427,-60,134338687.17761282742565135704632510520937510944002243957773476328633338154393308,57486.756993789806262038030579308613676949897444832944072022075228327930572633794,134281200.42061903761938931901574579659569815954257760663366274121110505361336045,2336.8632047225276713051135961062347410460310753685516846400987764270192243501372,268677374.35522565485130271409265021041875021888004487915546952657266676308786617,3.8690035126823111921730856345345790078599681632674540604906191546355291278167673e-75,1.251886005758624632891393168588314757165557914156260271571734359231592134552659e-81,32738524.273216658343253725750524830183520486593202969018349062072116803859499103,-1.6804510233649602043301615601424180449398565905911970447826815652171926620479419e-75,1.2734858050571488088626589819886049331161854493801995537981352633642780675495307e-75,2.7869994930426231250656236937447532654482542494973912610623284930714779586895868e-75,-60,-0.034762240307192620413146919496774273511661684139861998575621972181916249525334344,-0.034762240307192620413146919496774273511661684139861998575621972181916249525334344,-0.034762240307192620413146919496774273511661684139861998575621972181916249525334344,-0.034762240307192620413146919496774273511661684139861998575621972181916249525334344,-0.034762240307192620413146919496774273511661684139861998575621972181916249525334345,-108496.38048437147993134815360713601622279320213886888683850143609372316871793427,-108496.38048437147993134815360713601622279320213886888683850143609372316871793427,-108496.38048437147993134815360713601622279320213886888683850143609372316871793428,-108496.38048437147993134815360713601622279320213886888683850143609372316871793428,-108496.38048437147993134815360713601622279320213886888683850143609372316871793428
