voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4
-150,-0.08943496282002937,-279135.33963804424,-150,217679256.81744507,27981.808654549848,217651275.00879052,7779.3133211941386,53325772427414008.0,2.7939677238464355e-08,8.951173136040325e-15,11398615.32163032,1.4202669262886047e-08,3.4862619645209977e-08,6.5618378286558254e-08,-150,-0.08943496282003174,-0.08943496282002937,-0.08943496282002958,-0.08943496282003018,-0.08943496282003832,-279135.33963805164,-279135.33963804424,-279135.3396380449,-279135.33963804675,-279135.3396380722
-140,-0.0817675622012182,-255204.62609618664,-140,203843166.46305934,30312.331445629086,203812854.1316137,6724.7604107486986,30972525816467764.0,8.434290066361427e-08,2.7020052861814747e-14,11249272.878337707,-6.1234459280967712e-08,6.4212944797512638e-08,1.1007743161428607e-07,-140,-0.08176756220121977,-0.0817675622012182,-0.08176756220123278,-0.08176756220123167,-0.08176756220124522,-255204.62609619152,-255204.62609618664,-255204.62609623215,-255204.62609622872,-255204.62609627098
-130,-0.07461983381286183,-232895.8608391443,-130,191312368.307163,32836.956646126979,191279531.35051689,5826.129697976372,21062270159461604.0,1.0404619388282299e-07,3.3334446314370325e-14,11251563.867384799,1.0174699127674103e-07,7.5031488244964683e-08,1.2924591530349971e-07,-130,-0.07461983381286041,-0.07461983381286183,-0.07461983381284125,-0.07461983381284264,-0.0746198338128285,-232895.8608391399,-232895.8608391443,-232895.86083908007,-232895.8608390844,-232895.86083904025
-120,-0.06794225669392391,-212054.48406343296,-120,180006622.46064174,35571.85047655263,179971050.61016518,5060.3671175131594,1.7188165152931974e+17,1.9441358745098114e-08,6.231126725708691e-15,11444202.311724795,-3.795139491558075e-08,2.6597419148376281e-08,4.7993331975249021e-08,-120,-0.06794225669392472,-0.06794225669392391,-0.06794225669392928,-0.06794225669393014,-0.06794225669392791,-212054.48406343546,-212054.48406343296,-212054.48406344972,-212054.4840634524,-212054.48406344542
-110,-0.061685922766157045,-192527.84883319927,-110,169853533.55156502,38534.525594516781,169814999.02597052,4407.8272907486917,33373371632746836.0,2.9831426218152046e-08,9.56179579958416e-15,11892688.851546345,-3.8184225559234619e-08,3.1304595301440584e-08,6.1762403191778503e-08,-110,-0.06168592276615345,-0.061685922766157045,-0.06168592276616041,-0.06168592276616301,-0.061685922766163,-192527.84883318807,-192527.84883319927,-192527.84883320978,-192527.8488332179,-192527.84883321787
-100,-0.055800817875059944,-174159.85603951293,-100,160788087.14764389,41743.953235529727,160746343.19440836,3851.7695303182636,53252925282693032.0,2.0925654098391533e-08,6.702971511174383e-15,12713554.816544615,-7.6834112405776978e-09,2.5318441245171871e-08,4.9924796741152022e-08,-100,-0.05580081787506206,-0.055800817875059944,-0.055800817875065384,-0.05580081787506588,-0.05580081787506665,-174159.85603951954,-174159.85603951293,-174159.85603952993,-174159.85603953147,-174159.85603953386
-90,-0.05023333424440001,-156783.19052559306,-90,152752233.44190085,45220.684693677606,152707012.75720719,3377.9283634610124,52773823213046056.0,1.1030351743102074e-08,3.5318969970887792e-15,14130739.652316434,-2.3283064365386963e-09,1.3059664029091579e-08,2.919388109035026e-08,-90,-0.050233334244398894,-0.05023333424440001,-0.05023333424439922,-0.05023333424440129,-0.050233334244397757,-156783.19052558957,-156783.19052559306,-156783.1905255906,-156783.19052559705,-156783.19052558602
-80,-0.044922692593276074,-140208.15416128613,-80,145694515.53571957,48986.982920067887,145645528.55279949,2974.1475561671041,24346958710299424.0,5.25033101439476e-08,1.6819878823071122e-14,16626643.780443648,-1.5832483768463135e-08,3.6102211447698535e-08,8.2187183281234866e-08,-80,-0.04492269259327013,-0.044922692593276074,-0.044922692593276914,-0.0449226925932797,-0.04492269259328695,-140208.15416126756,-140208.15416128613,-140208.15416128875,-140208.15416129745,-140208.15416132007
-70,-0.03979601387746825,-124207.28426176109,-70,139569739.93901691,53066.965081723632,139516672.97393519,2630.0682491278362,3.1225360732585792e+17,5.0087692216038704e-08,1.604966159973742e-14,21437106.71111685,-3.5390257835388184e-08,3.9608368398527617e-08,7.2113095939130289e-08,-70,-0.03979601387746976,-0.03979601387746825,-0.039796013877478865,-0.03979601387747862,-0.0397960138774843,-124207.2842617658,-124207.28426176109,-124207.28426179421,-124207.28426179345,-124207.28426181118
-60,-0.03476224030719382,-108496.38048437523,-60,134338687.17761284,57486.756993789815,134281200.42061904,2336.8632047225274,23942153587282884.0,4.720641300082207e-08,1.5126788710517758e-14,32738524.273216657,6.1467289924621582e-08,3.2508692320557797e-08,6.7013079529942843e-08,-60,-0.03476224030719755,-0.03476224030719382,-0.03476224030719091,-0.03476224030718612,-0.034762240307182425,-108496.38048438687,-108496.38048437523,-108496.38048436615,-108496.38048435119,-108496.38048433966
-50,-0.02970655551982835,-92717.08963741682,-50,129967860.65469801,62274.660413945494,129905585.99428406,2087.010347238981,36436473743360472.0,8.192728273570538e-09,2.626371342628886e-15,69178204.131786585,7.4505805969238281e-09,1.1885908391940788e-08,2.9522507105639306e-08,-50,-0.029706555519828173,-0.02970655551982835,-0.029706555519827732,-0.029706555519828905,-0.02970655551982628,-92717.08963741627,-92717.08963741682,-92717.0896374149,-92717.08963741855,-92717.08963741036
