voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4
-150,-1.1162945181287738e-06,-6.968130575085979,-150,45479441267.243248,0.0026334489948430808,45479441267.240616,17269915368136.162,1.3365724303213887e+19,6.544034931721399e-07,1.0483543977280634e-13,8794.5613361715423,-6.42228769720532e-07,8.2263071249768902e-07,1.2566224271204391e-06,-150,-1.1162945075764844e-06,-1.1162945181287738e-06,-1.1162946124119241e-06,-1.1162946092436137e-06,-1.1162946090246618e-06,-6.968130509216508,-6.968130575085979,-6.968131163620001,-6.968131143842783,-6.968131142476042
-140,-1.0886830806075643e-06,-6.795774535627743,-140,45461254809.146309,0.002644003886532647,45461254809.143661,17194095303983.953,1.6107998031472392e+19,2.552480964368442e-07,4.0890745074630055e-14,8949.6902159315305,1.3451608538161963e-07,2.9036647740048184e-07,5.1228944585039439e-07,-140,-1.088683078269536e-06,-1.0886830806075643e-06,-1.0886830397168193e-06,-1.0886830540649899e-06,-1.0886830543423294e-06,-6.795774521033309,-6.795774535627743,-6.795774280379646,-6.795774369943757,-6.795774371674966
-130,-1.0616730823314924e-06,-6.627172798573611,-130,45443075649.071846,0.0026546010823408034,45443075649.069191,17118608122091.381,5.0242938829232497e+18,1.8023453662863176e-07,2.887357270864397e-14,9107.6872777704684,-1.4187935448717326e-07,1.5999873944547012e-07,2.857343179081713e-07,-130,-1.061673076280382e-06,-1.0616730823314924e-06,-1.0616730895270117e-06,-1.0616731051539547e-06,-1.0616731049086997e-06,-6.627172760801386,-6.627172798573611,-6.627172843489461,-6.627172941035923,-6.627172939504992
-120,-1.0352490860365787e-06,-6.462229001476771,-120,45424903784.471512,0.0026652407518229088,45424903784.468849,17043452361068.266,1.0969877377678179e+18,2.2138232225188403e-07,3.546544801373119e-14,9268.5860772937958,-1.1933661880902946e-07,2.4802680601941509e-07,4.5048246378946275e-07,-120,-1.0352490907839926e-06,-1.0352490860365787e-06,-1.0352490668658171e-06,-1.0352491023312651e-06,-1.0352491020603169e-06,-6.462229031111065,-6.462229001476771,-6.4622288818090965,-6.462229103191419,-6.462229101500106
-110,-1.00939568880743e-06,-6.300846996301061,-110,45406739212.803459,0.0026759230652139017,45406739212.800781,16968626565941.215,2.3666057438263639e+18,3.1452021875821856e-07,5.0386138996863635e-14,9432.4234915304969,3.2829666452016681e-07,3.9263206274615419e-07,6.5422282452568878e-07,-110,-1.0093956862715395e-06,-1.00939568880743e-06,-1.0093956532901033e-06,-1.009395638620917e-06,-1.009395638421291e-06,-6.300846980471533,-6.300846996301061,-6.300846774594902,-6.300846683026947,-6.300846681780842
-100,-9.840976157519956e-07,-6.142931434157276,-100,45388581931.532555,0.0026866481934310245,45388581931.529869,16894129288125.508,9.8642588103452954e+17,7.201984999483102e-07,1.1537579960734271e-13,9599.2393198838217,6.1172613641247153e-07,9.2550859773897645e-07,1.4438151988357974e-06,-100,-9.840975951348416e-07,-9.840976157519956e-07,-9.84097500376196e-07,-9.840975096118259e-07,-9.84097509546567e-07,-6.142931305460934,-6.142931434157276,-6.142930713958776,-6.1429307716094,-6.1429307712020425
-90,-9.593397021823297e-07,-5.988387654071971,-90,45370431938.130302,0.0026974163080765571,45370431938.127602,16819959085396.994,4.7907838921166477e+17,3.8648315481282225e-07,6.191460151612949e-14,9769.0759502161636,3.3594551496207714e-07,4.749050459688243e-07,8.4239542406392102e-07,-90,-9.593397105227133e-07,-9.593397021823297e-07,-9.59339649876472e-07,-9.59339649698275e-07,-9.593396486081117e-07,-5.98838770613429,-5.988387654071971,-5.988387327568489,-5.988387326456149,-5.988387319651135
-80,-9.351070270551171e-07,-5.837122515949545,-80,45352289230.075035,0.0027082275814405642,45352289230.072327,16746114521864.215,1.167044376186443e+18,1.223146455231472e-07,1.9594806192121256e-14,9941.9780789242996,-1.5174009604379535e-08,1.2160577674443404e-07,2.5525867268085448e-07,-80,-9.351070374456237e-07,-9.351070270551171e-07,-9.351070466499233e-07,-9.351070374916424e-07,-9.351070375206722e-07,-5.837122580809137,-5.837122515949545,-5.837122638264191,-5.837122581096395,-5.837122581277605
-70,-9.113846849911257e-07,-5.689042977472695,-70,45334153804.851982,0.0027190821865036496,45334153804.849266,16672594167940.621,1.0900156157453189e+18,6.583368303836323e-07,1.0546556028776302e-13,10117.992476058174,7.1617068897467107e-07,9.6725041288213711e-07,1.4903690590594433e-06,-70,-9.113846878323509e-07,-9.113846849911257e-07,-9.113845823667906e-07,-9.113845835886579e-07,-9.11384583971376e-07,-5.689042995208183,-5.689042977472695,-5.689042336871353,-5.689042344498489,-5.689042346887491
-60,-8.881570044980223e-07,-5.54405121409502,-60,45316025659.953316,0.0027299802969397262,45316025659.950584,16599396600316.865,3.7409535149363306e+19,3.3288301892753225e-07,5.3327859646964113e-14,10297.167785908265,3.2096249924506992e-07,3.803268790462674e-07,7.023682984429162e-07,-60,-8.881570048025921e-07,-8.881570044980223e-07,-8.881569733997173e-07,-8.881569514747325e-07,-8.881569521129325e-07,-5.544051215996205,-5.54405121409502,-5.544051019973267,-5.5440508831131865,-5.544050887096957
