voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4
-150,-0.08943496282002927,-279135.33963804395,-150,217679256.81744507,27981.808654549848,217651275.00879052,7779.3133211941386,53325772427414008.0,4.784669727087021e-08,1.5334955527634975e-14,319912.00910114124,2.2141538642225617e-08,3.4292674940905655e-08,1.0286100415868304e-07,-150,-0.0894349628200279,-0.08943496282002927,-0.08943496282003419,-0.08943496282003291,-0.08943496282004323,-279135.33963803964,-279135.33963804395,-279135.33963805926,-279135.3396380553,-279135.3396380875
-140,-0.08176756220121878,-255204.62609618847,-140,203843166.46305934,30312.331445629086,203812854.1316137,6724.7604107486986,30972525816467764.0,3.800960257649422e-08,1.2170819907453279e-14,295710.20133908116,1.7539555484704136e-08,5.9729707356117177e-08,1.7884989844674237e-07,-140,-0.08176756220121272,-0.08176756220121878,-0.08176756220122054,-0.0817675622012135,-0.08176756220122489,-255204.62609616952,-255204.62609618847,-255204.62609619397,-255204.626096172,-255204.62609620753
-130,-0.07461983381286055,-232895.8608391403,-130,191312368.307163,32836.956646126979,191279531.35051689,5826.129697976372,21062270159461604.0,6.522168405354023e-08,2.0899948438568572e-14,273097.42652138567,2.7785437134909972e-08,5.0719519339276369e-08,1.6965037197280708e-07,-130,-0.07461983381285403,-0.07461983381286055,-0.0746198338128656,-0.07461983381286616,-0.07461983381284526,-232895.86083911997,-232895.8608391403,-232895.86083915608,-232895.8608391578,-232895.86083909258
-120,-0.06794225669392456,-212054.48406343497,-120,180006622.46064174,35571.85047655263,179971050.61016518,5060.3671175131594,1.7188165152931974e+17,7.051858119666576e-08,2.2593038551121936e-14,252206.27381655754,8.8865256011360413e-09,4.8835039974810166e-08,1.5139607612013606e-07,-120,-0.06794225669392708,-0.06794225669392456,-0.06794225669392846,-0.06794225669392358,-0.06794225669390587,-212054.48406344283,-212054.48406343497,-212054.48406344713,-212054.48406343188,-212054.4840633766
-110,-0.061685922766156406,-192527.8488331973,-110,169853533.55156502,38534.525594516781,169814999.02597052,4407.8272907486917,33373371632746836.0,1.343723852187395e-07,4.3048897779840445e-14,233119.13870199624,1.5246032909268819e-08,6.7500869091706766e-08,2.1243415382343755e-07,-110,-0.06168592276615791,-0.061685922766156406,-0.061685922766148205,-0.061685922766161985,-0.061685922766191253,-192527.84883320198,-192527.8488331973,-192527.84883317168,-192527.8488332147,-192527.84883330605
-100,-0.055800817875059555,-174159.85603951174,-100,160788087.14764389,41743.953235529727,160746343.19440836,3851.7695303182636,53252925282693032.0,2.8318027034401894e-08,9.069134332406747e-15,215870.54242204237,5.3131658445753637e-09,1.8451956323360073e-08,6.4310574643400287e-08,-100,-0.05580081787506517,-0.055800817875059555,-0.0558008178750561,-0.05580081787506152,-0.05580081787506098,-174159.85603952926,-174159.85603951174,-174159.85603950094,-174159.85603951785,-174159.85603951616
-90,-0.050233334244399165,-156783.1905255904,-90,152752233.44190085,45220.684693677606,152707012.75720719,3377.9283634610124,52773823213046056.0,8.792267180979252e-08,2.8171909249863347e-14,200457.50318366633,5.0559322166860972e-09,5.2395663157369765e-08,1.7186149570136422e-07,-90,-0.05023333424439841,-0.050233334244399165,-0.05023333424439342,-0.05023333424440222,-0.05023333424442159,-156783.19052558806,-156783.1905255904,-156783.19052557249,-156783.19052559993,-156783.1905256604
-80,-0.04492269259327677,-140208.1541612883,-80,145694515.53571957,48986.982920067887,145645528.55279949,2974.1475561671041,24346958710299424.0,5.0873495638370514e-08,1.629946178027808e-14,186854.62204174738,2.5662936756133128e-09,4.2886846755713521e-08,1.3648380381425795e-07,-80,-0.044922692593277185,-0.04492269259327677,-0.044922692593269455,-0.04492269259326834,-0.04492269259328464,-140208.1541612896,-140208.1541612883,-140208.15416126547,-140208.15416126198,-140208.15416131285
-70,-0.03979601387747056,-124207.28426176829,-70,139569739.93901691,53066.965081723632,139516672.97393519,2630.0682491278362,3.1225360732585792e+17,4.211324267089367e-08,1.3489209749195652e-14,175031.48388024638,1.6246786465752665e-09,3.8772704184970877e-08,1.2268378668522928e-07,-70,-0.039796013877472294,-0.03979601387747056,-0.039796013877461706,-0.03979601387746781,-0.039796013877475195,-124207.28426177372,-124207.28426176829,-124207.28426174066,-124207.28426175972,-124207.28426178277
-60,-0.03476224030719354,-108496.38048437436,-60,134338687.17761284,57486.756993789815,134281200.42061904,2336.8632047225274,23942153587282884.0,2.6775524020195007e-08,8.583411759133242e-15,164970.57131418548,3.6272184660856265e-09,2.8693320247273038e-08,9.4536527939226289e-08,-60,-0.03476224030718991,-0.03476224030719354,-0.03476224030719798,-0.034762240307193965,-0.0347622403071894,-108496.38048436304,-108496.38048437436,-108496.38048438821,-108496.38048437568,-108496.38048436143
