voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4
-150,-3.6783197265710794e-08,-0.07653599098150395,-150,57409346.665393919,0.001784369561639611,57409346.663609549,32173462212.974514,45542845154508032.0,1.3895828487875406e-08,6.678335174091687e-15,4.1561968792975224,1.5969928176860448e-09,8.0745712894007477e-09,2.6238091032321995e-08,-150,-3.678319980226513e-08,-3.6783197265710794e-08,-3.678319433536135e-08,-3.678319542395201e-08,-3.678319312392996e-08,-0.07653599625939478,-0.07653599098150395,-0.07653598488423086,-0.07653598714929674,-0.07653598236356629
-140,-3.559262746199261e-08,-0.07405873379524056,-140,56499332.066786245,0.0018299070369643317,56499332.064956337,30875520409.230232,44576562909298952.0,1.307462751953814e-08,6.283665982435168e-15,2.8176901712133597,3.9992503976898925e-09,8.2835970867694088e-09,2.6108037337806784e-08,-140,-3.559262941716183e-08,-3.559262746199261e-08,-3.559262348993379e-08,-3.559262313349585e-08,-3.5592623831311356e-08,-0.07405873786342454,-0.07405873379524056,-0.07405872553044901,-0.07405872478879702,-0.07405872624076437
-130,-3.412147185104482e-08,-0.07099765262389683,-130,56161954.585415505,0.0018766066379515439,56161954.583538897,29927398448.681004,24061798487823876.0,2.2852873371448368e-08,1.0983090939552075e-14,1.905107479377945,3.1233364797069048e-09,9.9871983323139784e-09,3.4432107356433732e-08,-130,-3.412147567754382e-08,-3.412147185104482e-08,-3.412147139524423e-08,-3.412146783107586e-08,-3.412146469445288e-08,-0.07099766058581736,-0.07099765262389683,-0.07099765167549776,-0.0709976442594171,-0.07099763773294399
-120,-3.18686918092437e-08,-0.06631022016072347,-120,56305447.056683049,0.0019244980222852929,56305447.054758549,29257212220.889553,16297535390275012.0,1.2811142369173467e-08,6.1570350200417935e-15,1.291067367647502,9.03377407281809e-10,9.8189223806092935e-09,2.7920648921144647e-08,-120,-3.1868694926181705e-08,-3.18686918092437e-08,-3.186869152814179e-08,-3.186869316199528e-08,-3.1868688769146685e-08,-0.06631022664623742,-0.06631022016072347,-0.06631021957582561,-0.06631022297543754,-0.06631021383509506
-110,-2.7753789566052995e-08,-0.05774820966719308,-110,56856008.74722822,0.0019736116045197733,56856008.745254606,28808104196.905876,2.3422528198478765e+17,1.3087431249836357e-08,6.289819458421289e-15,0.89758485572588242,7.4141685860270147e-10,1.5697719636900239e-08,4.139783767203491e-08,-110,-2.7753789808940202e-08,-2.7753789566052995e-08,-2.7753788420700586e-08,-2.775378494232861e-08,-2.7753791232148068e-08,-0.057748210172576364,-0.05774820966719308,-0.05774820728402119,-0.05774820004645986,-0.05774821313389111
-100,-2.0520878450401283e-08,-0.042698457033710537,-100,57754442.892150357,0.0020239785753948087,57754442.890126377,28535105852.533272,32293712062443872.0,1.7080909554822998e-08,8.209085129113664e-15,0.6830173402682439,2.4617486699524634e-09,1.12040019271542e-08,3.7979819674966732e-08,-100,-2.0520876400973793e-08,-2.0520878450401283e-08,-2.0520877390575332e-08,-2.0520872480015637e-08,-2.0520870241316153e-08,-0.04269845276940032,-0.042698457033710537,-0.042698454828496324,-0.042698444610935575,-0.04269843995280098
-90,-1.1349031353484871e-08,-0.02361429744795021,-90,58953429.670200147,0.002075630921644268,58953429.668124519,28402655335.033539,5.4079490607765638e+17,9.267428113107767e-09,4.4539259503254e-15,0.62254987424924257,1.5114441968717076e-10,7.1224466182710839e-09,1.9565984325569871e-08,-90,-1.1349030415556626e-08,-1.1349031353484871e-08,-1.1349029728430468e-08,-1.134902689955892e-08,-1.1349027736988501e-08,-0.023614295496372506,-0.02361429744795021,-0.023614294066646835,-0.023614288180522098,-0.023614289922988974
-80,-4.318997778008968e-09,-0.008986678689157236,-80,60415314.768573008,0.0021286014463099954,60415314.766444407,28382633523.671169,38455098693728536.0,6.257323548197746e-09,3.0072696967948902e-15,0.681248413142306,2.192200548344339e-09,7.1768251163352479e-09,2.4660582842331389e-08,-80,-4.318998990613909e-09,-4.318997778008968e-09,-4.318997572651279e-09,-4.31899841592036e-09,-4.3190005799209755e-09,-0.008986681212263647,-0.008986678689157236,-0.008986678261862835,-0.00898668001648015,-0.008986684519186383
-70,-8.700105159557848e-10,-0.001810259084385736,-70,62136150.742413931,0.0021829237895741554,62136150.740231007,28464645004.640976,33819800707863584.0,9.01673047337681e-09,4.333440665466126e-15,0.80541189990567119,5.1164223712150444e-09,8.5635661325686687e-09,2.6470916698705235e-08,-70,-8.700096275133546e-10,-8.700105159557848e-10,-8.700111363934411e-10,-8.700117380416648e-10,-8.700139609540201e-10,-0.0018102572357747704,-0.001810259084385736,-0.001810260375350481,-0.001810261627219444,-0.0018102662525052438
-60,4.4221844499040424e-10,0.0009201382542455352,-60,64468863.656562656,0.0022386324501232286,64468863.654324025,28798324465.016079,9.0549475560735373e+17,1.7276492576823177e-08,8.303082332431502e-15,0.94518223134259749,9.1126232837843199e-10,1.5053312280741989e-08,4.8567250907348728e-08,-60,4.422135469416389e-10,4.4221844499040424e-10,4.422165227399091e-10,4.4221528762267083e-10,4.422101419080718e-10,0.0009201280627166852,0.0009201382542455352,0.0009201342545566149,0.0009201316846081374,0.0009201209777529584
-50,9.000096891232723e-10,0.0018726793365028555,-50,66976051.904755697,0.0022957628070572121,66976051.902459934,29173768169.285706,38868356566578864.0,8.832684698228954e-09,4.244988265914359e-15,1.0745207951654823,2.4105500375908794e-09,2.60808610324276e-08,7.6250252215221727e-08,-50,9.00006922443572e-10,9.000096891232723e-10,9.000101775507573e-10,9.000059325624914e-10,9.000067526289968e-10,0.0018726735797827132,0.0018726793365028555,0.0018726803527897573,0.001872671520105059,0.0018726732264440216
-40,1.0664029989373565e-09,0.0022188992903399013,-40,69655919.809191465,0.0023543511423579542,69655919.806837112,29586036915.219429,11026689532997726.0,3.597369868657552e-08,1.728895958865587e-14,1.1882783577382705,1.0487979095946756e-08,3.1169402674117023e-08,8.0972800799725478e-08,-40,1.0664072901570762e-09,1.0664029989373565e-09,1.0663900011974875e-09,1.0664041227703355e-09,1.0664051581864441e-09,0.002218908219219884,0.0022188992903399013,0.0022188722455211973,0.0022189016287356127,0.002218903783159476
-30,1.13924470673091e-09,0.002370463393114669,-30,72509173.20789285,0.0024144346639308847,72509173.205478415,30031532553.397968,24031363264699972.0,1.2155851436546072e-08,5.842102200283369e-15,1.2905500438683353,5.1485117078503503e-09,1.3840429295431162e-08,4.3278924389349139e-08,-30,1.1392426348851587e-09,1.13924470673091e-09,1.139248476987359e-09,1.1392466429290419e-09,1.1392430041280478e-09,0.0023704590821580496,0.002370463393114669,0.002370471238009486,0.0023704674218248895,0.002370459850453699
