voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_2 transport over barrier 4,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4
-150,-0.04671170341009101,-58818.987169330576,-116382.3397801631,-150,222530944.00170767,27981.808654549848,222502962.19305313,7952.7005115705451,74656168710136672.0,1.5934347175061703e-08,1.5599653124809265e-08,3.927413949611491e-15,-7.8853190643712878e-10,-139976.73221329332,2.144488614461026e-08,1.0564063458728956e-07,-150,-0.046711703410094486,-0.04671170341009101,-0.046711703410093265,-0.04671170341009494,-0.046711703410093466,-58818.987169322674,-58818.987169330576,-58818.987169330256,-58818.987169325264,-58818.98716931464,-116382.33978017789,-116382.3397801631,-116382.3397801703,-116382.339780178,-116382.3397801787
-140,-0.042450824630945426,-54333.702237901314,-105326.35933968052,-140,208594483.85929665,30312.331445629086,208564171.52785102,6881.5057737624174,1.474068606598695e+17,1.586158759891987e-08,2.639717422425747e-08,6.3352101342672995e-15,1.4200956854892866e-08,-130296.79662690735,2.6304136765775994e-08,1.0413026250988278e-07,-140,-0.042450824630940895,-0.042450824630945426,-0.04245082463094419,-0.04245082463094363,-0.04245082463094723,-54333.702237908685,-54333.702237901314,-54333.702237896505,-54333.70223789282,-54333.70223789546,-105326.35933966268,-105326.35933968052,-105326.35933967907,-105326.35933967917,-105326.35933968908
-130,-0.03838790194158399,-49963.18544380831,-94830.83531050531,-130,195970919.03687745,32836.956646126979,195938082.08023134,5967.9988358480123,8.9156352474341939e+18,4.949106369167566e-08,4.349567461758852e-08,6.95971058561895e-15,-5.417133913665495e-08,-121170.33487275573,3.8932143161272185e-08,1.3357975746364215e-07,-130,-0.03838790194158682,-0.03838790194158399,-0.03838790194158441,-0.03838790194157986,-0.0383879019415855,-49963.18544378392,-49963.18544380831,-49963.1854438123,-49963.18544382747,-49963.18544383341,-94830.83531052634,-94830.83531050531,-94830.83531050463,-94830.83531048284,-94830.83531049747
-120,-0.03448980751432731,-45728.09919020511,-84782.04127358443,-120,184579861.19887802,35571.85047655263,184544289.34840146,5188.930537098282,2.1085061294989549e+17,7.019843906164169e-08,6.677873898297548e-08,1.459943277382081e-14,-2.0751404272311098e-08,-112468.94151747138,4.6985570035389814e-08,1.3944830307144329e-07,-120,-0.03448980751433217,-0.03448980751432731,-0.03448980751432628,-0.03448980751431757,-0.034489807514324754,-45728.09919017943,-45728.09919020511,-45728.09919020855,-45728.099190221874,-45728.09919024963,-84782.04127361244,-84782.04127358443,-84782.0412735795,-84782.04127354566,-84782.0412735542
-110,-0.030728361323487365,-41648.35454585689,-75082.06905505959,-110,174348778.45598063,38534.525594516781,174310243.93038613,4524.4822861083658,1.5657752286195194e+17,2.056185621768236e-08,1.4901161193847656e-08,6.8833827526759706e-15,2.2815583703594171e-08,-104066.89776656218,2.0358060845066307e-08,8.3516209253842177e-08,-110,-0.03072836132348777,-0.030728361323487365,-0.03072836132348772,-0.03072836132349071,-0.030728361323483826,-41648.3545458633,-41648.35454585689,-41648.35454585729,-41648.354545855924,-41648.35454584274,-75082.06905505765,-75082.06905505959,-75082.06905506049,-75082.06905507052,-75082.06905505562
-100,-0.027083360474685254,-37736.96438907647,-65661.35698987267,-100,165212531.56912261,41743.953235529727,165170787.61588708,3957.7595978261229,2.4349183807779696e+17,9.080395102500916e-08,3.844616003334522e-08,7.462780393652224e-15,1.1204803127884271e-07,-95863.051765251512,3.4411957644645701e-08,1.3327936937423956e-07,-100,-0.027083360474688067,-0.027083360474685254,-0.027083360474680605,-0.027083360474687856,-0.027083360474682117,-37736.96438910108,-37736.96438907647,-37736.964389060726,-37736.964389029104,-37736.964389010274,-65661.35698986915,-65661.35698987267,-65661.35698986604,-65661.35698990448,-65661.35698989598
-90,-0.023546358538748875,-33991.62082278188,-56494.69688807496,-90,157112957.43544883,45220.684693677606,157067736.75075516,3474.3604281917274,85111930167686464.0,1.1103111319243908e-08,1.541775418445468e-08,5.5615234639816435e-15,-9.7958087849416095e-09,-87808.309433064496,1.4430267350201626e-08,7.4135554001264481e-08,-90,-0.02354635853874971,-0.023546358538748875,-0.02354635853875095,-0.02354635853874539,-0.023546358538746544,-33991.62082278801,-33991.62082278188,-33991.620822780766,-33991.62082277691,-33991.62082278094,-56494.69688807451,-56494.69688807496,-56494.69688808199,-56494.69688806657,-56494.69688806817
-80,-0.020124088639996308,-30386.547994106142,-47615.991421162624,-80,149998497.19006392,48986.982920067887,149949510.20714384,3062.0072568016003,1.2910648395605965e+18,2.8339854907244444e-09,8.119968697428703e-09,2.5777990853015353e-15,1.9322730982584613e-08,-79925.893559525444,1.0088014712404413e-08,6.0341208862890738e-08,-80,-0.02012408863999748,-0.020124088639996308,-0.02012408863999511,-0.02012408863999769,-0.02012408863999758,-30386.547994105218,-30386.547994106142,-30386.547994103457,-30386.547994103308,-30386.547994105844,-47615.99142116675,-47615.991421162624,-47615.99142116023,-47615.99142116835,-47615.99142116675
-70,-0.016839622301533103,-26869.264644450566,-39123.48971751599,-70,143823866.54303631,53066.965081723632,143770799.57795459,2710.2335006636649,1.0306905353189661e+18,1.0506482794880867e-08,9.720679372549057e-09,2.473715676742927e-15,-7.7513023957392206e-09,-72310.168216099453,1.3156293015469839e-08,7.0409909902480194e-08,-70,-0.01683962230153218,-0.016839622301533103,-0.016839622301534126,-0.016839622301533796,-0.016839622301531652,-26869.264644447627,-26869.264644450566,-26869.26464445413,-26869.26464445535,-26869.264644458133,-39123.489717514574,-39123.48971751599,-39123.4897175174,-39123.48971751577,-39123.48971750768
-60,-0.01372928902615373,-23366.74960031302,-31167.090325167243,-60,138549766.24146909,57486.756993789815,138492279.48447528,2410.1162334907212,1.0716228504787974e+17,1.1816155165433884e-08,1.151056494563818e-08,5.5806054222173884e-15,4.2216154070827385e-09,-65104.163567292373,1.6244232801244207e-08,8.6354368544760973e-08,-60,-0.013729289026155972,-0.01372928902615373,-0.013729289026156874,-0.013729289026155894,-0.013729289026159311,-23366.74960031337,-23366.74960031302,-23366.749600314623,-23366.74960031954,-23366.749600324838,-31167.090325174067,-31167.090325167243,-31167.09032517625,-31167.090325170735,-31167.090325178753
