voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_2 transport over barrier 4,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4
-150,-5.733503038954923e-07,-5.8900103487317886e-05,-1.1929296639736917,-150,139993421404327.42,4.0480502768481963e-05,139993421404327.42,3.4582925564186921e+18,7.6659128195061082e+17,0.00331972729656399,0.021572102140462013,1.0235328170453903e-08,-0.021804129006124176,-0.44699683973078463,0.027951771097174199,0.067572900683355863,-150,-5.737725402182179e-07,-5.733503038954923e-07,-5.766598679395659e-07,-5.835856320659462e-07,-5.756098881783044e-07,1.6753646288947266e-05,-5.8900103487317886e-05,-0.0024014832042666967,0.00021622290577638013,0.0009182440922972934,-1.1938838785281405,-1.1929296639736917,-1.1974733980682384,-1.2145017661141537,-1.1986083984375
-140,-4.235899205045407e-07,-5.27784459535488e-05,-0.8813245010058581,-140,131541896970935.64,5.9288801604259735e-05,131541896970935.64,2.2186634475925166e+18,1.9220945312007219e+18,0.0047520842771423474,0.022522494142483973,1.1823883677036306e-08,-0.0058565825731072873,-0.46025803466906051,0.033269109689996024,0.074815103104222833,-140,-4.342450348195096e-07,-4.235899205045407e-07,-4.224211511424733e-07,-4.263770489184094e-07,-4.2468751294800097e-07,0.00029927392589179647,-5.27784459535488e-05,0.00393619283568114,-0.0008158914414612071,-0.0004976234820264214,-0.9038469951483421,-0.8813245010058581,-0.8828815759868949,-0.8863606564536894,-0.8831634521484375
-130,-2.723242483623066e-07,-2.3827807319535656e-05,-0.5666100639161649,-130,123604019575767.16,8.6835927304889293e-05,123604019575767.16,1.4234202755937823e+18,3.4331604534451462e+17,0.003636456794116477,0.04355142808162782,2.1097593274458422e-08,-0.023687682192388926,-0.47623682581043097,0.033308449832127586,0.081520074562412004,-130,-2.62890030088107e-07,-2.723242483623066e-07,-2.756127107870307e-07,-2.839876233625654e-07,-2.771860770502284e-07,9.823871204872603e-05,-2.3827807319535656e-05,0.00332530431842315,-0.00024877947028196113,-0.00031115247569332705,-0.5471020466357004,-0.5666100639161649,-0.5768016064137846,-0.5906534747173282,-0.5764389038085938
-120,-1.0910390520963855e-07,-1.4456179092342424e-05,-0.2270015763003886,-120,116149051017962.73,0.00012718216706809356,116149051017962.73,9.1324950419956531e+17,9.979139249531191e+17,0.0016888200436220302,0.02615892906942463,1.2504744954534057e-08,-0.010730307405610141,-0.49634009712737792,0.028753200651917554,0.067068466405739699,-120,-1.0180431291189591e-07,-1.0910390520963855e-07,-1.1112892808174831e-07,-1.1430905786642997e-07,-1.1254343814024095e-07,-0.00011860400234908752,-1.4456179092342424e-05,0.0015702160412729427,2.1296863717157695e-05,0.00017933166609215845,-0.2117089301464148,-0.2270015763003886,-0.23279977925756157,-0.23786785921583942,-0.23435211181640625
-110,8.648162412381697e-08,-9.446276554826014e-06,0.1799545651359326,-110,109148159193823.58,0.00018627432356820966,109148159193823.58,5.8595386150392256e+17,3.3922749305405542e+17,0.0006664171083734516,0.06341610301751643,3.03470322518222e-08,-0.0017707608327668909,-0.52132469533822268,0.088198264496086531,0.14156837943033726,-110,5.613459187199477e-08,8.648162412381697e-08,8.557194832920955e-08,8.60256278859257e-08,8.641570389505482e-08,1.8498652575971164e-05,-9.446276554826014e-06,-0.0006479184557974804,-2.8815196898129116e-05,-0.0003907129311908619,0.11678256641607732,0.1799545651359326,0.17870024539963758,0.17902512790169567,0.18019866943359375
-100,3.543513515329579e-07,-5.172297582122714e-06,0.7373155167273739,-100,102574309310360.23,0.00027282223931769146,102574309310360.23,3.7597488227825965e+17,9.8621489994346893e+17,0.002408611218635374,0.06779293326326297,3.258725570774129e-08,0.0052712745497956667,-0.552202534522515,0.083635348152558464,0.13748377239126436,-100,3.248711056151207e-07,3.543513515329579e-07,3.5745836132286197e-07,3.5745087293404864e-07,3.5653610453289235e-07,-2.7356564515912396e-05,-5.172297582122714e-06,0.0023780994160915725,-3.0511802543801553e-05,4.2571153696630004e-05,0.6759971976280212,0.7373155167273739,0.7413971010060099,0.7437901308912842,0.7418136596679688
-90,7.607813002373667e-07,-2.427118128414386e-06,1.5829847413864735,-90,96402162590633.328,0.00036738871081318415,96402162590633.328,2.6239827124043962e+17,4.9024518814974886e+17,0.00016969476964352222,0.022373968189640436,1.0740568609268309e-08,0.019460186237280672,-0.59005439289885708,0.02486651504452168,0.044392470804081971,-90,7.593588175873661e-07,7.607813002373667e-07,7.684350596251131e-07,7.700993861966344e-07,7.686610739058664e-07,-2.5502936534138598e-05,-2.427118128414386e-06,-0.0001721218877719366,-5.1221835146207814e-05,-1.773716771842626e-05,1.5800480114412494,1.5829847413864735,1.599079861432327,1.6024219796308898,1.599395751953125
-80,1.4114276638053939e-06,-2.39222026144506e-05,2.936827217677841,-80,90607982144984.406,0.00034516426876922076,90607982144984.406,2.6250684193955642e+17,6.2020980399000589e+17,0.0027389281894265594,0.098995028025616,4.7594022058288674e-08,0.099302711303502628,-0.63584151101132536,0.1084900773533382,0.20751945028899188,-80,1.4281337095723308e-06,1.4114276638053939e-06,1.4543495604184326e-06,1.4590216858636826e-06,1.45383552030052e-06,-0.00018171348339635074,-2.39222026144506e-05,0.0025572147060302086,1.1474362466041469e-05,0.0003883088267807311,2.971745819959324,2.936827217677841,3.0235550624858814,3.035822245703457,3.0246543884277344
-70,2.4811657473781265e-06,2.3938724814897826e-05,5.162618065807283,-70,85169545719758.687,0.00032428424970187039,85169545719758.687,2.6263855182007456e+17,8.9700038654008589e+17,0.0002472885906942973,0.11007445222276147,5.291333947310872e-08,-0.097985113327322473,-0.68980690370606934,0.12750404338441856,0.20227709515441583,-70,2.486627850888539e-06,2.4811657473781265e-06,2.439271544145514e-06,2.43371451141543e-06,2.4386612208012283e-06,4.689130177837342e-05,2.3938724814897826e-05,3.119304710708093e-05,2.2842748200541557e-05,-0.0002003972889159239,5.173960289073875,5.162618065807283,5.075440184700529,5.063885836851114,5.07440185546875
-60,4.226735807718496e-06,-8.808362799602315e-05,8.794794300270725,-60,80066065072842.781,0.00030466732544386251,80066065072842.781,2.62798332430944e+17,3.6147915546834335e+18,0.0009505160534884663,0.07897463387052994,3.796903809532934e-08,0.067590008479847974,-0.74486644753820175,0.09300997322125687,0.14764078371012071,-60,4.221956975837239e-06,4.226735807718496e-06,4.256316507432397e-06,4.259926013932569e-06,4.256281455741664e-06,-9.999221898482347e-06,-8.808362799602315e-05,0.0008624324254924431,1.8775345627925994e-05,0.00013422030539646246,8.784772745450027,8.794794300270725,8.855393305053486,8.863747379320557,8.856048583984375
-50,7.081642205939384e-06,-3.524584833438109e-05,14.735037755085504,-50,75278111763612.156,0.00028623708761203238,75278111763612.156,2.629921663598136e+17,5.5498697856092685e+17,0.00018064243374915634,0.05063322725880326,2.432896830342157e-08,-0.050589119881670808,-0.75271037983072386,0.062332094746020181,0.11047724241265645,-50,7.07751025063794e-06,7.081642205939384e-06,7.06051668492704e-06,7.057313237635962e-06,7.060080214167932e-06,-0.00010490809597918371,-3.524584833438109e-05,7.573433776997263e-05,-2.4091630356269268e-05,3.615043057952905e-05,14.726509923988488,14.735037755085504,14.690970218485868,14.6844045278267,14.690101623535156
