voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_2 transport over barrier 4,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4
-150,-0.0000000046729696354310563628740733197097078806062134032711201127548956040142883015458819,0.066781201267085321145832480077399432563489977736723166871337335606347023041646669,-0.076504400674973494973696479467182352347468236582344411799914664170768162952345325,-150,232674852504140.72924490474060160988336094679399311633952057807302993363762536822,0.0017843695616396109306464620339605237211619747165717655217959288298940202175232655,232674852504140.72746053517896199895271448476003259261835860335645816811582943939,130396111605009580.71910566204185249336588813040781743648236236970348042479130596,465349705008281.45848980948120321976672189358798623267904115614605986727525073644,4.1809419208923225320420406638189294403686780964308925441176753239780186637469942e-73,2.1442527001230119199256138381350542085134639404849732143840727753494842373276911e-74,1.9601534265216904308012459165949559889790722425572141158855650512525188910374777e-79,9800.4167078270003376796500313341082647102209275267699018867594840156890810108859,-1.0756576052587981870046736626847033226554138938759689743228930268860691537724262e-74,1.211696326507214186803615473729859210898900593283466018689823732683593050212234e-73,1.8122177531151654195268950113281106022186549640003543341879241014649994342081021e-73,-150,-0.0000000046729696354310563628740733197097078806062134032711201127548956040142883015311448,-0.0000000046729696354310563628740733197097078806062134032711201127548956040142883015458819,-0.0000000046729696354310563628740733197097078806062134032711201127548956040142881104568474,-0.00000000467296963543105636287407331970970788060621340327112011275489560401428830647219,-0.000000004672969635431056362874073319709707880606213403271120112754895604014288305999286,0.066781201267085321145832480077399432563489977736723166871337335606347023051892574,0.066781201267085321145832480077399432563489977736723166871337335606347023041646669,0.066781201267085321145832480077399432563489977736723166871337335606347023439247233,0.06678120126708532114583248007739943256348997773672316687133733560634702303134372,0.066781201267085321145832480077399432563489977736723166871337335606347023021153041,-0.076504400674973494973696479467182352347468236582344411799914664170768162962560566,-0.076504400674973494973696479467182352347468236582344411799914664170768162952345325,-0.07650440067497349497369647946718235234746823658234441179991466417076816295234074,-0.076504400674973494973696479467182352347468236582344411799914664170768162952292705,-0.076504400674973494973696479467182352347468236582344411799914664170768162941118039
-140,0.000000093859989792719938528231598573961439032443121710413415239700701866302881414072336,0.26928751725933868303210351204930415737305447270532806299386043497708188417157788,-0.073989993762210222561106284148579611131678574885891850206120396902748950574102423,-140,246431755981660.83179403283971720253574362662259888394355988350842870110254025667,0.0018299070369643318201236416543309092993206756364857398694243142814985353379086878,246431755981660.82996412580275287071561998496826797464423920787194296123311594239,134669002852992597.1379076099540388620652387058328144390801692174054287960141186,492863511963321.66358806567943440507148725324519776788711976701685740220508051334,7.7525125837090063092377601382321511009136328633189008336817829074609818569869831e-73,2.2949970222521854508617326099002351830272937268462085059596615194212770072518913e-73,3.1753573418370924000927590519380181949379385049338729020574905844592330822349341e-79,3790.1420772030568867869365158830211235889164029829556364485170160213321013480328,1.232135404451766722657106442921141044738161999925306415100975679753385441033002e-73,5.4896964063356446763935273103918921966800066309917037302171772666963152783976489e-73,8.7402754336506551582451675483164029761071688023645080580042889814991811067069183e-73,-140,0.000000093859989792719938528231598573961439032443121710413415239700701866302881414080301,0.000000093859989792719938528231598573961439032443121710413415239700701866302881414072336,0.00000009385998979271993852823159857396143903244312171041341523970070186630288173160807,0.000000093859989792719938528231598573961439032443121710413415239700701866302881469242906,0.000000093859989792719938528231598573961439032443121710413415239700701866302881468924379,0.26928751725933868303210351204930415737305447270532806299386043497708188405702806,0.26928751725933868303210351204930415737305447270532806299386043497708188417157788,0.26928751725933868303210351204930415737305447270532806299386043497708188483227932,0.26928751725933868303210351204930415737305447270532806299386043497708188428633529,0.26928751725933868303210351204930415737305447270532806299386043497708188440064361,-0.073989993762210222561106284148579611131678574885891850206120396902748950459536031,-0.073989993762210222561106284148579611131678574885891850206120396902748950574102423,-0.073989993762210222561106284148579611131678574885891850206120396902748950574096966,-0.073989993762210222561106284148579611131678574885891850206120396902748950574064637,-0.073989993762210222561106284148579611131678574885891850206120396902748950689035734
-130,0.00000037556973852263234562334784198261619362955177876195252742808515181114998313466305,0.85229171057313148423293953275642374064496349342555712749652675724792459407480486,-0.070831580480263519357205717564591614398904190308459309372995010697186903770711782,-130,261159455431832.65008673022093877353972340807357611205542388867041883005193582343,0.0018766066379515440131522757593808444649758557834065206077385789883870763280998768,261159455431832.64821012358298722952657113231419526759044803288701230944419724445,139165795404468811.24082555026276620968604382781912233456703575071560790102330826,522318910863665.30017346044187754707944681614715222411084777734083766010387164687,6.1922296735486274255273067029319733563447390695861494254353353022865029160646285e-73,1.4909481393515049201266997855938609819574663029162796183104921670899056888979614e-73,2.6199837441867800823366584162315516636453668959608177592370463986875466523998083e-79,1702.4702050723246271412549235334490093571707015527361264654684984285200668678563,-8.1433942661708894251593708275618716018961985122647203792689439590188208726771405e-74,3.5079970004084329286075160381839236557119117184418046742448578424605278208692978e-73,5.5920065099832587480462792566122319394685848344897968848872883491218874439053455e-73,-130,0.00000037556973852263234562334784198261619362955177876195252742808515181114998313467452,0.00000037556973852263234562334784198261619362955177876195252742808515181114998313466305,0.00000037556973852263234562334784198261619362955177876195252742808515181114998339666142,0.00000037556973852263234562334784198261619362955177876195252742808515181114998317036788,0.00000037556973852263234562334784198261619362955177876195252742808515181114998316989238,0.85229171057313148423293953275642374064496349342555712749652675724792459400069686,0.85229171057313148423293953275642374064496349342555712749652675724792459407480486,0.85229171057313148423293953275642374064496349342555712749652675724792459461991982,0.852291710573131484232939532756423740644963493425557127496526757247924594149145,0.85229171057313148423293953275642374064496349342555712749652675724792459422307061,-0.070831580480263519357205717564591614398904190308459309372995010697186903696579903,-0.070831580480263519357205717564591614398904190308459309372995010697186903770711782,-0.070831580480263519357205717564591614398904190308459309372995010697186903770678229,-0.07083158048026351935720571756459161439890419030845930937299501069718690377075973,-0.070831580480263519357205717564591614398904190308459309372995010697186903845674717
-120,0.00000087325927946382994622576717661759344842283262517037664727252191693148612195843194,1.8828657702700437010114689049906381750820705379101016919793492427246110299476099,-0.065846878335316397092339820415338161989898596306120834441836610167663232654665105,-120,276895112777945.32606811890756324915738408053465390900926213416830197369185864899,0.0019244980222852930298903335219754699176538655005481442049939620640034998999453396,276895112777945.32414362088527795612749374701267843909160826866775382948686468692,143879136050833317.72121361756199223317638549962030991063730209634216456474206427,553790225555890.65213623781512649831476816106930781801852426833660394738371729797,1.5349925989824865877161701800941430197701579047749046533741130547877655070940898e-72,6.3757377974840246891377281262310229873720984290487290953075993238866645846026934e-73,5.8461222845504391019130331913284801161008229733786041738238572001910965792660948e-79,1091.6127789102595784071554625510238341357522424043912278556364028544678403023132,-3.5361794380166260448189880313460771914176502095358399835410689446055826617170253e-73,4.6603701114064457775130339375775776272880617222251713665256409861536259607036262e-73,7.9981377095089386002338212852319421308194548979070497825758089014285233927025822e-73,-120,0.00000087325927946382994622576717661759344842283262517037664727252191693148612195846282,0.00000087325927946382994622576717661759344842283262517037664727252191693148612195843194,0.00000087325927946382994622576717661759344842283262517037664727252191693148612152714497,0.00000087325927946382994622576717661759344842283262517037664727252191693148612211172533,0.0000008732592794638299462257671766175934484228326251703766472725219169314861221117572,1.8828657702700437010114689049906381750820705379101016919793492427246110296286626,1.8828657702700437010114689049906381750820705379101016919793492427246110299476099,1.8828657702700437010114689049906381750820705379101016919793492427246110290502084,1.8828657702700437010114689049906381750820705379101016919793492427246110302664573,1.882865770270043701011468904990638175082070537910101691979349242724611030585201,-0.065846878335316397092339820415338161989898596306120834441836610167663232335653537,-0.065846878335316397092339820415338161989898596306120834441836610167663232654665105,-0.065846878335316397092339820415338161989898596306120834441836610167663232654656331,-0.065846878335316397092339820415338161989898596306120834441836610167663232654549919,-0.065846878335316397092339820415338161989898596306120834441836610167663232973227317
-110,0.0000012188490253278244054608446400617550038551970603273501811606923065629693283417617,2.5924257282203010157084264848457407694448860283818722757697686618719508132679964,-0.056327048803271469452561399819251727856900801800453570096036901870977792308031963,-110,293682541839739.37226355490149242209626517953321917369504881901869011114035658804,0.0019736116045197734886502238847660404280513310432082282502956397871925769105734667,293682541839739.37028994329697264860761495564845313326699748797548188289006094826,148804628614452892.78980130606615523360064487646930816574732437597445706205080175,587365083679478.74452710980298484419253035906643834739009763803738022228071317609,9.2199735494188290820624692487257065821234419890721740066513058247519886090562071e-74,5.212791339855006775883201984386321181125617819973739444000307414593762012388841e-74,3.1818097047372564050442064210860553189411639406065368057826416530606315073937658e-80,1136.3489281222590962254417462667032376065999079825133658228949918665217202603788,2.8421595084272830680117102679769605581871738335571086076059702956653077844210886e-74,3.2441099219713963661967573977465191829856647624229257010093999315227386243478784e-73,4.8338755189982423056569673278176625783457439633887473798177451765454293379001161e-73,-110,0.0000012188490253278244054608446400617550038551970603273501811606923065629693283417081,0.0000012188490253278244054608446400617550038551970603273501811606923065629693283417617,0.0000012188490253278244054608446400617550038551970603273501811606923065629693283611619,0.0000012188490253278244054608446400617550038551970603273501811606923065629693283293438,0.0000012188490253278244054608446400617550038551970603273501811606923065629693283294518,2.5924257282203010157084264848457407694448860283818722757697686618719508132938095,2.5924257282203010157084264848457407694448860283818722757697686618719508132679964,2.5924257282203010157084264848457407694448860283818722757697686618719508133083792,2.5924257282203010157084264848457407694448860283818722757697686618719508132420188,2.5924257282203010157084264848457407694448860283818722757697686618719508132161794,-0.056327048803271469452561399819251727856900801800453570096036901870977792333956571,-0.056327048803271469452561399819251727856900801800453570096036901870977792308031963,-0.056327048803271469452561399819251727856900801800453570096036901870977792308048065,-0.056327048803271469452561399819251727856900801800453570096036901870977792307892695,-0.056327048803271469452561399819251727856900801800453570096036901870977792281828657
-100,0.0000012431848638563547913676622022606393831214846915872686827624668325778096533806018,2.6259791159161563304735273779191228311625369108001931667549900204883526899245912,-0.039244068358197974820245068946623162512192014347007175776387150393556501634988012,-100,311571790727993.83093423506629972661201626637406445545125538791038257053903763847,0.0020239785753948089000125185858538751671191180743790542799034640501666060138980565,311571790727993.82891025649090491771200374778821058028413626983600351625913417442,153940261283258319.92038361681712437296832185288833048187575507769326917140373047,623143581455987.66186847013259945322403253274812891090251077582076514107807527695,6.5064893894081545807660774934338210368787946745662943954768581944250170645025725e-73,8.3874469007077246201752249291517480634678595539405164811350208102277363592313492e-74,2.9258004924608952729043328907624384386866288153454146373607357089506114213590683e-79,1607.3844948531372303649804744138841645409148353500860651803967187324556594984062,-4.6358753971724545438129313874489166628272002251471757339679513488991671451663472e-74,1.2037644173304065733526157918166871443894939686260429614074558287506144615043379e-73,2.0181456153408939790284844489763544784560599399726283344789287921709582145206766e-73,-100,0.0000012431848638563547913676622022606393831214846915872686827624668325778096533805747,0.0000012431848638563547913676622022606393831214846915872686827624668325778096533806018,0.0000012431848638563547913676622022606393831214846915872686827624668325778096531083507,0.0000012431848638563547913676622022606393831214846915872686827624668325778096534008098,0.0000012431848638563547913676622022606393831214846915872686827624668325778096534009307,2.625979115916156330473527377919122831162536910800193166754990020488352689882512,2.6259791159161563304735273779191228311625369108001931667549900204883526899245912,2.6259791159161563304735273779191228311625369108001931667549900204883526893580931,2.6259791159161563304735273779191228311625369108001931667549900204883526899666321,2.6259791159161563304735273779191228311625369108001931667549900204883526900087421,-0.039244068358197974820245068946623162512192014347007175776387150393556501592965182,-0.039244068358197974820245068946623162512192014347007175776387150393556501634988012,-0.039244068358197974820245068946623162512192014347007175776387150393556501634971506,-0.039244068358197974820245068946623162512192014347007175776387150393556501634981414,-0.039244068358197974820245068946623162512192014347007175776387150393556501676839651
-90,0.0000011536807055763077899306747675203982794966254764594611766978362595671642149293107,2.419411163853927342803028211423905019142489284881778724090322646943221555977498,-0.018910319958155839065852415839059859008907519407854184529283628329660187264431291,-90,330618856235135.21887695648441336442383865140215012370910505404506398593146274731,0.002075630921644268120776756855090911612179298077512128155583567181718195018428627,330618856235135.21680132556276909630306189454705921209692575596755185777587918012,159285956278405410.76586687415341746023896491496382732717798791109479604137718927,661237712470270.43775391296882672884767730280430024741821010809012797186292549461,1.6715830504906623640154643511266812769243883586638630456610277948441522833583883e-73,1.7825051897714933706797430244820024714783424752196484778688923962427973481727249e-74,7.6135929769427690670797896211462890968533375805960087855702454027008050631213297e-80,2534.9609258922332567772136489916081438172806068192874497573437555006955467596601,-9.6599805025250663163942556382800652020499398388424887986195150644574140033187431e-75,5.3033269403403860847104178295419297547138083795517444965667982360213797824928778e-74,8.3011105437074085070358085214069127874172605011371783557203484265258317151982191e-74,-90,0.0000011536807055763077899306747675203982794966254764594611766978362595671642149292519,0.0000011536807055763077899306747675203982794966254764594611766978362595671642149293107,0.0000011536807055763077899306747675203982794966254764594611766978362595671642150053878,0.0000011536807055763077899306747675203982794966254764594611766978362595671642149335658,0.0000011536807055763077899306747675203982794966254764594611766978362595671642149334879,2.4194111638539273428030282114239050191424892848817787240903226469432215559686234,2.419411163853927342803028211423905019142489284881778724090322646943221555977498,2.4194111638539273428030282114239050191424892848817787240903226469432215561357817,2.4194111638539273428030282114239050191424892848817787240903226469432215559864019,2.4194111638539273428030282114239050191424892848817787240903226469432215559952626,-0.018910319958155839065852415839059859008907519407854184529283628329660187255679069,-0.018910319958155839065852415839059859008907519407854184529283628329660187264431291,-0.018910319958155839065852415839059859008907519407854184529283628329660187264418871,-0.018910319958155839065852415839059859008907519407854184529283628329660187264481508,-0.018910319958155839065852415839059859008907519407854184529283628329660187273504121
-80,0.0000010533248766974722079601889278191034633697935813686490792958993147306824950541122,2.1972563272090717117452043691257261665801852956387511565822888498566308789337237,-0.005569109777793719275490037864412349316180803594881776257966184887284089683848526,-80,350885508337167.71752866682233223816335106066468932516890539733488536572283568604,0.0021286014463099952091291155080651918441902791205460870960199735244943363824650035,350885508337167.71540006537602224295422194515662413332471511821433927862681571251,164843216162161298.40069724219144637202665223423576657568881555200432855153039574,701771016674335.43505733364466447632670212132937865033781079466977073144567137207,1.4296326920116710967934294039854567075649756872038389636457902824053759009379774e-73,8.8883446769032024084476333371941712385925875750778208014663956114975146838147699e-74,4.7384815899859413372042088738515323987487723284435621350648122789687677737989089e-80,4119.7338317596956381544788857803999688177807360964523157090303463391848155689341,4.7345203843450317179288997904572945870734162777276295370794009296337178093304978e-74,6.484057770303250365681541828790194050003414639365381378803108173848591076172733e-74,1.115927784147146765939944248801123391710431501335617237390882678428918930039896e-73,-80,0.0000010533248766974722079601889278191034633697935813686490792958993147306824950540851,0.0000010533248766974722079601889278191034633697935813686490792958993147306824950541122,0.0000010533248766974722079601889278191034633697935813686490792958993147306824950067274,0.0000010533248766974722079601889278191034633697935813686490792958993147306824950326999,0.0000010533248766974722079601889278191034633697935813686490792958993147306824950327056,2.1972563272090717117452043691257261665801852956387511565822888498566308789780965,2.1972563272090717117452043691257261665801852956387511565822888498566308789337237,2.1972563272090717117452043691257261665801852956387511565822888498566308788351332,2.1972563272090717117452043691257261665801852956387511565822888498566308788891698,2.197256327209071711745204369125726166580185295638751156582288849856630878844728,-0.0055691097777937192754900378644123493161808035948817762579661848872840897282775962,-0.005569109777793719275490037864412349316180803594881776257966184887284089683848526,-0.0055691097777937192754900378644123493161808035948817762579661848872840896838531451,-0.0055691097777937192754900378644123493161808035948817762579661848872840896838477673,-0.0055691097777937192754900378644123493161808035948817762579661848872840896393941494
-70,0.00000095006002638211228507209997688899162994973859986550084505017967584229559515818635,1.97699321327233504205587534990121100713137488174845408503146644871544482028983,-0.00017251751263408333469619683542206451293675648778904553628089431114024469492542128,-70,372439207289510.93157069435472321758617404218172817281815689521691182924670948535,0.0021829237895741557433851373892207813847465255621229076272594734370344560910062101,372439207289510.92938777056514906184278890479250739143341036965478892161945001191,170614846504635090.37478563339808418533401503435547827498644441659848912046003696,744878414579021.8631413887094464351723480843634563456363137904338236584934189707,5.9579442520126166612870453222233537822453000951683267789415479291659179623301416e-74,3.1021117449899245094387775891179035259448673309055122735005142864845581756959438e-74,2.1189677514518451341714662710684883391477487665711180575393281176069185716135016e-80,6746.8724526234982272558201766050362987705591512649990587542406196554807340568199,-1.6219338154103462460875780136978265787533067497071192486535010979447748560492714e-74,1.6050688212327709768936347787275984059558003526190125837322572781977393407282361e-74,2.1369949784953330027839140597013002218719735892822547181573152067170641561737794e-74,-70,0.00000095006002638211228507209997688899162994973859986550084505017967584229559515818033,0.00000095006002638211228507209997688899162994973859986550084505017967584229559515818635,0.00000095006002638211228507209997688899162994973859986550084505017967584229559513699667,0.00000095006002638211228507209997688899162994973859986550084505017967584229559515071455,0.00000095006002638211228507209997688899162994973859986550084505017967584229559515070488,1.9769932132723350420558753499012110071313748817484540850314664487154448203053304,1.97699321327233504205587534990121100713137488174845408503146644871544482028983,1.976993213272335042055875349901211007131374881748454085031466448715444820245751,1.9769932132723350420558753499012110071313748817484540850314664487154448202743021,1.9769932132723350420558753499012110071313748817484540850314664487154448202587549,-0.00017251751263408333469619683542206451293675648778904553628089431114024471043838936,-0.00017251751263408333469619683542206451293675648778904553628089431114024469492542128,-0.0001725175126340833346961968354220645129367564877890455362808943111402446949364668,-0.00017251751263408333469619683542206451293675648778904553628089431114024469494440201,-0.00017251751263408333469619683542206451293675648778904553628089431114024467941727191
-60,0.00000084704427763536272816861267669500072369306220356647060644659428988731858016497502,1.7609242690842276212303698278783608474969477017893905688125213059218143923807918,0.0015482187130314805701380749641891236433158217852967651637307571207834008260000093,-60,395353099347549.66565612319291356499677835409673517166195971743258527999003094238,0.0022386324501232288370356237401624246626905504215617080478957830518920624288609682,395353099347549.66341749074279033615974273035657274699926916701102357194213515933,176604738900209754.87354807370652054212535469299368846630751335707090282512808085,790706198695099.33131224638582712999355670819347034332391943486517055998006188476,2.6084467599593383185401302507605756854609489600734233388290968368710460467476716e-74,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-75,1.1874182760151827127534523922917023112556970390516362040524876506140193984694244e-80,11072.299327092687226974944386573893410423389488039811648386711220609590557062344,1.412997707219857135702223308678709828036532212782909673514691173155782510776062e-75,8.0463157062963917588588807256893463618957015941878980957471151150071740748305973e-75,1.265165542605744566148000619144333333127636122132108937221434111712999838960314e-74,-60,0.00000084704427763536272816861267669500072369306220356647060644659428988731858016500978,0.00000084704427763536272816861267669500072369306220356647060644659428988731858016497502,0.00000084704427763536272816861267669500072369306220356647060644659428988731858015378425,0.00000084704427763536272816861267669500072369306220356647060644659428988731858016565314,0.00000084704427763536272816861267669500072369306220356647060644659428988731858016565843,1.7609242690842276212303698278783608474969477017893905688125213059218143923794627,1.7609242690842276212303698278783608474969477017893905688125213059218143923807918,1.7609242690842276212303698278783608474969477017893905688125213059218143923574914,1.7609242690842276212303698278783608474969477017893905688125213059218143923821995,1.7609242690842276212303698278783608474969477017893905688125213059218143923835759,0.0015482187130314805701380749641891236433158217852967651637307571207834008274014953,0.0015482187130314805701380749641891236433158217852967651637307571207834008260000093,0.0015482187130314805701380749641891236433158217852967651637307571207834008260153902,0.0015482187130314805701380749641891236433158217852967651637307571207834008260033081,0.0015482187130314805701380749641891236433158217852967651637307571207834008246379213
