voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_2 transport over barrier 4,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4
-150,-0.0000026589743944232192793588118490951600490710611250711300597326845092274153099829578,-16.599400200905921338102292564380111085363298137631259589230717130903334320448374,0.0007787695440361567498248362811183250975382188508770959841093176832104201760305516,-150,20143753324.331047142923170875668049557474038915361828200698021761492771919799448,0.0000000061953519731151947183736521821013442332842955159909168127828280803610636526420798,20143753324.33104713672781890255285483910038673326048396741372624550185510701662,3251430009424018172.5145593825468487073086196310235757485052275978799590573758949,40287506648.662094285846341751336099114948077830723656401396043522985543839598895,1.9809297984933433303926198448817044520243036995929364789711970071733909134421849e-72,1.0629702558052063108560179796161586425407998746499461819445860307213234225839916e-72,4.1160585915460707950020731047510609847264099561807904781964513421806720954753852e-79,-0.00063341118370058762342587061929809431604302139620861385142516487765947929452236029,1.1156730666966803780406455161825731508830657044961284398009625436708474371772142e-72,6.0620225688404659128893113311628424302584696316917921126890966318766819012086521e-73,1.2633815810853307969869026104959404439994398132923505490902142744152507100793874e-72,-150,-0.0000026589743944232192793588118490951600490710611250711300597326845092274153096656129,-0.0000026589743944232192793588118490951600490710611250711300597326845092274153099829578,-0.0000026589743944232192793588118490951600490710611250711300597326845092274153100459742,-0.0000026589743944232192793588118490951600490710611250711300597326845092274153099926083,-0.0000026589743944232192793588118490951600490710611250711300597326845092274153100772187,-16.599400200905921338102292564380111085363298137631259589230717130903334318467444,-16.599400200905921338102292564380111085363298137631259589230717130903334320448374,-16.599400200905921338102292564380111085363298137631259589230717130903334319953141,-16.599400200905921338102292564380111085363298137631259589230717130903334319438974,-16.599400200905921338102292564380111085363298137631259589230717130903334318910828,0.0007787695440361567498248362811183250975382188508770959841093176832104201760305515,0.0007787695440361567498248362811183250975382188508770959841093176832104201760305516,0.00077876954403615674982483628111832509753821885087709598410931768321041973173398775,0.00077876954403615674982483628111832509753821885087709598410931768321041964121056284,0.0007787695440361567498248362811183250975382188508770959841093176832104191130602958
-140,-0.0000021440197051419188880538737304645863427648649629205194140843212643352311635421751,-13.385199708845228172681568865406835554450852008976986830093544134778143876442364,0.0009028970508319502265857357198634930573300124127370231627545163952134672329914924,-140,19657961844.201160218826229687565933399461635285133865729671890165063884351008014,0.0000000057190306780013344095550360487586808763279001603121466876027781583129747306929093,19657961844.201160213107199009564598989906599236375184853343990004751737663405235,3437289105620106881.2312233766860049531572707944321944584607207091172297420572348,39315923688.402320437652459375131866798923270570267731459343780330127768702016027,1.414949856066673807423299889201217465731645499709240342122283576552422081030132e-72,1.9992846517813614802299790733067330164845402607404662701121582245897097493363069e-73,2.5399241529892502549733705804627621461566238904238063455641064452006504820742649e-79,-0.00084618209373940160288733058700099573876389650047119449658738463067910135391536349,-2.238233395195555787210914198918910852830432030216922188608435768815489961149359e-73,4.6172253947163181278909346596972750293072030960962241809238337886925520737009605e-73,8.6103947371413281944174884840143886554308513034936019165161608237785872657363363e-73,-140,-0.0000021440197051419188880538737304645863427648649629205194140843212643352311637688501,-0.0000021440197051419188880538737304645863427648649629205194140843212643352311635421751,-0.0000021440197051419188880538737304645863427648649629205194140843212643352311635206765,-0.0000021440197051419188880538737304645863427648649629205194140843212643352311635323809,-0.0000021440197051419188880538737304645863427648649629205194140843212643352311635148577,-13.385199708845228172681568865406835554450852008976986830093544134778143877857314,-13.385199708845228172681568865406835554450852008976986830093544134778143876442364,-13.385199708845228172681568865406835554450852008976986830093544134778143876442364,-13.385199708845228172681568865406835554450852008976986830093544134778143876562314,-13.3851997088452281726815688654068355544508520089769868300935441347781438766717,0.00090289705083195022658573571986349305733001241273702316275451639521346723299149245,0.0009028970508319502265857357198634930573300124127370231627545163952134672329914924,0.00090289705083195022658573571986349305733001241273702316275451639521346730009100354,0.00090289705083195022658573571986349305733001241273702316275451639521346732353515194,0.00090289705083195022658573571986349305733001241273702316275451639521346743291995757
-130,-0.0000017074963548439508670123196708531762519664848874170889256814648797369682934077011,-10.660596665280548094789639958501804737692098363816316876845040081640218422315232,0.0010338044132111469332748542745728070634180143506709665206721668213319184199769428,-130,19203627296.944190467290590131779465861463707137241063468919608488002704080716343,0.0000000052793307043496759318332038446150314852343258698939587440177358784160437634985448,19203627296.944190462011259427429789929630503292626031983685282618108745336698607,3637511717370194918.5498438144895209134205132903807346246300430789854574007884922,38407254593.888380934581180263558931722927414274482126937839216976005408161432686,4.9068328711387968088391892812890946721668108729688974608063452754252139800531929e-72,3.1031939690623917750368079135370956745690210030856184332990272963097723826728038e-73,7.3669364344382409985754394143556678677314931412513696644749379500990181450287914e-79,-0.0011088681081362970971478707358501489786218284533690631172746562650621900232005777,-3.2642189828039324720703075828009513337101542487785159907280460072299315359914178e-73,1.1499209012527720953102953854543445316632448251784270327666783208032318589716872e-72,2.0017592604673830305656836660657501472035770917309001916089431323003022544778711e-72,-130,-0.0000017074963548439508670123196708531762519664848874170889256814648797369682926710074,-0.0000017074963548439508670123196708531762519664848874170889256814648797369682934077011,-0.0000017074963548439508670123196708531762519664848874170889256814648797369682933952997,-0.0000017074963548439508670123196708531762519664848874170889256814648797369682933839523,-0.0000017074963548439508670123196708531762519664848874170889256814648797369682933576557,-10.660596665280548094789639958501804737692098363816316876845040081640218417716645,-10.660596665280548094789639958501804737692098363816316876845040081640218422315232,-10.660596665280548094789639958501804737692098363816316876845040081640218422385979,-10.660596665280548094789639958501804737692098363816316876845040081640218422459329,-10.660596665280548094789639958501804737692098363816316876845040081640218422623478,0.001033804413211146933274854274572807063418014350670966520672166821331918419976943,0.0010338044132111469332748542745728070634180143506709665206721668213319184199769428,0.0010338044132111469332748542745728070634180143506709665206721668213319184940564913,0.001033804413211146933274854274572807063418014350670966520672166821331918566147924,0.0010338044132111469332748542745728070634180143506709665206721668213319187302963397
-120,-0.0000013412735379773371490405322061763506231278202884068395941103769603531289144218325,-8.3748373432958089604361949609724839084519805696014575176233937145219705073036865,0.001171674215516163028738485592492262247679944874824747439997349156153380127016581,-120,18780022650.354656291049603247345247728164867733664751165635618313220202177692386,0.0000000048734364711660569663205741304636087576680413406607739508696451750426942548787829,18780022650.354656286176166776179190761844293603201142407967576972559428226822741,3853548263421026907.0020243739457955390944818588678337615290764332747100528128124,37560045300.709312582099206494690495456329735467329502331271236626440404355384772,4.0887306986192552972433107211253861107347328757662485753253357009999066198224127e-72,2.1676772155132096674809558761858440711803877693492072812850032825973665561055888e-72,1.8684785104919619425262662692199246679844298169780431933875082666049149057122065e-79,-0.0014204837686447521666571459558501600998310941428639621071365491862177526730303229,2.0714008785014829374004393251432800207257055405017382419616385399459643057855704e-72,1.1478757112429694306110130552325360099953747616092098825087537448069481669654951e-72,1.9793163742938421932157421279328232883034221907366946434772150956928855661196893e-72,-120,-0.0000013412735379773371490405322061763506231278202884068395941103769603531289145691712,-0.0000013412735379773371490405322061763506231278202884068395941103769603531289144218325,-0.0000013412735379773371490405322061763506231278202884068395941103769603531289145995,-0.0000013412735379773371490405322061763506231278202884068395941103769603531289144377422,-0.0000013412735379773371490405322061763506231278202884068395941103769603531289146086803,-8.3748373432958089604361949609724839084519805696014575176233937145219705082234039,-8.3748373432958089604361949609724839084519805696014575176233937145219705073036865,-8.3748373432958089604361949609724839084519805696014575176233937145219705062424741,-8.3748373432958089604361949609724839084519805696014575176233937145219705052017027,-8.3748373432958089604361949609724839084519805696014575176233937145219705041346732,0.0011716742155161630287384855924922622476799448748247474399973491561533801270165818,0.001171674215516163028738485592492262247679944874824747439997349156153380127016581,0.0011716742155161630287384855924922622476799448748247474399973491561533790418925627,0.0011716742155161630287384855924922622476799448748247474399973491561533790263688265,0.0011716742155161630287384855924922622476799448748247474399973491561533779593393662
-110,-0.0000010393152809716479675244008990662352751131599244904282657727605560324447053628058,-6.4902449750456587198115608730032777419783558306898964812965723799408285152778689,0.0013169913566370376504744729637160460156174343763786075071171596345263876069401089,-110,18386470046.624202005831262604416231808053014838841981470220011716481291401454687,0.0000000044987488696101899712789573840600317146189365552122790307172099712567715975174936,18386470046.624202001332513734806041836774057454781949755601075161269012370737477,4087018542161337141.0826510875976649201853659717275177120500793555998812671815333,36772940093.248404011662525208832463616106029677683962940440023432962582802909374,3.1128896833466823763312597562426784246096200993603287526690238684153285782662905e-72,1.8025662996065046291579220372348846727076227349796208727189270856434708940699613e-72,6.8000838939554725625590727034439100719697425307578163783374678779288692302273203e-79,-0.0017760153149133102048003630176085699367644484596188828078440209045902235243255862,-1.5809750294748506056428659260401668344478653964970888552070752002693551858243573e-72,1.4136178539281851359077447516985062524875377388138912179162909192427881481891545e-72,2.631328501108115616509917918074142435935944017309130403166409608800021585996309e-72,-110,-0.0000010393152809716479675244008990662352751131599244904282657727605560324447058614908,-0.0000010393152809716479675244008990662352751131599244904282657727605560324447053628058,-0.0000010393152809716479675244008990662352751131599244904282657727605560324447051814824,-0.000001039315280971647967524400899066235275113159924490428265772760556032444705341456,-0.0000010393152809716479675244008990662352751131599244904282657727605560324447052084373,-6.4902449750456587198115608730032777419783558306898964812965723799408285183907586,-6.4902449750456587198115608730032777419783558306898964812965723799408285152778689,-6.4902449750456587198115608730032777419783558306898964812965723799408285161268388,-6.4902449750456587198115608730032777419783558306898964812965723799408285170890734,-6.4902449750456587198115608730032777419783558306898964812965723799408285179194026,0.0013169913566370376504744729637160460156174343763786075071171596345263876069401093,0.0013169913566370376504744729637160460156174343763786075071171596345263876069401089,0.0013169913566370376504744729637160460156174343763786075071171596345263885973534766,0.0013169913566370376504744729637160460156174343763786075071171596345263885791774143,0.0013169913566370376504744729637160460156174343763786075071171596345263894095064085
-100,-0.00000079488795480821965030645130996902392061044763479939816195989204182034394172786368,-4.9647883986389198591368143665599652746141632312816178608628679340147244778221651,0.0014704951739552776349478013467619956878023326391166949466393063367395735103458968,-100,18022339717.624493720479417069603109787506495365269656136814428504781759974369451,0.0000000041528686198255664679554807245783703393918156547589683444193054080028713744343699,18022339717.624493716326548449777543319551014640691285797422612850022791629950145,4339732692622837806.5527848957240480704672574253320699383858753453547434987882252,36044679435.248987440958834139206219575012990730539312273628857009563519948738901,9.7670517863562374244491355029906654392000973612676151277824559896283012234263845e-72,3.5767958128608429914027265814288004497359320275333540158412529709035331141089337e-72,7.0782045705570980330034838524505071217435376690822696738988982579605464662563229e-79,-0.0021687982553553080289189475123857864020389363642575232256886854707283142406224538,3.3855682089897134079451100030034863576836227573072979502171919073509670482188317e-72,2.6443057989185406513061219803504921351824016871052392610235867898182131387450053e-72,4.6738713814714571595818109984468184856189646729852975436286335803226369376660487e-72,-100,-0.00000079488795480821965030645130996902392061044763479939816195989204182034394243055608,-0.00000079488795480821965030645130996902392061044763479939816195989204182034394172786368,-0.00000079488795480821965030645130996902392061044763479939816195989204182034394198491757,-0.00000079488795480821965030645130996902392061044763479939816195989204182034394172273562,-0.00000079488795480821965030645130996902392061044763479939816195989204182034394201187976,-4.9647883986389198591368143665599652746141632312816178608628679340147244822085097,-4.9647883986389198591368143665599652746141632312816178608628679340147244778221651,-4.9647883986389198591368143665599652746141632312816178608628679340147244758412353,-4.9647883986389198591368143665599652746141632312816178608628679340147244742463536,-4.9647883986389198591368143665599652746141632312816178608628679340147244724414579,0.0014704951739552776349478013467619956878023326391166949466393063367395735103458961,0.0014704951739552776349478013467619956878023326391166949466393063367395735103458968,0.0014704951739552776349478013467619956878023326391166949466393063367395717175904375,0.0014704951739552776349478013467619956878023326391166949466393063367395717384453027,0.0014704951739552776349478013467619956878023326391166949466393063367395699335500839
-90,-0.00000060045729252455363128362883120550522317711886813501399824712662192258621659270963,-3.7514391115455044967845588590390697433691089288699721862411799489435812566835384,0.0016331246723974992340990545315074939960678378920059331007075952368037478489914912,-90,17687048977.143850915774515727648567475813305630379109673290636478144515047541587,0.000000003833580907357087413038667484444172789544110353914992601151633406774147488981304,17687048977.143850911940934820291480062774638145934936883746526124229522446389954,4613714802053700710.5380368873242660983613479840091427237536863457867370893050251,35374097954.287701831549031455297134951626611260758219346581272956289030095083174,9.1228045169957443330485369201907542649025053092647224584438975111917974467749221e-72,2.1476150726622233084871591481735285359137879380847338206058719351666412088790152e-72,9.4636798774507901749959282393989982126783731829380242171274519047523869677218997e-79,-0.0025933861449792066332559126482813365866455955391073759438930982476899068284578444,-1.9617726049026668739459894172954926648796540034952625716956245952877839585966963e-72,1.4834264642740677454672642250475046013112193089400198339484071161284290056942687e-72,2.8941918169273241068085337775686191388352074237862107727782678071707828407502489e-72,-90,-0.00000060045729252455363128362883120550522317711886813501399824712662192258621564634164,-0.00000060045729252455363128362883120550522317711886813501399824712662192258621659270963,-0.00000060045729252455363128362883120550522317711886813501399824712662192258621637726566,-0.00000060045729252455363128362883120550522317711886813501399824712662192258621658912818,-0.00000060045729252455363128362883120550522317711886813501399824712662192258621641971905,-3.7514391115455044967845588590390697433691089288699721862411799489435812507761228,-3.7514391115455044967845588590390697433691089288699721862411799489435812566835384,-3.7514391115455044967845588590390697433691089288699721862411799489435812575678821,-3.751439111545504496784558859039069743369108928869972186241179948943581258841442,-3.7514391115455044967845588590390697433691089288699721862411799489435812598989273,0.0016331246723974992340990545315074939960678378920059331007075952368037478489914924,0.0016331246723974992340990545315074939960678378920059331007075952368037478489914912,0.0016331246723974992340990545315074939960678378920059331007075952368037489635851908,0.0016331246723974992340990545315074939960678378920059331007075952368037489391213282,0.0016331246723974992340990545315074939960678378920059331007075952368037499966065638
-80,-0.00000044826027767839697171158459973795205793611626520442470056195044720637220881674756,-2.8017410139232197771502394345082133874688675194637624757435534395368883102680018,0.0018059698879613418637711697794542680555594036421020205576037348770401120725649163,-80,17380061288.46499834273127382110908755141401002034101501753923491583930698757348,0.0000000035388412007770387468351034380527725948219392384753391754524048181507068597996025,17380061288.464998339192432620332048804578906582288242422717295677363967812121075,4911229496437642562.0340839085881088423416894660916080567869343913415774318406627,34760122576.92999668546254764221817510282802004068203003507846983167861397514696,3.7142433721750187444861622091531958475455694367367558980709943884501079627040966e-72,7.4208697200494905400888362623383850265566147482511117594922744363153231405649242e-73,6.4129249731497946917938714022512688505935289654148263039509979680590680660762073e-79,-0.0030470256949827655261944426444276656587373762614923241634186159777154869128561346,-8.131680089963488405246732395337703076226628807298026237705075503284226063554703e-73,2.3854568829779245908692182592998625670473859102238182902734376236814734756185273e-72,3.9631809132180794145303273709013362390976481651423915958622839178115244598599302e-72,-80,-0.00000044826027767839697171158459973795205793611626520442470056195044720637220941176935,-0.00000044826027767839697171158459973795205793611626520442470056195044720637220881674756,-0.00000044826027767839697171158459973795205793611626520442470056195044720637220877677878,-0.00000044826027767839697171158459973795205793611626520442470056195044720637220884124674,-0.00000044826027767839697171158459973795205793611626520442470056195044720637220877047685,-2.8017410139232197771502394345082133874688675194637624757435534395368883139822451,-2.8017410139232197771502394345082133874688675194637624757435534395368883102680018,-2.8017410139232197771502394345082133874688675194637624757435534395368883105863655,-2.8017410139232197771502394345082133874688675194637624757435534395368883110215859,-2.8017410139232197771502394345082133874688675194637624757435534395368883114633448,0.0018059698879613418637711697794542680555594036421020205576037348770401120725649194,0.0018059698879613418637711697794542680555594036421020205576037348770401120725649163,0.001805969887961341863771169779454268055559403642102020557603734877040112356493282,0.0018059698879613418637711697794542680555594036421020205576037348770401123728926537,0.0018059698879613418637711697794542680555594036421020205576037348770401128146518883
-70,-0.00000033086352683370569444955767110492564272412056871374179270522952422259711329609513,-2.0692958685119366831565183442851609402214891514415550051625158501150446083740565,0.0019902350246771082101343992146512153270804413349691068711064667995652042688339784,-70,17100885405.791850360701492497141432246637346730173531013671334507169736388901082,0.0000000032667621597037951375041679778592880534809817574151866700778915180493675901710405,17100885405.791850357434730337437637109133178752314242960190352749754549718823191,5234811893175114743.4960411896322774349932846454884045939368738403707639137085418,34201770811.583700721402984994282864493274693460347062027342669014339472777802165,6.1658787076187875292992124479512107344256298783296380220709844081307281417959915e-72,8.3136529743759168807173668561681316835560521571162476533252325024723330903359714e-73,7.966458054727714157883086783007843857557388259296262865173310007067982184875797e-79,-0.0035292341402016614555077935599568811517716735499652025282417271811022127125886077,-8.6014444679793926971903431181904925631476720254918314422656834539010486176490639e-73,8.3770518748437455644987028044908927463662883373606861593572380958575858948090908e-73,1.6022396781245484011432078304551737298719388817662883737043774811110363549592235e-72,-70,-0.00000033086352683370569444955767110492564272412056871374179270522952422259711251406649,-0.00000033086352683370569444955767110492564272412056871374179270522952422259711329609513,-0.00000033086352683370569444955767110492564272412056871374179270522952422259711323745268,-0.0000003308635268337056944495576711049256427241205687137417927052295242225971133107123,-0.00000033086352683370569444955767110492564272412056871374179270522952422259711323547082,-2.0692958685119366831565183442851609402214891514415550051625158501150446034924795,-2.0692958685119366831565183442851609402214891514415550051625158501150446083740565,-2.069295868511936683156518344285160940221489151441555005162515850115044608727794,-2.0692958685119366831565183442851609402214891514415550051625158501150446091886858,-2.0692958685119366831565183442851609402214891514415550051625158501150446096583582,0.0019902350246771082101343992146512153270804413349691068711064667995652042688339757,0.0019902350246771082101343992146512153270804413349691068711064667995652042688339784,0.0019902350246771082101343992146512153270804413349691068711064667995652046287315653,0.0019902350246771082101343992146512153270804413349691068711064667995652046305269607,0.0019902350246771082101343992146512153270804413349691068711064667995652051001992731
-60,-0.00000024153286216353555407640644162639176714206335403007301274264026902877088548178698,-1.5120701973236743399374165421826724094968119639806152476575704859756683669015545,0.0021872142562954524802797403696713742641608781618488485874701170654174808901675244,-60,16849074588.151431148587760542273263498025719497800238727114521700481631139850735,0.0000000030156015493798827405943591521311157736586868107322608084943322390511744822328032,16849074588.151431145572158992893380757431360345669122953455834889749370331356403,5587301343447118584.0714410643310790440161965060393118205398368172261257864530586,33698149176.30286229717552108454652699605143899560047745422904340096326227970147,2.027284093754038989896533264481201145827656783288291707039368623045551421463413e-72,1.2985755958596333652661991132526483130337602301419238389268349992764663994589849e-72,1.6496207344392158230150706581234680207061651475475174225397493840035164962921324e-79,-0.0040403658279564071655928043265215320764525725143637461923774290160214704613888103,-1.3294668536229966331036442403821878726543725060775731067958614356301543489949459e-72,7.3232856185921106217646303516304007361092398293137323791518116806879351049252479e-73,9.5100709215661764197098188269021902496644146981296386473933298087192632563898605e-73,-60,-0.00000024153286216353555407640644162639176714206335403007301274264026902877088555545634,-0.00000024153286216353555407640644162639176714206335403007301274264026902877088548178698,-0.00000024153286216353555407640644162639176714206335403007301274264026902877088541492954,-0.00000024153286216353555407640644162639176714206335403007301274264026902877088550714051,-0.00000024153286216353555407640644162639176714206335403007301274264026902877088539049427,-1.5120701973236743399374165421826724094968119639806152476575704859756683673614132,-1.5120701973236743399374165421826724094968119639806152476575704859756683669015545,-1.5120701973236743399374165421826724094968119639806152476575704859756683676444032,-1.5120701973236743399374165421826724094968119639806152476575704859756683682007095,-1.5120701973236743399374165421826724094968119639806152476575704859756683689288386,0.002187214256295452480279740369671374264160878161848848587470117065417480890167523,0.0021872142562954524802797403696713742641608781618488485874701170654174808901675244,0.0021872142562954524802797403696713742641608781618488485874701170654174814702605365,0.0021872142562954524802797403696713742641608781618488485874701170654174814606141435,0.0021872142562954524802797403696713742641608781618488485874701170654174821887431188
