voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_2 transport over barrier 4,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4
-150,-2.4573217101636394e-10,0.07599284058665035,-0.07650414348098318,-150,232674852504140.72,0.001784369561639611,232674852504140.72,1.3039611160500957e+17,1.9413932106984837e+19,0.08835304306626313,0.05710007520477313,1.6444535941381462e-08,9800.4195928470635,-0.032086633596009051,0.067383635769649813,0.12047172906664315,-150,-6.338153899571423e-10,-2.4573217101636394e-10,-1.6690268112397826e-08,-1.5303880420454642e-08,-1.5303840193618816e-08,0.07518177630639022,0.07599284058665035,0.04177609086036682,0.044739789023878984,-0.01236020247961278,-0.07650057653518161,-0.07650414348098318,-0.07650407278379134,-0.07658306913302305,-0.019482993928249925
-140,9.489293782034872e-08,0.27143072371563903,-0.07398391177150937,-140,246431755981660.78,0.0018299070369643317,246431755981660.78,1.3466900285299258e+17,2.9275773703839121e+19,0.0932030691660728,0.048275606085780964,2.5368466394725614e-08,3790.1595542784544,0.048261871114931409,0.060556544859565964,0.11270214619342289,-140,8.005913316044671e-08,9.489293782034872e-08,1.0542759955517232e-07,1.0165130388025618e-07,1.0165127191683497e-07,0.2405647998234528,0.27143072371563903,0.29335057735443115,0.2861989404191263,0.3337678689895256,-0.07398316611465816,-0.07398391177150937,-0.07398395322798024,-0.07468977712271312,-0.12225877220043913
-130,4.01511390607485e-07,0.9062418088469713,-0.07080404228957428,-130,261159455431832.66,0.0018766066379515439,261159455431832.66,1.3916579540446883e+17,2.6639172319729816e+19,0.09390500950757996,0.032941916619085784,3.029777838762164e-08,1702.4846760510891,0.034448043915020321,0.076845086275074845,0.12739647172624893,-130,3.867291263443916e-07,4.01511390607485e-07,3.7121361221986336e-07,3.716506785651172e-07,3.716506608204392e-07,0.8754851406728896,0.9062418088469713,0.8431999683380127,0.8452787528804038,0.8123367993393913,-0.07080531057636108,-0.07080404228957428,-0.07080377145939565,-0.07197313788848285,-0.039031221269397065
-120,8.73253033963875e-07,1.882856357653509,-0.06585046093300338,-120,276895112777945.34,0.0019244980222852929,276895112777945.34,1.4387913605083333e+17,1.5170034414573046e+19,0.036245474146284096,0.01809314901038306,9.50127378729948e-09,1091.6127178084625,0.02009823712835157,0.024016350524814229,0.041054573232872038,-120,8.806468380631936e-07,8.73253033963875e-07,8.711455642758941e-07,8.719228254283684e-07,8.719228306028795e-07,1.8982412116475587,1.882856357653509,1.8784714937210083,1.8800337506327196,1.8619957375012746,-0.06585078704665648,-0.06585046093300338,-0.06585067749983864,-0.06579566193449173,-0.04775763803627342
-110,1.168916758259834e-06,2.488886204875598,-0.05668321224173642,-110,293682541839739.31,0.0019736116045197733,293682541839739.31,1.4880462861445286e+17,1.0961461647314004e+19,0.20068094868474873,0.0842610770501794,5.770729205409796e-08,1136.3887471086748,-0.089914717581649484,0.15019543604384963,0.2424346133509977,-110,1.186597560005478e-06,1.168916758259834e-06,1.226624050313932e-06,1.2258458858385771e-06,1.2258458810717044e-06,2.5256740501280035,2.488886204875598,2.6089600920677185,2.6053060864287545,2.689567153560347,-0.05668204012908973,-0.05668321224173642,-0.05668366611280362,-0.05464881252409968,-0.13890988957427908
-100,1.1098643527373359e-06,2.3471728227414133,-0.03784208462793909,-100,311571790727993.75,0.0020239785753948087,311571790727993.75,1.539402612832583e+17,4.8584569577141715e+19,0.4893968531923747,0.21343014267040417,1.3262968739022683e-07,1607.1757243115676,-0.23540509891441275,0.35179995288984867,0.55750157389103216,-100,1.140287934334458e-06,1.1098643527373359e-06,1.241620539643414e-06,1.2424940401275627e-06,1.2424940254028192e-06,2.410476006279694,2.3471728227414133,2.6213223934173584,2.626636405790123,2.836569675933788,-0.03784193567116745,-0.03784208462793909,-0.03784228596123285,-0.04133877755965526,-0.2512720783415716
-90,1.0964670764832128e-06,2.3026192297475063,-0.02116463864635603,-90,330618856235135.19,0.002075630921644268,330618856235135.19,1.5928595627840541e+17,6.0499635519191009e+18,0.17471304923947173,0.047860683046437036,6.254129281042027e-08,2535.2238224341099,-0.049185170027215008,0.16133077021924336,0.26634536644570977,-90,1.137273275378911e-06,1.0964670764832128e-06,1.1576804817986398e-06,1.159008369293633e-06,1.159008365904834e-06,2.387526798316827,2.3026192297475063,2.4299878776073456,2.4294716029917254,2.477332278986978,-0.02116542632575147,-0.02116463864635603,-0.021164569661777932,-0.01788531648811914,-0.06574599953455618
-80,9.881432422177208e-07,2.0620379757783667,-0.005976298255019524,-80,350885508337167.69,0.0021286014463099954,350885508337167.69,1.6484321616216128e+17,3.3840352448578036e+19,0.248434483553865,0.11619646293802832,6.377534064762619e-08,4119.765717472882,-0.1237542453358742,0.17649870169441198,0.26564060019427455,-80,9.960565991349244e-07,9.881432422177208e-07,1.0518113018251452e-06,1.0519185791481365e-06,1.051918582865347e-06,2.0785040209020167,2.0620379757783667,2.194515585899353,2.194275988659683,2.3104724593322317,-0.005976765107334359,-0.005976298255019524,-0.0059777127717097756,-0.005514900128396056,-0.12171136306642438
-70,9.956890814698447e-07,2.072693653530223,-0.0009311036553901336,-70,372439207289510.87,0.0021829237895741554,372439207289510.87,1.706148465046351e+17,2.9419124841217487e+19,0.16814091952710442,0.08175849884992203,4.2034962322087627e-08,6746.9082133235825,-0.085171569616818488,0.11970904199740638,0.1788920928147178,-70,9.934242607819762e-07,9.956890814698447e-07,9.53654119147757e-07,9.54173547006426e-07,9.54173547166114e-07,2.067980981214589,2.072693653530223,1.985230442136526,1.9855230823322927,1.9045527340031185,-0.0009309171655331738,-0.0009311036553901336,-0.0009314010467278422,-0.0001432508582477664,0.08082709780319419
-60,8.953867688083738e-07,1.8623701675587654,0.0006901087799233499,-60,395353099347549.56,0.0022386324501232286,395353099347549.56,1.7660473890020973e+17,1.6545878027765848e+20,0.13377391898598034,0.04090606636600569,4.5240039621694426e-08,11072.323530533165,-0.041362431700235902,0.11377391754591794,0.18992415370289548,-60,8.700196949674643e-07,8.953867688083738e-07,8.501467291866794e-07,8.507535941160455e-07,8.507535879152601e-07,1.8095876160220357,1.8623701675587654,1.7682396043092012,1.7686328203949415,1.728596248572785,0.0006905674308654852,0.0006901087799233499,0.0006882550055706815,0.0015577624515951457,0.04159432137157637
-50,6.984917831526861e-07,1.4521319645255062,0.0012425322549475468,-50,419706080028561.37,0.0022957628070572121,419706080028561.37,1.8281770169739578e+17,2.0959685984468598e+18,0.27752946210624074,0.13996267810714558,6.677651506319922e-08,18183.311639268508,0.14149875782186427,0.17052440892945026,0.28669156815787378,-50,6.621198653271582e-07,6.984917831526861e-07,7.288963803903574e-07,7.286411516866589e-07,7.286411596109808e-07,1.376453319129201,1.4521319645255062,1.5153963388875127,1.5140200866399027,1.6539827812354417,0.00124094913371664,0.0012425322549475468,0.001241989015852596,0.0020871786257211605,-0.1378754994814244
-40,6.730468040430113e-07,1.3978139846740305,0.002616319202397424,-40,445582916182106.69,0.0023543511423579542,445582916182106.69,1.8925932846866752e+17,8.5790576642354698e+18,0.0416772910439569,0.008637269769906197,2.0029623916420202e-08,29870.097432694311,0.0086475067930678051,0.055388795588180335,0.087927500377880358,-40,6.530171801265911e-07,6.730468040430113e-07,6.569029556958391e-07,6.570877694394944e-07,6.570877703966111e-07,1.3561366936300736,1.3978139846740305,1.3642208245582879,1.3649399868401133,1.3732426442673784,0.002617322446894832,0.002616319202397424,0.0026184507139532798,0.002283836379808483,-0.0060188190559529176
-30,4.830333974400583e-07,1.002798369409902,0.002264879529045527,-30,473074420053754.56,0.0024144346639308847,473074420053754.56,1.9593589634914915e+17,9.4926744567557374e+19,0.316562730911798,0.15840912265372514,7.616268390780264e-08,49075.48361705905,0.1610096623676327,0.19554792816019614,0.32055770012972506,-30,4.539141667153051e-07,4.830333974400583e-07,5.300768506231077e-07,5.299829605710654e-07,5.299829656352082e-07,0.942209497448367,1.002798369409902,1.1006828497629613,1.100363095169314,1.258772228360165,0.0022644241398666054,0.002264879529045527,0.0022652372597349313,0.002389631778387742,-0.1560194908753374
