voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_2 transport over barrier 4,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4
-150,-2.6783051868566063e-06,-16.72006569802761,0.0007782083876931847,-150,20143753324.331047,6.195351973115194e-09,20143753324.331047,3.2514300094240184e+18,32769914309019384.0,9.000149923110712e-07,3.5733047643125154e-07,9.392571237513666e-14,-0.00063346320418711927,-5.9734312134434708e-07,1.4014402938067627e-06,3.1275940435666303e-06,-150,-2.678305092930894e-06,-2.6783051868566063e-06,-2.6783051081754118e-06,-2.6783051614663745e-06,-2.6783051663607544e-06,-16.720065116882324,-16.72006569802761,-16.72006592154503,-16.720066016897317,-16.720065986123178,0.0007782109664615888,0.0007782083876931847,0.000778565718169616,0.0007784470679641157,0.0007784164050508302
-140,-2.150737167291897e-06,-13.42713088542223,0.0009026234480152846,-140,19657961844.20116,5.7190306780013339e-09,19657961844.20116,3.4372891056201073e+18,57714657717851776.0,6.550942437399954e-07,2.1873425002554361e-07,8.755388077139482e-14,-0.00084626279128872071,-3.2837230108857286e-07,8.5783962037552529e-07,2.3078169635681914e-06,-140,-2.150737106635884e-06,-2.150737167291897e-06,-2.150737136814403e-06,-2.1507370797380164e-06,-2.150737100307594e-06,-13.427130460739136,-13.42713088542223,-13.427131086587906,-13.427130559430081,-13.427130431493662,0.000902600419867373,0.0009026234480152846,0.0009028191541173985,0.00090273371623878,0.000902605548348312
-130,-1.7041624775168405e-06,-10.639786213636398,0.0010339385384222789,-130,19203627296.944191,5.2793307043496763e-09,19203627296.944191,3.6375117173701949e+18,23193776167875852.0,5.821224071667075e-07,2.432952323193089e-07,1.1918653773308524e-13,-0.001108617707343226,1.9869917864518381e-07,1.1709716015814052e-06,3.08004826154001e-06,-130,-1.7041625272900997e-06,-1.7041624775168405e-06,-1.7041625139274407e-06,-1.7041625760310585e-06,-1.7041625967033783e-06,-10.639786720275879,-10.639786213636398,-10.639786392450333,-10.639786795758805,-10.639786666976791,0.0010340365109117431,0.0010339385384222789,0.0010339143043152088,0.0010339221270348532,0.0010337932156794238
-120,-1.3186794517970445e-06,-8.233805373311043,0.001174060572360899,-120,18780022650.354656,4.8734364711660573e-09,18780022650.354656,3.8535482634210268e+18,6.4517320815392499e+17,3.355367214297189e-06,1.7634125189926013e-06,2.8708045487739887e-13,-0.0014203061993302839,2.3143722453385085e-06,1.4327863201113601e-06,3.1634767116118837e-06,-120,-1.318679622108832e-06,-1.3186794517970445e-06,-1.3186797388774994e-06,-1.3186795605902188e-06,-1.3186796392047115e-06,-8.233806371688843,-8.233805373311043,-8.233804240822792,-8.233803506163973,-8.233803016321628,0.0011740282013742998,0.001174060572360899,0.001172598321822399,0.001172787444599332,0.0011722971598419063
-110,-1.0338838196755063e-06,-6.456342466175556,0.001317863314038116,-110,18386470046.624207,4.4987488696101896e-09,18386470046.624207,4.0870185421613384e+18,42323550911125064.0,1.4494411599841328e-06,1.000708052529501e-06,2.6016406804865797e-13,-0.0017758578160550717,8.6967426188213487e-07,1.6962557323486808e-06,3.9427644995690848e-06,-110,-1.0338836606959314e-06,-1.0338838196755063e-06,-1.0338839208599994e-06,-1.0338838245903088e-06,-1.033883903094526e-06,-6.456341505050659,-6.456342466175556,-6.456341996788979,-6.456341506302233,-6.456341016734396,0.0013178789425227718,0.001317863314038116,0.0013173128139669643,0.0013173680377934855,0.0013168782344702423
-100,-8.011222518742824e-07,-5.003701113164425,0.0014689964252760073,-100,18022339717.624493,4.1528686198255666e-09,18022339717.624493,4.3397326926228372e+18,1.4406003238742506e+17,1.4819539346788702e-06,1.2715996723642372e-06,1.8552809384408476e-13,-0.0021691819605355921,-1.7812607854784598e-06,1.9010412641046931e-06,4.4678761324823745e-06,-100,-8.01122290171424e-07,-8.011222518742824e-07,-8.011221653744017e-07,-8.011221536535347e-07,-8.011221046433302e-07,-5.003701210021973,-5.003701113164425,-5.003702074289322,-5.0037022905146245,-5.00370259511836,0.0014689253248939273,0.0014689964252760073,0.0014697469623834586,0.0014698916570163184,0.0014701969245662916
-90,-6.003153644211186e-07,-3.7505532540380955,0.0016331675274163999,-90,17687048977.143848,3.8335809073570868e-09,17687048977.143848,4.6137148020537006e+18,48437097381884864.0,1.059623685240041e-06,3.1745623392553414e-07,1.1272119591542801e-13,-0.00259326116526156,1.529139670745569e-07,7.4903969124030286e-07,1.6305063951132851e-06,-90,-6.003154548286567e-07,-6.003153644211186e-07,-6.003153573387111e-07,-6.003153421074608e-07,-6.003153867899199e-07,-3.750553846359253,-3.7505532540380955,-3.750553160905838,-3.7505530664950064,-3.7505527867355677,0.0016331815171519856,0.0016331675274163999,0.0016331430661800234,0.0016331433989986192,0.00163286406091806
-80,-4.5050510050103427e-07,-2.8157507553696632,0.0018045271822276386,-80,17380061288.464996,3.5388412007770387e-09,17380061288.464996,4.9112294964376422e+18,2.2886107632313795e+17,2.217243122437651e-06,1.4996867766904967e-06,2.421247160502435e-13,-0.0030469195750127821,-1.4834708318297272e-06,1.0898499871559988e-06,2.4163200953929041e-06,-80,-4.505051996315967e-07,-4.5050510050103427e-07,-4.5050495750688066e-07,-4.505050506270648e-07,-4.5050497520373923e-07,-2.815751552581787,-2.8157507553696632,-2.815751776099205,-2.815752497692941,-2.8157529726127857,0.0018046163920273273,0.0018045271822276386,0.0018054838458551256,0.001805554005444099,0.001806026869004329
-70,-3.301462244331886e-07,-2.0648196414113045,0.001990893011555434,-70,17100885405.791849,3.266762159703795e-09,17100885405.791849,5.2348118931751148e+18,57658947502830568.0,1.0207295417785645e-06,5.048453560062456e-07,2.6416941866441664e-13,-0.0035291501011916766,8.4852396987997875e-07,2.7068811520043399e-06,5.0241327943977947e-06,-70,-3.3014605118924124e-07,-3.301462244331886e-07,-3.301463153586599e-07,-3.3014629692991103e-07,-3.301462519822989e-07,-2.0648186206817627,-2.0648196414113045,-2.0648192912340164,-2.064819144952785,-2.0648194257009536,0.001990923358230806,0.001990893011555434,0.0019904341355478083,0.0019904185128748,0.001990699172889576
-60,-2.401327169061069e-07,-1.5033344104886055,0.0021893122789255178,-60,16849074588.151432,3.0156015493798828e-09,16849074588.151432,5.5873013434471188e+18,3.9025964599071251e+17,2.1878331042390897e-06,1.6310795191063453e-06,2.6457611745769473e-13,-0.0040401495336814574,2.6143583826275692e-06,1.8284437476812848e-06,3.8397193794121204e-06,-60,-2.401327656675436e-07,-2.401327169061069e-07,-2.4013298148222436e-07,-2.4013293777455825e-07,-2.401329372732156e-07,-1.5033347606658936,-1.5033344104886055,-1.5033328831195831,-1.5033325728327893,-1.5033325766016656,0.0021893351783162907,0.0021893122789255178,0.0021877228262573226,0.0021877040987971844,0.002187707547975176
