voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_2 transport over barrier 4,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4
-150,1.6433417314704881e-06,3.5350349140631083,-0.11568049985069039,-150,2.0436236531985331e+18,0.024314312435845958,2.0436236531985331e+18,8.4050234140516844e+19,3.0833409288104851e+17,374.19263733455557,181.58458837954362,0.00023968666472992447,288.13848510699364,288.13848510699364,429.68867833843177,1153.3358061827173,-150,-2.6934431336281918e-05,1.6433417314704881e-06,1.2553270116229145e-05,-0.0001410319511266269,9.865471360329757e-05,-5.448268167038667,3.5350349140631083,-8.083655459712448,-299.9080886801818,74.2845486543738,-50.59507626966945,-0.11568049985069039,34.20365154008936,6.458336023862772,130.98951210987417
-140,-8.715964658427997e-05,-176.4679682757338,-4.88793389713341,-140,1.7653068702095557e+18,0.023794754710908281,1.7653068702095557e+18,7.4188908087389618e+19,8.1801692164148527e+19,1853.0332538773705,2138.3472289611786,0.0006641861682288928,248.28544919571965,245.40216539088857,1561.8517678501407,5589.6790019805012,-140,0.000264451637361894,-8.715964658427997e-05,-0.00030346547374991473,0.0003607206944789781,0.000257174383904602,913.4117697431626,-176.4679682757338,32.184218288233986,149.86803212368045,-939.621484134208,-363.1586749410526,-4.88793389713341,-663.6146672060758,600.6952106540517,1474.7325617551028
-130,-2.960219174597427e-05,-61.05873198098795,-0.5355080231199812,-130,1.5248934636727913e+18,0.023286299098368587,1.5248934636727913e+18,6.5484577743812608e+19,3.4217649078619021e+17,899.9987578234993,206.91408229118105,0.0004259050767355661,213.10225500619268,205.3187462353599,1193.6008730583258,3018.6262137161266,-130,-8.660639507404336e-06,-2.960219174597427e-05,-4.268419445239157e-05,0.00021785038887651886,-0.00020805468785904728,153.82671065759402,-61.05873198098795,30.673724372916347,660.7379566824218,-239.26080114107754,-171.84718403962552,-0.5355080231199812,-119.4881114981589,-207.44959031430102,-193.6453325648053
-120,-1.4259041431968527e-05,-25.954213279880058,-3.7150364745280315,-120,1.3172214527513039e+18,0.022788708363952831,1.3172214527513039e+18,5.7801496763848376e+19,2.520884633500689e+17,1505.8407853575766,994.9255497598075,0.0004104118809071446,185.42562845042062,185.42562845042062,1561.9671458516407,3785.8503360054001,-120,0.00010789239944161377,-1.4259041431968527e-05,-0.00012845960877918197,-0.0003025194814655308,-3.3531507895661564e-06,668.5622715669016,-25.954213279880058,87.07781727893429,-837.278513790675,-557.8355008961516,-444.06705841331495,-3.7150364745280315,-354.3678896451057,207.81642168595013,550.8584913464925
-110,2.2825354618271053e-05,47.93950407498987,-0.44604877271968035,-110,1.1378318558943237e+18,0.022301750342701609,1.1378318558943237e+18,5.1019845456510837e+19,8.9838913307503565e+17,321.4934255024882,173.70637495200657,0.00016406627901143165,160.57997624889705,151.38481438839221,324.33419386622791,1424.1968174775209,-110,2.9533915980374232e-05,2.2825354618271053e-05,-1.4577697537533032e-05,0.0001494885814738986,2.609531516245869e-05,109.29969161121191,47.93950407498987,15.278827154141114,249.93193396794504,-71.56149153454317,-47.84751520593886,-0.44604877271968035,-45.61111499753069,61.11380359738706,125.85885974606771
-100,-9.03479232002198e-06,-21.913456181979853,3.114470913519635,-100,9.8287295084750349e+17,0.020554197255363255,9.8287295084750349e+17,4.7818600679773086e+19,1.3150359789103788e+18,532.8450477591257,592.688012723625,0.0001501084476569058,138.83072730439366,138.83072730439366,725.51052870764215,2593.409652645033,-100,9.59674571970198e-07,-9.03479232002198e-06,3.714279537128433e-05,-0.00011296565228562147,-2.780085438996817e-05,-329.83239032374036,-21.913456181979853,-57.858547424776006,-59.32267113646867,203.01265743538534,331.82921631618774,3.114470913519635,135.14276584193024,-175.72862367339707,-260.8587964074373
-90,0.00012309599799242003,256.52933986210746,-0.39950633647276684,-90,8.4901757329046438e+17,0.014991227041310272,8.4901757329046438e+17,5.6634294908007612e+19,1.8355822470367245e+18,1723.7176427843538,1403.9340150727728,0.0007122222567922376,119.95695990921955,73.01106881940882,1705.7515125416742,6696.837822239856,-90,0.00021491371147161297,0.00012309599799242003,0.00021422949385420582,-0.00011873572183328121,0.0005934865349589564,35.42618366018695,256.52933986210746,452.8611786299947,-1270.8564641543592,-161.94041633301822,411.7517428308929,-0.39950633647276684,-7.106925916291349,1023.7991985836535,1396.8270891564814
-80,5.0508356068561536e-06,10.501303972591149,0.00813341162889682,-80,7.333916783984727e+17,0.010933868416849563,7.333916783984727e+17,6.7075224471174767e+19,1.9074632828960915e+19,66.42850461376531,32.937314485567676,3.583409019162019e-05,103.62752730909096,103.62752730909096,115.18204184916583,412.93307027693493,-80,3.5032488652777407e-06,5.0508356068561536e-06,1.613958979390083e-05,-3.516099561224948e-06,3.231799063039524e-05,-25.656124415553336,10.501303972591149,28.02724598767456,-18.570757885838248,40.77238019821198,32.94544789719657,0.00813341162889682,5.554921706667574,11.25469554454622,26.472710584965796
-70,-1.3311619864103712e-06,-2.6294650710231977,-0.14032682745863995,-70,6.3351263145437376e+17,0.0079746293100322139,6.3351263145437376e+17,7.9441013096045052e+19,5.2729523450119864e+18,17.825004553051258,20.537235915736247,1.290294362418486e-05,89.515120438950007,89.515120438950007,40.596071750109189,160.1680799507422,-70,-1.5108937565805437e-06,-1.3311619864103712e-06,-6.136262682802033e-06,6.766680941382826e-06,2.1050636498558113e-06,1.7296039124450031,-2.6294650710231977,-1.3434345015816769,13.092329001854523,-4.732675551196735,-4.8733695316304875,-0.14032682745863995,-11.424486186728835,0.9873233938650473,9.112749729007412
-60,-0.0002935847751490931,-613.9982339929237,3.1268749644320355,-60,5.4723590253194848e+17,0.0058163049167870582,5.4723590253194848e+17,9.4086522347291754e+19,2.992065821516725e+20,1542.7193689860942,807.2907912149701,0.0007975728830963671,77.323595890641911,53.684071247316638,1632.6950399947484,7676.760583006675,-60,-0.0003235072769226198,-0.0002935847751490931,1.3696694831834904e-05,-0.0007790198310812355,1.8553052015131606e-05,131.03183775986005,-613.9982339929237,91.13213326065849,-1075.4949204834666,467.22444850262764,-804.163916250538,3.1268749644320355,-62.632976307194276,-545.4368961649633,-428.6205117254083
