"{'distance': [0.022, 0.08, 0.102, 0.109, 0.246, 0.324, 0.367, 0.577, 0.863], 'solute_3': [11.91, -6.52, 16.46, -5.62, 4.38, -11.47, 18.47, -4.26, 12.02], 'solute_2': [12.07, -4.75, 10.27, -15.31, 9.53, -7.27, 10.94, -2.19, 16.98], 'solute_1': [16.88, -19.67, 0.66, -15.82, 3.72, -19.89, 1.43, -13.25, 17.12]}","{'solute_3i': '76.0 uM', 'solute_1e': '44.0 nM', 'solute_2i': '409.0 nM', 'solute_3e': '63.0 M', 'solute_1i': '462.0 nM', 'solute_2e': '248.0 mM'}"
voltage,current,solute_3,solute_2,solute_1
-150,-0.00000084526422251861838897634232601186612878971641758051317429510728457956078869779204,-3.6123085172214470333308486566285069236560600334939317458229129346378239822957594,-0.83199692056000487365558157319560071585753282888358816108781565778774270978292874,-0.000001216629873190670967405332428812703904711379229279689871220656841689064453574866
-140,-0.00000083977412834234785565554114090821471982032723803249883949303439301520063297487963,-3.5619208376212615228463280829319043067593620261221623064320965186014054816706635,-0.84005562188747788397083849510950872273725882341661432848084126302704132728377428,-0.0000012253488844946167545525916788822669114442982604884323784831404326172187963170571
-130,-0.00000083445515368236035998140633413446761203824190017912515630790280874059857186841947,-3.5121356566565862039298230606730669629362706193589454077695509656336728985612946,-0.84834715457552375193393820215825695763716866106142847687044066094125277708457759,-0.0000012342071940952245261034640518904003838546102300691426723404288880550895025492047
-120,-0.00000082929230179597759729052416351031515964926266348643784826708868905120388471314716,-3.4627218921310387135197040875123636198643805976912454326452032083735681770275305,-0.85694025315211919904691920741201170585372275814071414631274166041003540295371377,-0.0000012433762926465289225824322341708407272317666167331335738993313324454350500510338
-110,-0.00000082425092716262372411222771546898094690212255106411798937714519530371236015406334,-3.4132912020794795242064994760105079250022034823045771968893877012209534065157351,-0.86592095602995672653049248465771385726387541903154623032047256461450542321339821,-0.0000012531783042255741880347107711421562690452333207590605601360988994826061630237124
-100,-0.00000081925507505537394221499122856521071061558422867944194990663957523165210884554882,-3.3631904827050180355757061607549878013653284947754010638457256635267125753363082,-0.87537875204007448797088928090947976526937349061066761941896750869919901464523842,-0.0000012641955685151360412053879869253546505669953906750050174483050290464997753385367
-90,-0.00000081414816942718789266150621031412012627599654591969573903451242203676948345573024,-3.3113386052596440110072656323574285494146745106316920898884364934629732345407699,-0.88536551475252353809946848087531458607837904531246690608494024590051391534398624,-0.0000012774404586384466590267122825000412301979376774594218187630010172663234294855384
-80,-0.00000080862816612278682029635885365176411597025602545909780119455403958521184617806642,-3.2560056310734167540359314854905200673974771392626282527461298336614572881417986,-0.89580350138993034687684608075239294590700772185468401701550411667285634247938836,-0.0000012945890383146647434899565267401468945810087365015377475207195278271690228283782
-70,-0.00000080215471325960832346886006609565658493745493348721831008466054599113801697842941,-3.1945735638636297630325605147802969733267349428286990946878776750499609955399361,-0.90631521468492469534741016974695836231727710598437961611744558996140870560810796,-0.0000013182347170278443284400277643775191342786519062354683248197816459020680108859084
-60,-0.000000793844782811924270371314317188923537763645625351247581403274575860035234396822,-3.1233963205940201190457825640881447325145922136708193108612323863451754365895942,-0.91596767314173518208312235726749839811485166356070420519478301087613269563573763,-0.0000013520144617875177272597954058126452702617046278726398213232749507132552735816799
-50,-0.00000078240788538046333497128925611386501622596311690073171642801991269803282786558801,-3.0379625107964583882954103509453482594390523907797198850341213415664591761717747,-0.92298882071994316604279432459245642889372516107386454816706498670230260679923417,-0.0000014003166894513285727542777153798627905433854084393094871813519147998948812928872
-40,-0.00000076620639637402766512083138265762186640279584060691974193605532994347188012023805,-2.9335689755458067745515776724590489579708614687173114474851014290182955612513063,-0.92461904288169116113633704774717055943946596688142548760223014727062104736960164,-0.0000014672332409707304046374807258747348324304404023884802559071689885364048619941569
-30,-0.00000074353100180222705928513128000638006855611074529500520919678610330455358819225362,-2.8065655470191645945270882994427445263103814561164505013075629096628776103420028,-0.91734848290092632907093755625586507104872325544776102869439488587864754539651986,-0.000001554823762240917624114204448620164004440209321228367708318090753779883208766375
-20,-0.00000071310063449601462835902811699824288263634703451126356553556699090271871891888891,-2.6558134563639355100035434656164136273163276366609744589357739705848712428336742,-0.89774818989065123912206644462484621116647231842328380214542146404443168851994288,-0.000001661975754345986822419510622757413996413592312670095189107309395495754845069206
-10,-0.00000067447846359021015019815411334080659270414371095103925826702030260674449126681814,-2.4830074875574744001813620780356600573918517861119986638629283033947196688621403,-0.86360738413075834871605090861787327866028822641186940206186491633022051730334822,-0.0000017857012230762547970121058560138964955077792053947295331112451558785426850936141
0,-0.00000062786451602427168515005056977729564561011976004017278971472820028893000881619502,-2.2906720987338093550181411580807817378317024099009031221783895564442694036923851,-0.81428814445521407080585237987720556968423504953858251344429920504109254476475048,-0.0000019232702140447808793442644252702083472511688715198812913724652478876688549831837
10,-0.00000057356944073032898985671833751567313376668414000968000066900437088157245416525616,-2.0802149482654163730663111086727829513157516564231474643808528045371827070730155,-0.75005621289277363378715742495297674192368512232942209785156897030347362413192329,-0.0000020711763725418514272539088414560224614397477920119350496141591608588532416522398
20,-0.0000005120836763257204388251401753245265476610489546338519271772978533977288585640215,-1.8529020730758800304504089812040304182849790985491546310762983863470713727585417,-0.67180928966199124989807208028197165937150485103389694311518435443747141754538619,-0.0000022218295099612149412455395411962101635532484864411275456867773057212137334882329
30,-0.00000044466996708765489298009839214156268755887248212499497066130965702020870637566082,-1.6122949177515424829072379706521328790957146502096415522695325201585163420855667,-0.58170782491687788231925820078999274053332165042782085837229664034867195918241663,-0.0000023598844988268757511456746870675193254639711823178487223131632677028097965101117
40,-0.00000037380941495199521333274812458910712760490806611697518383430699659908511625937911,-1.365702431996782754888720929423228905233457597208796544784202522645469762273847,-0.4838411559242625196356791587960689372545909076830330074288777579860663595392505,-0.0000024531585037944242204096267908051554883911090190688296694281683287575089255295727
50,-0.00000030309813207271877713808353446169160455052664930966105130662013513444199070326893,-1.1237155289499003907110887221144714379592486436142524502987111161942716053909046,-0.38413778005019000643120998027427045893470047957143434436150802153200755853758574,-0.0000024128315935742902440164309357727028502298490400545971854252087860372455863985951
60,-0.00000023655350469827536150149590287586749016727684989125481906332219324764770582031686,-0.89797304092506785784989990018146647227460820808079424091000153189911650365751807,-0.28931745979596370486987441999086817035777707611802145675709098489701479420177265,-0.000001892266859616289673803139918446737519201043372667311467709433947586146007287454
70,-0.00000017764723203503455991067909483045827898239702777500449768710190126106795212744019,-0.6982352552010617462028907778070778895024755856588302856683960399782025821939531,-0.20533815370564096021311682282500174215514031126057807831516096647971748129172298,0.00000083290774633063905409864684994386503994621064318031554759690591253527174382940171
80,-0.00000012855078840493163993678576440838738224251939363177339447380728852417365799988871,-0.53016594263354131973646309947789398667796766991559555764832969926942212122725282,-0.13615996774465487426505375961548269892368830011208002309330844349881265976955121,0.000015499938304400129525750234725756355551005661948082907784680772058875786579241419
90,-0.000000089841947704427320867303409455223717672545668025480053742660423618593375569933091,-0.39442279988675739030097124632498643210484599984483137970334984703679634270371186,-0.083342459959785391509040795637158480084970571964972919250745745152795555094527487,0.000098853534220657418329013661699925442774234751286322500560489861057917440151722371
100,-0.000000060545603053787423208016280554592682817898724609373521899062777575521029453479985,-0.28698284279458288959607784781692561700291522835542238521170421144123921937083045,-0.046323273649582209121330182163963691343332464754179853952967108866957262009351753,0.00056393100131271833727423252235432586363339711336776089325029584843679157610382274
"{'distance': [0.022, 0.08, 0.102, 0.109, 0.246, 0.324, 0.367, 0.577, 0.863], 'solute_3': [11.91, -6.52, 16.46, -5.62, 4.38, -11.47, 18.47, -4.26, 12.02], 'solute_2': [12.07, -4.75, 10.27, -15.31, 9.53, -7.27, 10.94, -2.19, 16.98], 'solute_1': [16.88, -19.67, 0.66, -15.82, 3.72, -19.89, 1.43, -13.25, 17.12]}","{'solute_3i': '76.0 uM', 'solute_1e': '44.0 nM', 'solute_2i': '409.0 nM', 'solute_3e': '63.0 M', 'solute_1i': '462.0 nM', 'solute_2e': '248.0 mM'}"
voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors
-150,98190220482.605030423554291128176771799991158728133856011355196987130234875418255,0.00028738432891543236635954779447046445180229848300635457483437697937786637452505144,98190220482.604743039225375695810412252196688263682053712872190632555400498438877,341668666670753.43921410673349117415627831564817949335656583940755877995907866856,196380440965.21006084710858225635354359998231745626771202271039397426046975083651,1.9971139783655903196205938682725924008205750842758900702867314274764868544813113e-75,3.06082175083755011295736499004573731869851018775687248208957771670989861344016e-77,3.170895475112305813573594538858560404662761822040527661546827159895809025018248e-82,3.1013230170671519852268727633889821084464141917629034623981358679591746194114911e-82,2569177.386967771216817022734895853536425985516071973416567807630417160375990212,-4.6727449477248465789024745376509643479445405415952457022775011368509546016382412e-76,4.3997906333581851696022266167239791811262060051127617046543359538128756110123887e-76,5.0456065907981803120586449363955638479427812864712900879531629142851682863710813e-76
-140,98223764396.502572118706755789679992424430430008878610019280221609632315423748377,0.00030809877976295962029242514642001129419106415784913568934907781638111646106256887,98223764396.502264019926992830059699999284009997584418955122372473942966345931996,318806080543624.63396918102311387348885116988659824752554069710339084931683526013,196447528793.00514423741351157935998484886086001775722003856044321926463084749675,5.2032915544444028867952769973372407415973902195728595344767813407765765614053623e-76,8.461168069236817939862165533549317255588015005488964159692412603951796607932329e-78,1.9673321662248123021512307837987111276900150712031074117653052032024018047876001e-82,8.4164577352485658760368016064454877015250368801460002999039636028662032239364858e-83,2725284.4969708415610013050051858886633529422920396178538365667839078693552802304,-4.5171168927022461430219449252991041813742121466722501960014179421770100726509615e-76,4.7104234290722936966063081648602878957152903106861766408024502853057456472259657e-76,7.7421774419468721616767166324577764697189960835900318080007876974717423784901115e-76
-130,98410143985.962066203155502981788904368434133756112682027798964800478150052185122,0.00033030631297699576278522175464475877986332157451657095975832114426710833895996767,98410143985.961735896842525986026119146679488997332818706224448229518391731040855,297936007032405.27159937386164422804343133059950166721208163088460862119795446785,196820287971.92413240631100596357780873686826751222536405559792960095630010437024,4.7067118625264723208355617652262177662582201986177733548379183912418825327235227e-76,4.084363749145801612809368044683543464157070338371030880126627728817648342650414e-77,9.5367351709502133883227140337611192608885027394776634881612429782874891412702588e-82,6.8670630084655230311649384825124369457589482526771180266662735739132078123675107e-83,2888596.5371313244444358066168241956780803761450932745825118259946657621254036516,1.7781963971442485935273288244476125184996741512790772405446609856048449378702325e-77,4.7294226396248930438050584702008618386369381269290360952889604431782973774097497e-77,1.0879631445176988185228338631911157339037225786501019828573802911901369075120471e-76
-120,98719537461.346347179558409155911559998995815569547976150206407019341295036017265,0.00035411454883526811291117778639621537607167104210218604602446705521975976814075276,98719537461.345993065009573887798648821209419354171904479164304833295270568962045,278778541537049.53367173339837748829463434178985017976404519388307580364438510269,197439074922.69269435911681831182311999799163113909595230041281403868259007203453,5.9157754602396945683896510260182737062144602496388527487412368770654853851662625e-76,2.8507157458289657850960979092039258398748506574062681266165278996194932977211327e-77,3.1606003599333697557373166345116170267255450628780584158924543444416018528590978e-81,9.0904660571195359125056206566594369758521965815639087263386838646338290262308476e-83,3056699.8761827127222201096206165672962750905202797305562913732223582369000780674,-1.0577144454327542199272373490628109630533395240926530342720390187847064181684691e-77,5.6251904891372400331834265791238044509073233690093539957463230839528378195319472e-77,1.0824391100546644121751318328513621490844157509665937112662160652958439780985467e-76
-110,99181093275.241675148407674820395255621764755335205494076491049418265309687086726,0.0003796388648058893979550611869742945667596036680925878409980730074206245846012768,99181093275.241295509542868930997300560577781040638734472822956830424311614079306,261251158587130.6796439121096498909954756962545552416004224178984481482817620592,198362186550.48335029681534964079051124352951067041098815298209883653061937417345,1.3299699574845444723094981868712615339518640561231873332936503344059631376870138e-75,9.4441226054636319253004265780897338278668918047810038036616632284128799816223494e-77,3.509315214384894539760492275813239756292708977134321396041663552904575412337312e-81,1.8281470348408369264818642722956992876872525576823806179770852255187649968078396e-82,3226051.3056587653985129934235161849287965422590722051354559611620010320638021714,-2.0664082212181485799403480696550988991915473688539077005408589484482867654676393e-76,2.1702228355418728734170419202104601171241982029426112376434053396057621971012521e-76,3.9792426194359848947960123758321225318335183778972596102817672769966550586936545e-76
-100,99883269266.020156210360122996910631170138392068180207787453911628665416100691373,0.00040700295467992970976286856875545242700926927452590805570043945148111120531285743,99883269266.019749207405443067200868301569636615753198518179385720609715661239892,245411656395883.2591290784359974753458830964476130434945293306035147481643890866,199766538532.04031242072024599382126234027678413636041557490782325733083220138275,1.6235996883577555895726341502064751193698080685140209003844562523916952589945363e-75,1.3264298874152076626107619357048450615690750510909879884583342215821318228341061e-76,2.1743283257912954150218933980744414203401795351135046822035386239285547600125129e-81,2.1783015968056660498430819017833398802628241281027701566982731323929128405176849e-82,3391987.048007992837826636738487711469196870518992542105039800421902021970391691,-1.8510815298432014456081164956157633058499469239775479125714282999294027665733974e-76,1.7646877881727357375623063230685303929071460220662734111977941223730702684471685e-76,2.4479105194742056625235403216650633395234207809752464239744615170584408943183471e-76
-90,100596088630.9170692545716121945368596511273371764730343254822602105193483871197,0.00043633942800585237211992123431872193641568545310811572440233783450990710295556266,100596088630.91663291514360634216473972989301845453661864002915209479494604928519,230545493197025.1178809627348197097850159886158663548971963763417468986623740675,201192177261.8341385091432243890737193022546743529460686509645204210386967742394,8.9816152972982224104018059373124155539606403790137326404246516089753354752889241e-76,4.6790491351234354278948711069156852363819892599504383910265143410639987621040181e-77,2.6393940678822647401853785427220664196259197290918614964434956045482165635956225e-81,1.2891917229294841409063275356486351655384451275822938486470427274194643347613919e-82,3548899.0411322606285911695277450469808620085688836230975005156402867701007975313,3.5475887335098204121448801687822299021680010681461346093696290385837348460840898e-76,3.8703318964292840678965351505221049016968103033674794063780411970741194461057222e-76,6.6836512411982141682608533726436909535484262455251989615905525800048501784429276e-76
-80,101319421728.63463777524826544460824002239687689934797782162982194803034418970353,0.00046779045273074307625658751235925128100458165991034997804408852672073549505399128,101319421728.63416998479553470153198343488451764806697323996991159805230010117681,216591469828379.31207266818777302678955551177196040246307741333474064658393958952,202638843457.26927555049653088921648004479375379869595564325964389606068837940707,5.3497859370635342375208247823536889257285278429422523153926619357734793344726781e-76,1.0206534360718063364885315453477581602504476211953894269683287050388700976745282e-76,4.8461166170287811446927351341931868626066728729575233144263716906044000787551614e-80,6.880736208312547482978745074223221119581814260939772493550987469438326712891382e-83,3690440.3660429909246192875744369777742086432037032651770664251651104870908338546,4.5961696255763748033653044224728978943149572197539627343321183363770781976030231e-76,4.458378928002269826464359834358534948298964183355968448166213874164558683922695e-76,7.0513128988982286921315599722845023888449344172188015990857411773161949923150161e-76
-70,102053148700.60468149814177834234478107097551476494988375319422761841576163282448,0.00050150844416264520158364627165271511786817321346967761955785635640278907180226501,102053148700.60417998969761569714319742470386204983201557998075794079620377646808,203492383604826.44584544244580459373415730567909463746195814753422230119647784756,204106297401.20936299628355668468956214195102952989976750638845523683152326564896,5.3976053469340278908664699142502497319475002277726758656398146688553698769765169e-76,1.4701727563711558467747547428939117707392003745395825889036445204294813702414788e-76,1.3177747429038154030435717564087523759637451727960634437597203781385180363712199e-79,4.4236823034490873515256620240772327073978262026235039921133191404796442871348326e-83,3809361.3748208331432524687954873925162973956760034156308029751895590133899349336,2.9912770278326883383504541472504696879423254194284319750886793051380978419551998e-76,4.2100085816648141502620200033475320328959843548277486076017974460589595891456172e-76,8.5359593744009608568100160435646713133258981586077370999157755287410725771388139e-76
