voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_3 transport over barrier 3,solute_3 transport over barrier 4,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_2 transport over barrier 4,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4
-150,-0.059711974295492215,-82591.62760448529,-42367.411526478885,-82591.6276044732,-150,229941312.75476724,27981.808654549848,229913330.94611269,8217.5285948636756,54860833308108104.0,3.608874976634979e-08,4.1807652451097965e-08,4.4994521886110306e-08,1.6202317265623378e-14,0.0,-136528.18845359242,4.1538209359768213e-08,4.286260468222558e-07,-150,-0.05971197429550253,-0.059711974295492215,-0.05971197429548996,-0.05971197429548633,-0.059711974295491854,-82591.62760449901,-82591.62760448529,-82591.62760448095,-82591.62760446292,-82591.6276044932,-42367.41152646105,-42367.411526478885,-42367.41152648488,-42367.41152650286,-42367.411526496,-82591.6276045006,-82591.6276044732,-82591.6276044675,-82591.62760446523,-82591.6276044556
-140,-0.05421646843653577,-74831.38572048358,-39104.347483452984,-74831.38572048587,-140,215533836.06661052,30312.331445629086,215503523.73516488,7110.4341298593718,1.575769061843344e+17,1.469743438065052e-08,3.766035661101341e-08,3.93774826079607e-08,1.1469991623158649e-14,1.8478099673924086e-08,-127406.82381706988,5.2257484070266695e-08,3.2160990770524478e-07,-140,-0.054216468436541584,-0.05421646843653577,-0.05421646843653495,-0.054216468436545866,-0.054216468436534396,-74831.38572049126,-74831.38572048358,-74831.3857204786,-74831.38572048667,-74831.38572047657,-39104.3474834619,-39104.347483452984,-39104.347483444566,-39104.34748343105,-39104.34748342424,-74831.38572049186,-74831.38572048587,-74831.38572049249,-74831.38572052524,-74831.38572050293
-130,-0.049021114938020874,-67520.8001651888,-35916.26836559257,-67520.80016518867,-130,202483690.24394822,32836.956646126979,202450853.28730211,6166.335462389161,10248528435428116.0,1.765147317200899e-08,2.149317879229784e-08,2.2992026060819626e-08,8.756884106730922e-15,3.8988943641080517e-08,-118582.09003960901,2.8978850805869779e-08,3.037904486857812e-07,-130,-0.04902111493802584,-0.049021114938020874,-0.04902111493802655,-0.04902111493801779,-0.04902111493801905,-67520.80016519877,-67520.8001651888,-67520.80016519899,-67520.80016518591,-67520.80016518134,-35916.26836558416,-35916.26836559257,-35916.26836559804,-35916.268365605654,-35916.2683656037,-67520.80016519842,-67520.80016518867,-67520.80016519346,-67520.80016517543,-67520.80016518489
-120,-0.04407710558165498,-60574.62872836253,-32839.472487650346,-60574.628728358424,-120,190707755.37643307,35571.85047655263,190672183.52595651,5361.1986113047187,44154030064488272.0,1.9193976186215878e-08,3.015156835317612e-08,1.4872057363390923e-08,1.0220990720455347e-14,1.5209565413320605e-08,-109890.21753677227,2.8118000832980645e-08,2.7365156118897005e-07,-120,-0.0440771055816652,-0.04407710558165498,-0.04407710558166297,-0.04407710558166114,-0.04407710558165945,-60574.628728371914,-60574.62872836253,-60574.62872838172,-60574.62872837975,-60574.6287283813,-32839.472487665655,-32839.472487650346,-32839.472487649735,-32839.47248764102,-32839.4724876355,-60574.628728373296,-60574.628728358424,-60574.62872836449,-60574.6287283651,-60574.62872836104
-110,-0.039339739392482184,-53913.691706872945,-29911.646359036677,-53913.69170687396,-110,180131035.04776445,38534.525594516781,180092500.52216995,4674.5362053554372,17318388329380218.0,2.5320332497358322e-08,1.4362740330398083e-08,8.41100700199604e-09,1.0005885009434223e-14,4.2957434199990568e-09,-101184.7498249427,2.7250397094006711e-08,2.8030326482131329e-07,-110,-0.03933973939248607,-0.039339739392482184,-0.03933973939248152,-0.039339739392476064,-0.03933973939247846,-53913.69170687927,-53913.691706872945,-53913.691706865924,-53913.69170685395,-53913.69170687004,-29911.64635903806,-29911.646359036677,-29911.64635903418,-29911.64635903401,-29911.646359023696,-53913.69170687909,-53913.69170687396,-53913.69170688014,-53913.6917068752,-53913.69170687173
-100,-0.03477179174062231,-47472.379981398495,-27162.862974651205,-47472.379981407976,-100,170686176.75830278,41743.953235529727,170644432.80506724,4088.8838628974377,1.8499175493794218e+19,8.294591680169106e-09,3.1126546673476696e-08,3.695458872243762e-08,8.958112029944232e-15,7.4505805988350868e-09,-92384.004943685431,3.1361736604383374e-08,2.5007367043805573e-07,-100,-0.034771791740614746,-0.03477179174062231,-0.03477179174062244,-0.034771791740613484,-0.034771791740617994,-47472.37998140197,-47472.379981398495,-47472.37998139867,-47472.3799814051,-47472.37998140679,-27162.862974639298,-27162.862974651205,-27162.8629746519,-27162.862974656753,-27162.862974670425,-47472.379981386825,-47472.379981407976,-47472.37998140785,-47472.37998137102,-47472.37998137658
-90,-0.030348040381850273,-41208.87616999421,-24602.949638691236,-41208.876169993106,-90,162313041.2385979,45220.684693677606,162267820.55390424,3589.3539060298926,19703965727503976.0,3.361492417752743e-08,2.556771505624056e-08,5.2343239076435566e-08,2.3120394487818885e-14,2.9802322387695313e-08,-83516.755791221178,5.046005736342364e-08,4.6626126604110141e-07,-90,-0.030348040381854742,-0.030348040381850273,-0.030348040381841954,-0.03034804038185865,-0.030348040381865074,-41208.87617000153,-41208.87616999421,-41208.87617000504,-41208.87617001516,-41208.87617002783,-24602.949638682636,-24602.949638691236,-24602.94963870049,-24602.949638703576,-24602.949638708204,-41208.876170004034,-41208.876169993106,-41208.87616995169,-41208.87616999214,-41208.87616999721
-80,-0.026060049514042435,-35115.78089439239,-22208.84592329973,-35115.780894402305,-80,154958317.89692849,48986.982920067887,154909330.91400841,3163.2549844879027,3.7113951192322637e+17,2.8667272999882698e-08,4.313187673687935e-08,1.9543222151696682e-08,6.8660355179162025e-15,2.9802322387695313e-08,-74734.878744385845,4.7537280943426508e-08,4.3784980063854562e-07,-80,-0.02606004951404023,-0.026060049514042435,-0.026060049514047095,-0.026060049514044552,-0.026060049514041363,-35115.7808944057,-35115.78089439239,-35115.780894395546,-35115.780894383046,-35115.780894377036,-22208.84592327726,-22208.84592329973,-22208.845923301327,-22208.845923310873,-22208.84592332039,-35115.78089439335,-35115.780894402305,-35115.78089441289,-35115.78089441269,-35115.780894403986
-70,-0.021919564795172708,-29227.00607901,-19918.22284482836,-29227.006079014987,-70,148575183.93927363,53066.965081723632,148522116.9741919,2799.7678727333741,72300820744074352.0,2.112938091158867e-08,5.4104020819067955e-08,3.0573573894798756e-08,1.42559575255774e-14,-1.5534532120314274e-07,-66277.333101309516,3.6584607411531623e-08,3.820601015558367e-07,-70,-0.02191956479516029,-0.021919564795172708,-0.021919564795174547,-0.02191956479516939,-0.021919564795166376,-29227.006078995037,-29227.00607901,-29227.006079016166,-29227.006079008,-29227.006079003273,-19918.222844809323,-19918.22284482836,-19918.22284483943,-19918.22284485405,-19918.222844863427,-29227.006079000712,-29227.006079014987,-29227.006079009036,-29227.006078993792,-29227.006078984414
-60,-0.01795860419892276,-23616.466241981198,-17635.284838076386,-23616.46624198548,-60,143123004.97970539,57486.756993789815,143065518.22271159,2489.6691423237999,12560876755017078.0,1.6039848560467362e-08,2.3537722881883383e-08,1.949956640601158e-08,6.879913305724017e-15,1.0591433072439041e-07,-58405.922506104747,2.4951081734739949e-08,2.628992175068845e-07,-60,-0.017958604198923988,-0.01795860419892276,-0.017958604198919186,-0.017958604198926066,-0.01795860419892384,-23616.466241986986,-23616.466241981198,-23616.466241975955,-23616.466241991937,-23616.466241975897,-17635.284838071268,-17635.284838076386,-17635.284838071617,-17635.28483805285,-17635.28483806178,-23616.466241986083,-23616.46624198548,-23616.46624198195,-23616.466241996826,-23616.46624200145
