voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_3 transport over barrier 3,solute_3 transport over barrier 4,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_2 transport over barrier 4,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4
-150,-6.014990180656261e-06,-18.55003755557118,-0.44659333777872234,-4.3368099577451084e-05,-150,26937781726.184345,6.195351973115194e-09,26937781726.184345,4.3480631678524769e+18,5.6957476276356525e+17,0.00018851567052990958,3.2465873434472936e-05,9.335243477008371e-05,3.7414420275284075e-11,8.7388628045951926e-05,-0.00014151107383487708,8.0077240715679282e-05,0.00028465236526511312,-150,-6.014990043881392e-06,-6.014990180656261e-06,-6.014968615725557e-06,-6.01495380106497e-06,-6.014952766235986e-06,-18.550121372565627,-18.55003755557118,-18.549946340033785,-18.549932856895097,-18.549936522264034,-0.4465929642319679,-0.44659333777872234,-0.446622565650614,-0.4466254301054024,-0.4466250469766907,4.068900935160409e-05,-4.3368099577451084e-05,-5.2663425418479626e-05,-1.8476319898502816e-05,-1.1772711997259933e-05
-140,-3.4192364868890862e-06,-10.526435938510986,-0.29066500555745733,-5.862359120319761e-06,-140,25929640519.767014,5.7190306780013339e-09,25929640519.767014,4.5339222640485663e+18,1.8825003948746902e+17,0.00018826139114302975,8.929981049732305e-06,0.00010084960196114586,2.8030221665804135e-11,8.357431962481328e-05,-7.8120551164199693e-05,7.9299273702024438e-05,0.00026187089269826447,-140,-3.4192363796935562e-06,-3.4192364868890862e-06,-3.419221644476361e-06,-3.4192084566674204e-06,-3.4192088141644246e-06,-10.526524579152465,-10.526435938510986,-10.526375788962469,-10.526336317761322,-10.526340479727878,-0.2906650621443987,-0.29066500555745733,-0.29067393553850707,-0.2906655846857096,-0.29066584336466134,8.314114365197346e-05,-5.862359120319761e-06,-1.5222283138022208e-05,-1.7708458309172393e-05,-1.4532935685984683e-05
-130,-2.0375078351236737e-06,-6.261108587234048,-0.19638389974170423,3.763097608108027e-05,-130,24993116401.643517,5.2793307043496763e-09,24993116401.643517,4.734144875798654e+18,2.5667862460817357e+17,4.303834512775495e-05,1.6634419807814993e-05,4.011376578912732e-05,3.952492611428529e-12,-4.1962521852771454e-05,-4.1962521852771454e-05,5.0088326655167127e-05,0.00015648441332670275,-130,-2.0375078602260753e-06,-2.0375078351236737e-06,-2.0375097851059687e-06,-2.0375058326133573e-06,-2.0375059145920396e-06,-6.261082388460636,-6.261108587234048,-6.261111485073343,-6.261068446728215,-6.26106844961032,-0.1963838580995798,-0.19638389974170423,-0.1963672653218964,-0.19637205662308993,-0.19637195912029004,1.1333034534200044e-05,3.763097608108027e-05,2.6125518408887105e-05,-2.181056860886352e-06,-2.4827897080470507e-06
-120,-2.6926281721119303e-06,-8.258876659005182,-0.29022467134745966,3.090444192565009e-05,-120,24124394680.129932,4.8734364711660573e-09,24124394680.129932,4.9501814218494853e+18,79961460731001072.0,9.04593861044134e-05,1.5125637903734557e-05,3.1934867529236216e-05,2.2426475774841594e-11,2.0261065390249447e-05,-0.00011315237830199148,4.5063000924375802e-05,0.00015843020258948979,-120,-2.692628159995309e-06,-2.6926281721119303e-06,-2.6926177553941244e-06,-2.6926057456361555e-06,-2.692605769346378e-06,-8.258894693106413,-8.258876659005182,-8.258829140104353,-8.258804233720308,-8.25880743664402,-0.29022462852299213,-0.29022467134745966,-0.2902269172191154,-0.29023975416089587,-0.29023963587093293,4.895494809260423e-05,3.090444192565009e-05,1.7020080563368012e-05,3.601580651362646e-05,3.908558329968059e-05
-110,-2.2262256809428277e-06,-6.816671503227553,-0.26338739296988933,9.528416060191659e-05,-110,23319947228.481285,4.4987488696101896e-09,23319947228.481285,5.1836517005897964e+18,33252735032586684.0,0.00017557749348195983,1.4949706383049488e-05,8.321419229631398e-05,4.016943682073738e-11,-8.3262340842814398e-05,-0.00016234887974379903,9.6241872945233462e-05,0.00027648536466337413,-110,-2.226225792901271e-06,-2.2262256809428277e-06,-2.2262393310386904e-06,-2.2262658503796484e-06,-2.2262656893032066e-06,-6.81658872589469,-6.816671503227553,-6.816702418029308,-6.8167643033881715,-6.816762377239684,-0.26338721811771393,-0.26338739296988933,-0.263402167824097,-0.26339272336378866,-0.26339270111676844,1.2069968305602603e-05,9.528416060191659e-05,9.098309400817906e-05,6.537674407171203e-05,6.394220753414004e-05
-100,-8.752798750663168e-07,-2.6764247034006985,-0.11094462342953193,6.219905330187323e-05,-100,22576513148.722237,4.1528686198255666e-09,22576513148.722237,5.4363658510512957e+18,19546842733015620.0,0.00015589054328302154,4.206948040136327e-05,6.056112495586067e-05,4.7389209047686994e-11,6.2515945096816095e-05,-0.00015641824016312416,0.00010001642830984587,0.00032108713393258926,-100,-8.752797867402764e-07,-8.752798750663168e-07,-8.752559806446108e-07,-8.752325365914748e-07,-8.752324858572691e-07,-2.676484974101186,-2.6764247034006985,-2.676387225277722,-2.6763296182601635,-2.6763290835579028,-0.11094465292990208,-0.11094462342953193,-0.11091351421782747,-0.11095554655383211,-0.11095558369822883,0.0001227601782577339,6.219905330187323e-05,8.374317124587582e-05,0.00012032352373715441,0.00011996574013473094
-90,6.711373591493779e-06,20.504028391020256,0.8844886790939199,0.0005861692261018361,-90,21891080915.669888,3.8335809073570868e-09,21891080915.669888,5.7103479604821596e+18,32538851472226728.0,0.00039837509393692017,0.0003860511167657066,0.0004906909095441225,2.748012630759267e-11,-0.00022128401648265587,-0.00022128401648265587,0.00046893041174426254,0.0015497119859139835,-90,6.711372487262575e-06,6.711373591493779e-06,6.711399967388882e-06,6.711378486388793e-06,6.711377198223669e-06,20.50437517464161,20.504028391020256,20.503976799547672,20.504286713702037,20.50429437600269,0.8844903148710728,0.8844886790939199,0.8846700731664896,0.8848747302106856,0.8848741724549787,0.0002351213016783905,0.0005861692261018361,0.0006293854323893289,0.00015009843604399137,0.00013869452284520634
-80,-6.171763489434604e-08,-0.18877180491108447,-0.00816487716656411,0.00022741798142629995,-80,21260871891.649879,3.5388412007770387e-09,21260871891.649879,6.0078626548661002e+18,1.5211221503080819e+17,0.0001390765742587119,2.612454627710578e-05,6.804357617220362e-05,3.948555246517324e-11,6.6412002539079746e-05,-0.00017339134986192579,9.8688871011444435e-05,0.00031136991733361958,-80,-6.171747154971437e-08,-6.171763489434604e-08,-6.170399624373699e-08,-6.167816526876283e-08,-6.167814934188087e-08,-0.1888392325490713,-0.18877180491108447,-0.1887414637603797,-0.1887001559748126,-0.18870310758029518,-0.008165089413523674,-0.00816487716656411,-0.008169924432877451,-0.008143799886600345,-0.008144039006547274,0.00029546155759850357,0.00022741798142629995,0.0002421680375643831,0.0002684189993773426,0.00027153987420280856
-70,-2.8070316526479755e-07,-0.8583894226467237,-0.036000144253193866,0.0002872311503568765,-70,20683325110.822395,3.266762159703795e-09,20683325110.822395,6.3314450516035738e+18,1.1142157142848603e+17,2.120403269145754e-05,1.317872546192228e-05,0.00010807183359525408,2.5721211590600492e-11,-2.3808175011115222e-05,-0.00036587911119214316,7.6875633429582561e-05,0.00023213935464538253,-70,-2.807032551156895e-07,-2.8070316526479755e-07,-2.8069213052544445e-07,-2.8067770208619886e-07,-2.806775339040989e-07,-0.8583714030683041,-0.8583894226467237,-0.8583901738747954,-0.8583892137474027,-0.8583926071009955,-0.03599990904331207,-0.036000144253193866,-0.03601095546036959,-0.03601293119107321,-0.036013087768773995,0.0002688135335009817,0.0002872311503568765,0.0003278284918576402,0.0003728888117318999,0.00037688536709623577
-60,-3.24117055500444e-08,-0.09967888434766792,-0.003935904205718543,0.0004867067687406607,-60,20156083239.809647,3.0156015493798828e-09,20156083239.809647,6.6839345018755779e+18,96037306053022096.0,9.003772073945537e-05,7.502195512643084e-05,8.586076186389857e-05,4.03813336329286e-11,-6.9307293090864857e-05,-0.00053060488460582257,0.00011707526553212664,0.00035036433922725293,-60,-3.241180732655729e-08,-3.24117055500444e-08,-3.2398609288805686e-08,-3.237142599292436e-08,-3.237159037112727e-08,-0.09961235895752907,-0.09967888434766792,-0.09969442238798365,-0.0996043846672442,-0.09960458359228141,-0.003935672342777252,-0.003935904205718543,-0.0038608822505921125,-0.003861347821470731,-0.0038613787337083098,0.0004197477925965697,0.0004867067687406607,0.0005056085544604683,0.0005006453666051506,0.0005003467071778012
