voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_3 transport over barrier 3,solute_3 transport over barrier 4,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_2 transport over barrier 4,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4
-150,-0.00000000033495322578190359932062004642250193057834093284688482481311051770600058572993421,-0.0002091699664064713809866121826990611673048529409104883097445418788570884738123972,-0.000000025505381460541264427110915000771663145593581264032916993215251955263525181289793,-0.00062719920781784633433346015007225729558381212919674135706752721163566459789394766,-150,139993421846691.65179480081210305123063847653770261984376096236613072465199934092,0.000040480502768481962368461714238953146010797688433452462474738966142337869514098167,139993421846691.65175432030933456926827001482346366669775016467769727218952460195,3458292567346526315.214093140405301228872340511545167762328208510732341219341749,279986843693383.30358960162420610246127695307540523968752192473226144930399868184,3.5719193143870622970597951304542452626135777507308459808458037552617295697879798e-74,7.1282370306923356436636219150914194161896506090416650495809351676949793550945031e-79,6.674191722473641639672511791840690143648122581447825550401381226854790393602918e-76,5.7899505836039010091604921693551016499357785906184148485076774551548646428406121e-81,0.23883641989720461543783634667867651585467879319324099444558818362669861968497404,-4.2722862268217541077054627490870130859227689897410034646583578065165365546654378e-74,2.7182832018596648474183792398785897646230753306630310109144714074896873614816024e-74,4.4921303337792774909415091533879278092451162381372894035431397537964182424485748e-74,-150,-0.00000000033495322578190359932062004642250193057834093284688482481311051770600058574668348,-0.00000000033495322578190359932062004642250193057834093284688482481311051770600058572993421,-0.0000000003349532257819035993206200464225019305783409328468848248131105177060005915198848,-0.00000000033495322578190359932062004642250193057834093284688482481311051770600058952754062,-0.00000000033495322578190359932062004642250193057834093284688482481311051770600058958724094,-0.00020916996640647138098661218269906116730485294091048830974454187885708847392395052,-0.0002091699664064713809866121826990611673048529409104883097445418788570884738123972,-0.00020916996640647138098661218269906116730485294091048830974454187885708850953159034,-0.00020916996640647138098661218269906116730485294091048830974454187885708849615705619,-0.00020916996640647138098661218269906116730485294091048830974454187885708849589679014,-0.000000025505381460541264427110915000771663145593581264032916993215251955263525025594902,-0.000000025505381460541264427110915000771663145593581264032916993215251955263525181289793,-0.00000002550538146054126442711091500077166314559358126403291699321525195526352521178116,-0.000000025505381460541264427110915000771663145593581264032916993215251955263525109341186,-0.000000025505381460541264427110915000771663145593581264032916993215251955263524498957457,-0.00062719920781784633433346015007225729558381212919674135706752721163566459789176966,-0.00062719920781784633433346015007225729558381212919674135706752721163566459789394766,-0.00062719920781784633433346015007225729558381212919674135706752721163566459803485733,-0.0006271992078178463343334601500722572955838121291967413570675272116356645983476027,-0.00062719920781784633433346015007225729558381212919674135706752721163566459855918883
-140,-0.00000000021048996139321126256484953908152622456615125291436526292895408320482010576068895,-0.000076514946717142941766779353216299493971286501567936820714338864262868492999726196,-0.000000014035751266405791737761318132643653005646563809302449274711445226770469798781254,-0.00041245426830434109111601919025115836750740795033886304261635488809285967069434376,-140,131541897433013.60060573165012252736906161100180532216626164708023818183309794585,0.000059288801604259737756229384352568653064063397914276393128160537591801277905784075,131541897433013.60054644284851826763130538161745275351319758368232390543996978532,2218663455386196844.9107043374735992623213455572251753254848054097125634788832148,263083794866027.20121146330024505473812322200361064433252329416047636366619589171,5.0780671103955334397271748953266349478162082142885334543939376404591319802595071e-75,3.4699511377305933375414050567328342839172845215497243633610794386237328496433921e-79,7.4546505675539836941790077628790253331685774742303047047932248893742656605487094e-76,8.5311104452219366476490041101875385393404445227394543131538451189056834303748522e-82,0.24363214005502324702128547196907311347990364305912291904693773571573357026319935,4.9651112716030388055719610378071589955474366156887065223520313679012589564019164e-75,3.0933187626326237762741975719587902399998209147764903314100154508801519192575335e-75,5.1971023680119193282586835766851203067555681565484564662063047805402504762166249e-75,-140,-0.00000000021048996139321126256484953908152622456615125291436526292895408320482010575658208,-0.00000000021048996139321126256484953908152622456615125291436526292895408320482010576068895,-0.0000000002104899613932112625648495390815262245661512529143652629289540832048201049075779,-0.00000000021048996139321126256484953908152622456615125291436526292895408320482010529098358,-0.00000000021048996139321126256484953908152622456615125291436526292895408320482010564652252,-0.000076514946717142941766779353216299493971286501567936820714338864262868492989312613,-0.000076514946717142941766779353216299493971286501567936820714338864262868492999726196,-0.000076514946717142941766779353216299493971286501567936820714338864262868487921659086,-0.000076514946717142941766779353216299493971286501567936820714338864262868490293200045,-0.000076514946717142941766779353216299493971286501567936820714338864262868490297109356,-0.000000014035751266405791737761318132643653005646563809302449274711445226770469733497452,-0.000000014035751266405791737761318132643653005646563809302449274711445226770469798781254,-0.000000014035751266405791737761318132643653005646563809302449274711445226770469816292377,-0.000000014035751266405791737761318132643653005646563809302449274711445226770469859680097,-0.000000014035751266405791737761318132643653005646563809302449274711445226770470080492566,-0.00041245426830434109111601919025115836750740795033886304261635488809285967068933494,-0.00041245426830434109111601919025115836750740795033886304261635488809285967069434376,-0.00041245426830434109111601919025115836750740795033886304261635488809285967061191948,-0.00041245426830434109111601919025115836750740795033886304261635488809285967061912707,-0.00041245426830434109111601919025115836750740795033886304261635488809285967135738454
-130,-0.00000000011708709816925600804031833686275734817276405142057751982133455529707099387946659,-0.000026775743469811456679490155823843771061923832107045764426230347735977698755660559,-0.0000000063589762993552065187890342199216391769549503059668158112186154799630043554838977,-0.00023469531406862826107574258357941210206822227848677110922334784351801669435166158,-130,123604020058437.36256860305502116357798129997982334757299561116329631029118408011,0.00008683592730488928007797295964469767021133302341684350041031260726705229329049462,123604020058437.3624817671277162742979033270201786499027842781398794667907737675,1423420281152198418.9760928849493332639024428715250235059118754006178339353434975,247208040116874.72513720611004232715596259995964669514599122232659262058236816022,1.9329531074632950322248860117391579381377514883066570964862031539293761775120402e-75,1.9884318238152202479512906954352342321582755164682434779542335202036527481423302e-79,6.3399829632773475924142132972673280010657013857039791240488159834328120032905947e-76,5.8041317494427004105805170695210420511376636378186174396864164856691099204871631e-82,0.24846366043888412995083604946448257830597692965593838288291705179755707043562175,-3.5768143094217883822158537573649119197895823139952546360712088422290713113259682e-75,3.3065442040061928139728343271219063413613613052488880311009473003281801900650806e-75,6.0417625469169408484409867832971276789000997980492149662452032000305408000138672e-75,-130,-0.00000000011708709816925600804031833686275734817276405142057751982133455529707099387903372,-0.00000000011708709816925600804031833686275734817276405142057751982133455529707099387946659,-0.00000000011708709816925600804031833686275734817276405142057751982133455529707099424667087,-0.00000000011708709816925600804031833686275734817276405142057751982133455529707099442289921,-0.00000000011708709816925600804031833686275734817276405142057751982133455529707099445944689,-0.00002677574346981145667949015582384377106192383210704576442623034773597769876765758,-0.000026775743469811456679490155823843771061923832107045764426230347735977698755660559,-0.000026775743469811456679490155823843771061923832107045764426230347735977700102902853,-0.000026775743469811456679490155823843771061923832107045764426230347735977700688613666,-0.000026775743469811456679490155823843771061923832107045764426230347735977700488270791,-0.0000000063589762993552065187890342199216391769549503059668158112186154799630043759109003,-0.0000000063589762993552065187890342199216391769549503059668158112186154799630043554838977,-0.0000000063589762993552065187890342199216391769549503059668158112186154799630043255430788,-0.0000000063589762993552065187890342199216391769549503059668158112186154799630044641469705,-0.0000000063589762993552065187890342199216391769549503059668158112186154799630045243862611,-0.00023469531406862826107574258357941210206822227848677110922334784351801669434674145,-0.00023469531406862826107574258357941210206822227848677110922334784351801669435166158,-0.00023469531406862826107574258357941210206822227848677110922334784351801669466666461,-0.00023469531406862826107574258357941210206822227848677110922334784351801669483797308,-0.00023469531406862826107574258357941210206822227848677110922334784351801669498073974
-120,-0.0000000000419012664627609463788762792839464839474119324321374839785598743117536258915485,-0.0000090145174931995154798372526709295141157812033677537923140811922192422332335616524,-0.0000000022440006111475647273423030748652873685304952597872046772986672541920009280168104,-0.000084178240311395477255134151110090010837123783897887087380084566776798916227623654,-120,116149051522142.87372978242753581524564135277687827191317297234267520988736751836,0.00012718216706809356304893283586482824312930643942806008264320053310322100372385675,116149051522142.87360260026046772168259241994101344367004366590324714980472431782,913249508163801460.9880307366198620824262408596176962278094466802624777021929034,232298103044285.74745956485507163049128270555375654382634594468535041977473503671,1.899957082120777817584997409816087905645520080175981904705214763437090196695734e-75,6.422192817006912723949865849675708741354105861398994736988750246711732461714306e-80,8.5558791755588009605097131228259271063532812985481628315223112269693681762424014e-76,5.9853157039912755939912233802949539631176574514565072290202741026588887780559666e-82,0.25341346022125336385339458067230446766224955346072549269211321663810960368581799,-2.350292600330106271785302298523273176566427822472825616642916011490445691396928e-75,2.0532497668820916481481291955353362575907468333899395893306635933085312121167927e-75,4.3555314693943563700181096457813889222508138350856534225759450915331004211597843e-75,-120,-0.000000000041901266462760946378876279283946483947411932432137483978559874311753625893757678,-0.0000000000419012664627609463788762792839464839474119324321374839785598743117536258915485,-0.000000000041901266462760946378876279283946483947411932432137483978559874311753626171658499,-0.000000000041901266462760946378876279283946483947411932432137483978559874311753626050000431,-0.000000000041901266462760946378876279283946483947411932432137483978559874311753626490080071,-0.0000090145174931995154798372526709295141157812033677537923140811922192422332429652929,-0.0000090145174931995154798372526709295141157812033677537923140811922192422332335616524,-0.0000090145174931995154798372526709295141157812033677537923140811922192422351335187345,-0.0000090145174931995154798372526709295141157812033677537923140811922192422348871831485,-0.0000090145174931995154798372526709295141157812033677537923140811922192422350673179483,-0.0000000022440006111475647273423030748652873685304952597872046772986672541920009273510832,-0.0000000022440006111475647273423030748652873685304952597872046772986672541920009280168104,-0.0000000022440006111475647273423030748652873685304952597872046772986672541920009720979005,-0.0000000022440006111475647273423030748652873685304952597872046772986672541920009078759723,-0.0000000022440006111475647273423030748652873685304952597872046772986672541920009629982734,-0.000084178240311395477255134151110090010837123783897887087380084566776798916229086479,-0.000084178240311395477255134151110090010837123783897887087380084566776798916227623654,-0.0000841782403113954772551341511100900108371237838978870873800845667767989161770945,-0.000084178240311395477255134151110090010837123783897887087380084566776798916006132698,-0.000084178240311395477255134151110090010837123783897887087380084566776798916861720615
-110,0.000000000028765157513985506488027363984446157853771133409915289570091730769250881130183013,-0.000002948494495703295796782660820075143385515746979952488988854326785199527765873898,-0.00000000062187996820086093622452436404075196805983893835165596616310515331768275026476293,0.00006083604912132728183917311184465216121983602888498852529741497075444089017053182,-110,109148159720472.21185427557741532516085209207370809827930375419396584944265669195,0.00018627432356820965101343732227038348903044464855455091458125171998765481958171216,109148159720472.21166800125384711550983865475143771479027330954541129852807544023,585953864331197011.4779111246622188897250639254441358925259274531577931422146037,218296319440944.4237085511548306503217041841474161965586075083879316988853133839,1.0894476029701514388413406001767257962871597451921733598371161554355158040596805e-75,1.3399651397967260567681021659384394326511546866173872916488859087614749720184757e-80,3.3874359106355408912848427718725645395877771273208606356030669396485890966052687e-75,1.6655849177024475975823203137319925272446299349987821940966486571051070943769099e-81,0.25853170886217806780822609351762197237976580438708629345405127788398989710047788,-9.185421134937786039301249628155932585133697779664396038906197939504656696399579e-76,7.4702412989630729204339593568688702587393623752168869467718079170158499419248564e-76,1.4665152062501576239900795368920031002734900030214893023484332658699107159500655e-75,-110,0.000000000028765157513985506488027363984446157853771133409915289570091730769250881132341791,0.000000000028765157513985506488027363984446157853771133409915289570091730769250881130183013,0.000000000028765157513985506488027363984446157853771133409915289570091730769250881102611364,0.000000000028765157513985506488027363984446157853771133409915289570091730769250881224006222,0.000000000028765157513985506488027363984446157853771133409915289570091730769250879558421305,-0.0000029484944957032957967826608200751433855157469799524889888543267851995277530503684,-0.000002948494495703295796782660820075143385515746979952488988854326785199527765873898,-0.0000029484944957032957967826608200751433855157469799524889888543267851995286294907535,-0.0000029484944957032957967826608200751433855157469799524889888543267851995286078747014,-0.0000029484944957032957967826608200751433855157469799524889888543267851995288424979714,-0.00000000062187996820086093622452436404075196805983893835165596616310515331768275011157043,-0.00000000062187996820086093622452436404075196805983893835165596616310515331768275026476293,-0.0000000006218799682008609362245243640407519680598389383516559661631051533176827508037239,-0.00000000062187996820086093622452436404075196805983893835165596616310515331768274453845635,-0.0000000006218799682008609362245243640407519680598389383516559661631051533176827374040725,0.000060836049121327281839173111844652161219836028884988525297414970754440890170748996,0.00006083604912132728183917311184465216121983602888498852529741497075444089017053182,0.00006083604912132728183917311184465216121983602888498852529741497075444089040103542,0.000060836049121327281839173111844652161219836028884988525297414970754440890646414021,0.000060836049121327281839173111844652161219836028884988525297414970754440887258978111
-100,0.00000000011121709665072855912081906088915021301901983018986310597619162225576308172578764,-0.00000095263606205169631636849558899710310561332986854225766412451298291756504040438469,-0.0000000001475516116482963924832502745061872788090967592555656779163848012989155665467593,0.00023173071132162671354331574098510815721652572367663269914398279332236750520143114,-100,102574309860478.65823410578828368632793276417301125251178094798201772551760616042,0.00027282223931769142036867434442928779586811793642916241788175858082224928520468353,102574309860478.65796128354896599490756408982858196471591283004558856309972440184,375974884294658483.5394879309812028650747335852903001505463799177713180109825531,205148619720957.31646821157656737265586552834602250502356189596403545103521232084,3.8586426405437042339481958559569908331791908132208622912704027291344528436076022e-75,1.0257972997413989098368087948715039595647111253802536868960979734032730989541352e-80,2.5382576494291449533542753926131440005091366539865244050412830968709180307099382e-75,1.4215443381420737352150671078415499728378251369790978694725127345104635525024006e-81,0.26385112456621195754112650547882824394159147279303790019617557607885958271489953,-1.8175304801111143792749707849241931124304875365037010145510869674646041779422906e-75,1.4983283743395746333268714292815210129601394168775425715276799808501263131611329e-75,2.6641127863731472886311909253836195692592274448120078507464213445327356929514228e-75,-100,0.00000000011121709665072855912081906088915021301901983018986310597619162225576308172618965,0.00000000011121709665072855912081906088915021301901983018986310597619162225576308172578764,0.00000000011121709665072855912081906088915021301901983018986310597619162225576308206781577,0.00000000011121709665072855912081906088915021301901983018986310597619162225576308249603122,0.00000000011121709665072855912081906088915021301901983018986310597619162225576308107448689,-0.00000095263606205169631636849558899710310561332986854225766412451298291756503732606289,-0.00000095263606205169631636849558899710310561332986854225766412451298291756504040438469,-0.00000095263606205169631636849558899710310561332986854225766412451298291756643946369062,-0.00000095263606205169631636849558899710310561332986854225766412451298291756763718520112,-0.00000095263606205169631636849558899710310561332986854225766412451298291756889596870343,-0.00000000014755161164829639248325027450618727880909675925556567791638480129891556743273549,-0.0000000001475516116482963924832502745061872788090967592555656779163848012989155665467593,-0.00000000014755161164829639248325027450618727880909675925556567791638480129891557298611365,-0.00000000014755161164829639248325027450618727880909675925556567791638480129891556272814066,-0.00000000014755161164829639248325027450618727880909675925556567791638480129891556396578307,0.00023173071132162671354331574098510815721652572367663269914398279332236750520124239,0.00023173071132162671354331574098510815721652572367663269914398279332236750520143114,0.00023173071132162671354331574098510815721652572367663269914398279332236750637945969,0.00023173071132162671354331574098510815721652572367663269914398279332236750766969171,0.00023173071132162671354331574098510815721652572367663269914398279332236750513143406
-90,0.00000000022558294464650276689180449675992376949414669840525985121928703463195799216475461,-0.00000031233734747535922450487223116568464103030401654160690306412495492697424818022791,-0.000000000033600948315338630246842292781090873839742877147231242872007337041631953318676615,0.000469481891881365124355022866537583563210697316732382332931150937816958420078777,-90,96402163165267.484957140328380798170461040939183485365202681897101669731853997877,0.00036738871081318412275644202501549227433324057438132543816188349508821743965415294,96402163165267.484589751617567614047704598914167993090869441322720344293692114382,262398272804543655.33925072864172221481732640696378900646749248913798231757128141,192804326330534.96991428065676159634092208187836697073040536379420333946370799575,3.7665923849825925973624738467709215352114705144145734307461437335044185709165707e-75,1.8732940391492669486436960309464841461666230540861847458436269669330415727405712e-81,2.3933235121056117200659311965562837791911401049017221632428140108017312629976859e-75,1.1739871672778535292239982045485970532684974942361940103981708050646512301193818e-81,0.26939519273147296312128596725185178199067996420175110696569330718653296964148433,1.6130083895349855675137443767546976711839335956867570527052091686657987074845953e-75,1.6716376629001468418787711916841678104180825082532394676882032882423202174250473e-75,2.8888424458324142782330826074153443466371681969735158380465767161386638040853221e-75,-90,0.00000000022558294464650276689180449675992376949414669840525985121928703463195799216418815,0.00000000022558294464650276689180449675992376949414669840525985121928703463195799216475461,0.00000000022558294464650276689180449675992376949414669840525985121928703463195799180631044,0.00000000022558294464650276689180449675992376949414669840525985121928703463195799141499395,0.00000000022558294464650276689180449675992376949414669840525985121928703463195799258898111,-0.00000031233734747535922450487223116568464103030401654160690306412495492697425192059974,-0.00000031233734747535922450487223116568464103030401654160690306412495492697424818022791,-0.00000031233734747535922450487223116568464103030401654160690306412495492697309956981008,-0.00000031233734747535922450487223116568464103030401654160690306412495492697174856704759,-0.00000031233734747535922450487223116568464103030401654160690306412495492697048532821476,-0.000000000033600948315338630246842292781090873839742877147231242872007337041631953304745612,-0.000000000033600948315338630246842292781090873839742877147231242872007337041631953318676615,-0.000000000033600948315338630246842292781090873839742877147231242872007337041631951775406252,-0.000000000033600948315338630246842292781090873839742877147231242872007337041631953648700291,-0.00000000003360094831533863024684229278109087383974287714723124287200733704163195318436113,0.00046948189188136512435502286653758356321069731673238233293115093781695842007884512,0.000469481891881365124355022866537583563210697316732382332931150937816958420078777,0.00046948189188136512435502286653758356321069731673238233293115093781695841895007891,0.00046948189188136512435502286653758356321069731673238233293115093781695841768552161,0.0004694818918813651243550228665375835632106973167323823329311509378169584197071947
-80,0.00000000039755600420044122572522288376875153550879226625899192942305356625520527193854423,-0.00000010796547281639675307975664122551907720869570417482349230069706840346717365168432,-0.0000000000081107412454944657872586554954092140087628419222940311899148278911064337428523974,0.00082724366243697181286917519308957574791806643611205524657417079540335355605224904,-80,90607982745226.820900950614292225949031358949682818587211317326758286221260963686,0.00034516426876922072743423112675601705332961761442607745757463072539984485426991318,90607982745226.82055578634552300522159712782292680153388169971233220876368633296,262506843678561523.78456370849119486156653516214614312954870713393693682193148214,181215965490453.64180190122858445189806271789936563717442263465351657244252192737,2.0413912097271585171628578792879264806529569220818378019970580321819410605033842e-75,2.3061483521038341560200128078666224789738273615611733718083410486501543414779828e-82,1.865007587499379986991637017121317538631160016201153828475196963456251676742311e-75,1.0062592491314057587300123516488908861104082853267126376111014831294829950289741e-81,0.2751826010005060715966902222681942120589832193545957578549685080234187453587072,8.4035020335496926902821861193672137600436327587088157236384098704357007565121146e-76,6.8634986457086600542313650223970811079464019332381030577430084966215314227864795e-76,9.0569528149820487119099952807000103939049094596088751790734859737761905785081056e-76,-80,0.00000000039755600420044122572522288376875153550879226625899192942305356625520527193888443,0.00000000039755600420044122572522288376875153550879226625899192942305356625520527193854423,0.00000000039755600420044122572522288376875153550879226625899192942305356625520527172306612,0.00000000039755600420044122572522288376875153550879226625899192942305356625520527150375826,0.00000000039755600420044122572522288376875153550879226625899192942305356625520527251001751,-0.00000010796547281639675307975664122551907720869570417482349230069706840346717212095718,-0.00000010796547281639675307975664122551907720869570417482349230069706840346717365168432,-0.00000010796547281639675307975664122551907720869570417482349230069706840346650866670558,-0.00000010796547281639675307975664122551907720869570417482349230069706840346581850682637,-0.00000010796547281639675307975664122551907720869570417482349230069706840346513226047459,-0.0000000000081107412454944657872586554954092140087628419222940311899148278911064337512214337,-0.0000000000081107412454944657872586554954092140087628419222940311899148278911064337428523974,-0.0000000000081107412454944657872586554954092140087628419222940311899148278911064339734672326,-0.0000000000081107412454944657872586554954092140087628419222940311899148278911064337454045114,-0.0000000000081107412454944657872586554954092140087628419222940311899148278911064338756998322,0.00082724366243697181286917519308957574791806643611205524657417079540335355605244666,0.00082724366243697181286917519308957574791806643611205524657417079540335355605224904,0.00082724366243697181286917519308957574791806643611205524657417079540335355538223532,0.00082724366243697181286917519308957574791806643611205524657417079540335355469586082,0.00082724366243697181286917519308957574791806643611205524657417079540335355656086841
-70,0.00000000066036850030666204015549603975166623521779983415297903609522390862695966985866717,-0.000000040878237867939714237957303601921660059277388260601515827352877065752549829549483,-0.0000000000021942891534000089067863940355868525765583673306044098297455503154599155838178528,0.0013740637745629293554413541254336657429867905295229474859490589486947963971515435,-70,85169546346750.555443554840955624952991411890954776446109233576622311502314930732,0.00032428424970187035276934255478123866158167678348889683207760294778534726475537906,85169546346750.555119270591253754600222069336173537784527556793133414670237327784,262638553753538430.63074236909514926640953428473846571535909426896364370649623942,170339092693501.11088710968191124990598282378190955289221846715324462300462986146,1.3097753231044920820209360584186486855406948540991222202307213715550659764832321e-75,3.0866042195847668400390691970179614978017996063978107127516497333644878029652061e-82,3.5051205747154118681428907737217020157746449682245167590860950238504763329542223e-75,1.7541114401080534129553096040828415340661645093950589567601258129213961141490156e-81,0.2812296979055743587013118931591332896256561735056453463421997243402233753804922,-5.4238272433735886816599825470812841341630329178753398477225606331726312486259606e-76,9.1374508471017887494183934877499453691390442783686736304848785290211137070924154e-76,1.5872348764083790638382053963931486534073284481481268609807518854121289338476458e-75,-70,0.00000000066036850030666204015549603975166623521779983415297903609522390862695966986141545,0.00000000066036850030666204015549603975166623521779983415297903609522390862695966985866717,0.00000000066036850030666204015549603975166623521779983415297903609522390862695966998031246,0.00000000066036850030666204015549603975166623521779983415297903609522390862695967012070731,0.00000000066036850030666204015549603975166623521779983415297903609522390862695966836659587,-0.000000040878237867939714237957303601921660059277388260601515827352877065752532038536234,-0.000000040878237867939714237957303601921660059277388260601515827352877065752549829549483,-0.000000040878237867939714237957303601921660059277388260601515827352877065752973001808683,-0.000000040878237867939714237957303601921660059277388260601515827352877065753407665920194,-0.000000040878237867939714237957303601921660059277388260601515827352877065753841813859339,-0.0000000000021942891534000089067863940355868525765583673306044098297455503154599158368079885,-0.0000000000021942891534000089067863940355868525765583673306044098297455503154599155838178528,-0.0000000000021942891534000089067863940355868525765583673306044098297455503154599155281475665,-0.0000000000021942891534000089067863940355868525765583673306044098297455503154599155809241288,-0.0000000000021942891534000089067863940355868525765583673306044098297455503154599155634646374,0.0013740637745629293554413541254336657429867905295229474859490589486947963971513318,0.0013740637745629293554413541254336657429867905295229474859490589486947963971515435,0.0013740637745629293554413541254336657429867905295229474859490589486947963975457121,0.0013740637745629293554413541254336657429867905295229474859490589486947963979827243,0.0013740637745629293554413541254336657429867905295229474859490589486947963944776038
-60,0.0000000010555385213332628194728100275453677705821942493067613860664345540367816198631973,-0.000000017090008775079401686905263387909048140002508405418259376665787894811828694844927,-0.00000000000066196054911765104243241626663750054604416983739355956277610461000507996970956568,0.0021962989169180333381387107684617362627884734645706274165396832439356152672822418,-60,80066065727776.21680483984501163361632922491901201751821544607431352253389368277,0.00030466732544386251555909916891763084715072644542296046090716132004893415644390881,80066065727776.21650017251956777110077012575009438667106471962889056207298652145,262798334580611448.67815361134180562541283885081830649459500500256718097077800103,160132131455552.43360967969002326723265844983802403503643089214862704506778736554,4.6325580421937888204754938953495844525579883302541932727306714061232718457808415e-75,1.4052832219247718946519339433577710884300876256770520318218893094992789997239963e-82,3.9066018827866042684057964488615535631346576509609341637997314155449686096065755e-75,1.1369970166985849629322362675558756704158057957624956985647794157327075072699881e-81,0.28755186014182100401724714887394094271203465484334568526833710998184857285531847,1.9140106138148452885786475544698014125349728850170776208514013644868955649665109e-75,1.6588037655331786592881804338158214657092521134057783577901060825770848190530064e-75,2.4268914968463479966879470820749148007173082442134346218067024796666878858674726e-75,-60,0.0000000010555385213332628194728100275453677705821942493067613860664345540367816198615644,0.0000000010555385213332628194728100275453677705821942493067613860664345540367816198631973,0.0000000010555385213332628194728100275453677705821942493067613860664345540367816193945433,0.0000000010555385213332628194728100275453677705821942493067613860664345540367816189012424,0.0000000010555385213332628194728100275453677705821942493067613860664345540367816187262003,-0.000000017090008775079401686905263387909048140002508405418259376665787894811838806921195,-0.000000017090008775079401686905263387909048140002508405418259376665787894811828694844927,-0.000000017090008775079401686905263387909048140002508405418259376665787894810295774926398,-0.000000017090008775079401686905263387909048140002508405418259376665787894808750399466888,-0.000000017090008775079401686905263387909048140002508405418259376665787894807206248879001,-0.0000000000006619605491176510424324162666375005460441698373935595627761046100050800452213474,-0.00000000000066196054911765104243241626663750054604416983739355956277610461000507996970956568,-0.00000000000066196054911765104243241626663750054604416983739355956277610461000507990469302521,-0.0000000000006619605491176510424324162666375005460441698373935595627761046100050799607140466,-0.00000000000066196054911765104243241626663750054604416983739355956277610461000507996147701987,0.0021962989169180333381387107684617362627884734645706274165396832439356152672822148,0.0021962989169180333381387107684617362627884734645706274165396832439356152672822418,0.0021962989169180333381387107684617362627884734645706274165396832439356152657961247,0.0021962989169180333381387107684617362627884734645706274165396832439356152642545725,0.0021962989169180333381387107684617362627884734645706274165396832439356152633756399
