voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_3 transport over barrier 3,solute_3 transport over barrier 4,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_2 transport over barrier 4,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4
-150,-0.0000082374178277031713099157965856559516055696890294398101659855831188457907344908114,-25.403990376208548789064307329692606206985451870893394334828865325496724437412432,-0.61160907277957486987893079555867814032061998237095893611305774228233846266859527,0.0000014428630936327784567466066936107100624601112686453447930905703470221426142754057,-150,26937781726.184345621821940214729627870872168702040089313189777489816138341011129,0.0000000061953519731151947183736521821013442332842955159909168127828280803610636526420798,26937781726.1843456156265882416144331524985165199387450799054819738252215282283,4348063167852476702.1707879009054216763386436416004210229945918814732112332969757,53875563452.368691243643880429459255741744337404080178626379554979632276682022257,8.586078777474896846559111021996157253603527562322550952990565990041613970704085e-74,2.7013935240335422788208508626839649858450849139956688172354144454687355160292072e-74,4.1863104110192951323277501705386754816667097201331072383968292863282317524274276e-74,1.8412797411409672352592662740282689341684146860890054494649445482325380207933555e-80,279332311.67201060533835833326885742870625598524709614433347869128646625758955891,4.9536696358865732820152527867717634665885622572873955439252253526649882261073767e-74,3.8475477100332508277801462554622008753311170860455577366680059845162481756310595e-74,5.675646992847620072225676926697870006689000333408046561034155380911242380476549e-74,-150,-0.0000082374178277031713099157965856559516055696890294398101659855831188457907344724494,-0.0000082374178277031713099157965856559516055696890294398101659855831188457907344908114,-0.0000082374178277031713099157965856559516055696890294398101659855831188457907344895154,-0.0000082374178277031713099157965856559516055696890294398101659855831188457907344908622,-0.0000082374178277031713099157965856559516055696890294398101659855831188457907344908613,-25.403990376208548789064307329692606206985451870893394334828865325496724437368629,-25.403990376208548789064307329692606206985451870893394334828865325496724437412432,-25.403990376208548789064307329692606206985451870893394334828865325496724437408425,-25.40399037620854878906430732969260620698545187089339433482886532549672443741707,-25.40399037620854878906430732969260620698545187089339433482886532549672443745449,-0.61160907277957486987893079555867814032061998237095893611305774228233846264158133,-0.61160907277957486987893079555867814032061998237095893611305774228233846266859527,-0.61160907277957486987893079555867814032061998237095893611305774228233846266852618,-0.61160907277957486987893079555867814032061998237095893611305774228233846266851685,-0.61160907277957486987893079555867814032061998237095893611305774228233846266851685,0.0000014428630936327784567466066936107100624601112686453447930905703470221426142753551,0.0000014428630936327784567466066936107100624601112686453447930905703470221426142754057,0.0000014428630936327784567466066936107100624601112686453447930905703470221426173333044,0.0000014428630936327784567466066936107100624601112686453447930905703470221470547667329,0.0000014428630936327784567466066936107100624601112686453447930905703470221844773794653
-140,-0.0000062273992328820237886077405501862786455919340904928731370630824300017807328023381,-19.171614636543827711676977675017977928481472786391510915548161788498083459505305,-0.52943465949426143873141383311202195055569825615403057615538126966279960323503642,0.0000047725268382583344034879810290560547594786720418368245026975840399268478604304231,-140,25929640519.767012175945949673947082570565860614172675243406798315904242454651558,0.0000000057190306780013344095550360487586808763279001603121466876027781583129747306929093,25929640519.76701217022691899594574816101082456541399436707889815559209576704878,4533922264048565410.8874518950445779221872948050090397329500849927104819179783157,51859281039.534024351891899347894165141131721228345350486813596631808484909303116,2.045908330701873931754026756297414658397380486334955060112115352082939398169179e-74,1.3817869688151111400618162980480639313785600583098050216037925552269746885059883e-74,1.7569479505446357203879634021290544396279120221134748664789126950869741560183404e-74,6.1455724893610771998238798945545968654533829749188680441998424402440882281656935e-81,568078075.78109030374387683358772797229624304782987343611677040943064601442446338,-2.2676879882256934277828496523362662751062762093107423511686894657123263711503847e-74,1.9549927897005519336276657390321339088638096647588674637264432610189352196384207e-74,4.2831193680341201371220702256319158158785614395223235395615325949705536302231729e-74,-140,-0.0000062273992328820237886077405501862786455919340904928731370630824300017807327961926,-0.0000062273992328820237886077405501862786455919340904928731370630824300017807328023381,-0.0000062273992328820237886077405501862786455919340904928731370630824300017807327984279,-0.0000062273992328820237886077405501862786455919340904928731370630824300017807328014053,-0.0000062273992328820237886077405501862786455919340904928731370630824300017807328014152,-19.171614636543827711676977675017977928481472786391510915548161788498083459493007,-19.171614636543827711676977675017977928481472786391510915548161788498083459505305,-19.171614636543827711676977675017977928481472786391510915548161788498083459493007,-19.171614636543827711676977675017977928481472786391510915548161788498083459499561,-19.171614636543827711676977675017977928481472786391510915548161788498083459484846,-0.52943465949426143873141383311202195055569825615403057615538126966279960322127037,-0.52943465949426143873141383311202195055569825615403057615538126966279960323503642,-0.52943465949426143873141383311202195055569825615403057615538126966279960323508824,-0.52943465949426143873141383311202195055569825615403057615538126966279960323505476,-0.52943465949426143873141383311202195055569825615403057615538126966279960323505475,0.0000047725268382583344034879810290560547594786720418368245026975840399268478604311204,0.0000047725268382583344034879810290560547594786720418368245026975840399268478604304231,0.0000047725268382583344034879810290560547594786720418368245026975840399268477926875454,0.0000047725268382583344034879810290560547594786720418368245026975840399268450368345397,0.000004772526838258334403487981029056054759478672041836824502697584039926830290951615
-130,-0.0000041921026736146128772811285875959335034181790432128684350212198149563349734326122,-12.881951989480712165486817434426961679371224975033673127059567370568649895994083,-0.40405518733290294995250029841412631487697082882260499311606424789955834163768422,0.000013685473589704299552038783681102355465998365742449240287354142417795577527909921,-130,24993116401.643514191848072610577657201683760823511113644384226915085274623880035,0.0000000052793307043496759318332038446150314852343258698939587440177358784160437634985448,24993116401.643514186568741906227981269850556978896082159149901045191315879862299,4734144875798653448.2060723328480938824505373009575798991194073625787095767095731,49986232803.28702838369614522115531440336752164702222728876845383017054924776007,4.1799055806657111986869943015953933924201441763871601903514724795615984327306147e-74,9.3961513879427557524203508267268347333742083965066741469057893755434278818407206e-75,2.1584385381975209361286833786854510208350186039089242344943427275767158268339528e-74,5.5098008687093743656626117484542169807461673930778180504533162133743537512186754e-81,933466453.64948377442455295457569131690549569065938960857951367971250266291119941,2.7920054152850269718559967828621965665069170253083990465501752687088278148983592e-74,1.9444004077309986521590382001017195431490449013340869246037388054679388444229828e-74,4.1606784383742113936818178839996139192740526785328204543470711052997897395822501e-74,-130,-0.0000041921026736146128772811285875959335034181790432128684350212198149563349734277533,-0.0000041921026736146128772811285875959335034181790432128684350212198149563349734326122,-0.0000041921026736146128772811285875959335034181790432128684350212198149563349734332631,-0.0000041921026736146128772811285875959335034181790432128684350212198149563349734327538,-0.0000041921026736146128772811285875959335034181790432128684350212198149563349734327614,-12.881951989480712165486817434426961679371224975033673127059567370568649895974393,-12.881951989480712165486817434426961679371224975033673127059567370568649895994083,-12.881951989480712165486817434426961679371224975033673127059567370568649895996501,-12.881951989480712165486817434426961679371224975033673127059567370568649896000776,-12.881951989480712165486817434426961679371224975033673127059567370568649896016192,-0.40405518733290294995250029841412631487697082882260499311606424789955834164673492,-0.40405518733290294995250029841412631487697082882260499311606424789955834163768422,-0.40405518733290294995250029841412631487697082882260499311606424789955834163733877,-0.404055187332902949952500298414126314876970828822604993116064247899558341637567,-0.404055187332902949952500298414126314876970828822604993116064247899558341637567,0.000013685473589704299552038783681102355465998365742449240287354142417795577527915162,0.000013685473589704299552038783681102355465998365742449240287354142417795577527909921,0.000013685473589704299552038783681102355465998365742449240287354142417795577741802218,0.000013685473589704299552038783681102355465998365742449240287354142417795583720212427,0.000013685473589704299552038783681102355465998365742449240287354142417795599112295303
-120,-0.0000024207227184570540823812874746459600193738943058044000210493185339490009319908703,-7.424895646514643155662387729502496973517256803402670718839217091634430991955775,-0.26090302568720124315556056505916840821322149581389251083654370191240721156197002,0.000032807120246883598589993246406994770483546709396889702808793009562912304590338598,-120,24124394680.129930709242481773716508618294062842225943077887528244978830618240914,0.0000000048734364711660569663205741304636087576680413406607739508696451750426942548787829,24124394680.129930704369045302550451651973488711762334320219486904318056667371269,4950181421849485436.6582528923043685081245058694446790360184407168679622287338933,48248789360.259861418484963547433017236588125684451886155775056489957661236481829,6.6809399942210623621988818010623891082153378819279072794543370045224226189264536e-74,1.8493822052628722862315881693768763982084075041892417857971604550445120129778429e-74,8.038576158033964993521734681273620091149705421005685758166882914768067812920588e-75,1.6126248308638607135257747888770179577071297925609087195264159430564930471709681e-80,1097393202.4058485084516100813293864654229943735342380363365418002507986508288999,-9.6157847725650603752640826270103058510008482080820767614708775949957368691109082e-75,1.2749413662496927351870082260682462820586537697471489302510811788118157295261716e-74,3.0613082871762167053629300763818534514738662322679258689244318564840457604979842e-74,-120,-0.0000024207227184570540823812874746459600193738943058044000210493185339490009320069965,-0.0000024207227184570540823812874746459600193738943058044000210493185339490009319908703,-0.0000024207227184570540823812874746459600193738943058044000210493185339490009319926376,-0.0000024207227184570540823812874746459600193738943058044000210493185339490009319908877,-0.0000024207227184570540823812874746459600193738943058044000210493185339490009319908931,-7.4248956465146431556623877295024969735172568034026707188392170916344309920151919,-7.424895646514643155662387729502496973517256803402670718839217091634430991955775,-7.4248956465146431556623877295024969735172568034026707188392170916344309919621312,-7.4248956465146431556623877295024969735172568034026707188392170916344309919533327,-7.4248956465146431556623877295024969735172568034026707188392170916344309919483825,-0.26090302568720124315556056505916840821322149581389251083654370191240721154379952,-0.26090302568720124315556056505916840821322149581389251083654370191240721156197002,-0.26090302568720124315556056505916840821322149581389251083654370191240721156176275,-0.26090302568720124315556056505916840821322149581389251083654370191240721156229334,-0.26090302568720124315556056505916840821322149581389251083654370191240721156229334,0.000032807120246883598589993246406994770483546709396889702808793009562912304590310207,0.000032807120246883598589993246406994770483546709396889702808793009562912304590338598,0.000032807120246883598589993246406994770483546709396889702808793009562912305326846241,0.000032807120246883598589993246406994770483546709396889702808793009562912302255182801,0.000032807120246883598589993246406994770483546709396889702808793009562912297288270082
-110,-0.0000012055113109544866228422969012343453849780416170237519158559340102279619271953599,-3.6912770124459575011570188212440235461409692463038092237038023218668549723530025,-0.14261675572688294638550796802743539112517511731771358588630813801341466775929734,0.000065693198017314649659717026603595637627212655898858769074966315387874164663184529,-110,23319947228.481282188980637043121737519911226179151180713936034019062185690598874,0.0000000044987488696101899712789573840600317146189365552122790307172099712567715975174936,23319947228.481282184481888173511547548632268795091148999317097463849906659881664,5183651700589795670.7388796059562378892153899823043629865394436391931334431026142,46639894456.962564377961274086243475039822452358302361427872068038124371381197749,2.608122903638522276866678262565720670477032110059756978277158447990914724555053e-74,8.0143644191276446123585345286787708019956483381968691253019968203164531933347323e-75,4.1279700787365040842706153335063002848794175716326379785053958202583982298843916e-75,5.8266169522236644579836950705058573377359862551166177272703046514534322757100227e-81,1061653256.8209148005680214956367573088379121641376290218693528996328897916641357,3.8937869022721032484581260885573584137947183187322296256774082157871802365268009e-75,1.7705206802553922706362629463981845126253719709099672642456084364848235969060337e-74,3.6556195238145887968451900925432753084293834561576095466171940132105706945545052e-74,-110,-0.0000012055113109544866228422969012343453849780416170237519158559340102279619271896599,-0.0000012055113109544866228422969012343453849780416170237519158559340102279619271953599,-0.0000012055113109544866228422969012343453849780416170237519158559340102279619271945031,-0.0000012055113109544866228422969012343453849780416170237519158559340102279619271954799,-0.0000012055113109544866228422969012343453849780416170237519158559340102279619271954865,-3.6912770124459575011570188212440235461409692463038092237038023218668549723313085,-3.6912770124459575011570188212440235461409692463038092237038023218668549723530025,-3.6912770124459575011570188212440235461409692463038092237038023218668549723512062,-3.6912770124459575011570188212440235461409692463038092237038023218668549723552843,-3.6912770124459575011570188212440235461409692463038092237038023218668549723573897,-0.14261675572688294638550796802743539112517511731771358588630813801341466776710444,-0.14261675572688294638550796802743539112517511731771358588630813801341466775929734,-0.14261675572688294638550796802743539112517511731771358588630813801341466775909008,-0.14261675572688294638550796802743539112517511731771358588630813801341466775956875,-0.14261675572688294638550796802743539112517511731771358588630813801341466775956875,0.000065693198017314649659717026603595637627212655898858769074966315387874164663212328,0.000065693198017314649659717026603595637627212655898858769074966315387874164663184529,0.000065693198017314649659717026603595637627212655898858769074966315387874165437626622,0.000065693198017314649659717026603595637627212655898858769074966315387874166706107822,0.000065693198017314649659717026603595637627212655898858769074966315387874168791154608
-100,-0.00000054953437443811655072784954488246036941396266544459490016847805009956409163452523,-1.6804349630911385735608043959479478302991001272469817926730239093008980361989086,-0.069659807656240338038290731686127053440543282511561634352153013778696217215477445,0.00011388552688490206529187696755089473003753788884800286585560641067533189134235682,-100,22576513148.722238068078294966783490512807367674690031281973894562403202674503167,0.0000000041528686198255664679554807245783703393918156547589683444193054080028713744343699,22576513148.722238063925426346957924044851886950111660942582078907644234330083862,5436365851051296336.2090134140826210394972814359089152128752396289479956747093061,45153026297.444476136156589933566981025614735349380062563947789124806405349006335,6.7837104000266862532409793882297138631116182862646990279361190758174288613840865e-74,7.9867286797513423895572982027178095233680771370306730248699209692119136995646125e-74,2.0590349881070808566506470529472852582968356030347339827946904480489923027306928e-74,2.7921384892939507536692498601387424447093327568505252018886325597891049212588606e-80,950095383.36940120304951792363293677793785733207883256146773732433087416543586734,2.0525793544938656326214703513427529419003167920730074839259979349420051435654225e-74,1.1902741079575042368185355424011739958614022950950806900901909186331508362591395e-74,1.9751539620310868628285231559963709068577947999045204541553013557508073259501084e-74,-100,-0.00000054953437443811655072784954488246036941396266544459490016847805009956409160753562,-0.00000054953437443811655072784954488246036941396266544459490016847805009956409163452523,-0.000000549534374438116550727849544882460369413962665444594900168478050099564091635457,-0.00000054953437443811655072784954488246036941396266544459490016847805009956409163543621,-0.00000054953437443811655072784954488246036941396266544459490016847805009956409163543657,-1.6804349630911385735608043959479478302991001272469817926730239093008980361545533,-1.6804349630911385735608043959479478302991001272469817926730239093008980361989086,-1.6804349630911385735608043959479478302991001272469817926730239093008980362031922,-1.6804349630911385735608043959479478302991001272469817926730239093008980362109253,-1.6804349630911385735608043959479478302991001272469817926730239093008980362223904,-0.069659807656240338038290731686127053440543282511561634352153013778696217135713792,-0.069659807656240338038290731686127053440543282511561634352153013778696217215477445,-0.069659807656240338038290731686127053440543282511561634352153013778696217215581079,-0.069659807656240338038290731686127053440543282511561634352153013778696217215383441,-0.069659807656240338038290731686127053440543282511561634352153013778696217215383442,0.00011388552688490206529187696755089473003753788884800286585560641067533189134240615,0.00011388552688490206529187696755089473003753788884800286585560641067533189134235682,0.00011388552688490206529187696755089473003753788884800286585560641067533189276955418,0.00011388552688490206529187696755089473003753788884800286585560641067533190046880152,0.0001138855268849020652918769675508947300375378888480028658556064106753319119327067
-90,-0.00000025681114459759103831781724067396997927486966481125352835268518592467280421080598,-0.78478283020289045337919664261638659899807521696142555476138611363124454972676769,-0.033857406092589687325949550160592398208480281359631191768340436602233914928595296,0.00017862252012458762626628266976924035767457869155729776039463336244742868250816043,-90,21891080915.669889558101568096784114705036476294730374947851171925764233182899461,0.000000003833580907357087413038667484444172789544110353914992601151633406774147488981304,21891080915.669889554267987189427027291997808810286202158307061571849240581747828,5710347960482159240.194265405682839067391371994585987998243050629379989265226106,43782161831.339779116203136193568229410072952589460749895702343851528466365798923,1.5476014050729244768692342538138316031439872653069816241962476618542116511267069e-74,2.9937866155547701685953086469758119057708532690039953745086929290600111078558579e-74,9.228487744743720349534149887586733787574638785183416284403975128503956699629923e-75,2.3740485333509464721736943723346610463759262562447232484620165695138779003042451e-81,809267572.95776400355415567538016721674816829635212840463474619656129743478954316,-2.8796004457510973860600308716041762058293127769723368800593303385040249161157644e-75,1.1499170103459119602942761552953324928297436984327171853185317366074047269333683e-74,2.4364145261435300873568673867710581166393268722722390136786969931954551625098404e-74,-90,-0.00000025681114459759103831781724067396997927486966481125352835268518592467280421318003,-0.00000025681114459759103831781724067396997927486966481125352835268518592467280421080598,-0.00000025681114459759103831781724067396997927486966481125352835268518592467280421139011,-0.00000025681114459759103831781724067396997927486966481125352835268518592467280421301608,-0.00000025681114459759103831781724067396997927486966481125352835268518592467280421302073,-0.78478283020289045337919664261638659899807521696142555476138611363124454971930604,-0.78478283020289045337919664261638659899807521696142555476138611363124454972676769,-0.78478283020289045337919664261638659899807521696142555476138611363124454973478205,-0.78478283020289045337919664261638659899807521696142555476138611363124454973258097,-0.78478283020289045337919664261638659899807521696142555476138611363124454973096486,-0.03385740609258968732594955016059239820848028135963119176834043660223391495833826,-0.033857406092589687325949550160592398208480281359631191768340436602233914928595296,-0.033857406092589687325949550160592398208480281359631191768340436602233914929044377,-0.033857406092589687325949550160592398208480281359631191768340436602233914928400394,-0.033857406092589687325949550160592398208480281359631191768340436602233914928400395,0.00017862252012458762626628266976924035767457869155729776039463336244742868250835394,0.00017862252012458762626628266976924035767457869155729776039463336244742868250816043,0.00017862252012458762626628266976924035767457869155729776039463336244742868892393602,0.00017862252012458762626628266976924035767457869155729776039463336244742868132606577,0.00017862252012458762626628266976924035767457869155729776039463336244742867969544827
-80,-0.00000014616570281625613087768962224746753533593080752709433049183799771057987338391097,-0.44677727117460327896709780697491324648383999198739774512607440733029010816027453,-0.019364289983939661205035248236902331523348214260771859501169071857784459192617301,0.00026184183368878290047556588011912910186610470133848492891882600269458899703865322,-80,21260871891.649881095133228005974718138912956481115946227518818656280982387062202,0.0000000035388412007770387468351034380527725948219392384753391754524048181507068597996025,21260871891.649881091594386805197679392077853043063173632696879417805643211609797,6007862654866101091.6903124269466818113717134766684533312762986749348296077617436,42521743783.299762190266456011949436277825912962231892455037637312561964774124404,1.2341084865229961369677096811941770987124764520779446099198872258870917686719108e-74,1.0225223569231822436457440605555673092201344431492557159868064908679612694944314e-74,1.0335040183814855146912069841799230831592160911293726790507804327891010509315258e-74,1.4661696792288692706864952740416641001065344560734112848933390058190557037810483e-81,659814630.99366459759923154955292863773413399626550278233863059879917313050947359,8.1379651011383079780870063415711297310991678166792758960094397931839554925561709e-75,7.7717297089570970752887485490115440224525420190126915375477796080776800029758122e-75,2.0652111394856257188265122175402896736094696247876509309834926839772474358397113e-74,-80,-0.00000014616570281625613087768962224746753533593080752709433049183799771057987338471888,-0.00000014616570281625613087768962224746753533593080752709433049183799771057987338391097,-0.00000014616570281625613087768962224746753533593080752709433049183799771057987338383771,-0.00000014616570281625613087768962224746753533593080752709433049183799771057987338325271,-0.0000001461657028162561308776896222474675353359308075270943304918379977105798733832535,-0.4467772711746032789670978069749132464838399919873977451260744073302901081579255,-0.44677727117460327896709780697491324648383999198739774512607440733029010816027453,-0.44677727117460327896709780697491324648383999198739774512607440733029010815682007,-0.44677727117460327896709780697491324648383999198739774512607440733029010815257084,-0.44677727117460327896709780697491324648383999198739774512607440733029010814793345,-0.019364289983939661205035248236902331523348214260771859501169071857784459202358899,-0.019364289983939661205035248236902331523348214260771859501169071857784459192617301,-0.019364289983939661205035248236902331523348214260771859501169071857784459192133676,-0.019364289983939661205035248236902331523348214260771859501169071857784459192525697,-0.019364289983939661205035248236902331523348214260771859501169071857784459192525697,0.00026184183368878290047556588011912910186610470133848492891882600269458899703883104,0.00026184183368878290047556588011912910186610470133848492891882600269458899703865322,0.00026184183368878290047556588011912910186610470133848492891882600269458899357101023,0.00026184183368878290047556588011912910186610470133848492891882600269458899134363285,0.00026184183368878290047556588011912910186610470133848492891882600269458898670379086
-70,-0.00000011522436177178827766020701254804039745624532880141283109086809922757908808172526,-0.35259812835750436966457593063932226249627715316744403053536752505740726058307319,-0.014788555884403367898533501721910941135712423572498884567899179452892964070441499,0.00036580900948044973257520457711785050034437805455859923227648938772631347636955163,-70,20683325110.82239567861102609708839933630025343172114669261514379622349941319338,0.0000000032667621597037951375041679778592880534809817574151866700778915180493675901710405,20683325110.822395675344263937384604198796085453861858639134162038808312743115489,6331445051603573273.1522697079908504040233086560652498684262381239640160896296227,41366650221.64479135722205219417679867260050686344229338523028759244699882638676,3.857344685132933691928814059519798468438961562775465080620837154950801528882498e-74,4.2659951457322460070601293226556989807656676666533406171005731320051987467877283e-75,2.2528516454936191417344960452715216124233101063066551717247511054192299852504347e-74,4.4574319832773788090946086032786528493875165725771104479113309609857263732882029e-81,517415571.49497636152609265934789785570180638830978634315929173447044680958324769,1.9959765213296317477982257636574718400759763381738135561842985684362909205604469e-74,1.5124096783811118467127085268490865626438021350761044545880643916342453692798467e-74,3.4084226483744665611859697559826159490149762149389504055315676419680788154148129e-74,-70,-0.00000011522436177178827766020701254804039745624532880141283109086809922757908808305348,-0.00000011522436177178827766020701254804039745624532880141283109086809922757908808172526,-0.00000011522436177178827766020701254804039745624532880141283109086809922757908808173382,-0.00000011522436177178827766020701254804039745624532880141283109086809922757908807859737,-0.00000011522436177178827766020701254804039745624532880141283109086809922757908807859605,-0.35259812835750436966457593063932226249627715316744403053536752505740726058929123,-0.35259812835750436966457593063932226249627715316744403053536752505740726058307319,-0.35259812835750436966457593063932226249627715316744403053536752505740726057381522,-0.35259812835750436966457593063932226249627715316744403053536752505740726056214026,-0.35259812835750436966457593063932226249627715316744403053536752505740726055071778,-0.014788555884403367898533501721910941135712423572498884567899179452892964066296138,-0.014788555884403367898533501721910941135712423572498884567899179452892964070441499,-0.014788555884403367898533501721910941135712423572498884567899179452892964070441499,-0.014788555884403367898533501721910941135712423572498884567899179452892964070562132,-0.014788555884403367898533501721910941135712423572498884567899179452892964070562133,0.00036580900948044973257520457711785050034437805455859923227648938772631347636939969,0.00036580900948044973257520457711785050034437805455859923227648938772631347636955163,0.00036580900948044973257520457711785050034437805455859923227648938772631346708485161,0.00036580900948044973257520457711785050034437805455859923227648938772631346525938385,0.00036580900948044973257520457711785050034437805455859923227648938772631345384103517
-60,-0.00000011694441670984631283307372420543867734500839995761461701629744407950616521767436,-0.35846522797869590383272007699883233359485464009845916984198675942554054967752805,-0.014044980650997719268118309905817821729393709484928195603656924391770073402655433,0.00049265990891911195818038102173407942437670132541705150107690929681054765072880007,-60,20156083239.809645105951796574197936597823143370240651517382803838150056921525576,0.0000000030156015493798827405943591521311157736586868107322608084943322390511744822328032,20156083239.809645102936195024818053857228784218109535743724117027417796113031243,6683934501875577113.7276695826896520130462205166161570950292011008193779623741395,40312166479.619290211903593148395873195646286740481303034765607676300113843051151,3.362492226926022014894176097781335573014014741893266157258978946110141218561291e-74,5.4178093721063418994695479819560916882302886414357786166498597244136117477944553e-74,1.2328647180096537998377010364276082618699468308340527733991290514053895098084622e-74,1.6089599860173629409255554408425368371171697377837591144492224717465260218649292e-81,393424502.57689112203427190438450844083839580567162014298033879560082646267750159,6.8581414142765395711710774734253077578741341284253767619887609181175809855957184e-75,2.0419334747241368616343002981871405650667157527885712503263376689288082392566894e-74,5.1481314763507573770957819816899144915225371673543968701725116949665305810863285e-74,-60,-0.00000011694441670984631283307372420543867734500839995761461701629744407950616521679967,-0.00000011694441670984631283307372420543867734500839995761461701629744407950616521767436,-0.00000011694441670984631283307372420543867734500839995761461701629744407950616521721305,-0.00000011694441670984631283307372420543867734500839995761461701629744407950616521607708,-0.0000001169444167098463128330737242054386773450083999576146170162974440795061652160654,-0.35846522797869590383272007699883233359485464009845916984198675942554054964795781,-0.35846522797869590383272007699883233359485464009845916984198675942554054967752805,-0.35846522797869590383272007699883233359485464009845916984198675942554054967227726,-0.35846522797869590383272007699883233359485464009845916984198675942554054967768792,-0.35846522797869590383272007699883233359485464009845916984198675942554054968158273,-0.014044980650997719268118309905817821729393709484928195603656924391770073456337857,-0.014044980650997719268118309905817821729393709484928195603656924391770073402655433,-0.014044980650997719268118309905817821729393709484928195603656924391770073403277237,-0.014044980650997719268118309905817821729393709484928195603656924391770073402159763,-0.014044980650997719268118309905817821729393709484928195603656924391770073402159765,0.0004926599089191119581803810217340794243767013254170515010769092968105476507297526,0.00049265990891911195818038102173407942437670132541705150107690929681054765072880007,0.00049265990891911195818038102173407942437670132541705150107690929681054764722872225,0.00049265990891911195818038102173407942437670132541705150107690929681054765562609824,0.00049265990891911195818038102173407942437670132541705150107690929681054765955736943
