voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_3 transport over barrier 3,solute_3 transport over barrier 4,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_2 transport over barrier 4,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4
-150,-8.246843895037909e-06,-25.433060180643224,-0.6123088116182771,1.4309033321413977e-06,-150,26937781726.184345,6.195351973115194e-09,26937781726.184345,4.3480631678524769e+18,5.6957476276356525e+17,1.0521507647354156e-06,1.189701420489797e-06,2.386665558497418e-07,1.2126015422081905e-13,279333719.42678696,2.9802322387695313e-07,1.2257544493781293e-06,4.6034450212958953e-06,-150,-8.246843946247888e-06,-8.246843895037909e-06,-8.246843928906798e-06,-8.246843899806437e-06,-8.246844016298063e-06,-25.433059953153133,-25.433060180643224,-25.433060283772647,-25.433060148546208,-25.433061005303898,-0.6123095862567425,-0.6123088116182771,-0.6123089402390178,-0.6123091239042597,-0.612308396555322,1.4309010749634206e-06,1.4309033321413977e-06,1.4926349836998087e-06,1.5400662587335094e-06,1.6695676308131624e-06
-140,-6.261139724657476e-06,-19.275487794177025,-0.5323029839491937,4.68984239644948e-06,-140,25929640519.767014,5.7190306780013339e-09,25929640519.767014,4.5339222640485663e+18,1.8825003948746902e+17,8.123626074052481e-07,9.675983858592474e-07,3.938298132292808e-07,1.869354018164981e-13,568121059.00510633,-1.3113021850585938e-06,1.4331146692412558e-06,4.730627655564036e-06,-140,-6.261139828177797e-06,-6.261139724657476e-06,-6.261139739765683e-06,-6.261139761141831e-06,-6.261139641242395e-06,-19.275488229468465,-19.275487794177025,-19.27548776147887,-19.275488291852646,-19.27548747949004,-0.5323027595877647,-0.5323029839491937,-0.5323031204752624,-0.5323029808214662,-0.5323037271861506,4.689855990750283e-06,4.68984239644948e-06,4.678253068195887e-06,5.0720828814251675e-06,5.007120583933045e-06
-130,-4.190076272925301e-06,-12.875725000856619,-0.40385998191959516,1.3690551430171595e-05,-130,24993116401.643517,5.2793307043496763e-09,24993116401.643517,4.734144875798654e+18,2.5667862460817357e+17,1.218169927597046e-06,2.0080222303819895e-06,5.870115440398394e-07,1.3586571781911208e-13,933451620.41723716,2.384185791015625e-07,1.3288742713574543e-06,5.2018199426782553e-06,-130,-4.1900761722082925e-06,-4.190076272925301e-06,-4.190076265422322e-06,-4.190076250234079e-06,-4.19007630807401e-06,-12.875723885372281,-12.875725000856619,-12.875725103542209,-12.875724923132351,-12.875724801516299,-0.40386158414185047,-0.40385998191959516,-0.40385987985064276,-0.40385995509932027,-0.4038595761196201,1.3690525938914054e-05,1.3690551430171595e-05,1.3765620080929963e-05,1.3670238566483364e-05,1.3178608536890124e-05
-120,-2.4115863154788814e-06,-7.396871851393371,-0.25991954719756905,3.288754246238292e-05,-120,24124394680.129932,4.8734364711660573e-09,24124394680.129932,4.9501814218494853e+18,79961460731001072.0,2.96641155728139e-06,1.470280039939098e-06,1.6668945506947974e-06,6.579330823371348e-13,1097299059.4431446,5.9604644775390625e-07,1.6374252855604757e-06,6.8040004360459167e-06,-120,-2.4115858854966835e-06,-2.4115863154788814e-06,-2.411586543429766e-06,-2.4115865388757702e-06,-2.4115864952598927e-06,-7.39687124453485,-7.396871851393371,-7.396872878540307,-7.396872965157556,-7.396874210946407,-0.2599180769175291,-0.25991954719756905,-0.259918318974087,-0.25991843722559904,-0.25991868726513806,3.288756076896076e-05,3.288754246238292e-05,3.2589120465914556e-05,3.2749076940579444e-05,3.4256015016609354e-05
-110,-1.188469258750962e-06,-3.63909601609339,-0.140599493526679,6.599147420083341e-05,-110,23319947228.481285,4.4987488696101896e-09,23319947228.481285,5.1836517005897964e+18,33252735032586684.0,2.394875991740264e-06,1.1527954484336078e-06,2.2593506456003443e-06,3.192448909818368e-13,1061573506.951142,-1.5497207641601563e-06,1.5425640945727101e-06,6.4277408008851292e-06,-110,-1.1884694937742835e-06,-1.188469258750962e-06,-1.1884691745293925e-06,-1.1884692218983671e-06,-1.188469313745328e-06,-3.6390964817255735,-3.63909601609339,-3.6390955559909344,-3.6390950232712873,-3.639094086849582,-0.1406000293791294,-0.140599493526679,-0.14060064632212743,-0.14060046920797892,-0.14059993491687037,6.59915016444934e-05,6.599147420083341e-05,6.637063329453796e-05,6.560151333178685e-05,6.411128264893762e-05
-100,-4.7559450488028986e-07,-1.4543501979642315,-0.06028649617655901,0.00011608999667483134,-100,22576513148.722237,4.1528686198255666e-09,22576513148.722237,5.4363658510512957e+18,19546842733015620.0,1.0854954780370463e-05,4.403794892041124e-06,4.922569666165888e-06,1.3733852441941083e-12,949994182.98858476,-4.1723251342773438e-06,3.6964731755709225e-06,1.0190924742109844e-05,-100,-4.7559537840356775e-07,-4.7559450488028986e-07,-4.7559422443786146e-07,-4.755942681031945e-07,-4.7559400501832355e-07,-1.454353941604495,-1.4543501979642315,-1.454349241917953,-1.4543464726356587,-1.4543430866497147,-0.060284461826086044,-0.06028649617655901,-0.06028776988387108,-0.06028737987221279,-0.060288865620978085,0.00011609010939898562,0.00011608999667483134,0.0001166460925304258,0.0001135455205962749,0.0001117235228642599
-90,-2.614040484777867e-07,-0.7988154078338994,-0.034461607563571306,0.00017839489350442503,-90,21891080915.669888,3.8335809073570868e-09,21891080915.669888,5.7103479604821596e+18,32538851472226728.0,1.4009856386110187e-06,2.7070163923781365e-06,4.901054560380437e-07,5.533269150072715e-13,809269654.4654727,8.3446502685546875e-07,2.43113500972331e-06,8.5253619515520777e-06,-90,-2.614044042984103e-07,-2.614040484777867e-07,-2.61403859179364e-07,-2.6140385097149527e-07,-2.614039522498419e-07,-0.7988151647150517,-0.7988154078338994,-0.7988140068482608,-0.7988144105664148,-0.7988145628287384,-0.034464314579963684,-0.034461607563571306,-0.03446274108137004,-0.03446286262083802,-0.03446230937575718,0.0001783947315930884,0.00017839489350442503,0.00017815148581207252,0.00017864159126811056,0.00017820113134270343
-80,-1.4794906393237733e-07,-0.45222520420793444,-0.019600101601099595,0.0002616347451342194,-80,21260871891.649879,3.5388412007770387e-09,21260871891.649879,6.0078626548661002e+18,1.5211221503080819e+17,1.5254354366334155e-06,1.3482555159850806e-06,3.883794947809067e-07,2.5013404863533675e-13,659814892.2086674,-4.76837158203125e-07,1.6032185476695342e-06,7.1052658840102812e-06,-80,-1.479491236583398e-07,-1.4794906393237733e-07,-1.4794897287551446e-07,-1.4794898951881044e-07,-1.479492230095631e-07,-0.45222531259059906,-0.45222520420793444,-0.4522246040869504,-0.4522250245201331,-0.45222612952238705,-0.01960025727748871,-0.019600101601099595,-0.019600389437982813,-0.01960042922134353,-0.019599080965827544,0.00026163455537391245,0.0002616347451342194,0.00026146274004146264,0.00026185111953624354,0.0002615532463647874
-70,-1.1841150640961956e-07,-0.3623405368998647,-0.015197616594377905,0.0003653551545456339,-70,20683325110.822395,3.266762159703795e-09,20683325110.822395,6.3314450516035738e+18,1.1142157142848603e+17,3.4983545447175857e-06,5.155497017454713e-07,2.119901481911768e-06,8.049575388026762e-13,517415757.24558783,-7.7486038208007813e-07,2.7776198232756443e-06,9.5937674948241347e-06,-70,-1.1841082751015689e-07,-1.1841150640961956e-07,-1.1841163246769569e-07,-1.1841153160062711e-07,-1.1841156429032142e-07,-0.3623386602848768,-0.3623405368998647,-0.3623404522659257,-0.36234107072909355,-0.36234215863942154,-0.015197131782770157,-0.015197616594377905,-0.015197149477899075,-0.015197647332471902,-0.015197550957252875,0.0003653550459345254,0.0003653551545456339,0.0003646435226789535,0.00036582572920241765,0.00036676342416086527
-60,-1.1905518033847351e-07,-0.3649262893886771,-0.01429755412391387,0.0004921065927266476,-60,20156083239.809647,3.0156015493798828e-09,20156083239.809647,6.6839345018755779e+18,96037306053022096.0,1.569744199514389e-06,8.663409346437723e-07,5.705777100630319e-07,5.596719189599915e-13,393424558.00931883,1.0132789611816406e-06,2.1370529985399863e-06,8.4731108841636505e-06,-60,-1.1905562949939724e-07,-1.1905518033847351e-07,-1.1905506982747828e-07,-1.1905513353071339e-07,-1.190552359454386e-07,-0.364927327260375,-0.3649262893886771,-0.3649257575161755,-0.36492650040634844,-0.3649270285386592,-0.01429828256368637,-0.01429755412391387,-0.01429809007095173,-0.014297981060719531,-0.014297416222751727,0.0004921068087686449,0.0004921065927266476,0.0004921876094594602,0.0004926771704367106,0.0004926032373053779
