voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_3 transport over barrier 3,solute_3 transport over barrier 4,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_2 transport over barrier 4,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4
-150,-0.059711974295504772245278632595226048288150495209830050498269109448395906537996412,-82591.627604501889468657666939942254794818400247568560156490159254422695656725519,-42367.411526466694703872007129398565569585558571615918419021427509371543453078784,-82591.627604501889468657666939942254794818400247568560156490159254422695656725519,-150,229941312.75476722953277402314484465193550047592822617079943412898461535575527598,27981.808654549848267722682654470658125052382622920988512445724226118248165453726,229913330.94611267968450630046219018127737542354560324981092168326038923750711053,8217.5285948636748071848429942000377810031298623109634400190235823816569687743796,459882625.50953445906554804628968930387100095185645234159886825796923071151055196,1.5199656656966222540679979278528703245164160641407855237641718107496721573565872e-75,4.9053437392936445472194478580706269563938882069998078266934635710557601441962586e-75,8.29072181289066684037089778828838358827136034985883012962275533136184813103593e-76,1.4495522171941969433479289320496276135601196900756697881356924159523698400083419e-81,361842.90809053859910131846320704797080882206433242158802683594164396645229791041,-2.0304363942487382348865912919687567310112779228546251581429953731252243264922169e-75,4.1301500910745386986624251250276634798923495253220398720238239704029910202011986e-76,1.7861469419095331477456120751089382653568866528013293885354298477393879281987691e-75,-150,-0.059711974295504772245278632595226048288150495209830050498269109448395906537996413,-0.059711974295504772245278632595226048288150495209830050498269109448395906537996412,-0.059711974295504772245278632595226048288150495209830050498269109448395906537996413,-0.059711974295504772245278632595226048288150495209830050498269109448395906537996413,-0.059711974295504772245278632595226048288150495209830050498269109448395906537996414,-82591.627604501889468657666939942254794818400247568560156490159254422695656725519,-82591.627604501889468657666939942254794818400247568560156490159254422695656725519,-82591.62760450188946865766693994225479481840024756856015649015925442269565672552,-82591.62760450188946865766693994225479481840024756856015649015925442269565672552,-82591.62760450188946865766693994225479481840024756856015649015925442269565672552,-42367.411526466694703872007129398565569585558571615918419021427509371543453078784,-42367.411526466694703872007129398565569585558571615918419021427509371543453078784,-42367.411526466694703872007129398565569585558571615918419021427509371543453078784,-42367.411526466694703872007129398565569585558571615918419021427509371543453078784,-42367.411526466694703872007129398565569585558571615918419021427509371543453078789,-82591.627604501889468657666939942254794818400247568560156490159254422695656725519,-82591.627604501889468657666939942254794818400247568560156490159254422695656725519,-82591.627604501889468657666939942254794818400247568560156490159254422695656725519,-82591.627604501889468657666939942254794818400247568560156490159254422695656725519,-82591.627604501889468657666939942254794818400247568560156490159254422695656725519
-140,-0.054216468436532075760035341968320294920250160416417340007721157341008343889541707,-74831.385720478429511795949410885169255714725622838619273737612482144449516746451,-39104.347483455061603841023384956451516546315944118546075769987383204333519789666,-74831.385720478429511795949410885169255714725622838619273737612482144449516746451,-140,215533836.06661048301998456761197566775966799568902648047952722631764781117297907,30312.331445629084609036404073221743603521367733007018977366017346527054572642068,215503523.73516485393537553120790244601606447432129347346054986030030128411840643,7110.4341298593707807526542224597291860413937101994507275550011280109363255503424,431067672.13322096603996913522395133551933599137805296095905445263529562234595815,2.2108591501041778240989060768769022902056960932956880345660680883631595016095813e-75,1.2436082719336000260556346682432575382407040524788245194434132997042772196553895e-75,1.9345017563411555960865428172672895039299840816337270302453095773177645639083837e-75,1.120108531468243092587035992947439519569183396876653927195762321417740330915537e-81,360583.94856002717833641091239576776364131381166252795760680836267036994214087986,-7.0723079258292743088029080358450277169965970337588002855787320010444354131156187e-76,2.1732642552328656414629357136326067906161726142535806099822741170752571632148167e-76,1.5868649638073529319357375367180115476652504399392834113863640484838324125980581e-75,-140,-0.054216468436532075760035341968320294920250160416417340007721157341008343889541707,-0.054216468436532075760035341968320294920250160416417340007721157341008343889541707,-0.054216468436532075760035341968320294920250160416417340007721157341008343889541707,-0.054216468436532075760035341968320294920250160416417340007721157341008343889541707,-0.054216468436532075760035341968320294920250160416417340007721157341008343889541708,-74831.385720478429511795949410885169255714725622838619273737612482144449516746451,-74831.385720478429511795949410885169255714725622838619273737612482144449516746451,-74831.385720478429511795949410885169255714725622838619273737612482144449516746451,-74831.385720478429511795949410885169255714725622838619273737612482144449516746451,-74831.385720478429511795949410885169255714725622838619273737612482144449516746453,-39104.347483455061603841023384956451516546315944118546075769987383204333519789666,-39104.347483455061603841023384956451516546315944118546075769987383204333519789666,-39104.347483455061603841023384956451516546315944118546075769987383204333519789667,-39104.347483455061603841023384956451516546315944118546075769987383204333519789667,-39104.347483455061603841023384956451516546315944118546075769987383204333519789665,-74831.385720478429511795949410885169255714725622838619273737612482144449516746451,-74831.385720478429511795949410885169255714725622838619273737612482144449516746451,-74831.38572047842951179594941088516925571472562283861927373761248214444951674645,-74831.38572047842951179594941088516925571472562283861927373761248214444951674645,-74831.385720478429511795949410885169255714725622838619273737612482144449516746452
-130,-0.049021114938026900678358032942926368049017400848029565137176885334983832389350826,-67520.800165199502975162760378562213431306672974342080226005839046677229566552623,-35916.268365587151369309485305766565977973854639727045940915029226846598556675476,-67520.800165199502975162760378562213431306672974342080226005839046677229566552623,-130,202483690.24394825002793715964464394239615647676448458828509269208607176239626998,32836.956646126970783350330817442369791526468991063403069075652965020146790269679,202450853.28730212305715380931382650002636495029549352488202361643310674224947971,6166.3354623891628956252051092685538056347689139784145727785876501945497504268128,404967380.48789650005587431928928788479231295352896917657018538417214352479253997,1.1054295750520889120494530384384511451028480466478440172830340441815797508047907e-75,2.5563058923079556091143601513889182730503361078731392899670162271699031737360784e-75,1.2436082719336000260556346682432575382407040524788245194434132997042772196553895e-75,1.054219794323052322434857405127001900770996138236850755007776302510814429096976e-81,363835.59986931223158468781349458941127501064776906313192549248092063230680111167,-9.2270601834073041189571431400722644483635214573517496070480194591404552890200052e-76,2.8215062166506127268639510100690495239310236329913961389702924764213220998220905e-76,1.6780155443587594225280073908044344502478358564114413649528459658749112881270114e-75,-130,-0.049021114938026900678358032942926368049017400848029565137176885334983832389350826,-0.049021114938026900678358032942926368049017400848029565137176885334983832389350826,-0.049021114938026900678358032942926368049017400848029565137176885334983832389350826,-0.049021114938026900678358032942926368049017400848029565137176885334983832389350826,-0.049021114938026900678358032942926368049017400848029565137176885334983832389350825,-67520.800165199502975162760378562213431306672974342080226005839046677229566552622,-67520.800165199502975162760378562213431306672974342080226005839046677229566552623,-67520.800165199502975162760378562213431306672974342080226005839046677229566552623,-67520.800165199502975162760378562213431306672974342080226005839046677229566552623,-67520.800165199502975162760378562213431306672974342080226005839046677229566552622,-35916.268365587151369309485305766565977973854639727045940915029226846598556675476,-35916.268365587151369309485305766565977973854639727045940915029226846598556675476,-35916.268365587151369309485305766565977973854639727045940915029226846598556675476,-35916.268365587151369309485305766565977973854639727045940915029226846598556675476,-35916.268365587151369309485305766565977973854639727045940915029226846598556675474,-67520.800165199502975162760378562213431306672974342080226005839046677229566552622,-67520.800165199502975162760378562213431306672974342080226005839046677229566552623,-67520.800165199502975162760378562213431306672974342080226005839046677229566552623,-67520.800165199502975162760378562213431306672974342080226005839046677229566552623,-67520.800165199502975162760378562213431306672974342080226005839046677229566552622
-120,-0.044077105581652019710441920210083329423552563460711246165059935736105008354893368,-60574.628728354990510127760819550074100239571991666515499837314103151797313546192,-32839.472487653832828809265083555828370345699922749387140952804797113045071917602,-60574.628728354990510127760819550074100239571991666515499837314103151797313546192,-120,190707755.37643304639679605341374370791214754385636275014572077925895310817889862,35571.850476552630406969328700779489760103400427639190098231877565270733264651992,190672183.52595649376638908408504292842238744045593511095562254738138783744563396,5361.1986113047183670610717268641395218860714580289935004777769909939828200074729,381415510.75286609279359210682748741582429508771272550029144155851790621635779723,5.803505269023466788259628451801868511789952244901181090735928731953293691725151e-75,2.3490378469856889381050877066817086833435520991266685367264473438858569704601802e-75,2.2108591501041778240989060768769022902056960932956880345660680883631595016095813e-75,2.1084395886461046448697148102540038015419922764737015100155526050216288581939519e-81,372810.25716190674126492216950461435859552514372214428524125092551423089900372867,-6.0051442059609941896629881191966232444449201655368299604554671860588705978834712e-75,1.0580637091598714615508888143689640886008439457005510240902635529640941152982898e-75,2.7611018959904149691217225181089161150928021034553441721519083633477793407206069e-75,-120,-0.044077105581652019710441920210083329423552563460711246165059935736105008354893368,-0.044077105581652019710441920210083329423552563460711246165059935736105008354893368,-0.044077105581652019710441920210083329423552563460711246165059935736105008354893369,-0.044077105581652019710441920210083329423552563460711246165059935736105008354893369,-0.04407710558165201971044192021008332942355256346071124616505993573610500835489337,-60574.628728354990510127760819550074100239571991666515499837314103151797313546191,-60574.628728354990510127760819550074100239571991666515499837314103151797313546192,-60574.628728354990510127760819550074100239571991666515499837314103151797313546193,-60574.628728354990510127760819550074100239571991666515499837314103151797313546194,-60574.628728354990510127760819550074100239571991666515499837314103151797313546197,-32839.472487653832828809265083555828370345699922749387140952804797113045071917603,-32839.472487653832828809265083555828370345699922749387140952804797113045071917602,-32839.472487653832828809265083555828370345699922749387140952804797113045071917602,-32839.472487653832828809265083555828370345699922749387140952804797113045071917602,-32839.472487653832828809265083555828370345699922749387140952804797113045071917601,-60574.628728354990510127760819550074100239571991666515499837314103151797313546192,-60574.628728354990510127760819550074100239571991666515499837314103151797313546192,-60574.628728354990510127760819550074100239571991666515499837314103151797313546192,-60574.628728354990510127760819550074100239571991666515499837314103151797313546192,-60574.628728354990510127760819550074100239571991666515499837314103151797313546194
-110,-0.039339739392481563196155609189258386809547737575309937171116332449180299951075711,-53913.691706872541824957430870524613095420012446605605065424171162762511535218964,-29911.646359036456822242309505806377929342692843701005328266162116949191123113712,-53913.691706872541824957430870524613095420012446605605065424171162762511535218964,-110,180131035.04776439673354828500980797940776858346284813426221112096643496857999128,38534.525594516778779010609847356438528535900688802078573527201083033623677207213,180092500.52216987995476927439996062296924004756215933218363759376535193495631407,4674.5362053554361871535906606131647495668520637919913102205768960974963054531236,360262070.09552879346709657001961595881553716692569626852442224193286993715998256,6.632577450312533472296718230630706870617088279887064103698204265089478504828744e-75,1.5199656656966222540679979278528703245164160641407855237641718107496721573565872e-75,4.4217183002083556481978121537538045804113921865913760691321361767263190032191627e-75,3.4262143315499200479132865666627561775057374492697649537752729831601468945651719e-81,389178.1823414234775487065151008197376611360463231649161563958903498303518967443,-4.2481304717062785269931044384020161428398688952039049934915982857074125492310269e-75,7.5501983688155847290700658026529808733633937198455364335712889488196871472394455e-76,2.4742867523848163572386965395048486712019432877885893584718201681238528527210217e-75,-110,-0.039339739392481563196155609189258386809547737575309937171116332449180299951075711,-0.039339739392481563196155609189258386809547737575309937171116332449180299951075711,-0.039339739392481563196155609189258386809547737575309937171116332449180299951075711,-0.039339739392481563196155609189258386809547737575309937171116332449180299951075711,-0.039339739392481563196155609189258386809547737575309937171116332449180299951075714,-53913.691706872541824957430870524613095420012446605605065424171162762511535218963,-53913.691706872541824957430870524613095420012446605605065424171162762511535218964,-53913.691706872541824957430870524613095420012446605605065424171162762511535218964,-53913.691706872541824957430870524613095420012446605605065424171162762511535218965,-53913.69170687254182495743087052461309542001244660560506542417116276251153521897,-29911.646359036456822242309505806377929342692843701005328266162116949191123113712,-29911.646359036456822242309505806377929342692843701005328266162116949191123113712,-29911.646359036456822242309505806377929342692843701005328266162116949191123113712,-29911.646359036456822242309505806377929342692843701005328266162116949191123113712,-29911.646359036456822242309505806377929342692843701005328266162116949191123113713,-53913.691706872541824957430870524613095420012446605605065424171162762511535218964,-53913.691706872541824957430870524613095420012446605605065424171162762511535218964,-53913.691706872541824957430870524613095420012446605605065424171162762511535218963,-53913.691706872541824957430870524613095420012446605605065424171162762511535218963,-53913.691706872541824957430870524613095420012446605605065424171162762511535218967
-100,-0.034771791740622592652894092550640092777739316647009179663182970820749482207921666,-47472.379981404315435461137776718697645909308082449176287261879447711604853999008,-27162.862974648620968728754807274084238795515711959663136101616847868767437765419,-47472.379981404315435461137776718697645909308082449176287261879447711604853999009,-100,170686176.75830270915586767508108853111349481094340495680292786613680018951138943,41743.953235529723223040134823893883652777169213423311051755937274597600516118631,170644432.80506717943264463494626463722984203377419153349187611019952559191087332,4088.8838628974362978149031163079037849822008011810121713679344682559252318293063,341372353.51660541831173535016217706222698962188680991360585573227360037902277887,4.974433087734400104222538672973030152962816209915298077773653198817108878621558e-75,1.8308677336800222605819065949136847090765920772604916536250251356757414622704345e-75,1.7272337110188889250772703725600799142232000728872562770047406940337183606324854e-75,1.5813296914845784836522861076905028511564942073552761325116644537662216436454639e-81,415231.07624877871922890325721539219138168846245907393647367555208065887144402627,1.0395171224720732109913800058456550107664608993380231240098986026299371265360923e-74,1.7485432526135134594978654121160022737861400507186338458041112346449339221722728e-75,3.8264594954007404821148176623962105744219574527894710163656391296265869017247361e-75,-100,-0.034771791740622592652894092550640092777739316647009179663182970820749482207921666,-0.034771791740622592652894092550640092777739316647009179663182970820749482207921666,-0.034771791740622592652894092550640092777739316647009179663182970820749482207921665,-0.034771791740622592652894092550640092777739316647009179663182970820749482207921666,-0.034771791740622592652894092550640092777739316647009179663182970820749482207921665,-47472.379981404315435461137776718697645909308082449176287261879447711604853999009,-47472.379981404315435461137776718697645909308082449176287261879447711604853999008,-47472.379981404315435461137776718697645909308082449176287261879447711604853999007,-47472.379981404315435461137776718697645909308082449176287261879447711604853999006,-47472.379981404315435461137776718697645909308082449176287261879447711604853999004,-27162.862974648620968728754807274084238795515711959663136101616847868767437765418,-27162.862974648620968728754807274084238795515711959663136101616847868767437765419,-27162.862974648620968728754807274084238795515711959663136101616847868767437765419,-27162.862974648620968728754807274084238795515711959663136101616847868767437765419,-27162.862974648620968728754807274084238795515711959663136101616847868767437765417,-47472.379981404315435461137776718697645909308082449176287261879447711604853999008,-47472.379981404315435461137776718697645909308082449176287261879447711604853999009,-47472.379981404315435461137776718697645909308082449176287261879447711604853999008,-47472.37998140431543546113777671869764590930808244917628726187944771160485399901,-47472.379981404315435461137776718697645909308082449176287261879447711604853999009
-90,-0.030348040381855228135434278441740751782959729132268000997910542443189565399180585,-41208.876170001713334306283140286690690777401452556485229459658147673373310244715,-24602.949638689961077263134541266423951274874655333293058939077507746489545201561,-41208.876170001713334306283140286690690777401452556485229459658147673373310244715,-90,162313041.23859785696593202980642901366597467437363095285638406808490631085518188,45220.684693677595607028452015748488607548151741971076324101822681397794102168923,162267820.55390417937032500135441326517736712622188898178005996626222491306107971,3589.3539060298926404655922397381519967313791082671425508495992217557920585910889,324626082.47719571393186405961285802733194934874726190571276813616981262171036376,4.5598969970898667622039937835586109735492481924223565712925154322490164720697615e-75,3.7308248158008000781669040047297726147221121574364735583302398991128316589661685e-75,1.658144362578133368074179557657676717654272069971766025924551066272369626207186e-75,1.7789959029201507941088218711518157075510559832746856490756225104869993491011469e-81,454098.12201062298048778411180280996459587759008233779533599090430193027781933031,-6.8297793283747708549919048371667925826969123243697001836038851027757959221435533e-75,1.1303347633986405431071596065683920201533270102121391803326430380712207839822502e-75,2.6341882888386455797168615237660601406312392118091238337346411141293561849928595e-75,-90,-0.030348040381855228135434278441740751782959729132268000997910542443189565399180585,-0.030348040381855228135434278441740751782959729132268000997910542443189565399180585,-0.030348040381855228135434278441740751782959729132268000997910542443189565399180585,-0.030348040381855228135434278441740751782959729132268000997910542443189565399180585,-0.030348040381855228135434278441740751782959729132268000997910542443189565399180586,-41208.876170001713334306283140286690690777401452556485229459658147673373310244714,-41208.876170001713334306283140286690690777401452556485229459658147673373310244715,-41208.876170001713334306283140286690690777401452556485229459658147673373310244716,-41208.876170001713334306283140286690690777401452556485229459658147673373310244717,-41208.876170001713334306283140286690690777401452556485229459658147673373310244719,-24602.94963868996107726313454126642395127487465533329305893907750774648954520156,-24602.949638689961077263134541266423951274874655333293058939077507746489545201561,-24602.94963868996107726313454126642395127487465533329305893907750774648954520156,-24602.949638689961077263134541266423951274874655333293058939077507746489545201561,-24602.949638689961077263134541266423951274874655333293058939077507746489545201563,-41208.876170001713334306283140286690690777401452556485229459658147673373310244716,-41208.876170001713334306283140286690690777401452556485229459658147673373310244715,-41208.876170001713334306283140286690690777401452556485229459658147673373310244715,-41208.876170001713334306283140286690690777401452556485229459658147673373310244714,-41208.876170001713334306283140286690690777401452556485229459658147673373310244715
-80,-0.026060049514046905779588833725971869041399611003146574655508756181445455600183459,-35115.780894404777474054274814901919163014078600101152303960877539442502722017612,-22208.845923297913178962662972059350269397052924755630709333308297834316945011181,-35115.780894404777474054274814901919163014078600101152303960877539442502722017612,-80,154958317.89692844297257148017136976614597761759092056264404041544378668978482487,48986.982920067887440934650273981097412950350460154205564096114745993566586886831,154909330.91400837508513054552109578504856466724046040843847631932904069621823799,3163.2549844879015400005945025634858789008770383126916495237117762797849177340539,309916635.79385688594514296034273953229195523518184112528808083088757337956964975,3.316288725156266736148359115315353435308544139943532051849102132544739252414372e-75,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-76,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-75,1.9107733772105323344131790467926909451474305005542919934515945483008511527382689e-81,510047.37376012223515184100868751448760790458231494311098970620290818417918903479,1.1158416974322570716005583150051426429501268796584319641859080736749288169152709e-75,2.6453486711242211890541128877868896365848032654159224502129484388691917508449162e-76,1.6884807405476947867156705661210028080463581217690973776107906585118551241451237e-75,-80,-0.026060049514046905779588833725971869041399611003146574655508756181445455600183459,-0.026060049514046905779588833725971869041399611003146574655508756181445455600183459,-0.026060049514046905779588833725971869041399611003146574655508756181445455600183459,-0.026060049514046905779588833725971869041399611003146574655508756181445455600183459,-0.026060049514046905779588833725971869041399611003146574655508756181445455600183457,-35115.780894404777474054274814901919163014078600101152303960877539442502722017613,-35115.780894404777474054274814901919163014078600101152303960877539442502722017612,-35115.780894404777474054274814901919163014078600101152303960877539442502722017612,-35115.780894404777474054274814901919163014078600101152303960877539442502722017612,-35115.780894404777474054274814901919163014078600101152303960877539442502722017609,-22208.84592329791317896266297205935026939705292475563070933330829783431694501118,-22208.845923297913178962662972059350269397052924755630709333308297834316945011181,-22208.845923297913178962662972059350269397052924755630709333308297834316945011181,-22208.845923297913178962662972059350269397052924755630709333308297834316945011181,-22208.845923297913178962662972059350269397052924755630709333308297834316945011181,-35115.780894404777474054274814901919163014078600101152303960877539442502722017612,-35115.780894404777474054274814901919163014078600101152303960877539442502722017612,-35115.780894404777474054274814901919163014078600101152303960877539442502722017613,-35115.780894404777474054274814901919163014078600101152303960877539442502722017613,-35115.78089440477747405427481490191916301407860010115230396087753944250272201761
-70,-0.02191956479518040705517347415197742963404100253653237756317688378801072983452955,-29227.006079023900117297066661195408092857180994933250908997699356673981302132322,-19918.222844830792558099551602324866214914973840737262003830342737965127039939677,-29227.006079023900117297066661195408092857180994933250908997699356673981302132322,-70,148575183.9392736311221739042803179051766234042408852336772174507856737062775154,53066.965081723624175320331575866296100720755604408905201695413677130443497605775,148522116.9741919074979985839487420388805226834852808247720157553719965758340178,2799.7678727333747786928364912571922760496823090766488572247741590437038865811859,297150367.87854726224434780856063581035324680848177046735443490157134741255503081,3.4890120962581556286560861525713614267308641472322576795495762019481110884776205e-75,1.1054295750520889120494530384384511451028480466478440172830340441815797508047907e-75,6.632577450312533472296718230630706870617088279887064103698204265089478504828744e-75,1.5154409543393877135001075198700652323583069487154729603236784348592957418269029e-81,588943.89805464380868971214724505191431676564769128852088032535916216226571489171,-1.4892965687581630710596035693998579863837149089846036273850326528124478182218834e-74,2.3726883543240494880958241059332760323721148786000036938845066853020606195445405e-75,5.0522141343229192275982109930755665938376809950915038022673687769976861418843304e-75,-70,-0.021919564795180407055173474151977429634041002536532377563176883788010729834529551,-0.02191956479518040705517347415197742963404100253653237756317688378801072983452955,-0.021919564795180407055173474151977429634041002536532377563176883788010729834529551,-0.021919564795180407055173474151977429634041002536532377563176883788010729834529551,-0.021919564795180407055173474151977429634041002536532377563176883788010729834529549,-29227.006079023900117297066661195408092857180994933250908997699356673981302132322,-29227.006079023900117297066661195408092857180994933250908997699356673981302132322,-29227.006079023900117297066661195408092857180994933250908997699356673981302132325,-29227.006079023900117297066661195408092857180994933250908997699356673981302132326,-29227.006079023900117297066661195408092857180994933250908997699356673981302132325,-19918.222844830792558099551602324866214914973840737262003830342737965127039939677,-19918.222844830792558099551602324866214914973840737262003830342737965127039939677,-19918.222844830792558099551602324866214914973840737262003830342737965127039939677,-19918.222844830792558099551602324866214914973840737262003830342737965127039939677,-19918.222844830792558099551602324866214914973840737262003830342737965127039939676,-29227.006079023900117297066661195408092857180994933250908997699356673981302132325,-29227.006079023900117297066661195408092857180994933250908997699356673981302132322,-29227.006079023900117297066661195408092857180994933250908997699356673981302132322,-29227.006079023900117297066661195408092857180994933250908997699356673981302132321,-29227.006079023900117297066661195408092857180994933250908997699356673981302132318
-60,-0.017958604198918840950821990880488855012979836436886981480919575207494961120549249,-23616.466241978871098992989865482799327057496573949468367666960081474018307740793,-17635.284838069795619234701985592673566654779821451873925111765395293618492364812,-23616.466241978871098992989865482799327057496573949468367666960081474018307740793,-60,143123004.97970538641427634532783690732761961114017285386935285177510912193289833,57486.756993789806262038030579308613676949897444832944072022075228327930572633794,143065518.2227115966080143072972575987139426612427280209252808296998807940023257,2489.6691423238001429013077948348479750527153202009555219755767650413065739056266,286246009.95941077282855269065567381465523922228034570773870570355021824386579666,4.4908076486491112052009029686562077769803201895068663202123258044876677376444621e-75,1.2436082719336000260556346682432575382407040524788245194434132997042772196553895e-75,6.3562200565495112442843549710210940843413762682251030993774457540440835671275463e-75,3.4921030686951108180654651544831937963039247079095681259632590020670727963837329e-81,698941.9563455602376538083792507908678469079505476248619057622314161610962165733,-3.6161674475836131738335103964193436199478409494026131136678666123697199273876263e-75,6.5146100471965753498268462903936163824069544377734222939527304268656244654086046e-76,3.0158554355908944223861014130853491567969002386596377029316536544085370689112826e-75,-60,-0.017958604198918840950821990880488855012979836436886981480919575207494961120549248,-0.017958604198918840950821990880488855012979836436886981480919575207494961120549249,-0.017958604198918840950821990880488855012979836436886981480919575207494961120549249,-0.017958604198918840950821990880488855012979836436886981480919575207494961120549249,-0.017958604198918840950821990880488855012979836436886981480919575207494961120549246,-23616.466241978871098992989865482799327057496573949468367666960081474018307740792,-23616.466241978871098992989865482799327057496573949468367666960081474018307740793,-23616.466241978871098992989865482799327057496573949468367666960081474018307740793,-23616.466241978871098992989865482799327057496573949468367666960081474018307740794,-23616.466241978871098992989865482799327057496573949468367666960081474018307740789,-17635.284838069795619234701985592673566654779821451873925111765395293618492364811,-17635.284838069795619234701985592673566654779821451873925111765395293618492364812,-17635.284838069795619234701985592673566654779821451873925111765395293618492364812,-17635.284838069795619234701985592673566654779821451873925111765395293618492364812,-17635.284838069795619234701985592673566654779821451873925111765395293618492364811,-23616.466241978871098992989865482799327057496573949468367666960081474018307740792,-23616.466241978871098992989865482799327057496573949468367666960081474018307740793,-23616.466241978871098992989865482799327057496573949468367666960081474018307740793,-23616.466241978871098992989865482799327057496573949468367666960081474018307740793,-23616.466241978871098992989865482799327057496573949468367666960081474018307740787
