voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_3 transport over barrier 3,solute_3 transport over barrier 4,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_2 transport over barrier 4,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4
-150,-0.05971197429548927,-82591.627604501,-42367.41152647051,-82591.6276044525,-150,229941312.75476724,27981.808654549848,229913330.94611269,8217.5285948636756,54860833308108104.0,6.274785846471786e-08,7.507333066314459e-08,7.0329406298697e-08,1.7104373473131318e-14,58331.494208603806,1.9315639223260703e-07,8.1763504000801416e-08,9.1895782572404272e-07,-150,-0.059711974295492354,-0.05971197429548927,-0.05971197429550358,-0.05971197429550638,-0.059711974295502,-82591.6276044867,-82591.627604501,-82591.62760449204,-82591.62760448299,-82591.62760443825,-42367.41152645969,-42367.41152647051,-42367.4115265129,-42367.41152653258,-42367.411526534765,-82591.62760448184,-82591.6276044525,-82591.62760448492,-82591.62760449285,-82591.62760452283
-140,-0.05421646843653516,-74831.38572047415,-39104.34748344757,-74831.38572049608,-140,215533836.06661052,30312.331445629086,215503523.73516488,7110.4341298593718,1.575769061843344e+17,1.635635271668434e-08,3.2210664357990026e-08,8.808274287730455e-08,2.7207402997220242e-14,54468.945906081994,1.806720179295162e-07,6.4822578822274798e-08,7.1450905336778447e-07,-140,-0.05421646843654084,-0.05421646843653516,-0.054216468436536255,-0.05421646843651678,-0.054216468436513635,-74831.3857204905,-74831.38572047415,-74831.38572048748,-74831.38572047539,-74831.38572048437,-39104.3474834753,-39104.34748344757,-39104.34748344309,-39104.347483457685,-39104.34748346894,-74831.3857204836,-74831.38572049608,-74831.38572048841,-74831.38572043242,-74831.385720408
-130,-0.049021114938023226,-67520.8001652113,-35916.268365582975,-67520.80016517833,-130,202483690.24394822,32836.956646126979,202450853.28730211,6166.335462389161,10248528435428116.0,8.149072527885437e-08,2.433807821944356e-08,5.181937012821436e-08,2.0823620605625592e-14,50565.015029595932,1.6936175055143033e-07,6.264567421015254e-08,7.0316298450556758e-07,-130,-0.04902111493803335,-0.049021114938023226,-0.04902111493803492,-0.04902111493804405,-0.049021114938038624,-67520.80016521095,-67520.8001652113,-67520.80016525774,-67520.80016529244,-67520.80016527069,-35916.268365583586,-35916.268365582975,-35916.26836560343,-35916.26836557909,-35916.26836559165,-67520.80016520998,-67520.80016517833,-67520.80016515816,-67520.80016516412,-67520.80016516265
-120,-0.044077105581638756,-60574.62872833356,-32839.472487659536,-60574.62872833218,-120,190707755.37643307,35571.85047655263,190672183.52595651,5361.1986113047187,44154030064488272.0,4.238972906023264e-08,7.785274647176266e-08,3.0639057513326406e-08,1.3149203947904198e-14,46626.600860895625,1.5913686619740592e-07,5.4379261467360534e-08,6.0316439454144444e-07,-120,-0.044077105581644224,-0.044077105581638756,-0.04407710558164933,-0.04407710558163618,-0.04407710558164008,-60574.62872835058,-60574.62872833356,-60574.628728333424,-60574.62872832267,-60574.62872830819,-32839.472487640596,-32839.472487659536,-32839.472487692685,-32839.47248769341,-32839.47248771845,-60574.628728341704,-60574.62872833218,-60574.62872834873,-60574.62872831809,-60574.62872833223
-110,-0.039339739392474204,-53913.69170685329,-29911.646359041802,-53913.69170686615,-110,180131035.04776445,38534.525594516781,180092500.52216995,4674.5362053554372,17318388329380218.0,3.7602148950099945e-08,2.7132045943289995e-08,3.735476639121771e-08,1.9442780718748054e-14,42679.398997267097,1.4993758242958369e-07,5.0069209210829677e-08,5.5343020366471762e-07,-110,-0.039339739392486694,-0.039339739392474204,-0.03933973939247852,-0.039339739392478326,-0.03933973939246725,-53913.69170688618,-53913.69170685329,-53913.69170684858,-53913.69170686842,-53913.69170685613,-29911.646359029153,-29911.646359041802,-29911.646359056285,-29911.64635905034,-29911.646359042556,-53913.691706878584,-53913.69170686615,-53913.691706877085,-53913.69170685964,-53913.69170684123
-100,-0.034771791740621054,-47472.3799813909,-27162.862974660482,-47472.37998140699,-100,170686176.75830278,41743.953235529727,170644432.80506724,4088.8838628974377,1.8499175493794218e+19,5.2954419516026974e-08,2.1373125491663814e-08,2.10275175049901e-08,2.2370993946196904e-14,38773.245037137385,1.4174644310828088e-07,5.159355076253989e-08,5.8486805287749632e-07,-100,-0.03477179174062898,-0.034771791740621054,-0.0347717917406104,-0.034771791740613234,-0.03477179174060661,-47472.379981410675,-47472.3799813909,-47472.37998136382,-47472.37998137062,-47472.37998135772,-27162.86297463911,-27162.862974660482,-27162.86297463975,-27162.862974646865,-27162.862974647433,-47472.37998142264,-47472.37998140699,-47472.379981411184,-47472.379981409686,-47472.37998140161
-90,-0.03034804038185293,-41208.8761699982,-24602.949638686714,-41208.87616999968,-90,162313041.2385979,45220.684693677606,162267820.55390424,3589.3539060298926,19703965727503976.0,2.986053004860878e-08,2.8998329071328044e-08,3.372406354174018e-08,1.2375517277618542e-14,34984.089995066643,1.344663373502309e-07,3.8045191842476385e-08,4.3905839475222308e-07,-90,-0.030348040381846846,-0.03034804038185293,-0.03034804038185292,-0.03034804038185922,-0.03034804038185552,-41208.8761699974,-41208.8761699982,-41208.8761700078,-41208.876169997224,-41208.87616997794,-24602.949638689533,-24602.949638686714,-24602.949638693564,-24602.94963869968,-24602.949638715712,-41208.87616998008,-41208.87616999968,-41208.876169986615,-41208.876170013806,-41208.87617001351
-80,-0.02606004951404474,-35115.78089439408,-22208.845923295736,-35115.78089440981,-80,154958317.89692849,48986.982920067887,154909330.91400841,3163.2549844879027,3.7113951192322637e+17,3.255263436585665e-08,2.0649167709052563e-08,2.1987943910062313e-08,1.6167622796103842e-15,31411.354908046502,1.2805775859363543e-07,3.7563566535890666e-08,4.2228685059875204e-07,-80,-0.026060049514044826,-0.02606004951404474,-0.026060049514045856,-0.02606004951404424,-0.026060049514044746,-35115.780894407726,-35115.78089439408,-35115.78089440026,-35115.78089438037,-35115.78089437517,-22208.845923288274,-22208.845923295736,-22208.84592330194,-22208.84592330509,-22208.845923308923,-35115.78089440016,-35115.78089440981,-35115.780894404015,-35115.78089441727,-35115.78089442215
-70,-0.021919564795182284,-29227.006079028775,-19918.222844830234,-29227.00607902516,-70,148575183.93927363,53066.965081723632,148522116.9741919,2799.7678727333741,72300820744074352.0,2.89292074739933e-08,2.652814146131277e-08,3.597233444452286e-08,1.362104873336989e-14,28169.838132758432,1.2249588940929091e-07,3.0470422425354492e-08,3.4209128374484976e-07,-70,-0.02191956479518166,-0.021919564795182284,-0.0219195647951773,-0.021919564795172833,-0.021919564795168663,-29227.006079014856,-29227.006079028775,-29227.0060790414,-29227.00607902392,-29227.00607901247,-19918.222844847434,-19918.222844830234,-19918.222844820906,-19918.222844831558,-19918.222844842996,-29227.006079028535,-29227.00607902516,-29227.006079001643,-29227.00607899986,-29227.006078992563
-60,-0.017958604198922118,-23616.4662419777,-17635.284838075167,-23616.466241987582,-60,143123004.97970539,57486.756993789815,143065518.22271159,2489.6691423237999,12560876755017078.0,3.370223566889763e-08,2.5625922717154026e-08,2.1391315385699272e-08,1.384309333829492e-14,25375.676197462017,1.1775737561639342e-07,2.6187288621408418e-08,3.0836545050760833e-07,-60,-0.01795860419892569,-0.017958604198922118,-0.017958604198915366,-0.01795860419891234,-0.01795860419891185,-23616.46624199237,-23616.4662419777,-23616.46624197485,-23616.46624196365,-23616.466241958668,-17635.28483804954,-17635.284838075167,-17635.284838062915,-17635.284838061045,-17635.28483806725,-23616.46624199688,-23616.466241987582,-23616.46624197549,-23616.46624197817,-23616.466241978516
