voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_3 transport over barrier 3,solute_3 transport over barrier 4,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_2 transport over barrier 4,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4
-150,-0.0008276848050776958,-1722.151432076403,0.0008073096403791169,-0.039980888035381246,-150,232675210121948.44,0.001784369561639611,232675210121948.44,1.3039631202190493e+17,1.7322873357973722e+17,0.007906995842859033,0.008724061985020626,0.015161285313671807,4.244022108897648e-09,68.24945451462348,0.14565473157020883,0.011596538412538842,0.073644695494950133,-150,-0.0008276852726681789,-0.0008276848050776958,-0.0008276851301673285,-0.0008276890490998047,-0.0008276872421142413,-1722.1444788834779,-1722.151432076403,-1722.1490831672709,-1722.1523858793207,-1722.1507013549563,-0.0006323384968425216,0.0008073096403791169,0.006597474217414856,0.008091723488178104,0.006986925924138632,-0.04646736349968705,-0.039980888035381246,-0.04879638628181615,-0.05514217334905305,-0.05196204670937732
-140,-0.0007131417112340218,-1483.8389245719538,0.010274622756043073,-0.02842710869178419,-140,246432098170009.81,0.0018299070369643317,246432098170009.81,1.3466918985066083e+17,4.1060902668935974e+17,0.09350339096272364,0.0637008658661955,0.022030466096720294,3.824498458096341e-08,49.06262516034819,0.034520968687135306,0.076911997593630918,0.36774020258682483,-140,-0.0007131104816596424,-0.0007131417112340218,-0.0007131487266442233,-0.0007131457205196342,-0.0007131182856754997,-1483.7725660066353,-1483.8389245719538,-1483.842015244125,-1483.837226039681,-1483.7485118531622,0.002233438513755459,0.010274622756043073,-0.0028323978185653687,-0.005235830903984606,-0.05342624311015243,-0.021764101962617133,-0.02842710869178419,-0.02682660737684217,-0.022957437850717667,-0.006396642595063895
-130,-0.0005503763262303023,-1145.1750252557024,0.006578603527970017,-0.017417330976458235,-130,261159787138966.5,0.0018766066379515439,261159787138966.5,1.3916597216348008e+17,7.808201668671147e+18,0.0023890704235327576,0.004155951458898244,0.002076311211567372,2.1140475095320077e-09,37.086320144776025,0.16361733770609657,0.004652902148538419,0.028608506328442931,-130,-0.0005503775505947075,-0.0005503763262303023,-0.000550377372718494,-0.0005503776415334991,-0.0005503784402778118,-1145.174121807795,-1145.1750252557024,-1145.1748479415255,-1145.1726361852789,-1145.1732695938554,0.0030497472739341447,0.006578603527970017,0.004384882748126984,0.002628308313433081,0.0024226520690717734,-0.017339497338980436,-0.017417330976458235,-0.017578386278857216,-0.01859290018609002,-0.01941580855054781
-120,-0.00038462744910018484,-800.2935015630842,-0.003953941852600451,-0.00934661779488777,-120,276895438112945.41,0.0019244980222852929,276895438112945.41,1.4387930510011075e+17,1.6881341477621682e+19,0.004058237748267857,0.012341684551287813,0.003252411537687294,4.4790536701680775e-09,32.648615691211603,0.17355292927974958,0.011222017439292435,0.036698940080631244,-120,-0.0003846229700465147,-0.00038462744910018484,-0.00038462343576353843,-0.0003846242342448683,-0.0003846233929002242,-800.294251519721,-800.2935015630842,-800.2946210766386,-800.2975598008325,-800.297243501409,0.003023194894495873,-0.003953941852600451,0.0053186677396297455,0.006814761843997985,0.008387742698687362,-0.006254085732507519,-0.00934661779488777,-0.009149034168895676,-0.009367830067485077,-0.009506497270194814
-110,-0.00025228305522441034,-524.935061906417,0.006100370427787993,-0.00456993386166978,-110,293682864232401.12,0.0019736116045197733,293682864232401.12,1.4880479196607741e+17,3.4080492176439566e+19,0.0012710549344774336,0.003108308671414761,0.00029983239187285696,1.2187511578285251e-09,30.564037731524849,0.18414814028654564,0.0029806202285261175,0.019603292133571669,-110,-0.0002522824530008499,-0.00025228305522441034,-0.00025228278338523775,-0.00025228353446974663,-0.0002522836717520077,-524.9345032311976,-524.935061906417,-524.935279880272,-524.9342792800403,-524.9340088253375,0.006751679552451151,0.006100370427787993,0.006653372198343277,0.004389798472402617,0.0036433708810363896,-0.00452685212076176,-0.00456993386166978,-0.004339337198418225,-0.004639169590291082,-0.004448844352737069
-100,-0.0001606984270052075,-334.37369217102406,0.005372183601444647,-0.002106573558481064,-100,311572113059024.0,0.0020239785753948087,311572113059024.0,1.5394042053940566e+17,8.1456864501370683e+19,0.006449765409342945,0.005343866547946163,0.004462091266759671,3.847628398100664e-09,29.352063912047022,0.043845935367760533,0.0045518078852034728,0.014074838885595164,-100,-0.00016069864934353201,-0.0001606984270052075,-0.0001607004128400834,-0.0001607022746336056,-0.00016070217288198787,-334.3719399194233,-334.37369217102406,-334.3754659322731,-334.37675155412126,-334.37838968483265,0.00694701295537925,0.005372183601444647,0.004448425490409136,0.002983857164508663,0.001603146407433087,-0.005896281072637066,-0.002106573558481064,-0.0035410452011439553,-0.0046647491639177415,-0.001434189805877395
-90,-0.00010135499186189906,-210.89755061584634,0.005868919256315053,-0.0009355774404745215,-90,330619180942210.13,0.002075630921644268,330619180942210.13,1.5928611271617648e+17,1.2415702406825585e+19,0.004458301700651646,0.0038616366446149186,0.002942323333184827,3.4645332710141587e-09,28.70338059177568,0.046595512954308083,0.0035862519355171047,0.010682728674005867,-90,-0.00010135558002839296,-0.00010135499186189906,-0.00010135676104769078,-0.00010135845639517007,-0.00010135824942586764,-210.89659168338403,-210.89755061584634,-210.8987236883986,-210.9000556845981,-210.90104998508468,0.006628493036259897,0.005868919256315053,0.004621866159141064,0.0037854512920603156,0.0027668563916449784,-0.0038779007736593485,-0.0009355774404745215,-0.00219665402100111,-0.0035558074140221467,-0.0011122642899863422
-80,-6.377703923037658e-05,-132.70856398663088,0.005952311029005841,-0.00034136305101098327,-80,350885837501359.87,0.0021286014463099954,350885837501359.87,1.6484337080087616e+17,1.3757598072349235e+19,0.006878204323584214,0.0057039163638137325,0.004665215725253802,4.53542631845738e-09,28.558381832781674,0.049476732989759464,0.0050080690774280305,0.013483507909740846,-80,-6.377760388503898e-05,-6.377703923037658e-05,-6.3779253848265e-05,-6.378157465669504e-05,-6.378140874956378e-05,-132.7071785745211,-132.70856398663088,-132.71046967894654,-132.71230000558262,-132.71405677884468,0.007649963259495962,0.005952311029005841,0.00484588835388422,0.0035294947592774406,0.0019460468956822297,-0.004599322652211413,-0.00034136305101098327,-0.001937275293745544,-0.0036195363989606722,6.5893073042389e-05
-70,-4.004804507460075e-05,-83.34160901951007,0.01085684800310105,0.0014865148262706118,-70,372439542705752.19,0.0021829237895741554,372439542705752.19,1.7061500015921658e+17,1.7222779280456294e+18,0.04039360274327919,0.02529294514869207,0.02064089370864709,2.5084973787182867e-08,28.908306196577584,0.052553502320609437,0.025646837610693911,0.08073604215472957,-70,-4.0049868956719516e-05,-4.004804507460075e-05,-4.006154898533893e-05,-4.007313004838793e-05,-4.00726872393093e-05,-83.33380967285484,-83.34160901951007,-83.35212270273769,-83.36450219719427,-83.37420327559812,0.01990338440572259,0.01085684800310105,0.0056825149222277105,0.0010182257246924564,-0.005389560742969479,-0.019154378882376477,0.0014865148262706118,-0.010923493705395693,-0.017976803370065325,-0.0009465712937526405
-60,-2.4948660254776263e-05,-51.925238166579774,0.013861531454026021,-0.00010953794179828838,-60,395353442582112.69,0.0022386324501232286,395353442582112.69,1.7660489222353133e+17,6.146976262789548e+18,0.027427045614430767,0.02152412108102908,0.00644834961349261,6.54498440121111e-09,29.738361948339893,0.055800336606937985,0.022685477605689171,0.09667272563273499,-60,-2.4948013357047567e-05,-2.4948660254776263e-05,-2.494802907028812e-05,-2.4948741430301376e-05,-2.4942196445900165e-05,-51.9249903280288,-51.925238166579774,-51.92486945998098,-51.92387026557208,-51.89781112096534,0.015456611271019938,0.013861531454026021,0.014614528103265911,0.011728840516298078,-0.006067509810009142,-0.0006064352346584201,-0.00010953794179828838,8.208483626524765e-05,0.00048634744160117103,0.00584191437883419
