voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4","current, barrier 5",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4,solute_1 transport over barrier 5
-150,-0.07008486551060489,-218741.77749876684,-150,360586657.2026065,33904.732558071351,360552752.47004843,10635.289825247872,2.5867047550167642e+17,1.2747477740049362e-08,4.093947403305265e-15,7.5087882578372955e-09,-381501.43296474608,1.1059659728688277e-08,3.68554599131099e-08,-150,-0.07008486551060256,-0.07008486551060489,-0.0700848655106038,-0.07008486551060562,-0.07008486551060665,-0.07008486551060301,-218741.77749875956,-218741.77749876684,-218741.77749876346,-218741.7774987691,-218741.7774987723,-218741.77749876096
-140,-0.06449732835586716,-201302.5229583869,-140,342851757.51514637,36261.428773639345,342815496.08637273,9454.9985786656689,47599772534891440.0,3.230525180697441e-09,1.0408340855860843e-15,-1.8975697457790375e-08,-350680.22529141704,3.6090712052064119e-09,1.4060988755282278e-08,-140,-0.06449732835586656,-0.06449732835586716,-0.06449732835586694,-0.06449732835586709,-0.06449732835586698,-0.06449732835586612,-201302.52295838503,-201302.5229583869,-201302.52295838622,-201302.5229583867,-201302.52295838634,-201302.52295838366
-130,-0.059139892228787,-184581.4364194351,-130,326665704.23864281,38781.937431702187,326626922.30121112,8423.1404068949596,55330221127123880.0,6.257323548197746e-09,2.005340338229189e-15,2.0372681319713593e-09,-322583.08899405878,9.4732892669703765e-09,3.1103513896402202e-08,-130,-0.05913989222878901,-0.059139892228787,-0.05913989222878824,-0.05913989222878843,-0.05913989222878847,-0.05913989222878748,-184581.43641944136,-184581.4364194351,-184581.43641943895,-184581.43641943956,-184581.43641943968,-184581.4364194366
-120,-0.053978990898457785,-168473.75436472468,-120,311955376.23553324,41477.645030077838,311913898.59050316,7521.0484107599732,38285248297902992.0,2.270098775625229e-08,7.271960811294775e-15,-1.9630913043423347e-08,-297189.1368977364,2.673264697155653e-08,6.252845199256063e-08,-120,-0.05397899089845715,-0.053978990898457785,-0.05397899089845812,-0.05397899089846181,-0.053978990898464425,-0.05397899089846364,-168473.7543647227,-168473.75436472468,-168473.75436472573,-168473.75436473725,-168473.7543647454,-168473.75436474296
-110,-0.04898252978828465,-152879.3064553204,-110,298654319.01569986,44360.729534744918,298609958.28616512,6732.4032347525545,1.7782960200073206e+17,9.138602763414383e-09,2.9282132274488504e-15,-1.3870137090292161e-08,-274466.14605370129,1.2124743391766378e-08,4.0934059523933808e-08,-110,-0.04898252978828394,-0.04898252978828465,-0.048982529788284414,-0.04898252978828449,-0.04898252978828405,-0.04898252978828172,-152879.30645531818,-152879.3064553204,-152879.30645531966,-152879.3064553199,-152879.30645531852,-152879.30645531125
-100,-0.044121106148143074,-137706.3238081869,-100,286702444.52567571,47444.215394286985,286655000.31028146,6042.9378406413507,2.7231997573385554e+18,1.280568540096283e-08,4.107825191113079e-15,-2.2700987756252289e-09,-254363.6303544488,1.7971534033052606e-08,4.5853272415130597e-08,-100,-0.04412110614814437,-0.044121106148143074,-0.04412110614814447,-0.04412110614814176,-0.04412110614814305,-0.04412110614814036,-137706.32380819094,-137706.3238081869,-137706.32380819123,-137706.3238081828,-137706.3238081868,-137706.32380817842
-90,-0.03936951566160574,-122876.14126593553,-90,276045759.69847965,50742.032378355507,275995017.66610128,5440.1794086637647,1.0391508083957763e+17,1.5032128430902958e-08,4.8155923693116165e-15,-2.3544998839497566e-08,-236807.282013797,1.7355840299135392e-08,3.9591245823422661e-08,-90,-0.03936951566160664,-0.03936951566160574,-0.0393695156616068,-0.03936951566160568,-0.039369515661605174,-0.03936951566160198,-122876.14126593832,-122876.14126593553,-122876.14126593883,-122876.14126593534,-122876.14126593375,-122876.1412659238
-80,-0.03470825535222688,-108327.88811556455,-80,266636122.5377956,54269.078505956684,266581853.45928964,4913.2236971469692,62267001931921944.0,6.708432920277119e-09,2.1510571102112408e-15,-1.964508555829525e-08,-221695.95658474162,5.3480953398379529e-09,2.0316305970879966e-08,-80,-0.03470825535222565,-0.03470825535222688,-0.03470825535222561,-0.034708255352226366,-0.03470825535222473,-0.034708255352226,-108327.88811556071,-108327.88811556455,-108327.88811556059,-108327.88811556295,-108327.88811555784,-108327.8881155618
-70,-0.030124578653760167,-94021.78106666719,-70,258431024.6345945,58041.287347843077,258372983.34724665,4452.5377785956061,3.3948970810141325e+17,6.548361852765083e-09,2.0990154059319366e-15,-2.0367632821092447e-08,-208902.2281647475,7.9338713134881829e-09,2.8018338094071282e-08,-70,-0.03012457865375989,-0.030124578653760167,-0.030124578653760836,-0.030124578653758737,-0.030124578653759313,-0.03012457865375878,-94021.78106666633,-94021.78106666719,-94021.78106666928,-94021.78106666273,-94021.78106666452,-94021.78106666286
-60,-0.025612604508878208,-79939.46475929528,-60,251393399.1337114,62075.700007051411,251331323.43370435,4049.7875836302237,99111136793116352.0,8.265487849712372e-09,2.6471880243406076e-15,2.6280758902430534e-08,-198277.03386857745,1.0796207749849085e-08,2.8239392352302772e-08,-60,-0.025612604508877295,-0.025612604508878208,-0.02561260450887731,-0.025612604508879595,-0.025612604508879637,-0.025612604508879942,-79939.46475929243,-79939.46475929528,-79939.46475929247,-79939.46475929962,-79939.46475929975,-79939.4647593007
