voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4","current, barrier 5",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4,solute_1 transport over barrier 5
-150,-3.751676429947482e-05,-78.06234768929426,-150,4.3978379320994624e+17,4.0341764968392273e-06,4.3978379320994624e+17,1.0901451474780945e+23,3.0581946376342077e+20,10.207446709225152,4.905698888453608e-06,-41.829751728752889,-41.829751728752889,14.148930830084177,20.366568049467162,-150,-3.749326101855381e-05,-3.751676429947482e-05,-4.238036703557315e-05,-4.239895990700742e-05,-4.2296130342319975e-05,-4.2387009682719185e-05,-78.013443650757,-78.06234768929426,-88.18220356964866,-88.22089035998215,-88.00692955122759,-88.1960251409055
-140,-3.134302744446999e-05,-65.21645327605074,-140,3.7805748969017274e+17,6.9393089240275357e-06,3.7805748969017274e+17,5.448056770914737e+22,1.7189805900977894e+20,7.451165242102675,3.5810300153545462e-06,-43.705734037744151,-43.705734037744151,10.328113555173388,14.959947701320708,-140,-3.1342195690002105e-05,-3.134302744446999e-05,-3.4916551532209344e-05,-3.4906961852957295e-05,-3.4822645004855095e-05,-3.492322570535665e-05,-65.21472261756576,-65.21645327605074,-72.65200069123875,-72.6320471347426,-72.4566063355287,-72.66588785966843
-130,-2.5831395754773974e-05,-53.748222544265445,-130,3.2507317811364557e+17,1.1936515018819023e-05,3.2507317811364557e+17,2.7233508071756081e+22,1.3341525112279569e+20,14.281471822074309,6.863675357688913e-06,1429.9478290497141,-64.0,17.190280972098098,29.29942495273928,-130,-2.6179306162427917e-05,-2.5831395754773974e-05,-2.88276489287603e-05,-2.8878009320150222e-05,-3.269507111246289e-05,-2.8687129296589574e-05,-54.47213100796487,-53.748222544265445,-59.98262365534811,-60.08741015428677,-68.02969436633975,-59.69023990135159
-120,-2.1899488213909e-05,-45.56697506015189,-120,2.7959576329911795e+17,2.0532360261574478e-05,2.7959576329911795e+17,1.3617322107014197e+22,1.8969801528264004e+19,3.959325129363336,1.9028516571720175e-06,-25.433487511275622,-25.433487511275622,5.2571630615638254,7.7239066371936156,-120,-2.183885270557219e-05,-2.1899488213909e-05,-2.3690782401883877e-05,-2.374170436274421e-05,-2.363503526960831e-05,-2.3694629688474578e-05,-45.44080879228504,-45.56697506015189,-49.29417894690778,-49.400133921648376,-49.178184081582,-49.30218412083766
-110,-1.854943045288611e-05,-38.59640127525199,-110,2.4056476117268227e+17,3.5318333470567094e-05,2.4056476117268227e+17,6.8113282121071612e+21,1.7755498051607527e+19,1.4303274726906068,6.874153833751085e-07,31.584884137733589,-39.41826867371423,1.5645745194170722,2.8511094850805989,-110,-1.821985660930251e-05,-1.854943045288611e-05,-1.8816507509454493e-05,-1.885378317018616e-05,-1.8907271992677618e-05,-1.8820521483971808e-05,-37.91064629484501,-38.59640127525199,-39.152117164907395,-39.2296778405871,-39.340973767535615,-39.16046917180984
-100,-1.4719269599848032e-05,-30.626861422904767,-100,2.0706961747850826e+17,6.0752132889106447e-05,2.0706961747850826e+17,3.4084337064590238e+21,1.5911207008933194e+19,0.9511544550881617,4.5712483111537034e-07,-4.7220163111853077,-30.802462865176462,1.2398447391378613,2.0829606607258273,-100,-1.5176394430963402e-05,-1.4719269599848032e-05,-1.5027162999159756e-05,-1.5066912193475257e-05,-1.5010134043583467e-05,-1.5022916956751609e-05,-31.57801587799293,-30.626861422904767,-31.267505200082724,-31.350212637276854,-31.232072500173672,-31.25867032199669
-90,-1.2516893311024667e-05,-26.044305682531558,-90,1.7832851535365926e+17,0.00010450157999814547,1.7832851535365926e+17,1.7064671687913615e+21,4.0436864207542256e+19,0.1774469104475429,8.528098516108937e-08,0.87291259112668318,-28.178506892131871,0.21764453948631687,0.36489820005481671,-90,-1.2578642908263048e-05,-1.2516893311024667e-05,-1.259730159299363e-05,-1.259092880201393e-05,-1.2602174296185756e-05,-1.2597038877755839e-05,-26.172790071292233,-26.044305682531558,-26.211613801484873,-26.198353728701477,-26.2217525929791,-26.21106716137295
-80,-5.506123789419397e-06,-11.45677026512567,-80,1.5367017859904922e+17,0.00017975632628475146,1.5367017859904922e+17,8.5488050281813587e+20,2.8078766189269123e+19,10.222827916673161,4.913091096753122e-06,-12.151556224253333,-12.151556224253333,13.952573633612948,20.480692251412165,-80,-1.0419214886172519e-05,-5.506123789419397e-06,-1.0079837260098747e-05,-1.0080941116425393e-05,-1.0056347127470923e-05,-1.0087224423132144e-05,-21.67959818179883,-11.45677026512567,-20.973444153347373,-20.97574098299083,-20.924567472889976,-20.988814862946615
-70,-8.664412327396287e-06,-18.028323610895313,-70,1.3251824719052752e+17,0.00030920428992521886,1.3251824719052752e+17,4.285782943780537e+20,2.1486266002011333e+19,0.25293020556273405,1.2155825679344965e-07,0.34006811779343254,-19.112793749227251,0.3454245829107806,0.51128232028801879,-70,-8.546646488879844e-06,-8.664412327396287e-06,-8.544676780123739e-06,-8.542854070602837e-06,-8.548851212160626e-06,-8.546268310266973e-06,-17.783284412983445,-18.028323610895313,-17.77918597612097,-17.77539340533258,-17.787871852186072,-17.782497524483922
-60,-7.477100610833592e-06,-15.557845632196404,-60,1.1437786143186037e+17,0.00053187164471033737,1.1437786143186037e+17,2.1504786459175069e+20,2.2019817425496724e+21,1.473242891013797,7.080405334212306e-07,1.2164219722768923,-14.394487037356287,1.8937529420873618,3.0983451413099319,-60,-6.9745288605744755e-06,-7.477100610833592e-06,-7.0013752667508365e-06,-6.769060077412361e-06,-6.992335518189649e-06,-6.997583227989036e-06,-14.512128299156211,-15.557845632196404,-14.56798848678909,-14.084602741182607,-14.549179188908965,-14.560098268807815
-50,-6.00678442025946e-06,-12.49851107003633,-50,98824142547945392.0,0.00091488849173242657,98824142547945392.0,1.080176911623543e+20,1.7210805364089156e+20,1.0130845096688486,4.868884153468485e-07,0.14648549059894214,-11.743688213896167,1.2469670573443596,1.9840117754520523,-50,-5.637695210975942e-06,-6.00678442025946e-06,-5.65102127448677e-06,-6.12458362632279e-06,-5.654864972503515e-06,-5.64838761051004e-06,-11.730535187215859,-12.49851107003633,-11.758263159564649,-12.743619696884707,-11.766260866632365,-11.752783209550644
