voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4","current, barrier 5",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4,solute_1 transport over barrier 5
-150,-0.07008486551060585,-218741.7774987698,-150,360586657.2026065,33904.732558071351,360552752.47004843,10635.289825247872,2.5867047550167642e+17,1.885928213596344e-08,6.050715484207103e-15,17423616.384252947,1.6763806343078613e-08,1.725458712955247e-08,5.7245159841567972e-08,-150,-0.07008486551060326,-0.07008486551060585,-0.07008486551060061,-0.0700848655106007,-0.0700848655105998,-0.0700848655105998,-218741.77749876177,-218741.7774987698,-218741.77749875348,-218741.77749875374,-218741.77749875095,-218741.77749875095
-140,-0.06449732835586806,-201302.52295838972,-140,342851757.51514637,36261.428773639345,342815496.08637273,9454.9985786656689,47599772534891440.0,5.972106009721756e-08,1.9137469386976136e-14,19216003.844743796,7.3574483394622803e-08,6.2651585011766996e-08,1.5177314437869738e-07,-140,-0.06449732835587119,-0.06449732835586806,-0.06449732835586569,-0.06449732835585437,-0.06449732835585205,-0.06449732835585713,-201302.52295839947,-201302.52295838972,-201302.5229583823,-201302.522958347,-201302.52295833974,-201302.5229583556
-130,-0.05913989222878515,-184581.43641942932,-130,326665704.23864281,38781.937431702187,326626922.30121112,8423.1404068949596,55330221127123880.0,7.229391485452652e-08,2.3162027851242328e-14,22040186.978336863,-5.2154064178466797e-08,4.4724695976281616e-08,1.0212673894061108e-07,-130,-0.05913989222878487,-0.05913989222878515,-0.05913989222879586,-0.05913989222880199,-0.05913989222880601,-0.059139892228808034,-184581.43641942844,-184581.43641942932,-184581.43641946273,-184581.43641948188,-184581.43641949442,-184581.43641950074
-120,-0.05397899089845757,-168473.754364724,-120,311955376.23553324,41477.645030077838,311913898.59050316,7521.0484107599732,38285248297902992.0,2.8463546186685562e-08,9.117706589734098e-15,26697165.471061204,-3.8184225559234619e-08,3.8066183150379748e-08,1.0444225732875179e-07,-120,-0.05397899089845536,-0.05397899089845757,-0.05397899089846448,-0.05397899089846014,-0.05397899089846202,-0.053978990898458735,-168473.7543647171,-168473.754364724,-168473.75436474558,-168473.754364732,-168473.7543647379,-168473.75436472765
-110,-0.048982529788284865,-152879.30645532106,-110,298654319.01569986,44360.729534744918,298609958.28616512,6732.4032347525545,1.7782960200073206e+17,1.3009412214159966e-08,4.170275236248244e-15,35005142.386838004,7.4505805969238281e-09,1.6054749454001868e-08,4.3207681328649716e-08,-110,-0.04898252978828337,-0.048982529788284865,-0.04898252978828115,-0.04898252978828532,-0.04898252978828258,-0.04898252978828213,-152879.3064553164,-152879.30645532106,-152879.30645530947,-152879.30645532248,-152879.30645531393,-152879.30645531253
-100,-0.04412110614814649,-137706.32380819754,-100,286702444.52567571,47444.215394286985,286655000.31028146,6042.9378406413507,2.7231997573385554e+18,9.115319699048996e-08,2.9205804441545524e-14,51351331.968555301,7.8231096267700195e-08,6.0537465173201377e-08,1.4843207581105577e-07,-100,-0.044121106148151686,-0.04412110614814649,-0.04412110614813324,-0.04412110614812983,-0.04412110614812497,-0.04412110614812248,-137706.32380821375,-137706.32380819754,-137706.3238081562,-137706.32380814553,-137706.32380813037,-137706.3238081226
-90,-0.03936951566160809,-122876.14126594286,-90,276045759.69847965,50742.032378355507,275995017.66610128,5440.1794086637647,1.0391508083957763e+17,7.110065780580044e-08,2.2787327580431338e-14,78478055.785138384,5.9604644775390625e-08,4.1193791819222752e-08,8.7841462811932836e-08,-90,-0.03936951566161184,-0.03936951566160809,-0.03936951566159925,-0.03936951566159835,-0.039369515661589666,-0.039369515661589055,-122876.14126595456,-122876.14126594286,-122876.14126591527,-122876.14126591248,-122876.14126588535,-122876.14126588346
-80,-0.03470825535223128,-108327.88811557829,-80,266636122.5377956,54269.078505956684,266581853.45928964,4913.2236971469692,62267001931921944.0,3.757304511964321e-08,1.2038980923279041e-14,71095292.185363919,-2.9802322387695313e-08,4.8502222412537488e-08,1.3791250649819453e-07,-80,-0.03470825535221924,-0.03470825535223128,-0.03470825535221978,-0.03470825535222224,-0.03470825535222247,-0.034708255352221856,-108327.88811554071,-108327.88811557829,-108327.88811554239,-108327.88811555006,-108327.88811555078,-108327.88811554888
-70,-0.03012457865376266,-94021.78106667497,-70,258431024.6345945,58041.287347843077,258372983.34724665,4452.5377785956061,3.3948970810141325e+17,2.6819179765880108e-08,8.593820099989102e-15,-46961975.64986708,7.4505805969238281e-09,4.5426314207234141e-08,1.0567640609804307e-07,-70,-0.03012457865375411,-0.03012457865376266,-0.030124578653762703,-0.03012457865375734,-0.030124578653756607,-0.030124578653756916,-94021.78106664828,-94021.78106667497,-94021.7810666751,-94021.78106665837,-94021.78106665608,-94021.78106665704
-60,-0.025612604508875616,-79939.46475928719,-60,251393399.1337114,62075.700007051411,251331323.43370435,4049.7875836302237,99111136793116352.0,5.643232725560665e-08,1.8079288066630284e-14,-34949415.116574399,5.2154064178466797e-08,4.9958563180452972e-08,1.223047858545101e-07,-60,-0.02561260450886991,-0.025612604508875616,-0.025612604508880726,-0.02561260450888516,-0.025612604508887988,-0.025612604508886694,-79939.46475926938,-79939.46475928719,-79939.46475930314,-79939.46475931698,-79939.46475932581,-79939.46475932177
