voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4","current, barrier 5",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4,solute_1 transport over barrier 5
-150,0.00000000001477705063438695158759777870081065068982107009854675627194493455641634450302907,0.00004612063244190684249194323347161935412103831332087876737780966359017566173545555,-150,114044140444691.7799014567374563583167712686894081645705866847712738977656395123,0.00021247417361991258306080142453664452532778065975071638598840505149247358085871754,114044140444691.77968898256383644573371046726487152004525890411152318137965110725,536743541587794317.9219455939299513480435414402068962129812462043775228239371952,228088280889383.5598029134749127166335425373788163291411733695425477955312790246,1.7802377738378633497446501331750553157901642167255286592650216709713570884986232e-75,5.7038818272530749309969027032752967114979698415875307138595377544871858630346544e-82,19.035879359331175971251763502699255418769097779356157606921878152315646016932045,9.4904713573322032378495252556927135909103654539658605625936783495547902191992554e-76,9.4467515160348103205501002538874863814105962222734775069289990504245734810878031e-76,1.4429833433666509759549401834634203594513410402718906490992108237503348003516546e-75,-150,0.000000000014777050634386951587597778700810650689821070098546756271944934556416344354345203,0.00000000001477705063438695158759777870081065068982107009854675627194493455641634450302907,0.000000000014777050634386951587597778700810650689821070098546756271944934556416344633277063,0.00000000001477705063438695158759777870081065068982107009854675627194493455641634452931584,0.000000000014777050634386951587597778700810650689821070098546756271944934556416344916699816,0.000000000014777050634386951587597778700810650689821070098546756271944934556416344924733386,0.000046120632441906842491943233471619354121038313320878767377809663590175661271398538,0.00004612063244190684249194323347161935412103831332087876737780966359017566173545555,0.000046120632441906842491943233471619354121038313320878767377809663590175662141972383,0.000046120632441906842491943233471619354121038313320878767377809663590175661817499151,0.000046120632441906842491943233471619354121038313320878767377809663590175663026562748,0.000046120632441906842491943233471619354121038313320878767377809663590175663051636312
-140,0.000000000046149810953762215995108430189222705780294660915956089286637734809138730610221009,0.0001440381115910181595739218697912854443816883836273207816867473283132673805720263,-140,102944151574897.33031022984701658757222472276703118115863747683739421328635504329,0.00023072359717791062435432558158526507533637138078037456304968165678020441066541103,102944151574897.33007950624983867694787039718544591608330110545661383872330536163,446179553517957885.20805583081212823638921834929727654542674265379547735085965626,205888303149794.66062045969403317514444944553406236231727495367478842657271008658,1.7232044829649862191009243475576845129584533256469150334191009730055220278844768e-75,5.5211471634083958336528638250088982126498525743115240663685892779850525368982691e-82,19.113493564692563473872187012718487565832964542693166654273998790020165671879923,6.0979791018776149666127374870148816889891394852575564525291013974370225761840985e-76,7.7373059520129804032963482318203091218478145347677639287393524202346551424720001e-76,1.5032647119383264307479560832221846245588868521736541089489112672031748130569145e-75,-140,0.000000000046149810953762215995108430189222705780294660915956089286637734809138730518816523,0.000000000046149810953762215995108430189222705780294660915956089286637734809138730610221009,0.000000000046149810953762215995108430189222705780294660915956089286637734809138730608597884,0.000000000046149810953762215995108430189222705780294660915956089286637734809138731070931239,0.000000000046149810953762215995108430189222705780294660915956089286637734809138730794228398,0.000000000046149810953762215995108430189222705780294660915956089286637734809138730796060474,0.00014403811159101815957392186979128544438168838362732078168674732831326738028674388,0.0001440381115910181595739218697912854443816883836273207816867473283132673805720263,0.00014403811159101815957392186979128544438168838362732078168674732831326738056696037,0.00014403811159101815957392186979128544438168838362732078168674732831326738200994837,0.00014403811159101815957392186979128544438168838362732078168674732831326738114633151,0.0001440381115910181595739218697912854443816883836273207816867473283132673811520496
-130,0.000000000069296339125784449227743814902145674731647440976261456308493630154889104270571927,0.00021628070888197394734684075048284006613769702141722704245980042630323245695180535,-130,92924543557200.56764277165049139881106753156399310909102105601806042663617875313,0.00025054046516703740976457824505600510959752981595590524291807564829777470300707962,92924543557200.567392231185324361401302953318937103981423526202104521393260677481,370896348002096197.83917897726607515529877880375475119784576992525413752143210323,185849087114401.13528554330098279762213506312798621818204211203612085327235750626,5.095339447505722328977947599052235746958440215017406017163985047399469163865832e-76,1.6325467584446509667915708485506877275562394426989065497689894089499857252281853e-82,19.196941043744219613772724521882097761659003634479693731193096402529873650935886,2.7742251826378447212225884491529697805480938892651386997062989444430763902776093e-77,3.8621628980115548748241559102660628191763471934081334843763638039543227248328952e-76,9.5509197720009388339692346227615597192124462301130473705859492438325231923870638e-76,-130,0.000000000069296339125784449227743814902145674731647440976261456308493630154889104208106565,0.000000000069296339125784449227743814902145674731647440976261456308493630154889104270571927,0.000000000069296339125784449227743814902145674731647440976261456308493630154889104254566185,0.000000000069296339125784449227743814902145674731647440976261456308493630154889104107317251,0.000000000069296339125784449227743814902145674731647440976261456308493630154889104217998387,0.000000000069296339125784449227743814902145674731647440976261456308493630154889104263096357,0.0002162807088819739473468407504828400661376970214172270424598004263032324567568448,0.00021628070888197394734684075048284006613769702141722704245980042630323245695180535,0.00021628070888197394734684075048284006613769702141722704245980042630323245690184985,0.00021628070888197394734684075048284006613769702141722704245980042630323245644227141,0.00021628070888197394734684075048284006613769702141722704245980042630323245678771815,0.00021628070888197394734684075048284006613769702141722704245980042630323245692847336
-120,0.000000000089129767083361904256092261050776070129091981147354507782330875904329784851637813,0.00027818279364345165031411515993248574570544646842677184853160714746433988847331939,-120,83880161223566.489259613881346196338862086644325986534130777894195262268437139612,0.00027205940551331308761273891522458961935571467110053310000940860696191309776495693,83880161223566.488987554475832883251249347729101396914775063223094729168427731005,308315608737378706.60795157412275816659898750730969623165999237369269264345859435,167760322447132.97851922776269239267772417328865197306826155578839052453687427922,8.0277572273947246690627469571535042341430430731370300772936156104635505798419803e-76,2.5720934158109687405091519907737454948695637363217950056922712880098658764824747e-82,19.285741151275350461241614271277825616945386565109903484216561402187216772057656,-3.1456805453178769120304595672792966437587106541984085452701282443853469221986832e-76,5.4427408012605799475205553534250638303696297428811979085369295702949012546216014e-76,1.3689980450166326580291249103606789531164884292996563465851856317372673172325179e-75,-120,0.000000000089129767083361904256092261050776070129091981147354507782330875904329784819234667,0.000000000089129767083361904256092261050776070129091981147354507782330875904329784851637813,0.000000000089129767083361904256092261050776070129091981147354507782330875904329784790849765,0.000000000089129767083361904256092261050776070129091981147354507782330875904329784951250836,0.000000000089129767083361904256092261050776070129091981147354507782330875904329784707752336,0.000000000089129767083361904256092261050776070129091981147354507782330875904329784694041494,0.00027818279364345165031411515993248574570544646842677184853160714746433988837218598,0.00027818279364345165031411515993248574570544646842677184853160714746433988847331939,0.0002781827936434516503141151599324857457054464684267718485316071474643398882835939,0.00027818279364345165031411515993248574570544646842677184853160714746433988878422146,0.00027818279364345165031411515993248574570544646842677184853160714746433988802423863,0.00027818279364345165031411515993248574570544646842677184853160714746433988798144574
-110,0.00000000010918926883642024084258402579497965474677864744746921072637350371941508477205477,0.00034079047701754134319889554707442250142657920473789894244263215991145705206603188,-110,75716084325637.529101454831060832270291627885450048914539918137468762013223834904,0.00029542660934595948822909125381357003367994970312779915364905665782482121175437548,75716084325637.528806028221714872782062536631636478880859968434340962859574778246,256294057239001677.81735730532705197116294649913896606023057281406224644146360273,151432168651275.05820290966212166454058325577090009782907983627493752402644766981,7.348049015004936684172872645197869758620943313008820553002351839419702976681705e-76,2.3543149044572958596410225935573613197000072836051642211063460351232590621057359e-82,19.380160008932213979386261456409215474686501623515463767435497427391499311555381,-3.6477204648224083490218324523777271921227363064752539712829768766036031915652928e-76,4.1631638423910508187038632851382954475663314955594126013557365592863551831552788e-76,7.620871772240203019194797687030147165392289559414011958275977712064041662500684e-76,-110,0.00000000010918926883642024084258402579497965474677864744746921072637350371941508486429254,0.00000000010918926883642024084258402579497965474677864744746921072637350371941508477205477,0.00000000010918926883642024084258402579497965474677864744746921072637350371941508475834375,0.00000000010918926883642024084258402579497965474677864744746921072637350371941508469526974,0.00000000010918926883642024084258402579497965474677864744746921072637350371941508462886105,0.00000000010918926883642024084258402579497965474677864744746921072637350371941508464608202,0.00034079047701754134319889554707442250142657920473789894244263215991145705235391505,0.00034079047701754134319889554707442250142657920473789894244263215991145705206603188,0.00034079047701754134319889554707442250142657920473789894244263215991145705202323842,0.0003407904770175413431988955470744225014265792047378989424426321599114570518263782,0.00034079047701754134319889554707442250142657920473789894244263215991145705161911015,0.00034079047701754134319889554707442250142657920473789894244263215991145705167285849
-100,0.00000000013247906867884681554993984160556170623835384018072774114343211145751973749179632,0.00041348023932224351512275472646859898191951011349061552491350212508799646310174015,-100,68346631353751.538940862094614842364346061534692259412112610897966918496755679653,0.00032080082416183662710817132154095521158625888155572492533235893667707808393127828,68346631353751.538620061270453005737237890213151304200526352016411193571423320717,213050049145984230.95648242696274899237688938259408809608081838885493184083091568,136693262707503.07788172418922968472869212306938451882422522179593383699351135931,5.7576424910912367200244224152492234210988108289033251354900704316888632208017161e-76,1.8447486537581686984675258083029054470262847497670986252611503308829849626357574e-82,19.481256894361836943835091104242867869118595250777448223771859625245711048467586,-8.3876276400200676954625607059690796176454475623615351425377389272665008516323593e-77,2.4528069574736941791270680092121028303335781303472859485733454003830976328715401e-76,5.9830809101214370864396708714471249757124183256086086436636282288501470874829985e-76,-100,0.00000000013247906867884681554993984160556170623835384018072774114343211145751973748895262,0.00000000013247906867884681554993984160556170623835384018072774114343211145751973749179632,0.0000000001324790686788468155499398416055617062383538401807277411434321114575197374500306,0.00000000013247906867884681554993984160556170623835384018072774114343211145751973760870327,0.00000000013247906867884681554993984160556170623835384018072774114343211145751973747588591,0.00000000013247906867884681554993984160556170623835384018072774114343211145751973742422841,0.00041348023932224351512275472646859898191951011349061552491350212508799646309286468,0.00041348023932224351512275472646859898191951011349061552491350212508799646310174015,0.00041348023932224351512275472646859898191951011349061552491350212508799646297138521,0.00041348023932224351512275472646859898191951011349061552491350212508799646346661828,0.00041348023932224351512275472646859898191951011349061552491350212508799646305208218,0.00041348023932224351512275472646859898191951011349061552491350212508799646289085403
-90,0.00000000016220273951686389084804623326678851699402432248258293477533683765134916107635621,0.00050625074755575499077917786804775743879006800311880475862348997384773738293963842,-90,61694460315836.934087206710317193267219444675128101238999440347915047452376384294,0.00034835443229285112082501984292968816501280872427607821670768474167344857850845796,61694460315836.933738852278024342146394424832198413073986631623638969235668699553,177102555893338690.44291864050715634882115259811662311650781445630950615757311572,123388920631673.86817441342063438653443888935025620247799888069583009490475276859,7.6430091712585834934669213985783536204376603225261090257459775710992037457987479e-76,2.4488201401215231828362195493739175688274969855359675809032088959807531464358305e-82,19.590979247699090093986126148720378574229296732446965323156887054693515958021103,2.9969266347814221122515406269745869353848476757305497821976966229186247675774672e-77,2.6345854849985662672208289714167368842277121866490849167169135925637084002112882e-76,5.7632334993759896050226747125605108438970115857891270453853587274404317354844716e-76,-90,0.00000000016220273951686389084804623326678851699402432248258293477533683765134916113071969,0.00000000016220273951686389084804623326678851699402432248258293477533683765134916107635621,0.00000000016220273951686389084804623326678851699402432248258293477533683765134916114636062,0.00000000016220273951686389084804623326678851699402432248258293477533683765134916132123822,0.00000000016220273951686389084804623326678851699402432248258293477533683765134916109987595,0.00000000016220273951686389084804623326678851699402432248258293477533683765134916115557321,0.0005062507475557549907791778680477574387900680031188047586234899738477373831093122,0.00050625074755575499077917786804775743879006800311880475862348997384773738293963842,0.00050625074755575499077917786804775743879006800311880475862348997384773738315812907,0.00050625074755575499077917786804775743879006800311880475862348997384773738370393934,0.00050625074755575499077917786804775743879006800311880475862348997384773738301304585,0.00050625074755575499077917786804775743879006800311880475862348997384773738318688248
-80,0.00000000020247079722716794136267939731026735758010394131654555324395906849192161525814309,0.00063193132717592993631522653245327408513053228704110777633826641111721317995549237,-80,55689757038925.660101718474615001094928741628215933436503063425778575385442198906,0.00037827462200301551236446205760449988070430194042318942985415379923902745786194461,55689757038925.659723443852611985582564279570611433555798761485355385955588045107,147220441974248314.86222081249525607416475338463003487020814190212239920652217295,111379514077851.32020343694923000218985748325643186687300612685155715077088439781,3.2540813235328520647061230495536193071478491998184519624976032684861811145822176e-76,1.042607656258331220334143894959699308335848009413692478275341360902885330809747e-82,19.71235688434680183588285018328949224081418361228588218539561134376860150866417,-4.3162905551509321330759393432054971708469199116701150594779925322051408953837849e-77,1.4509938100073598192141776810261300772798359551687374529923504410671292603782509e-76,3.1229579933494021805305428231170801569448197324639164710015087959590947182843426e-76,-80,0.00000000020247079722716794136267939731026735758010394131654555324395906849192161527766479,0.00000000020247079722716794136267939731026735758010394131654555324395906849192161525814309,0.00000000020247079722716794136267939731026735758010394131654555324395906849192161526189377,0.00000000020247079722716794136267939731026735758010394131654555324395906849192161535291381,0.00000000020247079722716794136267939731026735758010394131654555324395906849192161530864136,0.00000000020247079722716794136267939731026735758010394131654555324395906849192161524865305,0.00063193132717592993631522653245327408513053228704110777633826641111721318001642153,0.00063193132717592993631522653245327408513053228704110777633826641111721317995549237,0.00063193132717592993631522653245327408513053228704110777633826641111721317996719859,0.00063193132717592993631522653245327408513053228704110777633826641111721318025128114,0.00063193132717592993631522653245327408513053228704110777633826641111721318011310244,0.00063193132717592993631522653245327408513053228704110777633826641111721317992587301
-70,0.00000000025910617555231475568870177024270682651674174751376320690179322900658220087798039,0.00080869592869012100119765806298449403227163703290797645055007530820023537675931218,-70,50269502474569.057489544361309096027547739140493578369296126990086700676914726629,0.00041076465917112649475254848159317776844425005350227027691399469535193216930665167,50269502474569.057078779702137969532795190658900400600851876936584430400000731934,122380300622762547.87831657271565806926527448243635079531830125866907118853607297,100539004949138.11497908872261819205509547828098715673859225398017340135382945326,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,8.854490892427074147802125525512921241832777376845727810187832461235253235612682e-83,19.849826462293160609669275056588322963385229192426263308517646165575093253823278,2.4913025308208370919586863550537957022411357163832670528700625031347435064472709e-77,3.3024935805851559938016495367638307692101582768817490515180817057156352353907074e-76,6.0215133015128493458643738861854339741953650552811408547769516606687450935908302e-76,-70,0.00000000025910617555231475568870177024270682651674174751376320690179322900658220089813508,0.00000000025910617555231475568870177024270682651674174751376320690179322900658220087798039,0.00000000025910617555231475568870177024270682651674174751376320690179322900658220090651595,0.00000000025910617555231475568870177024270682651674174751376320690179322900658220085930295,0.00000000025910617555231475568870177024270682651674174751376320690179322900658220094784786,0.00000000025910617555231475568870177024270682651674174751376320690179322900658220091413551,0.00080869592869012100119765806298449403227163703290797645055007530820023537682221695,0.00080869592869012100119765806298449403227163703290797645055007530820023537675931218,0.0008086959286901210011976580629844940322716370329079764505500753082002353768483745,0.00080869592869012100119765806298449403227163703290797645055007530820023537670101804,0.00080869592869012100119765806298449403227163703290797645055007530820023537697737544,0.00080869592869012100119765806298449403227163703290797645055007530820023537687215587
-60,0.0000000003406903664351095717181592170449974227436185716655371587365938428432979663779569,0.0010633282348161972189025895075985101979872618620721098124113325289321628653236532,-60,45376811318580.994574204487807700133398760743782803681636044393847375530832149246,0.00044604526819836906020684954775894740021234569960694543632879100519728798841074394,45376811318580.994128159219609331073191911196023856281423698694240430094503358241,101731403859216889.16365360093231643170138104277468290004809583171398856329100297,90753622637161.989148408975615400266797521487565607363272088787694751061664298492,2.0402948211410625427475256275865943986761550860980714772118499448273298134971234e-76,6.5371046239261065749658596641038563607119485800324786484372397938998377040371692e-83,20.009713235330159435830290054579059919286590006949891881639808112356257667176416,-2.7092128588881662411849079936509451432445870130466700783109639919087985761276165e-77,1.7232531412855284575592315655336725300740306141769375539171586662183148255738724e-76,3.9299983355690696708978797920810906861303556636445433999135713277518917608580183e-76,-60,0.00000000034069036643510957171815921704499742274361857166553715873659384284329796637709981,0.0000000003406903664351095717181592170449974227436185716655371587365938428432979663779569,0.0000000003406903664351095717181592170449974227436185716655371587365938428432979663640498,0.00000000034069036643510957171815921704499742274361857166553715873659384284329796631258586,0.00000000034069036643510957171815921704499742274361857166553715873659384284329796631258586,0.00000000034069036643510957171815921704499742274361857166553715873659384284329796635579906,0.0010633282348161972189025895075985101979872618620721098124113325289321628653209781,0.0010633282348161972189025895075985101979872618620721098124113325289321628653236532,0.0010633282348161972189025895075985101979872618620721098124113325289321628652802478,0.0010633282348161972189025895075985101979872618620721098124113325289321628651196237,0.0010633282348161972189025895075985101979872618620721098124113325289321628651196237,0.0010633282348161972189025895075985101979872618620721098124113325289321628652544964
