voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4","current, barrier 5",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4,solute_1 transport over barrier 5
-150,4.2429337974079593e-10,0.0013242614848339449,-150,689223.39894502959,5.0520764103363884e-09,689223.39894502459,136423787560873.06,25022289545513104.0,8.138021506676196e-16,2.607169893190574e-22,0.87734231870412782,-1.6653345369377348e-15,1.3870076592850789e-15,3.3687139160434211e-15,-150,4.2429337974084266e-10,4.2429337974079593e-10,4.2429337974058417e-10,4.2429337974063333e-10,4.2429337974058194e-10,4.242933797405822e-10,0.0013242614848340908,0.0013242614848339449,0.001324261484833284,0.0013242614848334375,0.001324261484833277,0.0013242614848332779
-140,4.592911965241329e-10,0.0014334931227344971,-140,736540.52557028492,4.7275132729148433e-09,736540.52557028015,155798721875646.06,39862211251247256.0,1.4478435811371426e-15,4.638932272773948e-22,0.93830910738279161,4.4408920985006262e-16,1.1890486884331993e-15,3.2341722482578423e-15,-140,4.5929119652382904e-10,4.592911965241329e-10,4.592911965239781e-10,4.592911965239661e-10,4.5929119652428586e-10,4.5929119652429294e-10,0.001433493122733549,0.0014334931227344971,0.001433493122734014,0.0014334931227339767,0.0014334931227349746,0.0014334931227349967
-130,4.959051572249719e-10,0.0015477689051965416,-130,787106.22397563653,4.4238012116879081e-09,787106.22397563211,177925314974836.97,44343490276779936.0,1.2687333822425373e-15,4.0645587349324397e-22,1.0035165561417105,-1.3322676295501878e-15,1.6703217306261629e-15,3.8912486338488276e-15,-130,4.959051572248277e-10,4.959051572249719e-10,4.959051572249408e-10,4.959051572251161e-10,4.959051572247096e-10,4.959051572247204e-10,0.0015477689051960914,0.0015477689051965416,0.0015477689051964444,0.0015477689051969917,0.001547768905195723,0.0015477689051957566
-120,5.343480074173775e-10,0.0016677528321391308,-120,841143.51819085469,4.13960068026739e-09,841143.5181908505,203194361765474.09,22417938084865116.0,1.780043126786701e-15,5.703410323553126e-22,1.0732589140104203,-8.8817841970012523e-16,1.4843005571371216e-15,3.7908131314962475e-15,-120,5.343480074173711e-10,5.343480074173775e-10,5.343480074175431e-10,5.343480074172882e-10,5.343480074169728e-10,5.34348007416977e-10,0.0016677528321391109,0.0016677528321391308,0.0016677528321396478,0.0016677528321388524,0.0016677528321378677,0.001667752832137881
-110,5.748382845000861e-10,0.0017941269803373474,-110,898890.74400054186,3.8736581894311355e-09,898890.74400053802,232052158461753.19,25386217908904120.0,1.4135827924866007e-15,4.5288138537278265e-22,1.1478509760514832,-1.7763568394002505e-15,1.6850665006968358e-15,4.546055394657645e-15,-110,5.748382845001432e-10,5.748382845000861e-10,5.748382844998789e-10,5.748382844998834e-10,5.748382844996903e-10,5.748382844997032e-10,0.0017941269803375256,0.0017941269803373474,0.0017941269803367008,0.0017941269803367146,0.001794126980336112,0.0017941269803361526
-100,6.175994561713713e-10,0.0019275888145173885,-100,960602.60014306521,3.6248007785083418e-09,960602.6001430616,265008384967950.47,16902604430161158.0,2.2536226357283695e-15,7.221286747587932e-22,1.2276294947283328,1.9984014443252818e-15,2.0340862059547964e-15,5.1350503424427634e-15,-100,6.175994561709615e-10,6.175994561713713e-10,6.175994561714004e-10,6.175994561716836e-10,6.175994561716487e-10,6.175994561716347e-10,0.0019275888145161098,0.0019275888145173885,0.0019275888145174795,0.0019275888145183634,0.0019275888145182543,0.0019275888145182107
-90,6.628600751493567e-10,0.0020688516702539223,-90,1026551.2716796231,3.3919308419425182e-09,1026551.2716796197,302645106729749.69,2.2222102621377507e+17,2.8978555666192563e-15,9.285102375907736e-22,1.312954692398298,-1.3322676295501878e-15,1.7475933271393567e-15,4.4229243062278759e-15,-90,6.628600751496903e-10,6.628600751493567e-10,6.628600751490525e-10,6.628600751487618e-10,6.628600751490259e-10,6.628600751490219e-10,0.0020688516702549635,0.0020688516702539223,0.002068851670252973,0.0020688516702520657,0.00206885167025289,0.0020688516702528775
-80,7.108546024472095e-10,0.0022186473234931635,-80,1097027.6304881533,3.1740212882141993e-09,1097027.6304881501,345627055042650.44,1.1790165048955968e+17,9.532305500492555e-16,3.0533304360863634e-22,1.404211881418352,1.3322676295501878e-15,1.5181390042402173e-15,4.2654323469108908e-15,-80,7.108546024471272e-10,7.108546024472095e-10,7.108546024474325e-10,7.108546024471406e-10,7.108546024473658e-10,7.108546024473662e-10,0.0022186473234929063,0.0022186473234931635,0.0022186473234938595,0.0022186473234929484,0.0022186473234936514,0.0022186473234936527
-70,7.618246488731899e-10,0.0023777298653969723,-70,1172342.5181769577,2.9701110097714822e-09,1172342.5181769547,394713367385940.5,20066418208690984.0,1.5569143196891844e-15,4.988933069460448e-22,1.5018131988980556,-1.9984014443252818e-15,1.4652105507977024e-15,3.6430975470471327e-15,-70,7.618246488732838e-10,7.618246488731899e-10,7.618246488731727e-10,7.618246488729728e-10,7.61824648872787e-10,7.618246488727849e-10,0.0023777298653972654,0.0023777298653969723,0.0023777298653969185,0.002377729865396295,0.002377729865395715,0.0023777298653957085
-60,8.160204634101835e-10,0.002546880347722171,-60,1252828.117076434,2.7793006439881348e-09,1252828.1170764312,450770995137358.87,3.2094391778803162e+17,1.2763227974499358e-15,4.0893741533090306e-22,1.6061994637024766,0.0,1.6384332479863145e-15,3.4975512933852751e-15,-60,8.160204634100881e-10,8.160204634101835e-10,8.16020463410497e-10,8.160204634100971e-10,8.16020463410332e-10,8.160204634103328e-10,0.002546880347721873,0.002546880347722171,0.0025468803477231494,0.0025468803477219012,0.002546880347722634,0.0025468803477226368
-50,8.737025567148736e-10,0.0027269118499215783,-50,1338839.4153557881,2.6007486064526516e-09,1338839.4153557855,514790015472478.75,46770407221928632.0,7.32920668600201e-16,2.3481589638849073e-22,1.7178421639018053,8.8817841970012523e-16,9.5517950491130281e-16,3.1403790988682916e-15,-50,8.737025567146388e-10,8.737025567148736e-10,8.737025567147676e-10,8.737025567148162e-10,8.737025567148615e-10,8.737025567148618e-10,0.0027269118499208453,0.0027269118499215783,0.0027269118499212474,0.002726911849921399,0.0027269118499215405,0.0027269118499215414
-40,9.351433908350187e-10,0.0029186747529182855,-40,1430755.7727267328,2.4336673790927552e-09,1430755.7727267304,587901117884114.12,44685650960072832.0,3.06959319074096e-15,9.835177483255499e-22,1.8372455834881081,-3.9968028886505635e-15,2.7167988392665299e-15,5.9987654712443392e-15,-40,9.35143390835134e-10,9.351433908350187e-10,9.351433908346734e-10,9.351433908344624e-10,9.351433908341506e-10,9.351433908341564e-10,0.002918674752918646,0.0029186747529182855,0.002918674752917208,0.00291867475291655,0.0029186747529155762,0.002918674752915594
-30,1.0006290965545973e-09,0.00312306209910923,-30,1528982.5936398457,2.2773200367638171e-09,1528982.5936398434,671395574164711.87,1.4633818605937101e+17,8.010085650322907e-16,2.5663278504457684e-22,1.9649490778371246,1.1102230246251565e-15,1.5123305816564619e-15,4.0217516088372285e-15,-30,1.0006290965544898e-09,1.0006290965545973e-09,1.0006290965545686e-09,1.0006290965547464e-09,1.000629096554674e-09,1.000629096554673e-09,0.0031230620991088945,0.00312306209910923,0.0031230620991091404,0.0031230620991096955,0.0031230620991094696,0.0031230620991094665
-20,1.0704612008160486e-09,0.003341014983820377,-20,1633953.1153533417,2.1310169969814478e-09,1633953.1153533396,766748044557040.5,40829102846526616.0,3.0119136351647313e-15,9.65112979696245e-22,2.1015295080882854,3.5527136788005009e-15,2.0920113369220016e-15,4.7452667177119994e-15,-20,1.0704612008156458e-09,1.0704612008160486e-09,1.0704612008162867e-09,1.0704612008164618e-09,1.070461200816611e-09,1.0704612008166107e-09,0.0033410149838191197,0.003341014983820377,0.00334101498382112,0.0033410149838216663,0.0033410149838221316,0.003341014983822131
-10,1.1449583610419015e-09,0.0035735279682955726,-10,1746130.3187606863,1.9941129784626773e-09,1746130.3187606842,875642622870260.62,70446952974379136.0,1.8240617349896127e-15,5.8440310276871405e-22,2.2476038453532103,-8.8817841970012523e-16,1.439190952495413e-15,4.1521242731006503e-15,-10,1.1449583610419796e-09,1.1449583610419015e-09,1.1449583610418423e-09,1.1449583610422448e-09,1.1449583610416604e-09,1.1449583610416635e-09,0.0035735279682958167,0.0035735279682955726,0.0035735279682953883,0.003573527968296644,0.00357352796829482,0.0035735279682948297
0,1.2244581126952247e-09,0.003821654534005071,0,1866008.9704049095,1.8660041550611373e-09,1866008.9704049076,1000002580564335.4,3.533945057399287e+17,2.7109391120827553e-15,8.68539643180679e-22,2.4038319564458845,-3.5527136788005009e-15,2.2662734803396391e-15,5.2325880656734478e-15,0,1.2244581126953238e-09,1.2244581126952247e-09,1.224458112694935e-09,1.2244581126947964e-09,1.2244581126944567e-09,1.2244581126944552e-09,0.00382165453400538,0.003821654534005071,0.003821654534004167,0.0038216545340037343,0.003821654534002674,0.003821654534002669
10,1.309318642177051e-09,0.004086512616033243,10,1994117.8046860807,1.7461254925434503e-09,1994117.804686079,1142024335136072.3,85371668788687088.0,1.6297727056802103e-15,5.221577616740987e-22,2.5709195836606105,3.5527136788005009e-15,2.2928544792044383e-15,6.4472823340679369e-15,10,1.3093186421770897e-09,1.309318642177051e-09,1.3093186421772863e-09,1.3093186421773815e-09,1.3093186421775723e-09,1.3093186421775731e-09,0.004086512616033364,0.004086512616033243,0.004086512616033978,0.004086512616034274,0.00408651261603487,0.004086512616034873
20,1.3999206001982936e-09,0.004369290262791179,20,2131021.8558867532,1.6339482564604537e-09,2131021.8558867513,1304216242748768.0,1.338906202100877e+17,1.096345236817342e-15,3.5113817002876025e-22,2.7496215320110862,-8.8817841970012523e-16,2.300751091260055e-15,6.1940704106948547e-15,20,1.3999206001979425e-09,1.3999206001982936e-09,1.3999206001980341e-09,1.3999206001982612e-09,1.3999206001979518e-09,1.3999206001979524e-09,0.004369290262790083,0.004369290262791179,0.004369290262790369,0.004369290262791078,0.004369290262790112,0.004369290262790114
30,1.4966689718651766e-09,0.004671251472737755,30,2277324.9503009617,1.5289776801215346e-09,2277324.9503009603,1489442900252110.2,1.9102307039481043e+17,1.6930901125533637e-15,5.424236866816479e-22,2.9407450782898104,8.8817841970012523e-16,1.6084294616962291e-15,4.2111234001295829e-15,30,1.4966689718653828e-09,1.4966689718651766e-09,1.4966689718649305e-09,1.4966689718652312e-09,1.4966689718648404e-09,1.4966689718648408e-09,0.004671251472738398,0.004671251472737755,0.004671251472736987,0.004671251472737926,0.004671251472736705,0.004671251472736707
40,1.599995019705864e-09,0.004993742258757379,40,2433672.3694585003,1.4307507823864864e-09,2433672.3694584989,1700975739044604.7,1.7888272285040264e+18,1.654926196081874e-15,5.302227726464907e-22,3.1451536173162018,-8.8817841970012523e-16,1.7229723623367758e-15,4.9945395143638754e-15,40,1.5999950197058442e-09,1.599995019705864e-09,1.5999950197058713e-09,1.5999950197058583e-09,1.599995019705341e-09,1.5999950197053417e-09,0.004993742258757317,0.004993742258757379,0.004993742258757402,0.004993742258757361,0.004993742258755747,0.004993742258755748
50,1.7103583151017245e-09,0.005338196988457318,50,2600753.6961908573,1.3388343256500828e-09,2600753.6961908559,1942550804355900.0,1.3489086415621554e+17,1.2238474123016374e-15,3.920836103501351e-22,3.3637705618191847,-4.4408920985006262e-16,1.2499718016207618e-15,3.75998518209247e-15,50,1.7103583151017758e-09,1.7103583151017245e-09,1.7103583151016892e-09,1.7103583151014484e-09,1.7103583151013845e-09,1.7103583151013837e-09,0.005338196988457478,0.005338196988457318,0.0053381969884572075,0.005338196988456456,0.005338196988456257,0.005338196988456254
60,1.828248872788496e-09,0.005706145046156355,60,2779305.8560916008,1.2528229050128966e-09,2779305.8560915994,2218434740433637.5,51251096801891200.0,1.641915770012048e-15,5.260868695837256e-22,3.5975835135505272,1.3322676295501878e-15,1.727479182911925e-15,5.3616460289236125e-15,60,1.8282488727885544e-09,1.828248872788496e-09,1.8282488727890221e-09,1.8282488727887595e-09,1.8282488727889086e-09,1.8282488727889086e-09,0.005706145046156537,0.005706145046156355,0.005706145046157997,0.005706145046157177,0.005706145046157643,0.005706145046157643
70,1.954189402287949e-09,0.006099217859825059,70,2970116.3677858156,1.1723371602104962e-09,2970116.3677858142,2533500147050293.5,26584838706205016.0,3.135512682828079e-15,1.0046108539456521e-21,3.8476487244544573,3.9968028886505635e-15,2.3631495285608568e-15,5.0395191873245653e-15,70,1.954189402287868e-09,1.954189402287949e-09,1.9541894022884478e-09,1.954189402288727e-09,1.954189402288872e-09,1.9541894022888725e-09,0.0060992178598248065,0.006099217859825059,0.006099217859826617,0.0060992178598274875,0.006099217859827941,0.006099217859827942
80,2.0887376896008967e-09,0.006519156334584572,80,3174026.816514547,1.0970221024145971e-09,3174026.8165145461,2893311638414910.0,8049847888013384.0,6.127043317150083e-15,1.9628995935883347e-21,4.1150958680325855,-4.4408920985006262e-15,3.24767799079099e-15,8.247544349063835e-15,80,2.0887376896013107e-09,2.0887376896008967e-09,2.0887376895998644e-09,2.0887376895998574e-09,2.0887376895993487e-09,2.088737689599348e-09,0.006519156334585864,0.006519156334584572,0.0065191563345813495,0.006519156334581328,0.00651915633457974,0.006519156334579737
90,2.2324891222156548e-09,0.006967818733507038,90,3391936.5654909923,1.0265455485263802e-09,3391936.5654909913,3304224123673969.0,31657740620300964.0,1.7008963681952594e-15,5.446984333661687e-22,4.4011331424471374,-1.7763568394002505e-15,1.4479498033832255e-15,4.7634509269027731e-15,90,2.2324891222156755e-09,2.2324891222156548e-09,2.232489122215508e-09,2.232489122215191e-09,2.2324891222151308e-09,2.2324891222151316e-09,0.006967818733507103,0.006967818733507038,0.00696781873350658,0.00696781873350559,0.006967818733505402,0.006967818733505405
100,2.3860793705450446e-09,0.007447189046644959,100,3624806.7230198542,9.6059665605631198e-10,3624806.7230198532,3773495046194873.5,9141737922645926.0,7.381248390281314e-15,2.364909371289106e-21,4.7070527284062571,9.7699626167013776e-15,4.672343790260391e-15,9.6572026790871289e-15,100,2.386079370544236e-09,2.3860793705450446e-09,2.3860793705456356e-09,2.386079370545958e-09,2.3860793705466005e-09,2.386079370546601e-09,0.007447189046642435,0.007447189046644959,0.007447189046646803,0.007447189046647809,0.007447189046649815,0.007447189046649816
