voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4","current, barrier 5",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4,solute_1 transport over barrier 5
-150,-2.2398828926682472e-08,-0.06990895420312881,-150,2555684555425.6445,4.1380942347319121e-05,2555684555425.6445,61759940940330360.0,9.0208036260700083e+17,0.00014139339327812195,4.530244320631206e-11,670.68107215329178,0.0015342776860520846,0.00024765956209012933,0.00076674020320705168,-150,-2.240057394504547e-08,-2.2398828926682472e-08,-2.2389358229387002e-08,-2.235527150183916e-08,-2.2385422997509975e-08,-2.2378104082203208e-08,-0.06991440057754517,-0.06990895420312881,-0.06987939522280588,-0.06977300718426704,-0.06986711297599868,-0.06984426991948567
-140,-1.7219640684127808e-08,-0.05374419689178467,-140,2633961696158.561,4.2420021037591452e-05,2633961696158.561,62092418431957328.0,37493490457465096.0,0.00021115765594004188,6.765491296318928e-11,894.14572293335993,0.0015822835623415096,0.00012965330531581901,0.00049944087062885935,-140,-1.7204353272914886e-08,-1.7219640684127808e-08,-1.7234732871345644e-08,-1.7202021011710165e-08,-1.723719190437032e-08,-1.7269675924673354e-08,-0.05369648337364197,-0.05374419689178467,-0.053791301096584414,-0.05368920415639877,-0.053798975981180774,-0.053900361812338815
-130,-1.3441382306814194e-08,-0.04195187985897064,-130,2715331766652.2231,4.3485191074830106e-05,2715331766652.2231,62442677599820840.0,53146840012928440.0,0.0008358806371688843,2.678161561489112e-10,1184.6436959235018,0.0016320309000697063,0.00048981253456755912,0.0013662742701491641,-130,-1.34462282538414e-08,-1.3441382306814194e-08,-1.3364512558244174e-08,-1.3178412097692488e-08,-1.335667162456939e-08,-1.3336141670544747e-08,-0.0419670045375824,-0.04195187985897064,-0.041711961792272705,-0.04113112390041351,-0.04168748946494816,-0.041623413453635294
-120,-1.0448561230301856e-08,-0.03261099010705948,-120,2799744151634.3735,4.4577107614792705e-05,2799744151634.3735,62806770143724880.0,3.6965231049091917e+17,0.0001924977023008978,6.167626381720777e-11,1550.3161164167268,0.0016835245190536582,0.00021531231199273804,0.00075216333015930932,-120,-1.0419454514980315e-08,-1.0448561230301856e-08,-1.0432207136536354e-08,-1.0413533149659632e-08,-1.0435605707444665e-08,-1.0386884966484649e-08,-0.032520145177841187,-0.03261099010705948,-0.03255994736746678,-0.03250166401267052,-0.0325705546424615,-0.03241849240475858
-110,-8.192443460226058e-09,-0.025569424033164978,-110,2887183472551.0977,4.5696442264248991e-05,2887183472551.0977,63181799927779296.0,2.4850545903094816e+17,0.000309123346596607,9.904312024955371e-11,1993.5044303606578,0.0017367821867550533,0.00018412010843373903,0.00062144212851230197,-110,-8.191120970249176e-09,-8.192443460226058e-09,-8.180789831950109e-09,-8.223447972536087e-09,-8.183274105507735e-09,-8.124404852286534e-09,-0.025565296411514282,-0.025569424033164978,-0.025533051909956646,-0.025666192173957825,-0.02554080557274574,-0.025357068827361218
-100,-6.472447371482849e-09,-0.020201146602630615,-100,2977661626807.4561,4.6843883494067116e-05,2977661626807.4561,63565644107721848.0,4.7718673842559565e+17,0.00044376255027600564,1.4218152110843212e-10,2506.3750948160264,0.0017918318020481543,0.00033986949595637874,0.00097491720349015859,-100,-6.537807977199554e-09,-6.472447371482849e-09,-6.426439540288264e-09,-6.532438047230244e-09,-6.42971082315671e-09,-6.395626456091122e-09,-0.02040514349937439,-0.020201146602630615,-0.020057551623870986,-0.02038838341832161,-0.020067761620339297,-0.019961380949098384
-90,-5.038433772325516e-09,-0.015725448727607727,-90,3071211813849.9048,4.8020137062672421e-05,3071211813849.9048,63956748183404400.0,50975391223923736.0,0.0002665572190085029,8.540493297032449e-11,3068.0273975217292,0.0018487093196494593,0.0002620099546663211,0.00089064606868122242,-90,-5.0370635390281674e-09,-5.038433772325516e-09,-5.040025306219378e-09,-4.9546203732490536e-09,-5.038882941857445e-09,-5.028048799934186e-09,-0.015721172094345093,-0.015725448727607727,-0.015730416061858234,-0.015463858842849731,-0.015726850630016997,-0.015693036204538657
-80,-3.900937226414681e-09,-0.012175209820270538,-80,3167884058830.7622,4.9225926450139373e-05,3167884058830.7622,64353975380016296.0,31607741294486788.0,0.0004222335101076169,1.3528361663848106e-10,3645.6536916310142,0.0019074572192342865,0.00039445513634427007,0.0013553426015131072,-80,-3.841227042675018e-09,-3.900937226414681e-09,-3.931275982757332e-09,-3.957610934972763e-09,-3.9278536219127996e-09,-3.976510659313499e-09,-0.011988848447799683,-0.012175209820270538,-0.012269900071027878,-0.012352094054222107,-0.01225921854529588,-0.0124110819579073
-70,-2.9844898670911788e-09,-0.0093148872256279,-70,3267741865286.0288,5.0461993303183537e-05,3267741865286.0288,64756495956331440.0,1.2494906472454181e+17,0.00048806890845298767,1.563772782683372e-10,4200.4563170389038,0.0019681233776678597,0.00027031083020299506,0.00082155928921070185,-70,-2.9302319705486296e-09,-2.9844898670911788e-09,-3.036793238006288e-09,-3.086609248816967e-09,-3.035494923556689e-09,-3.0497573150525567e-09,-0.009145542979240417,-0.0093148872256279,-0.009478131204763696,-0.009633611887693405,-0.009474079037318006,-0.009518593367829453
-60,-2.3545024305582046e-09,-0.007348634302616119,-60,3370859719183.498,5.1729097891327347e-05,3370859719183.498,65163705855938392.0,1.4514072877940448e+17,0.00023856922780396417,7.643758058838988e-11,4695.2621633182889,0.0020307602410915256,0.00030493908175108979,0.00079207651236011241,-60,-2.386478519439697e-09,-2.3545024305582046e-09,-2.3114265353469693e-09,-2.322417725622654e-09,-2.310040938851307e-09,-2.3212881665669555e-09,-0.007448434829711914,-0.007348634302616119,-0.007214190185227744,-0.007248494774103165,-0.00720986560190795,-0.007244969308885629
