voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4","current, barrier 5",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_2 transport over barrier 4,solute_2 transport over barrier 5,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4,solute_1 transport over barrier 5
-150,-0.03952005124170841,-51461.64508614185,-97615.15511519503,-150,360586657.2026065,33904.732558071351,360552752.47004843,10635.289825247872,6.096910446381143e+17,1.4879333321005106e-08,1.4289980754256248e-08,4.4200754167889045e-15,3.4046796480613193e-08,-110860.54926394626,1.3377713264562392e-08,1.3791837575721213e-07,-150,-0.03952005124170965,-0.03952005124170841,-0.03952005124171283,-0.039520051241708806,-0.03952005124170927,-0.039520051241709694,-51461.64508614509,-51461.64508614185,-51461.64508614085,-51461.64508613215,-51461.64508613021,-51461.64508613257,-97615.15511519728,-97615.15511519503,-97615.15511520932,-97615.15511520111,-97615.15511520354,-97615.1551152037
-140,-0.03622726256725076,-48331.57782134536,-88903.07053767552,-140,342851757.51514637,36261.428773639345,342815496.08637273,9454.9985786656689,1.0659497643856576e+17,5.745096132159233e-08,3.045715857297182e-08,6.113165529342268e-15,-4.6817902575163004e-08,-101900.03867494367,2.8966207017915289e-08,1.6475531137348466e-07,-140,-0.03622726256725373,-0.03622726256725076,-0.036227262567251485,-0.03622726256724987,-0.036227262567250236,-0.03622726256725598,-48331.57782132877,-48331.57782134536,-48331.577821348845,-48331.577821359,-48331.57782136781,-48331.57782138622,-88903.0705376931,-88903.07053767552,-88903.07053767605,-88903.0705376659,-88903.07053766264,-88903.07053767139
-130,-0.033035096322833024,-45242.94410285938,-80484.3217152152,-130,326665704.23864281,38781.937431702187,326626922.30121112,8423.1404068949596,1.9810521678038336e+17,1.605803845450282e-08,1.3096723705530167e-08,3.642919299551295e-15,-1.0754515683236879e-08,-92966.852849407238,1.938768624580746e-08,1.4400792372145678e-07,-130,-0.03303509632283259,-0.033035096322833024,-0.03303509632283276,-0.03303509632282938,-0.03303509632283153,-0.03303509632283207,-45242.944102860434,-45242.94410285938,-45242.94410285587,-45242.94410286093,-45242.94410286279,-45242.94410287193,-80484.32171521333,-80484.3217152152,-80484.32171521615,-80484.32171520306,-80484.32171520885,-80484.32171520594
-120,-0.029934115493190305,-42185.62402645694,-72334.51474454402,-120,311955376.23553324,41477.645030077838,311913898.59050316,7521.0484107599732,4.9304740622285261e+18,2.708111423999071e-08,1.3576936908066273e-08,6.935424456955275e-15,8.1384624254091487e-09,-84172.02480284941,1.8221999196139981e-08,1.3900871336110752e-07,-120,-0.02993411549319154,-0.029934115493190305,-0.029934115493189382,-0.029934115493188286,-0.029934115493192172,-0.029934115493185236,-42185.62402646478,-42185.62402645694,-42185.62402645772,-42185.62402645545,-42185.624026453836,-42185.6240264377,-72334.51474454397,-72334.51474454402,-72334.51474454075,-72334.51474453846,-72334.5147445514,-72334.51474453782
-110,-0.02691695025005936,-39147.200986776,-64436.855967471434,-110,298654319.01569986,44360.729534744918,298609958.28616512,6732.4032347525545,1.6800689637676086e+17,5.1746610552072525e-08,1.6007106751203537e-08,5.863365348801608e-15,-3.7301813539224318e-09,-75649.250268436823,2.6048412621056457e-08,1.7664007573303664e-07,-110,-0.026916950250060162,-0.02691695025005936,-0.026916950250062403,-0.026916950250062344,-0.02691695025006191,-0.026916950250065224,-39147.200986755546,-39147.200986776,-39147.20098678231,-39147.200986793265,-39147.20098679849,-39147.20098680729,-64436.85596748415,-64436.855967471434,-64436.85596747778,-64436.85596747212,-64436.855967468146,-64436.85596747408
-100,-0.02397860860883078,-36112.03518687653,-56783.584806158426,-100,286702444.52567571,47444.215394286985,286655000.31028146,6042.9378406413507,2.3853953072613965e+17,6.51925802230835e-09,5.165929906070232e-09,2.105954299835844e-15,4.7457819069831025e-09,-67529.865139238987,1.6601886534717098e-08,1.5328460904132785e-07,-100,-0.023978608608829194,-0.02397860860883078,-0.02397860860883084,-0.02397860860882938,-0.023978608608828732,-0.023978608608829565,-36112.03518687002,-36112.03518687653,-36112.03518687654,-36112.035186873996,-36112.035186873734,-36112.03518687317,-56783.58480615672,-56783.584806158426,-56783.5848061586,-56783.584806155326,-56783.584806153434,-56783.584806156316
-90,-0.021116896722524075,-33060.047832589094,-49377.893444891706,-90,276045759.69847965,50742.032378355507,275995017.66610128,5440.1794086637647,4.5325365452360941e+17,1.388980308547616e-08,1.5214027371257544e-08,6.852157730108388e-15,-4.3151190073588593e-09,-59923.7445855271,1.351292872022089e-08,1.2014856927812859e-07,-90,-0.021116896722527288,-0.021116896722524075,-0.021116896722525813,-0.021116896722526826,-0.021116896722528138,-0.021116896722530927,-33060.04783258845,-33060.047832589094,-33060.04783259296,-33060.04783259732,-33060.04783260234,-33060.04783260144,-49377.89344490206,-49377.893444891706,-49377.893444895206,-49377.89344489618,-49377.89344489776,-49377.89344490692
-80,-0.0183329037506383,-29965.498734447414,-42236.05135262117,-80,266636122.5377956,54269.078505956684,266581853.45928964,4913.2236971469692,1.3407076002913576e+17,8.330971468240023e-09,1.2543750926852226e-08,3.604755383079805e-15,2.1856609545015716e-08,-52909.940298243222,1.2457940296594647e-08,1.2983517140487816e-07,-80,-0.01833290375063759,-0.0183329037506383,-0.018332903750639402,-0.018332903750635798,-0.018332903750638382,-0.01833290375063939,-29965.498734446315,-29965.498734447414,-29965.498734442634,-29965.498734441746,-29965.49873443978,-29965.498734439083,-42236.05135261951,-42236.05135262117,-42236.05135262701,-42236.051352616196,-42236.05135262525,-42236.05135262874
-70,-0.01563145875655122,-26796.331383447912,-35389.158766925284,-70,258431024.6345945,58041.287347843077,258372983.34724665,4452.5377785956061,5.027844113277113e+17,2.2984750103205442e-08,2.126034814864397e-08,5.648259637780484e-15,1.6763806343078613e-08,-46536.377238632624,1.9882324256931506e-08,1.4848938440512396e-07,-70,-0.015631458756550632,-0.01563145875655122,-0.015631458756550216,-0.01563145875655205,-0.015631458756555864,-0.015631458756551347,-26796.331383442302,-26796.331383447912,-26796.331383443576,-26796.331383438075,-26796.331383436318,-26796.331383424927,-35389.158766926266,-35389.158766925284,-35389.15876692433,-35389.158766932815,-35389.15876694559,-35389.15876693718
-60,-0.01302145578192931,-23514.901722878953,-28883.79689739108,-60,251393399.1337114,62075.700007051411,251331323.43370435,4049.7875836302237,2.8272197824879766e+17,1.1539668776094913e-08,5.951733328402042e-09,2.7564756033271465e-15,-3.5310825826866964e-08,-40826.652993934971,1.2575645275854819e-08,1.3257585752758823e-07,-60,-0.013021455781928789,-0.01302145578192931,-0.013021455781930251,-0.013021455781929857,-0.013021455781930202,-0.013021455781931545,-23514.901722880575,-23514.901722878953,-23514.901722877796,-23514.90172288302,-23514.901722886072,-23514.901722889335,-28883.796897388645,-28883.79689739108,-28883.796897394597,-28883.796897390755,-28883.796897390304,-28883.796897392866
