voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4","current, barrier 5",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_2 transport over barrier 4,solute_2 transport over barrier 5,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4,solute_1 transport over barrier 5
-150,-1.9346347891731195e-12,-9.58574679726877e-06,-1.2453125850520053e-06,-150,2555684555425.6445,4.1380942347319121e-05,2555684555425.6445,61759940940330360.0,7.4916382110425819e+22,9.567393722259695e-07,1.3194145753736564e-06,5.077835378016274e-13,3.4406728187392775e-07,-4.6876652735586356e-07,2.4321242365900633e-06,8.9056664073277483e-06,-150,-1.5890858484471692e-12,-1.9346347891731195e-12,-1.489257476134097e-12,-1.4268512513714922e-12,-1.5185798237305868e-12,-1.4909299732225989e-12,-9.553909601223154e-06,-9.58574679726877e-06,-9.125671331822183e-06,-9.054890943012168e-06,-8.70696983745837e-06,-8.6290074250428e-06,-1.8273885871167295e-07,-1.2453125850520053e-06,-8.528379767847494e-08,7.41019903216511e-08,-3.861524836758928e-07,-3.388357794342767e-07
-140,-8.111042027474009e-13,-4.034131583220755e-06,-5.144704217086016e-07,-140,2633961696158.561,4.2420021037591452e-05,2633961696158.561,62092418431957328.0,1.1564586179327096e+23,5.262267558592271e-06,2.8662329552009425e-06,7.938930684023682e-13,1.6162262668615823e-06,-1.7524943010263899e-07,3.0199338842519777e-06,1.0798773958459581e-05,-140,-4.950945570602272e-13,-8.111042027474009e-13,-4.4724724749405357e-13,-1.721113434503271e-14,-2.509939252092158e-13,-4.547449173291973e-13,-4.883392074717108e-06,-4.034131583220755e-06,-2.721240554337534e-06,-2.6224182480987283e-06,-1.0449790146622117e-06,3.788754838751629e-07,8.964570952230133e-07,-5.144704217086016e-07,-3.528249278770489e-08,1.2574914762808476e-06,-2.6088728795358763e-07,-1.6087414789200949e-06
-130,-4.0976877454778906e-13,-3.306629256971086e-06,3.743858689730928e-07,-130,2715331766652.2231,4.3485191074830106e-05,2715331766652.2231,62442677599820840.0,1.2225066134746899e+23,6.626491998556723e-07,1.5492956810803094e-06,4.968998552612278e-13,6.1343521679746223e-08,6.1343521679746223e-08,2.3157519594114097e-06,8.4102734323077058e-06,-130,-3.893621740992614e-13,-4.0976877454778906e-13,-5.198027254672909e-13,-8.862620293604892e-13,-5.110123712233225e-13,-4.424282304987592e-13,-2.6439800571154137e-06,-3.306629256971086e-06,-3.251200355547379e-06,-3.1824027812817545e-06,-3.1086251977131645e-06,-2.918599420809187e-06,1.0675228168111062e-07,3.743858689730928e-07,3.244605154179766e-09,-1.1749098121072166e-06,-4.0607411203724946e-08,7.843756777425881e-08
-120,-2.515981938446016e-13,2.390963995519378e-08,-7.97217597270361e-07,-120,2799744151634.3735,4.4577107614792705e-05,2799744151634.3735,62806770143724880.0,6.3904086197500746e+22,3.8710469052460894e-07,2.041813445430307e-06,6.672693085990412e-13,-9.6682383474464729e-08,-9.6682383474464729e-08,3.0182714757675359e-06,1.1956177852985261e-05,-120,3.058075447510688e-13,-2.515981938446016e-13,-2.781097975397084e-15,-3.614617638479724e-13,-2.483197003348972e-16,5.109176354469724e-14,1.073413917751509e-07,2.390963995519378e-08,2.550482141976118e-08,2.5741637198553602e-08,-1.4216474491357935e-08,-2.7976329874945804e-07,9.007848120745621e-07,-7.97217597270361e-07,-2.1432491781656758e-08,-1.1410286333557451e-06,6.333206969977041e-09,2.9934408241061305e-07
-110,-8.999863784535352e-13,-6.059276393033668e-06,2.206919466618551e-07,-110,2887183472551.0977,4.5696442264248991e-05,2887183472551.0977,63181799927779296.0,5.1490805327851833e+22,1.1154724983697406e-06,9.561979577021873e-07,2.936463134360653e-13,3.7499823873921047e-08,-6.3140407925699814e-07,1.4996750820737012e-06,6.1258710793123611e-06,-110,-9.409546882434227e-13,-8.999863784535352e-13,-8.866094901996823e-13,-6.473083748073575e-13,-8.857956544385714e-13,-9.017996162155483e-13,-6.2609478685971e-06,-6.059276393033668e-06,-5.455464426651346e-06,-5.469286757490716e-06,-5.414169603178099e-06,-5.145475370227359e-06,1.9366154901945265e-07,2.206919466618551e-07,-3.946344897046391e-08,7.143300990719581e-07,-5.757079903071145e-08,-2.418678586302292e-07
-100,-1.5323997869327499e-12,-9.608015521701471e-06,2.123689027411224e-08,-100,2977661626807.4561,4.6843883494067116e-05,2977661626807.4561,63565644107721848.0,1.3432344043067677e+23,1.9167027431876704e-07,2.9752135333183105e-07,8.650667260904646e-14,-2.7975480574260259e-08,-3.7763074081942953e-07,3.4236538174201906e-07,1.5506856356275886e-06,-100,-1.5611950403680907e-12,-1.5323997869327499e-12,-1.5504439654980526e-12,-1.4746883677590442e-12,-1.5407128751159618e-12,-1.5305101366045903e-12,-9.537503778744849e-06,-9.608015521701471e-06,-9.575575432574368e-06,-9.592554771244675e-06,-9.623281831008942e-06,-9.729174053063616e-06,-1.0389180715719704e-07,2.123689027411224e-08,-5.130081522983438e-08,1.9362954617463402e-07,2.924076815451421e-09,8.771394099937879e-08
-90,-4.561178826991147e-13,-4.360867638316898e-06,7.568449218453566e-07,-90,3071211813849.9048,4.8020137062672421e-05,3071211813849.9048,63956748183404400.0,7.3237483843176316e+22,2.1218295448172803e-07,1.0388301161512459e-06,3.1879068008228693e-13,-3.5725556530980089e-08,-2.5172209932075028e-07,1.2248005778491552e-06,4.2995371802203716e-06,-90,-7.072386384820106e-13,-4.561178826991147e-13,-6.987552987754041e-13,-7.749085627814016e-13,-6.862212090474873e-13,-7.16301131888919e-13,-4.48534466812589e-06,-4.360867638316898e-06,-4.277625193616075e-06,-4.273161713644162e-06,-4.311868764231419e-06,-4.313636054575909e-06,3.5310790735820774e-08,7.568449218453566e-07,-4.207160661082715e-08,-2.819851943058893e-07,1.4170308933788688e-08,-7.882845176609976e-08
-80,-2.0554637629556497e-12,-1.2265051521641817e-05,-2.827793670057144e-07,-80,3167884058830.7622,4.9225926450139373e-05,3167884058830.7622,64353975380016296.0,1.3231556749291863e+23,4.1280428675349867e-07,5.705717569526314e-07,1.2911881593760297e-13,-5.8657013592357445e-08,-8.3521298515480655e-07,7.2700925126050708e-07,2.9908043866031889e-06,-80,-2.0701151647720904e-12,-2.0554637629556497e-12,-1.9627332984751474e-12,-1.9409963488344874e-12,-2.0009057210917652e-12,-2.012654171227579e-12,-1.215090822981324e-05,-1.2265051521641817e-05,-1.2412228334923725e-05,-1.2486066625506248e-05,-1.2552604317324705e-05,-1.2563712516566738e-05,-3.855794830087689e-07,-2.827793670057144e-07,8.022996498012823e-08,1.8499227394386253e-07,3.1278060373446295e-08,1.640884095266415e-10
-70,5.688495427178471e-13,2.3164457186636202e-06,6.172126672532308e-07,-70,3267741865286.0288,5.0461993303183537e-05,3267741865286.0288,64756495956331440.0,1.007194960243989e+24,7.69022829416599e-07,1.5097405139385955e-06,4.033353269016857e-13,-1.0881524660557426e-07,-1.0881524660557426e-07,1.0633711155834011e-06,5.0618530162593899e-06,-70,6.495801195946171e-13,5.688495427178471e-13,3.6369104182476503e-13,2.4624479269293134e-13,3.941333161898218e-13,3.2825142311248e-13,2.0056672447310575e-06,2.3164457186636202e-06,2.4620085183890694e-06,2.50744960280996e-06,2.4196837698655218e-06,2.7746900741476566e-06,1.0245699968436384e-06,6.172126672532308e-07,-9.588864800612946e-08,-4.851705170949572e-07,2.0287066970553144e-08,-3.628399711796959e-07
-60,-7.85055750252183e-13,-4.587810027104544e-06,-1.5633141045579002e-07,-60,3370859719183.498,5.1729097891327347e-05,3370859719183.498,65163705855938392.0,3.8401835234530601e+23,2.5916541446235897e-07,2.676320325079029e-07,6.78180486197517e-14,-8.4209229134464608e-08,-2.4487599468018824e-07,4.0514469140859044e-07,2.0340309831859125e-06,-60,-7.213640270016696e-13,-7.85055750252183e-13,-7.428539910604471e-13,-7.172377016324313e-13,-7.627858922147893e-13,-7.565224976025409e-13,-4.5763532519060846e-06,-4.587810027104544e-06,-4.6632986663297515e-06,-4.699740455292936e-06,-4.778343832609029e-06,-4.8355186663684435e-06,3.6728351915371604e-08,-1.5633141045579002e-07,1.312876181516568e-08,1.1130062205211289e-07,8.441915634135769e-09,5.6578004836715934e-08
-50,-3.5170722880624293e-12,-2.1085027462125136e-05,-4.3461575727210544e-07,-50,3477321235199.543,5.3028019574520276e-05,3477321235199.543,65575166923080416.0,7.6207206536513665e+24,1.630940982266793e-06,2.870711044206673e-06,9.032113137096378e-13,-6.8448707635136911e-08,-2.3414471835005158e-07,4.7259721515362053e-06,2.1718012274318522e-05,-50,-3.682696216937842e-12,-3.5170722880624293e-12,-3.4217031591262143e-12,-4.271610605762679e-12,-3.3683992920530413e-12,-3.4028813921911373e-12,-2.2475297168256247e-05,-2.1085027462125136e-05,-2.0859524028082888e-05,-2.1094476794950023e-05,-2.1197875701655267e-05,-2.0844356185989454e-05,-2.5640952117100824e-07,-4.3461575727210544e-07,-2.497110169392497e-07,-2.7848795980389696e-06,8.583144616770323e-08,-1.985503470525174e-07
-40,2.399657831352726e-13,5.814721340344914e-07,4.58220809185228e-07,-40,3587217787690.646,5.43595572825009e-05,3587217787690.646,65990562966660168.0,3.5806428244058198e+23,1.7056470151023684e-07,9.673333195570066e-07,3.264795383701908e-13,-3.1676948723963305e-08,-3.1676948723963305e-08,1.3868247856513012e-06,6.5668385287962656e-06,-40,-8.651375523491821e-14,2.399657831352726e-13,8.27735441868871e-14,1.762308406922106e-13,7.741724380020346e-14,1.0879732974973243e-13,4.781890954319579e-07,5.814721340344914e-07,5.660597095502595e-07,5.595108579824551e-07,5.418383199519162e-07,4.1090743252425455e-07,-5.091125103717786e-07,4.58220809185228e-07,-2.4685459684970275e-08,2.702784058783436e-07,-2.9292306666958527e-08,1.341134802101962e-07
-30,-2.1840422540817488e-13,-8.13428648887551e-07,-2.749468035467828e-07,-30,3700647507706.2222,5.5724530006195863e-05,3700647507706.2222,66409667471304952.0,1.4224379117945693e+24,2.5645590078227087e-06,1.9911491618840316e-06,4.561392471503996e-13,5.7229813249310278e-07,-1.2636575892782396e-07,1.8297461568970779e-06,9.7913012661365984e-06,-30,2.377350217422247e-13,-2.1840422540817488e-13,-1.2325633214328317e-13,-9.59834803125384e-14,8.849727050211445e-14,1.0613183327778932e-14,-1.5329423597165714e-06,-8.13428648887551e-07,-5.444872933080269e-08,-4.063746632536509e-08,5.331411405302492e-07,1.0316166481061373e-06,1.5084656297403853e-06,-2.749468035467828e-07,-3.5747080432112537e-07,-2.792551754282613e-07,9.638139167192708e-09,-4.826835321436462e-07
-20,-4.719686191217071e-13,-2.651398299827445e-06,-1.4736145908036957e-07,-20,3817714556681.5957,5.7123777301457854e-05,3817714556681.5957,66832319868037928.0,7.193968312543855e+23,9.663355164946097e-07,3.469411789976118e-07,9.321228819714702e-14,-1.8548194615540157e-07,-6.9038581746329716e-07,4.4208051295973873e-07,1.6668029970543808e-06,-20,-4.022354151835827e-13,-4.719686191217071e-13,-4.905156828569908e-13,-4.673786838535864e-13,-4.954477033807297e-13,-4.669996331734926e-13,-2.3479277508897667e-06,-2.651398299827445e-06,-2.8159751277456735e-06,-2.9560157147889843e-06,-3.144679269834266e-06,-3.3142632673843764e-06,-8.145252650137991e-08,-1.4736145908036957e-07,-1.229602602750749e-07,1.9272889062449394e-08,2.5998488285641813e-08,1.9957971991724222e-07
-10,2.1552519993767057e-13,8.683834128524713e-07,2.384836991220496e-07,-10,3938528609518.7715,5.8558159805452533e-05,3938528609518.7715,67258408095536544.0,1.3941429967280565e+24,5.760159318413116e-07,7.937867169127699e-07,2.3427678465145367e-13,-1.8579409736035107e-07,-1.8579409736035107e-07,1.5659852826482842e-06,5.9532507072796084e-06,-10,-1.875158471378312e-14,2.1552519993767057e-13,1.48946434972434e-13,-1.2748715990744062e-14,6.4922970465077e-14,7.623923349371341e-14,9.935549449835435e-07,8.683834128524713e-07,6.15424420757904e-07,6.727441266094619e-07,4.6428444627726994e-07,4.1753901314223185e-07,-5.553030177907203e-07,2.384836991220496e-07,1.5716430326784575e-07,-3.7616206327584223e-07,-2.9511229177720498e-08,2.918066038803957e-08
