voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4","current, barrier 5",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_2 transport over barrier 4,solute_2 transport over barrier 5,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4,solute_1 transport over barrier 5
-150,-0.00063029335144649030432423584824604492257728649162334896655223414673930927464696099,-1310.894952911995257539078440578137722208383465973719475437100237644541283005043,-0.86528426025399721098007728672405059329649022060433774073664354187583957801652838,-150,22343695701402981.833414790769101182907963601693378146535385275260797912587382861,0.030056085894709012547207359615277085937484680295334877976031972322155760808211192,22343695701402981.803358704874392170360756242078101060597900594965463034611350888,743400048152520823.09876626771472309146534943751180557703851634185832791630128322,44687391402805963.666829581538202365815927203386756293070770550521595825174765721,5.223349055913609734437736799538594669601307130419262797993498892086043115868207e-71,8.6837711161701252041614814342681553735519917584450541680179541236961610811814584e-72,2.2358356678186345776801088353629068763558460853889441928259366600344791735035828e-77,64725856.258733264159991044926374678354042747569121353503997161014326289087256669,-2.4210725549073617129563596864799863692056549978461522954063398359541384374197762e-72,2.2494893386068332786260324478486168617505880485683298758903248049706213920832562e-71,4.4774585877851151258877847459031697960607358617036745221819963447898257772263455e-71,-150,-0.00063029335144649030432423584824604492257728649162334896655223414673930927464594164,-0.00063029335144649030432423584824604492257728649162334896655223414673930927464696099,-0.00063029335144649030432423584824604492257728649162334896655223414673930927464695738,-0.00063029335144649030432423584824604492257728649162334896655223414673930927462698648,-0.00063029335144649030432423584824604492257728649162334896655223414673930927464796143,-0.00063029335144649030432423584824604492257728649162334896655223414673930927464934484,-1310.8949529119952575390784405781377222083834659737194754371002376445412830029531,-1310.894952911995257539078440578137722208383465973719475437100237644541283005043,-1310.894952911995257539078440578137722208383465973719475437100237644541283005113,-1310.8949529119952575390784405781377222083834659737194754371002376445412829635589,-1310.8949529119952575390784405781377222083834659737194754371002376445412830072021,-1310.8949529119952575390784405781377222083834659737194754371002376445412830157924,-0.86528426025399721098007728672405059329649022060433774073664354187583957796996216,-0.86528426025399721098007728672405059329649022060433774073664354187583957801652838,-0.86528426025399721098007728672405059329649022060433774073664354187583957790035573,-0.86528426025399721098007728672405059329649022060433774073664354187583957790035539,-0.86528426025399721098007728672405059329649022060433774073664354187583957790035529,-0.86528426025399721098007728672405059329649022060433774073664354187583956933275727
-140,-0.00047681869052801859831081951588983744077919800703613373533762625133031710888041013,-991.9403264589283197249691689649275340289399797056206970809251793296098762759392,-0.28767051141587294821886531956804298992172609700357053249106119446783328076690699,-140,15130126699407504.648072109197489420936788600912346352650962125571643201631018603,0.035682671046905947171169493843752419049432467527527472666759013082287867199798013,15130126699407504.61238943815058347376561910706859393360152965804411572896425959,424018893639394226.49848569611850114826382324256134642742884639814571884873581041,30260253398815009.296144218394978841873577201824692705301924251143286403262037206,2.9087168408345615542757257800430964981091240651444719626768474804549907982926457e-71,1.4548012093348582197013596084807057206031657880934846358859263976470267057518708e-71,1.3985625707359624360964117274000864513126725252957921082587147355707725577385031e-77,123633670.44820075568036876968237512184726697155246096927583159325256807250187248,7.3593599808498804689568723022195151639019463799770550082208904603785606029323286e-72,2.2345712745230818871667646598447271662471960606707477018897490549075372320733658e-71,4.1626244140098428039645322974914211531994858132540715533504716672693366435620453e-71,-140,-0.00047681869052801859831081951588983744077919800703613373533762625133031710888356845,-0.00047681869052801859831081951588983744077919800703613373533762625133031710888041013,-0.00047681869052801859831081951588983744077919800703613373533762625133031710888041905,-0.00047681869052801859831081951588983744077919800703613373533762625133031710886958282,-0.00047681869052801859831081951588983744077919800703613373533762625133031710887726764,-0.00047681869052801859831081951588983744077919800703613373533762625133031710887493536,-991.94032645892831972496916896492753402893997970562069708092517932960987628249965,-991.9403264589283197249691689649275340289399797056206970809251793296098762759392,-991.94032645892831972496916896492753402893997970562069708092517932960987627595978,-991.94032645892831972496916896492753402893997970562069708092517932960987625341248,-991.94032645892831972496916896492753402893997970562069708092517932960987626940253,-991.940326458928319724969168964927534028939979705620697080925179329609876254851,-0.28767051141587294821886531956804298992172609700357053249106119446783328078366115,-0.28767051141587294821886531956804298992172609700357053249106119446783328076690699,-0.28767051141587294821886531956804298992172609700357053249106119446783328076389543,-0.28767051141587294821886531956804298992172609700357053249106119446783328076389583,-0.28767051141587294821886531956804298992172609700357053249106119446783328076389586,-0.28767051141587294821886531956804298992172609700357053249106119446783329531190752
-130,-0.00035464396858688204891009539146105159089206876061224146530489706527607533945574727,-737.85643356117574673673297989641657533165391193864174244666185808586760379449032,-0.094152988080472599747769842338940793456623797442866205799014926442536012661401128,-130,10246401509721032.229322437050127354816037723522437395269756082874116432298574987,0.04236256901521030120539503884875107981194656092784648811190475736494110667109907,10246401509721032.18695986803491705361064268467368631545780952194626994418667023,241873940790561043.07937788571883462432466446809938658176887763799311936620853148,20492803019442064.458644874100254709632075447044874790539512165748232864597149974,3.8142933848857878854712630954837384765769483009587502179164939931520110987437333e-71,1.5974403583703502635053305633004593082153457913391436744707443274362188627589687e-72,1.7819674334898230031623959440729957094419645425555449597950724080756244362373032e-77,247553977.82601210886099915157825737287077630015182647360623524510836801311044323,5.1061836991207588131047140352514724103215690874513697157565210225430663096615827e-72,2.1624161176806685528449755480249585393738716890124532029136166052768632941581348e-71,4.2743391721676525216441370234363982510212417948717847310658556101232038757446867e-71,-130,-0.00035464396858688204891009539146105159089206876061224146530489706527607533945798014,-0.00035464396858688204891009539146105159089206876061224146530489706527607533945574727,-0.00035464396858688204891009539146105159089206876061224146530489706527607533945574672,-0.00035464396858688204891009539146105159089206876061224146530489706527607533947107684,-0.00035464396858688204891009539146105159089206876061224146530489706527607533945351363,-0.00035464396858688204891009539146105159089206876061224146530489706527607533945325717,-737.8564335611757467367329798964165753316539119386417424466618580858676037991392,-737.85643356117574673673297989641657533165391193864174244666185808586760379449032,-737.85643356117574673673297989641657533165391193864174244666185808586760379450121,-737.85643356117574673673297989641657533165391193864174244666185808586760382639909,-737.85643356117574673673297989641657533165391193864174244666185808586760378985475,-737.85643356117574673673297989641657533165391193864174244666185808586760378825616,-0.094152988080472599747769842338940793456623797442866205799014926442536012657083043,-0.094152988080472599747769842338940793456623797442866205799014926442536012661401128,-0.094152988080472599747769842338940793456623797442866205799014926442536012643343275,-0.094152988080472599747769842338940793456623797442866205799014926442536012643343304,-0.094152988080472599747769842338940793456623797442866205799014926442536012643343364,-0.094152988080472599747769842338940793456623797442866205799014926442536014240783633
-120,-0.00026059255470165144688419138601524305148863757995795411351112227657345985331021262,-542.20302847203822693783794033965922270854302065043415751936853581796905571244101,-0.030521903838557540637162900377455431136656016414001793030083272622817842936732147,-120,6940146945404855.7413097004040384873450270360498355720549929776260898537777704716,0.05029296296819869795534470754761554522453020487963869678703929317192490461190026,6940146945404855.6910167374358397893896823285022200268304627727464511569907311784,137994393963092950.88060681985023038682616785131878271427159350652883842162117086,13880293890809711.482619400808076974690054072099671144109985955252179707555540943,1.2132387534011826568082322926001267931288960813972661141389081952662558581499787e-70,3.4269322989206756475208643924652692495323475227178754531929167566756858963739524e-71,5.1758385797180216370969426650498728361032521351567007190763394823407568077114282e-77,513162736.61060711897524894309229996999741699852744266005882057248008164614786277,-4.7191989498111238637031897608203366300454625226868915152296627645840412332030438e-71,5.3359911589038191723437591280896626623492515374659263220384886368792965939100546e-71,9.0727468911035751335565535975921437447153704712470096622066725940039794972127068e-71,-120,-0.00026059255470165144688419138601524305148863757995795411351112227657345985328929497,-0.00026059255470165144688419138601524305148863757995795411351112227657345985331021262,-0.00026059255470165144688419138601524305148863757995795411351112227657345985331020937,-0.00026059255470165144688419138601524305148863757995795411351112227657345985334105335,-0.00026059255470165144688419138601524305148863757995795411351112227657345985333112722,-0.00026059255470165144688419138601524305148863757995795411351112227657345985333662545,-542.20302847203822693783794033965922270854302065043415751936853581796905566892025,-542.20302847203822693783794033965922270854302065043415751936853581796905571244101,-542.20302847203822693783794033965922270854302065043415751936853581796905571243312,-542.2030284720382269378379403396592227085430206504341575193685358179690557766112,-542.20302847203822693783794033965922270854302065043415751936853581796905575595757,-542.20302847203822693783794033965922270854302065043415751936853581796905579024412,-0.030521903838557540637162900377455431136656016414001793030083272622817842931826803,-0.030521903838557540637162900377455431136656016414001793030083272622817842936732147,-0.030521903838557540637162900377455431136656016414001793030083272622817842938429203,-0.030521903838557540637162900377455431136656016414001793030083272622817842938429196,-0.030521903838557540637162900377455431136656016414001793030083272622817842938429184,-0.030521903838557540637162900377455431136656016414001793030083272622817808669106214
-110,-0.00018992184322520538605298271738486336112566585847549075252039766634531042958966068,-395.16997399755255169826798040928433220239671627397189365620024061827296330473526,-0.0098430773459077566718432318878089739451454439780327956296558507466938895044228317,-110,4701967793050710.7504461136509452948720055101765396553413225156778933990118009339,0.059707949326973752030680378608203453692204345106406287314650688807486505070505424,4701967793050710.6907381643239715428413251315683362016491181705714871116971502451,78749443684654277.41532265652229645206097305012700825491137544377909773808255533,9403935586101421.5008922273018905897440110203530793106826450313557867980236018678,1.8299833900199805894522670324829339481605097988231733784111987084403961984697907e-70,5.9642977732664927055173842439594177512047754976864379957029925550126276182123306e-71,8.7947844680959463642246802700623649700906846233441204305885165443181708259729592e-77,1058513316.8147967783662703193589042565602542314327034412013352726009584790641717,-5.3295692484778622198373871638515572670400758923569812719157216996491182678286582e-71,5.2116774333971381186327074600895053769807357699572449633478229706764488546966465e-71,7.3548709435070821080302148909155606894688761446187848359014723027402163942204558e-71,-110,-0.00018992184322520538605298271738486336112566585847549075252039766634531042956584611,-0.00018992184322520538605298271738486336112566585847549075252039766634531042958966068,-0.00018992184322520538605298271738486336112566585847549075252039766634531042958966009,-0.00018992184322520538605298271738486336112566585847549075252039766634531042965379395,-0.00018992184322520538605298271738486336112566585847549075252039766634531042961347484,-0.00018992184322520538605298271738486336112566585847549075252039766634531042962303641,-395.16997399755255169826798040928433220239671627397189365620024061827296325518438,-395.16997399755255169826798040928433220239671627397189365620024061827296330473526,-395.16997399755255169826798040928433220239671627397189365620024061827296330473732,-395.16997399755255169826798040928433220239671627397189365620024061827296343818272,-395.16997399755255169826798040928433220239671627397189365620024061827296335428944,-395.1699739975525516982679804092843322023967162739718936562002406182729634139432,-0.0098430773459077566718432318878089739451454439780327956296558507466938895031014979,-0.0098430773459077566718432318878089739451454439780327956296558507466938895044228317,-0.0098430773459077566718432318878089739451454439780327956296558507466938894994899876,-0.0098430773459077566718432318878089739451454439780327956296558507466938894994899476,-0.0098430773459077566718432318878089739451454439780327956296558507466938894994899582,-0.0098430773459077566718432318878089739451454439780327956296558507466938298614450991
-100,-0.00013776072445742153750066779637248998080921879906585489645350305012689243325059507,-286.6410899351638360547879671788143596214412394053433085578581168797736830396906,-0.0031730167971200615850151060049987588823590475173613544486775091318700067568453719,-100,3186979273835386.7203821466684770517775010248606025389914821765583278383971518895,0.070885448031501243454384313138059759038995982901317251447414708431854653843001999,3186979273835386.6494966986369758083231167117225427799524861936570105869497371811,44959570156333135.614562599224355881237908401558906645791619796766321597036134639,6373958547670773.4407642933369541035550020497212050779829643531166556767943037791,7.2459129593942078729248817081156735679180039561691101458937566713187697935342577e-71,2.6056702317688754545930685386366853569988351659562570743638117162053868444829548e-71,2.6475290362565684870263040264841732706459048248049635388015537799317833513744094e-77,1861535931.0924546184404507991042855238217024279161220308323159341255143645484624,2.485522378281921519954461962991102253809052446679254905872219093113413846307304e-71,2.6600221808939711712254163952302358181654477794374118778317994616010397285721908e-71,4.8385613734363389747929027995525952296235483705530303258117050771151553652233485e-71,-100,-0.00013776072445742153750066779637248998080921879906585489645350305012689243326175145,-0.00013776072445742153750066779637248998080921879906585489645350305012689243325059507,-0.00013776072445742153750066779637248998080921879906585489645350305012689243325059636,-0.0001377607244574215375006677963724899808092187990658548964535030501268924332432789,-0.00013776072445742153750066779637248998080921879906585489645350305012689243323944274,-0.00013776072445742153750066779637248998080921879906585489645350305012689243323527616,-286.64108993516383605478796717881435962144123940534330855785811687977368306290573,-286.6410899351638360547879671788143596214412394053433085578581168797736830396906,-286.64108993516383605478796717881435962144123940534330855785811687977368303969451,-286.64108993516383605478796717881435962144123940534330855785811687977368302446884,-286.64108993516383605478796717881435962144123940534330855785811687977368301648682,-286.6410899351638360547879671788143596214412394053433085578581168797736829904466,-0.0031730167971200615850151060049987588823590475173613544486775091318700067542977022,-0.0031730167971200615850151060049987588823590475173613544486775091318700067568453719,-0.00317301679712006158501510600499875888235904751736135444867750913187000675498978,-0.0031730167971200615850151060049987588823590475173613544486775091318700067549898965,-0.0031730167971200615850151060049987588823590475173613544486775091318700067549898899,-0.0031730167971200615850151060049987588823590475173613544486775091318700328110000198
-90,-0.000099764584330758530272265409372217289866293752144844362651253692866116529031037135,-207.58271775152871407548004040590087612479729170317150626437793776174641934237019,-0.0010305223902304461506780355467544116648878162711846268777276289488869183806900754,-90,2161680122651139.7715400943613773222287856619111089982444944720125991766146461143,0.084155406428548642945768211054417873064093672670073501205946443058594602397329688,2161680122651139.6873846879328286792830174508566911251804007993425256754086996712,25686764693917721.938081832469994848337870283568579990171372773142817532380329575,4323360245302279.5430801887227546444575713238222179964889889440251983532292922285,7.5320274963907758044750064680598782456291628250428112609233149625447612062546682e-71,1.3152262905272872364450386069710886918040548203010217137131378678416913177606549e-71,3.1986677708524133282438222438355813661745340743714389949224192863553680590192494e-77,2123015234.8607187502158663842710956319108782485468629210132349541107474844276946,2.5786342546045810082735440963264156665926737122371994662367575943178295081334127e-71,2.4834949610806560398184027409612265918951648176173396498207899802121927318390071e-71,3.6027542838952771076361583723337752148753541780834386112504235126925363467748102e-71,-90,-0.000099764584330758530272265409372217289866293752144844362651253692866116529042624187,-0.000099764584330758530272265409372217289866293752144844362651253692866116529031037135,-0.000099764584330758530272265409372217289866293752144844362651253692866116529031037196,-0.000099764584330758530272265409372217289866293752144844362651253692866116529049349141,-0.000099764584330758530272265409372217289866293752144844362651253692866116529019448301,-0.000099764584330758530272265409372217289866293752144844362651253692866116529017362463,-207.58271775152871407548004040590087612479729170317150626437793776174641936648292,-207.58271775152871407548004040590087612479729170317150626437793776174641934237019,-207.58271775152871407548004040590087612479729170317150626437793776174641934236988,-207.58271775152871407548004040590087612479729170317150626437793776174641938047213,-207.58271775152871407548004040590087612479729170317150626437793776174641931825649,-207.58271775152871407548004040590087612479729170317150626437793776174641930515186,-0.0010305223902304461506780355467544116648878162711846268777276289488869183759185922,-0.0010305223902304461506780355467544116648878162711846268777276289488869183806900754,-0.001030522390230446150678035546754411664887816271184626877727628948886918381345021,-0.001030522390230446150678035546754411664887816271184626877727628948886918381345041,-0.0010305223902304461506780355467544116648878162711846268777276289488869183813450423,-0.0010305223902304461506780355467544116648878162711846268777276289488869315281814975
-80,-0.000072343554065547489417505902166784933579573653847303304651499743702863420257862313,-150.52734962934583815200312474391088851108062956569290392878876354417364901929745,-0.00034280175992282589046478200422677472169939771936663577419633681240567774615362225,-80,1467982715119489.3233178728055631634987691268729613957711008060312697314582785092,0.099909538950884976412184613658199423208163197396198873991271029954822673009706182,1467982715119489.2234083338546781870865845132147619725629376086350708574670074792,14693118700519098.530446023650823320287689165206795916922193805351300304906877348,2935965430238978.6466357456111263269975382537459227915422016120625394629165570183,6.4057433015118448275441704671431366956419838607149265113517256792234183399636009e-71,1.6112672396610807226475824397463961487822544199936058905666424038362945098996203e-72,3.0784316611711660029169690035576078697731212479928167045603960292384938412490731e-77,1638535267.1829223060650178164210274789071668678264536340607043963622232988547585,1.7553731852053361864337007809271090590378643334816628314701458316321304261973228e-71,2.1676915849083204058937081060417973060352891249295506141832634699853176231107403e-71,4.0796807829705509499866013425476689171769596125976013804428072641509440321841148e-71,-80,-0.000072343554065547489417505902166784933579573653847303304651499743702863420249977409,-0.000072343554065547489417505902166784933579573653847303304651499743702863420257862313,-0.000072343554065547489417505902166784933579573653847303304651499743702863420257858862,-0.000072343554065547489417505902166784933579573653847303304651499743702863420280761725,-0.000072343554065547489417505902166784933579573653847303304651499743702863420265743878,-0.000072343554065547489417505902166784933579573653847303304651499743702863420265978654,-150.52734962934583815200312474391088851108062956569290392878876354417364900288845,-150.52734962934583815200312474391088851108062956569290392878876354417364901929745,-150.52734962934583815200312474391088851108062956569290392878876354417364901929115,-150.52734962934583815200312474391088851108062956569290392878876354417364906694588,-150.52734962934583815200312474391088851108062956569290392878876354417364903569776,-150.52734962934583815200312474391088851108062956569290392878876354417364903725694,-0.00034280175992282589046478200422677472169939771936663577419633681240567775008307895,-0.00034280175992282589046478200422677472169939771936663577419633681240567774615362225,-0.00034280175992282589046478200422677472169939771936663577419633681240567774482158008,-0.00034280175992282589046478200422677472169939771936663577419633681240567774482176313,-0.00034280175992282589046478200422677472169939771936663577419633681240567774482174538,-0.00034280175992282589046478200422677472169939771936663577419633681240567613881583928
-70,-0.000052672182377232195328187960296684919447529420833824482485863144843246871554025548,-109.59663666135387560040222534290695269554023935674669412305422682587867938304873,-0.00012109171511384409373197019428362950446645052042359082449322778544517911497184681,-70,998859501056554.97429218758721169225820765472551780844590371266234529954211818748,0.11861289009225398312101722444922908121557874907229401679638944809149851384639082,998859501056554.85567929749495770913719043027628872723032496359005128274572873939,8421171596777284.0872851707178237218313442553106303356189903515751840919953111193,1997719002113109.948584375174423384516415309451035616891807425324690599084236375,2.8278988846025033339157902684028613348906548444540480865732848614848755027113074e-70,4.8456172342463588096011148837016381868068612033179032704081958679268139544535135e-71,1.3590985328565254808693836495482130551042152622430477708695396716904011631465685e-76,1045631001.7028583178921642370600193480420902345511812733801215781852395700261249,-3.6349294037717523521392593177532800009134658995832494890677971099199988219320395e-71,4.2507346655214785753830538720224434592759734266559823548423429156604073067553099e-71,7.436712586388468998135728978318924339293046580947765796289668074183415752236235e-71,-70,-0.000052672182377232195328187960296684919447529420833824482485863144843246871570323256,-0.000052672182377232195328187960296684919447529420833824482485863144843246871554025548,-0.000052672182377232195328187960296684919447529420833824482485863144843246871554029174,-0.000052672182377232195328187960296684919447529420833824482485863144843246871434413402,-0.00005267218237723219532818796029668491944752942083382448248586314484324687153773501,-0.000052672182377232195328187960296684919447529420833824482485863144843246871529966185,-109.59663666135387560040222534290695269554023935674669412305422682587867941695778,-109.59663666135387560040222534290695269554023935674669412305422682587867938304873,-109.59663666135387560040222534290695269554023935674669412305422682587867938305631,-109.59663666135387560040222534290695269554023935674669412305422682587867913416789,-109.59663666135387560040222534290695269554023935674669412305422682587867934915251,-109.59663666135387560040222534290695269554023935674669412305422682587867930068355,-0.00012109171511384409373197019428362950446645052042359082449322778544517911814563875,-0.00012109171511384409373197019428362950446645052042359082449322778544517911497184681,-0.00012109171511384409373197019428362950446645052042359082449322778544517911492061725,-0.00012109171511384409373197019428362950446645052042359082449322778544517911492185992,-0.00012109171511384409373197019428362950446645052042359082449322778544517911492186094,-0.00012109171511384409373197019428362950446645052042359082449322778544522757109295972
-60,-0.000038600218572016374824043217479148071452054865022281783576104744952285969509846308,-80.316693712434700392129046319294866281446819240781278498467237618745159779161008,-0.000048607429018852828748256145513587420634516348075530425845792957820533922575626408,-60,681854348466222.9480085769010151067007828938807010841739181226829480811319435539,0.14081756200429848713415885917545963817805286235336445827465670343371706010761217,681854348466222.80719101489671661956662403470524144599586526032958362285728685046,4842111585807807.0805885738273784176561009329190490857124383113092377725481253155,1363708696932445.8960171538020302134015657877614021683478362453658961622638871078,2.280954266734859680123069386317247221308676265613620534976357576630644070236277e-70,6.5976527846757315382316558236975420547514951744132837817771684082561167195767551e-71,8.8483864935963889093171168452662527976500893300010002050070127926382635192986998e-77,612063538.50766630858050249268597116017861989961175527726030210820047864911426455,7.6569612409966985012098938737373340757977680432662014915314904455981350581942521e-71,8.919275421051166256195952166470272198511507957684204351773439973708876133073091e-71,1.7870440168878568123872140171761239027251449430394777161446364487177762628939687e-70,-60,-0.000038600218572016374824043217479148071452054865022281783576104744952285969475650259,-0.000038600218572016374824043217479148071452054865022281783576104744952285969509846308,-0.000038600218572016374824043217479148071452054865022281783576104744952285969509853493,-0.000038600218572016374824043217479148071452054865022281783576104744952285969466154798,-0.00003860021857201637482404321747914807145205486502228178357610474495228596954406041,-0.000038600218572016374824043217479148071452054865022281783576104744952285969554638662,-80.316693712434700392129046319294866281446819240781278498467237618745159708007823,-80.316693712434700392129046319294866281446819240781278498467237618745159779161008,-80.316693712434700392129046319294866281446819240781278498467237618745159779175774,-80.31669371243470039212904631929486628144681924078127849846723761874515968825048,-80.316693712434700392129046319294866281446819240781278498467237618745159850351213,-80.316693712434700392129046319294866281446819240781278498467237618745159916345907,-0.000048607429018852828748256145513587420634516348075530425845792957820533923111068859,-0.000048607429018852828748256145513587420634516348075530425845792957820533922575626408,-0.000048607429018852828748256145513587420634516348075530425845792957820533922852847055,-0.000048607429018852828748256145513587420634516348075530425845792957820533922853957301,-0.000048607429018852828748256145513587420634516348075530425845792957820533922854047832,-0.000048607429018852828748256145513587420634516348075530425845792957820467946583222101
