voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4","current, barrier 5",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_2 transport over barrier 4,solute_2 transport over barrier 5,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4,solute_1 transport over barrier 5
-150,-0.000000000018184850935700573188562977586231516895285306047127267037909254208148890208585408,-0.00011351183492193377261392878769624805699425419141664902642527521163413476374415928,-0.00000000079582149433125736591466530409112076124733606597840436268374632666739546332969007,-150,114832446171694.52485937810656451212235466480926178627613560342106375035240775584,0.00021247417361991258306080142453664452532778065975071638598840505149247358085871754,114832446171694.52464690393294459953929386338472514175080782276131303396641935079,540453666510613957.90490949779542601685489470402121462506057586337520535839891684,229664892343389.04971875621312902424470932961852357255227120684212750070481551168,8.8878604306151372307738566731835771929268098996133077251684812480196747136194343e-75,1.4973758439438678889028638033758089277866951588906462857858651801394704257698972e-74,4.5804076965061992386146128843113752367939726427820897961428779805472450916664489e-81,0.34245740078372897620223241472018590136006449742244061688114113351127130506100483,-3.405131274004550873444137651881772412905728754906446454393008640790302372136505e-75,5.7776559054228228786247968898503289287656667996685824316440505513796106698494308e-75,1.2252824775491876925269259872395466372149465524381283824945929254093449503497791e-74,-150,-0.000000000018184850935700573188562977586231516895285306047127267037909254208148890208013181,-0.000000000018184850935700573188562977586231516895285306047127267037909254208148890208585408,-0.000000000018184850935700573188562977586231516895285306047127267037909254208148890155840635,-0.000000000018184850935700573188562977586231516895285306047127267037909254208148885922051591,-0.000000000018184850935700573188562977586231516895285306047127267037909254208148889971176849,-0.000000000018184850935700573188562977586231516895285306047127267037909254208148890502459287,-0.00011351183492193377261392878769624805699425419141664902642527521163413476374058732,-0.00011351183492193377261392878769624805699425419141664902642527521163413476374415928,-0.00011351183492193377261392878769624805699425419141664902642527521163413476340593579,-0.00011351183492193377261392878769624805699425419141664902642527521163413475621200738,-0.00011351183492193377261392878769624805699425419141664902642527521163413475806615683,-0.00011351183492193377261392878769624805699425419141664902642527521163413475485629885,-0.00000000079582149433125736591466530409112076124733606597840436268374632666739546332897881,-0.00000000079582149433125736591466530409112076124733606597840436268374632666739546332969007,-0.00000000079582149433125736591466530409112076124733606597840436268374632666739995343431221,-0.00000000079582149433125736591466530409112076124733606597840436268374632665778284446543771,-0.00000000079582149433125736591466530409112076124733606597840436268374632666949348902614578,-0.00000000079582149433125736591466530409112076124733606597840436268374632667275660290487639
-140,-0.000000000010327671750722752062664015301967263082959380902926732319952447580089469956029014,-0.000064466204437111411512444465285334263252807402316590694052668345138034937234709871,-0.00000000057989980494525693832914189364345551688523584366578744029345084724264830868308461,-140,103723677737527.3924836816136979698310424183124446596633507712290172426022737772,0.00023072359717791062435432558158526507533637138078037456304968165678020441066541103,103723677737527.39225295801652005920668809273085939458801439984823686803922409554,449558168328774009.50333846027352638014725929807807665643003490236222438362154087,207447355475054.78496736322739593966208483662488931932670154245803448520454755439,2.6342254252792033394846274232238179298026932533548565868530543020326938339750352e-74,1.7176468665253149274888840227622322189355147857024961192826276642581198561179226e-74,2.185814565674551169840977287470066480811487040319960755396128551695085025552251e-81,0.32901199211410677465399767254479005841885668142165443804994739259654470408188345,-9.5571894319391221989810028416854036474024834729221977016157965168333115210685011e-75,9.5105509773584757273585087721926730500502217706410593649798004762244492543407212e-75,1.4251567220133080355382807324855068715307558949459489462136234937276552700761623e-74,-140,-0.000000000010327671750722752062664015301967263082959380902926732319952447580089469955328893,-0.000000000010327671750722752062664015301967263082959380902926732319952447580089469956029014,-0.00000000001032767175072275206266401530196726308295938090292673231995244758008946996571696,-0.000000000010327671750722752062664015301967263082959380902926732319952447580089469058705692,-0.000000000010327671750722752062664015301967263082959380902926732319952447580089469753840642,-0.000000000010327671750722752062664015301967263082959380902926732319952447580089471244520257,-0.000064466204437111411512444465285334263252807402316590694052668345138034937230339605,-0.000064466204437111411512444465285334263252807402316590694052668345138034937234709871,-0.000064466204437111411512444465285334263252807402316590694052668345138034937267043321,-0.00006446620443711141151244446528533426325280740231659069405266834513803492723181546,-0.000064466204437111411512444465285334263252807402316590694052668345138034920102153098,-0.000064466204437111411512444465285334263252807402316590694052668345138034910924789068,-0.00000000057989980494525693832914189364345551688523584366578744029345084724264830866963564,-0.00000000057989980494525693832914189364345551688523584366578744029345084724264830868308461,-0.00000000057989980494525693832914189364345551688523584366578744029345084724266237899403371,-0.00000000057989980494525693832914189364345551688523584366578744029345084724484912129982033,-0.00000000057989980494525693832914189364345551688523584366578744029345084725058353722040304,-0.00000000057989980494525693832914189364345551688523584366578744029345084725982477733488879
-130,-0.0000000000058246471705139292250127642912133023293916841399580666892726193082450962873923622,-0.000036357806594302135441996114034347511943926311568590980044276277618887268676635812,-0.00000000039498784871230205430227026218861395291716788535323720954448059725240396592677475,-130,93695387939186.132992842496926804676021511037976912914757130576104282921445743039,0.00025054046516703740976457824505600510959752981595590524291807564829777470300707962,93695387939186.132742302031759767266256932792920907805159600760148377678527667391,373973074076950561.16915857042118190248240983219086010122739877797469452868562496,187390775878372.26598568499385360935204302207595382582951426115220856584289148608,6.655592175533554259331790736519768031534424049032012989716528578889931490619707e-76,3.8742002588952871385035942858874949967975934752148946041407432596001121847108344e-75,1.1820475707897470801779369243442693500723856245947267746677314594816442468665844e-81,0.31545232019357658531315223940654982760169339678907553121489482510573877551809488,4.7658613619177733586351346802484681644453216011644047785648277351794999892770812e-77,2.5508338081652687120600390099900042914794190210083277819237170058153095792749669e-75,4.5789755022583099967277088016981934302697017825662141460385561393536750241418633e-75,-130,-0.0000000000058246471705139292250127642912133023293916841399580666892726193082450962879016676,-0.0000000000058246471705139292250127642912133023293916841399580666892726193082450962873923622,-0.0000000000058246471705139292250127642912133023293916841399580666892726193082450962943724001,-0.0000000000058246471705139292250127642912133023293916841399580666892726193082450951123248293,-0.000000000005824647170513929225012764291213302329391684139958066689272619308245096207858148,-0.0000000000058246471705139292250127642912133023293916841399580666892726193082450962138414565,-0.000036357806594302135441996114034347511943926311568590980044276277618887268679814962,-0.000036357806594302135441996114034347511943926311568590980044276277618887268676635812,-0.000036357806594302135441996114034347511943926311568590980044276277618887268753222395,-0.000036357806594302135441996114034347511943926311568590980044276277618887269090032969,-0.000036357806594302135441996114034347511943926311568590980044276277618887269295990592,-0.00003635780659430213544199611403434751194392631156859098004427627761888726934219503,-0.00000000039498784871230205430227026218861395291716788535323720954448059725240396594417528,-0.00000000039498784871230205430227026218861395291716788535323720954448059725240396592677475,-0.00000000039498784871230205430227026218861395291716788535323720954448059725238745802199834,-0.00000000039498784871230205430227026218861395291716788535323720954448059724852976568527999,-0.00000000039498784871230205430227026218861395291716788535323720954448059725184605441043626,-0.0000000003949878487123020543022702621886139529171678853532372095444805972518416266873001
-120,-0.0000000000032724740514103276829694030856319644206284478545988626833470244741912572419016999,-0.000020427017771219160171206490457321646617676092680264351480043639415883629554374236,-0.00000000020538221291632000767209379559839117448982693284354990324564150861560894657480221,-120,84642420519575.441580112115337209777996494430351380380229226989179394721371496624,0.00027205940551331308761273891522458961935571467110053310000940860696191309776495693,84642420519575.441308052709823896690383755515126790760873512318078861621362088017,311117420696684967.57972882098012830710815149802849824516900783667733865450593836,169284841039150.88316022423067441955599298886070276076045845397835878944274299325,1.1833893528639849249421292609547915251527671249071385059466445409047187613845782e-74,1.5420136843868188402270352102507484006323000104378996854077860548820109726867988e-74,4.2645070375151694086512821074795296584572391631055726231677707892135228578715103e-81,0.30171010104837306706299400135378740327508067379658096804983214927011227855897671,-4.0091295308153117782217982966103525517233051676861265895203173145587676403328015e-75,3.9343512550832732978962752706346388992342813831463782190591390523850721091973583e-75,4.7302816415465615253758955654577291541079234658105919566233286984998329909357578e-75,-120,-0.0000000000032724740514103276829694030856319644206284478545988626833470244741912572423353377,-0.0000000000032724740514103276829694030856319644206284478545988626833470244741912572419016999,-0.0000000000032724740514103276829694030856319644206284478545988626833470244741912572428204004,-0.0000000000032724740514103276829694030856319644206284478545988626833470244741912615064087374,-0.0000000000032724740514103276829694030856319644206284478545988626833470244741912572829884707,-0.0000000000032724740514103276829694030856319644206284478545988626833470244741912578803561402,-0.00002042701777121916017120649045732164661767609268026435148004363941588362955708109,-0.000020427017771219160171206490457321646617676092680264351480043639415883629554374236,-0.0000204270177712191601712064904573216466176760926802643514800436394158836295268545,-0.000020427017771219160171206490457321646617676092680264351480043639415883625333994666,-0.000020427017771219160171206490457321646617676092680264351480043639415883621631878566,-0.000020427017771219160171206490457321646617676092680264351480043639415883617723187561,-0.00000000020538221291632000767209379559839117448982693284354990324564150861560894657423755,-0.00000000020538221291632000767209379559839117448982693284354990324564150861560894657480221,-0.0000000002053822129163200076720937955983911744898269328435499032456415086156255737978447,-0.00000000020538221291632000767209379559839117448982693284354990324564150863102908341810573,-0.00000000020538221291632000767209379559839117448982693284354990324564150861969843027382182,-0.00000000020538221291632000767209379559839117448982693284354990324564150862351721918926094
-110,-0.0000000000018349792020793852988365120881522831834819406319934522339862604334866961532241532,-0.000011454413698782806069029500016654591970830908921201642910321645098234831462360615,0.000000000055781727903060810140024243817112368523539301223463901149818564007099034592325764,-110,76469854153406.917637544242675751025217160970497086768803020929500094239748819847,0.00029542660934595948822909125381357003367994970312779915364905665782482121175437548,76469854153406.917342117633329791536988069716683516735123071226372295086099763189,258845519442890989.55432408627933375978136053208372578876248620202657142216171249,152939708306813.83527508848535150205043432194099417353760604185900018847949763969,3.1283571308179154450351894524117275305792312692844264344032821286393686277400691e-75,2.4041267782428271865986864184726590967976568798020643269369524870491066440729924e-75,6.1982505022602857789623688185369484850164996294816624250696505544076025544304454e-82,0.28773283272896389780293354117679431106927215918171687258780274865330279330829909,1.03358844345068113158247283357200361443052206091279256588044167680463852883225e-75,1.1062018800804197103974099625312401724454508489325930270152823830230682887680365e-75,1.9863075900305951945354187000850334157859080017965771132129559743045952457354797e-75,-110,-0.0000000000018349792020793852988365120881522831834819406319934522339862604334866961549632551,-0.0000000000018349792020793852988365120881522831834819406319934522339862604334866961532241532,-0.0000000000018349792020793852988365120881522831834819406319934522339862604334866961467467914,-0.0000000000018349792020793852988365120881522831834819406319934522339862604334866955351382049,-0.0000000000018349792020793852988365120881522831834819406319934522339862604334866961431577124,-0.000000000001834979202079385298836512088152283183481940631993452233986260433486695971074292,-0.000011454413698782806069029500016654591970830908921201642910321645098234831473216395,-0.000011454413698782806069029500016654591970830908921201642910321645098234831462360615,-0.000011454413698782806069029500016654591970830908921201642910321645098234831475375437,-0.000011454413698782806069029500016654591970830908921201642910321645098234832412399725,-0.000011454413698782806069029500016654591970830908921201642910321645098234833582382184,-0.000011454413698782806069029500016654591970830908921201642910321645098234834590717746,0.000000000055781727903060810140024243817112368523539301223463901149818564007099034573581102,0.000000000055781727903060810140024243817112368523539301223463901149818564007099034592325764,0.000000000055781727903060810140024243817112368523539301223463901149818564007125758488406801,0.000000000055781727903060810140024243817112368523539301223463901149818564009503161351823929,0.000000000055781727903060810140024243817112368523539301223463901149818564008190463731449573,0.000000000055781727903060810140024243817112368523539301223463901149818564009231720839181629
-100,-0.0000000000010276872213368653055889544137552404657791671312805501737345120341625348868063081,-0.0000064160840878095294991973592552879485950920525537165163181034233440167276927726958,0.0000000005288686960713740447460821858405287792773274118828788409791050012317434640801789,-100,69092006266081.954279460587126956885835807065699749881657473533634593173829229359,0.00032080082416183662710817132154095521158625888155572492533235893667707808393127828,69092006266081.953958659762965120258727635744158794670071214652078868248496870423,215373531058095500.54223498751308928157204500490860925128327893337285243418047177,138184012532163.90855892117425391377167161413139949976331494706726918634765845872,2.0460142270802136823598153377237596657383129328970409517704558832125266094785818e-75,3.7493537829058220457860190584822848001300631855621244472002565754057617333719769e-75,9.8722904638620843386800710857961833725795031119655924954255486986179693703787135e-82,0.2734476312278010913361073948062754592278585167448770532266966158599539135101544,-7.3492005568153639808612526314279758288845443093389921504505030620178225232580118e-76,1.7168707326896718224472488110966286011314032006531137850744568459158406730453808e-75,3.1664971868592998042954714395131959131536636576692747765883219761799027773568522e-75,-100,-0.0000000000010276872213368653055889544137552404657791671312805501737345120341625348852427959,-0.0000000000010276872213368653055889544137552404657791671312805501737345120341625348868063081,-0.0000000000010276872213368653055889544137552404657791671312805501737345120341625348790079402,-0.000000000001027687221336865305588954413755240465779167131280550173734512034162533990618869,-0.0000000000010276872213368653055889544137552404657791671312805501737345120341625348207431975,-0.0000000000010276872213368653055889544137552404657791671312805501737345120341625349778479154,-0.0000064160840878095294991973592552879485950920525537165163181034233440167276830129467,-0.0000064160840878095294991973592552879485950920525537165163181034233440167276927726958,-0.0000064160840878095294991973592552879485950920525537165163181034233440167277278130711,-0.0000064160840878095294991973592552879485950920525537165163181034233440167270180279679,-0.000006416084087809529499197359255287948595092052553716516318103423344016726396322502,-0.000006416084087809529499197359255287948595092052553716516318103423344016725681798844,0.00000000052886869607137404474608218584052877927732741188287884097910500123174346408155781,0.0000000005288686960713740447460821858405287792773274118828788409791050012317434640801789,0.00000000052886869607137404474608218584052877927732741188287884097910500123178532374321874,0.00000000052886869607137404474608218584052877927732741188287884097910500123420318110168569,0.00000000052886869607137404474608218584052877927732741188287884097910500123130142846717396,0.00000000052886869607137404474608218584052877927732741188287884097910500123045382731877987
-90,-0.00000000000057443076657141591375845804722302906701174466969026368816793504346150497095415962,-0.0000035887577064518324600414330350439212026898310448994976575924161483706258689812175,0.0000000015237765361036744971537862485823842459439939041250450362673007052897293176398697,-90,62431533812453.296736595092518972337237405998378860938733940282198466250814692587,0.00034835443229285112082501984292968816501280872427607821670768474167344857850845796,62431533812453.296388240660226121216412386155449172773721131557922388034107007845,179218428201220586.63909663956845896051220349375253128693061563089220991129258028,124863067624906.59347319018503794467447481199675772187746788056439693250162938517,1.2957277624989717372828317850859918270130667296838808422897398000602265132684962e-75,1.669703219247487411564538534316617162874409241249515749032552676116062400094777e-75,4.1253190436637234081310275034843303329160639117361640072249206623084279034513915e-82,0.2587109576047078022303750664293616362285050239643814377538410634088204588171085,3.9283324030103785677840870686991868730722198017147749234663759604870415101815532e-76,1.9785591985527462962985722263841564470577447833560612280359301708774221342332953e-75,3.5150075939908005001118940717721820985844238254692135894216201424312971265241245e-75,-90,-0.00000000000057443076657141591375845804722302906701174466969026368816793504346150497227565828,-0.00000000000057443076657141591375845804722302906701174466969026368816793504346150497095415962,-0.00000000000057443076657141591375845804722302906701174466969026368816793504346150495319151188,-0.00000000000057443076657141591375845804722302906701174466969026368816793504346150455974375391,-0.00000000000057443076657141591375845804722302906701174466969026368816793504346150489279447492,-0.00000000000057443076657141591375845804722302906701174466969026368816793504346150488521785557,-0.0000035887577064518324600414330350439212026898310448994976575924161483706258772302738,-0.0000035887577064518324600414330350439212026898310448994976575924161483706258689812175,-0.0000035887577064518324600414330350439212026898310448994976575924161483706259827534583,-0.0000035887577064518324600414330350439212026898310448994976575924161483706266415311909,-0.0000035887577064518324600414330350439212026898310448994976575924161483706267859977305,-0.00000358875770645183246004143303504392120268983104489949765759241614837062716470898,0.0000000015237765361036744971537862485823842459439939041250450362673007052897293176403592,0.0000000015237765361036744971537862485823842459439939041250450362673007052897293176398697,0.0000000015237765361036744971537862485823842459439939041250450362673007052898416427357315,0.0000000015237765361036744971537862485823842459439939041250450362673007052913990208591172,0.0000000015237765361036744971537862485823842459439939041250450362673007052904317699809466,0.00000000152377653610367449715378624858238424594399390412504503626730070529064477298195
-80,-0.0000000000003191798701939281551763222050192698508063169976033590784923407173421741372341055,-0.0000019998367625218826827697846704167593240154094874889645446601312959631176623446027,0.0000000037265267230881225726930729646305568271701314926316812734680179498957820237656859,-80,56418621578205.909656025224043916210469385667588233062826846384865302324502244193,0.00037827462200301551236446205760449988070430194042318942985415379923902745786194461,56418621578205.909277750602040900698104923609983733182122544444442112894648090393,149147255185826751.71872033681682604529793446500834709500235456084913947796163082,112837243156411.81931205044808783242093877133517646612565369276973060464900448839,4.6489770352875917328986690985469366244223119360530220388150405308828669383382405e-75,4.0178509138823715956823080212792706602336266500173914922916771063396360386898276e-75,7.9891381863285898149484432977298589072638537012252295878502054264949515270451395e-82,0.24319141348922786657212055207209190812343274971149603001399759108594931727467071,-1.5401959044042999451420177568510035339858727203616308433235058963961558037049576e-75,1.4868897372133634907093823184454059037306053144557444483414190404465483544026066e-75,2.1755458901425685547605947678586990381510811613108012833536510417464729272303181e-75,-80,-0.00000000000031917987019392815517632220501926985080631699760335907849234071734217413799036188,-0.0000000000003191798701939281551763222050192698508063169976033590784923407173421741372341055,-0.00000000000031917987019392815517632220501926985080631699760335907849234071734217410465315353,-0.0000000000003191798701939281551763222050192698508063169976033590784923407173421746585748189,-0.00000000000031917987019392815517632220501926985080631699760335907849234071734217407211435637,-0.00000000000031917987019392815517632220501926985080631699760335907849234071734217385966100027,-0.000001999836762521882682769784670416759324015409487488964544660131295963117667065314,-0.0000019998367625218826827697846704167593240154094874889645446601312959631176623446027,-0.0000019998367625218826827697846704167593240154094874889645446601312959631178646176697,-0.0000019998367625218826827697846704167593240154094874889645446601312959631192625974546,-0.0000019998367625218826827697846704167593240154094874889645446601312959631208525860477,-0.0000019998367625218826827697846704167593240154094874889645446601312959631223113216379,0.0000000037265267230881225726930729646305568271701314926316812734680179498957820237706328,0.0000000037265267230881225726930729646305568271701314926316812734680179498957820237656859,0.0000000037265267230881225726930729646305568271701314926316812734680179498959848486636641,0.0000000037265267230881225726930729646305568271701314926316812734680179498949549944070072,0.0000000037265267230881225726930729646305568271701314926316812734680179498975803896477559,0.0000000037265267230881225726930729646305568271701314926316812734680179498989728453208896
-70,-0.00000000000017405122634134578742962889941861519239370480905135515096433417544808605297301461,-0.0000011036689598184895843383882927651437178189968327832252427222294254002292312724952,0.0000000086034363969295729867824296625781321818422384159736117356126894056411527174666141,-70,50990249485142.213628154767506216233092641191636401573323934724806759590335133661,0.00041076465917112649475254848159317776844425005350227027691399469535193216930665167,50990249485142.213217390108335089738340092710043223804879684671304489313421138965,124134947704689061.75095363937045459007521002652326960988097219582924633478637506,101980498970284.42725630953501243246618528238327280314664786944961351918067026732,9.7156896244812502035596458456504495175055004099908165581516664039396657785577304e-77,2.0136184476154115042586649840774359991385562825690375604915980902526875568829342e-75,6.3026533723725073844098369265278158455694203385435501774690096689528498901608844e-82,0.22610302937595735392886608692550391203872335494366691990722240024778220717221937,2.0697392055274818246738468369460954742604832844247540020578763367470848769235947e-77,3.9919095984990726592712937000263639342785917025235995822031973360810821901464245e-76,8.8349902818988829759829240186652165631906683101477476712724675646688338729206233e-76,-70,-0.00000000000017405122634134578742962889941861519239370480905135515096433417544808605363953601,-0.00000000000017405122634134578742962889941861519239370480905135515096433417544808605297301461,-0.00000000000017405122634134578742962889941861519239370480905135515096433417544808605771712678,-0.00000000000017405122634134578742962889941861519239370480905135515096433417544808668323835185,-0.00000000000017405122634134578742962889941861519239370480905135515096433417544808606859661904,-0.00000000000017405122634134578742962889941861519239370480905135515096433417544808605993742186,-0.000001103668959818489584338388292765143717818996832783225242722229425400229235433086,-0.0000011036689598184895843383882927651437178189968327832252427222294254002292312724952,-0.0000011036689598184895843383882927651437178189968327832252427222294254002292034522743,-0.0000011036689598184895843383882927651437178189968327832252427222294254002291382761897,-0.000001103668959818489584338388292765143717818996832783225242722229425400229170564766,-0.0000011036689598184895843383882927651437178189968327832252427222294254002291515293139,0.0000000086034363969295729867824296625781321818422384159736117356126894056411527174829547,0.0000000086034363969295729867824296625781321818422384159736117356126894056411527174666141,0.0000000086034363969295729867824296625781321818422384159736117356126894056411240005141566,0.0000000086034363969295729867824296625781321818422384159736117356126894056391390990353393,0.0000000086034363969295729867824296625781321818422384159736117356126894056410736007916805,0.0000000086034363969295729867824296625781321818422384159736117356126894056410911092740246
-60,-0.000000000000089336969852833690314472388191320508344177162739297905831827193752310559176663487,-0.0000005957167554684769541255580894983029887056416272262896035098133256221160469851633,0.000000019028883811536558119288115212747402386099655584439453092162469190726819412670804,-60,46089531210796.044770664537274067168586792165437443385101262005836149594754343498,0.00044604526819836906020684954775894740021234569960694543632879100519728798841074394,46089531210796.044324619269075698108379942617678495984888916306229204158425552493,103329268343003057.97124082630145404009535987747923333725308516009940922714922854,92179062421592.089541329074548134337173584330874886770202524011672299189508686997,1.1227231275313326793738352252101188480533816623289392871066161658721287571915658e-75,1.658144362578133368074179557657676717654272069971766025924551066272369626207186e-75,5.1895953691692933431037810482128614289074522378483625831436846888964682550847014e-82,0.20577442593888640943655396040428222469103199474942249811541520930608899126790922,8.3583226731307222927984712480073561254777821578866921792995341205832198850393158e-77,1.0457409395072659660073255936808117108527552878048567772593456846238584736102926e-75,1.8885088494541201278132099446044243142280580120599278566097286561934775187252954e-75,-60,-0.000000000000089336969852833690314472388191320508344177162739297905831827193752310558821155785,-0.000000000000089336969852833690314472388191320508344177162739297905831827193752310559176663487,-0.000000000000089336969852833690314472388191320508344177162739297905831827193752310699863252079,-0.000000000000089336969852833690314472388191320508344177162739297905831827193752310292306878445,-0.000000000000089336969852833690314472388191320508344177162739297905831827193752310811266415362,-0.000000000000089336969852833690314472388191320508344177162739297905831827193752310715892732712,-0.00000059571675546847695412555808949830298870564162722628960350981332562211604476603144,-0.0000005957167554684769541255580894983029887056416272262896035098133256221160469851633,-0.00000059571675546847695412555808949830298870564162722628960350981332562211516846480336,-0.00000059571675546847695412555808949830298870564162722628960350981332562211507319706899,-0.00000059571675546847695412555808949830298870564162722628960350981332562211499635613982,-0.00000059571675546847695412555808949830298870564162722628960350981332562211492426203577,0.000000019028883811536558119288115212747402386099655584439453092162469190726819412679473,0.000000019028883811536558119288115212747402386099655584439453092162469190726819412670804,0.000000019028883811536558119288115212747402386099655584439453092162469190725941055772383,0.000000019028883811536558119288115212747402386099655584439453092162469190727165445543256,0.000000019028883811536558119288115212747402386099655584439453092162469190725507301180678,0.000000019028883811536558119288115212747402386099655584439453092162469190725768924798596
