voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4","current, barrier 5",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_2 transport over barrier 4,solute_2 transport over barrier 5,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4,solute_1 transport over barrier 5
-150,-2.671563808305337e-10,-0.0016676371275399207,-2.8495587964680387e-09,-150,114832446171694.5,0.00021247417361991259,114832446171694.5,5.4045366651061382e+17,7.7687376995533095e+19,0.0013330716091869421,0.0009000385317268065,1.064273581751106e-10,1.1939410392626835,-0.00055451060947657276,0.00070154761492665881,0.00118542889517002,-150,-2.6429676951915044e-10,-2.671563808305337e-10,-2.6820722209796735e-10,-1.6177986392285676e-10,-2.5669825399188814e-10,-1.8948249592046162e-10,-0.0016497868707574526,-0.0016676371275399207,-0.0016771739901741967,-0.0020874515175819397,-0.0025632844599026952,-0.0029828584799443947,-2.849013129072365e-09,-2.8495587964680387e-09,1.485802521657167e-06,0.0005387948476709425,0.00048046166193671525,0.00090003568216801
-140,-2.5977207649032124e-10,-0.001621542263733337,-3.139326593941753e-09,-140,103723677737527.39,0.00023072359717791064,103723677737527.39,4.4955816832877395e+17,1.1512596122600249e+19,0.0012977147627060222,0.001224790102426194,3.255049019212489e-10,0.89764793356289063,-0.00055474827349315942,0.0015086577058087891,0.0026353616679193758,-140,-2.63412741184475e-10,-2.5977207649032124e-10,-2.636661866771643e-10,6.183871524408459e-11,-2.4722782309950406e-10,-1.8150197719378225e-10,-0.001644268011659733,-0.001621542263733337,-0.0016447031666757539,-0.0020624175667762756,-0.0025089833309198425,-0.002919257026439359,-3.138940654698291e-09,-3.139326593941753e-09,-5.765898118244836e-07,0.0012242135126143694,0.0004828692462979234,0.0008931429414538172
-130,-1.9693210566602658e-10,-0.0012292834318209207,-2.8086401843857913e-09,-130,93695387939186.109,0.00025054046516703743,93695387939186.109,3.7397307407695046e+17,1.7494546608738814e+19,0.000947884412320743,0.0006600552885487332,1.0901162954686014e-10,1.1080331304341342,-0.0004813855545779868,0.00047687076357056415,0.00092773526347432738,-130,-2.1290271713143266e-10,-1.9693210566602658e-10,-1.9602563290861546e-10,-2.5558297466486687e-10,-1.960727947138392e-10,-1.4657134511800674e-10,-0.0013289751291267748,-0.0012292834318209207,-0.0012212614092277363,-0.001529507339000702,-0.0018601480039209476,-0.0021691458215484793,-2.813499760702878e-09,-2.8086401843857913e-09,-1.1846290584648417e-06,-3.294600173830986e-05,0.00031811147164262366,0.0006271092868104233
-120,-2.4434594033211917e-10,-0.0015252477415567134,-3.908035997763948e-09,-120,84642420519575.422,0.00027205940551331309,84642420519575.422,3.1111742069668486e+17,1.5470834110165148e+19,0.0010474829706302313,0.0006674522768515863,9.575633589528291e-11,0.92519430779940404,-0.00034956850413200152,0.00048599235055381279,0.00095907786608177392,-120,-2.554018218490329e-10,-2.4434594033211917e-10,-2.360728632702759e-10,-2.8578426155727356e-10,-2.434815200731463e-10,-1.9002792566199065e-10,-0.001594260719457452,-0.0015252477415567134,-0.0014665125927422196,-0.0018531233072280884,-0.002180327677886909,-0.002513995563372451,-3.915705209516733e-09,-3.908035997763948e-09,-3.55039298680488e-06,3.4600787330418825e-05,0.00033023400101228617,0.0006639018838647814
-110,-1.8679446918499522e-10,-0.0011660009309118812,-3.4957956050808317e-09,-110,76469854153406.906,0.00029542660934595949,76469854153406.906,2.5884551944289094e+17,9.9264928271382016e+18,0.0009261081151726303,0.0005843565563852903,1.3150046431930813e-10,1.1072434236792763,-0.00043904775949990364,0.00071163329798944685,0.0013417458395120023,-110,-1.7678011844308334e-10,-1.8679446918499522e-10,-1.8772848618338894e-10,-5.6228021864080814e-11,-1.8285234683196228e-10,-1.3856500015119923e-10,-0.001103489405295477,-0.0011660009309118812,-0.0011677725851768628,-0.0014531761407852173,-0.0017531471591027263,-0.002029597520468107,-3.4822557676822833e-09,-3.4957956050808317e-09,-2.032827834130814e-06,0.0005510948685696349,0.00030587337096221745,0.0005823237285511595
-100,-1.7428784138682599e-10,-0.001087931399779255,-3.842516196458467e-09,-100,69092006266081.953,0.00032080082416183664,69092006266081.953,2.1537353105809549e+17,4.7562135065135145e+19,0.0007970270576953542,0.0005052409977132412,4.328795604304495e-11,1.1959681333968322,-0.00037619590993713536,0.0003208387338155527,0.00062492378083795982,-100,-1.7123290331819326e-10,-1.7428784138682599e-10,-1.7866397974125806e-10,-1.7920686127035877e-10,-1.8032537833671146e-10,-1.370374222936665e-10,-0.0010688618672247685,-0.001087931399779255,-0.0011171630612807348,-0.001379460096359253,-0.0015956769700629192,-0.0018658889249201227,-3.845782725803719e-09,-3.842516196458467e-09,9.536288262036545e-07,0.00013040775957051665,0.0002350251943425974,0.0005052371519305154
-90,-1.5799524647857566e-10,-0.0009862293428639507,-4.075380058544157e-09,-90,62431533812453.297,0.00034835443229285114,62431533812453.297,1.7921842820122058e+17,2.1295188621486277e+20,0.0007909640358846337,0.00044353025042681446,4.2371916965501133e-11,1.2238941435167725,-0.00034141143899297111,0.00029427084662221207,0.00060619407822247136,-90,-1.431119442912825e-10,-1.5799524647857566e-10,-1.6052443464004622e-10,-1.7013323155988472e-10,-1.678776883866254e-10,-1.2776131459438358e-10,-0.0008933248388984794,-0.0009862293428639507,-0.0010017422318924218,-0.0012465044856071472,-0.001433874553292907,-0.001684288874783113,-4.073345025339932e-09,-4.075380058544157e-09,-1.414765632966407e-07,9.224964742315933e-05,0.00019297445396659896,0.0004433887738635178
-80,-1.3112799103554873e-10,-0.0008185188310955711,-3.977197372795813e-09,-80,56418621578205.914,0.0003782746220030155,56418621578205.914,1.4914725518582675e+17,1.1789351484791148e+20,0.0005552179781513344,0.0005848431132733367,1.3648274769259315e-10,1.0674540618801451,-0.00027033847167657124,0.00050496639664114335,0.0010749636880827882,-80,-1.2438030147297174e-10,-1.3112799103554873e-10,-1.3859243747866136e-10,-2.4485261210356836e-10,-1.392486306369115e-10,-1.083698644109752e-10,-0.0007763984738176077,-0.0008185188310955711,-0.0008633864199509844,-0.0010138824582099915,-0.0011388651219315484,-0.0013316164519689422,-3.9512090855014485e-09,-3.977197372795813e-09,-8.67456312464574e-07,-0.00025726792227942497,0.00013482385111274198,0.00032757519099391175
-70,-1.4441683886487286e-10,-0.00090146782574713,-5.284582342761335e-09,-70,50990249485142.219,0.00041076465917112647,50990249485142.219,1.2413494770468909e+17,2.1336814196393288e+19,0.0003751240761943331,0.00027909689044593194,1.0728955426337511e-10,1.1678461412402859,-0.00010288228367757567,0.00035387031797914014,0.00081291667885989951,-70,-1.7874449692634249e-10,-1.4441683886487286e-10,-1.4016489649372965e-10,-7.145494266296738e-11,-1.4383637155810372e-10,-1.2536634307487545e-10,-0.0011157478352288308,-0.00090146782574713,-0.0008750686538405716,-0.0010042190551757812,-0.0011348991687439522,-0.0012501927300349047,-5.286275542483039e-09,-5.284582342761335e-09,6.58609598312282e-08,0.0002790916041703895,0.00011852208263007924,0.00023381564380997588
-60,-1.220154300691726e-10,-0.0007616334906624218,-5.445895919604711e-09,-60,46089531210796.039,0.00044604526819836906,46089531210796.039,1.0332926834300304e+17,4.4270306338698584e+19,0.0002002731581765005,0.00013866475641921306,2.8798541907663526e-11,1.259581467565368,-1.9293082782083359e-05,0.00011250119851038864,0.00028186267353526783,-60,-1.3346892174674438e-10,-1.220154300691726e-10,-1.1865395411373278e-10,-1.0467037983908085e-10,-1.1184131771203046e-10,-1.0635708596270029e-10,-0.0008331284413998219,-0.0007616334906624218,-0.0007409473691950552,-0.0008033663034439087,-0.0009069869091467689,-0.0009412205273715557,-5.447673198895916e-09,-5.445895919604711e-09,1.4299135866123515e-07,7.499657294829376e-05,0.00010442567145219073,0.00013865930874601418
-50,-9.271113494251083e-11,-0.0005787111522727875,-5.019814014604941e-09,-50,41665117181238.75,0.00048435613152218341,41665117181238.75,86021657350136176.0,4.2580752263278936e+19,0.00029057021466613576,0.0006118436534379157,1.6449073046218912e-10,1.0332526692048027,-0.00017639964763162264,0.0006624921422106548,0.0011733690680805751,-50,-9.4459984005013e-11,-9.271113494251083e-11,-9.353080944877918e-11,-2.386694907647325e-10,-8.981294930215467e-11,-7.417876030254336e-11,-0.0005896277891679347,-0.0005787111522727875,-0.0005837839489686303,-0.0006723776459693909,-0.0007716896396335254,-0.0008692813669389232,-5.0317737511830385e-09,-5.019814014604941e-09,-2.6906441961972328e-08,-0.00040872219688026235,0.00010552974708843976,0.00020312145655765335
-40,-8.24394328250194e-11,-0.0005145920453905947,-5.577882166454563e-09,-40,37670655671532.594,0.00052595751792349681,37670655671532.594,71623000694538952.0,5.4124525997251633e+19,0.0003915923602562313,0.00025022122751355884,2.3619005382132207e-11,1.2635678462328528,-0.0002504756465631832,0.00020459038310670564,0.00049564419992729634,-40,-8.868502324386946e-11,-8.24394328250194e-11,-8.72412295523922e-11,-8.628417623076529e-11,-8.874208111034646e-11,-6.512307572821426e-11,-0.0005535781924663752,-0.0005145920453905947,-0.000543807829672005,-0.0006458163261413574,-0.0007587499574907482,-0.000906184405646826,-5.608023583512215e-09,-5.577882166454563e-09,-3.8456691303681717e-07,5.3606739129463676e-05,0.00010240219125989825,0.000249836660600522
-30,-7.298217406644904e-11,-0.00045555606842223427,-6.5290424691265395e-09,-30,34064306358121.684,0.00057113205068939194,34064306358121.684,59643485805084736.0,2.3200243989859226e+19,0.00021600132647353777,0.00014854858206119894,2.9094882376997827e-11,1.2731378998617762,-0.00011346553222657541,0.00014043422882108355,0.00040797070231165573,-30,-8.908550325209948e-11,-7.298217406644904e-11,-7.326883945632035e-11,-7.57644396919204e-11,-7.29845696923434e-11,-5.999062087510165e-11,-0.0005560762303957745,-0.00045555606842223427,-0.00045760599459754303,-0.0005125477910041809,-0.0005904467197193337,-0.000671557394895772,-6.526662598019177e-09,-6.5290424691265395e-09,1.2372309053068542e-07,1.9805606825684663e-05,6.74313196213916e-05,0.0001485420530187298
