voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4","current, barrier 5",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_2 transport over barrier 4,solute_2 transport over barrier 5,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4,solute_1 transport over barrier 5
-150,-0.03952005124170837,-51461.6450861394,-97615.15511519613,-150,360586657.2026065,33904.732558071351,360552752.47004843,10635.289825247872,6.096910446381143e+17,1.206353772431612e-08,4.1298335418105125e-08,1.2462253451417382e-14,39189.664275560848,2.1228345313389791e-07,2.5500642651521017e-08,2.6660188247611041e-07,-150,-0.039520051241703456,-0.03952005124170837,-0.03952005124170916,-0.03952005124170402,-0.03952005124170921,-0.03952005124171592,-51461.64508614308,-51461.6450861394,-51461.64508614263,-51461.645086131015,-51461.64508613534,-51461.64508613828,-97615.15511517896,-97615.15511519613,-97615.15511519698,-97615.15511518676,-97615.15511520079,-97615.15511522026
-140,-0.03622726256725959,-48331.577821338135,-88903.07053770669,-140,342851757.51514637,36261.428773639345,342815496.08637273,9454.9985786656689,1.0659497643856576e+17,1.5636032912880182e-08,9.284121915698051e-09,2.3245294578089215e-15,36133.852604580621,2.0126755377237853e-07,2.253224088758095e-08,2.5367757287272702e-07,-140,-0.036227262567261054,-0.03622726256725959,-0.036227262567261304,-0.0362272625672608,-0.03622726256726184,-0.036227262567261914,-48331.57782134462,-48331.577821338135,-48331.57782133025,-48331.57782134242,-48331.57782134482,-48331.57782134588,-88903.07053770802,-88903.07053770669,-88903.07053771598,-88903.07053770832,-88903.07053771036,-88903.07053771007
-130,-0.0330350963228311,-45242.94410286279,-80484.3217152075,-130,326665704.23864281,38781.937431702187,326626922.30121112,8423.1404068949596,1.9810521678038336e+17,1.9528670236468315e-08,9.022187441587448e-09,2.3522850334245504e-15,33119.772785903275,1.911628606013801e-07,2.176069289783306e-08,2.2523698472011553e-07,-130,-0.03303509632282875,-0.0330350963228311,-0.03303509632283015,-0.03303509632282984,-0.03303509632282901,-0.0330350963228298,-45242.94410285282,-45242.94410286279,-45242.94410286408,-45242.94410287235,-45242.944102867805,-45242.944102871756,-80484.32171520515,-80484.3217152075,-80484.32171520389,-80484.32171519878,-80484.32171519847,-80484.32171519895
-120,-0.029934115493183668,-42185.62402645875,-72334.5147445224,-120,311955376.23553324,41477.645030077838,311913898.59050316,7521.0484107599732,4.9304740622285261e+18,2.219167072325945e-08,1.1947122402489185e-08,6.567663080048192e-15,30164.581196585004,1.81952970687116e-07,1.8846856018578034e-08,2.0193482081279357e-07,-120,-0.02993411549318266,-0.029934115493183668,-0.02993411549318487,-0.029934115493185687,-0.029934115493189004,-0.029934115493189226,-42185.624026454796,-42185.62402645875,-42185.624026462836,-42185.624026469726,-42185.62402647053,-42185.62402647699,-72334.51474452122,-72334.5147445224,-72334.5147445241,-72334.51474452321,-72334.51474453317,-72334.51474453064
-110,-0.026916950250067007,-39147.20098677175,-64436.85596749742,-110,298654319.01569986,44360.729534744918,298609958.28616512,6732.4032347525545,1.6800689637676086e+17,6.0390448197722435e-09,1.8088030628859997e-08,6.432354648922001e-15,27291.034835757921,1.7359980847627671e-07,1.3982322682173053e-08,1.550040523577885e-07,-110,-0.026916950250070182,-0.026916950250067007,-0.026916950250064124,-0.026916950250064728,-0.02691695025006556,-0.02691695025006375,-39147.20098677592,-39147.20098677175,-39147.20098677197,-39147.20098676988,-39147.20098677097,-39147.20098677196,-64436.85596750524,-64436.85596749742,-64436.855967488314,-64436.855967491254,-64436.85596749329,-64436.85596748715
-100,-0.023978608608830443,-36112.035186875444,-56783.584806157916,-100,286702444.52567571,47444.215394286985,286655000.31028146,6042.9378406413507,2.3853953072613965e+17,7.843482308089733e-09,7.741618901491165e-09,1.9637069748057456e-15,24525.590534731513,1.6606494773083762e-07,1.183815780258292e-08,1.310184484090357e-07,-100,-0.023978608608830332,-0.023978608608830443,-0.023978608608829107,-0.023978608608829836,-0.023978608608830755,-0.02397860860883107,-36112.035186869995,-36112.035186875444,-36112.03518687784,-36112.03518687418,-36112.035186875146,-36112.035186877096,-56783.5848061603,-56783.584806157916,-56783.58480615256,-56783.584806156665,-56783.584806159044,-56783.58480615905
-90,-0.02111689672252724,-33060.04783259241,-49377.89344489993,-90,276045759.69847965,50742.032378355507,275995017.66610128,5440.1794086637647,4.5325365452360941e+17,4.751200322061777e-09,2.3283064365386963e-08,6.938893903907228e-15,21896.167739215187,1.5932234431371544e-07,1.1017974819655778e-08,1.2483639681595653e-07,-90,-0.02111689672252831,-0.02111689672252724,-0.021116896722525435,-0.021116896722525348,-0.021116896722523492,-0.021116896722521372,-33060.04783258983,-33060.04783259241,-33060.04783259247,-33060.0478325921,-33060.04783259458,-33060.04783259309,-49377.89344490456,-49377.89344489993,-49377.89344489426,-49377.89344489417,-49377.893444887144,-49377.89344488128
-80,-0.018332903750638306,-29965.498734443747,-42236.05135262303,-80,266636122.5377956,54269.078505956684,266581853.45928964,4913.2236971469692,1.3407076002913576e+17,1.3562384992837906e-08,1.2165401130914688e-08,1.7277845820728999e-15,19430.295974204724,1.5335398262900307e-07,1.086438383476768e-08,1.2153347254788283e-07,-80,-0.01833290375063759,-0.018332903750638306,-0.018332903750637702,-0.018332903750638226,-0.01833290375063895,-0.01833290375063932,-29965.498734450404,-29965.498734443747,-29965.498734445406,-29965.49873443954,-29965.498734439316,-29965.498734436842,-42236.05135261748,-42236.05135262303,-42236.051352620314,-42236.05135262488,-42236.05135262726,-42236.05135262964
-70,-0.015631458756552707,-26796.331383445744,-35389.158766931025,-70,258431024.6345945,58041.287347843077,258372983.34724665,4452.5377785956061,5.027844113277113e+17,9.91713022813201e-09,4.845787771046162e-09,1.8665624601510444e-15,17154.191453477419,1.4813509252902331e-07,1.1940430449327407e-08,1.3793666115737013e-07,-70,-0.01563145875655153,-0.015631458756552707,-0.015631458756552384,-0.015631458756551614,-0.01563145875655084,-0.015631458756552207,-26796.331383444893,-26796.331383445744,-26796.331383441357,-26796.331383445977,-26796.33138343606,-26796.331383439974,-35389.15876692778,-35389.158766931025,-35389.1587669322,-35389.1587669275,-35389.15876693004,-35389.15876693235
-60,-0.013021455781931642,-23514.90172288598,-28883.79689739485,-60,251393399.1337114,62075.700007051411,251331323.43370435,4049.7875836302237,2.8272197824879766e+17,5.507899913936853e-09,6.7484506871551275e-09,1.528291382335567e-15,15092.981588712752,1.4364843662001222e-07,8.9722688873517605e-09,1.025167415023235e-07,-60,-0.013021455781931443,-0.013021455781931642,-0.013021455781931486,-0.013021455781932971,-0.013021455781931913,-0.013021455781931961,-23514.901722882583,-23514.90172288598,-23514.901722880473,-23514.90172288078,-23514.901722882933,-23514.901722881856,-28883.79689739592,-28883.79689739485,-28883.796897397115,-28883.796897401597,-28883.796897397217,-28883.7968973979
