voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4","current, barrier 5",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_2 transport over barrier 4,solute_2 transport over barrier 5,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4,solute_1 transport over barrier 5
-150,-1.6450209598260058e-08,-0.06552699910136116,-0.018579227035649192,-150,114832446171694.5,0.00021247417361991259,114832446171694.5,5.4045366651061382e+17,7.7687376995533095e+19,0.12206495874235233,0.3637029395416678,1.1410901561835326e-07,0.0041799651220934255,0.0032248417912772252,0.078259241590901737,0.59105376796594233,-150,-6.50837304573114e-08,-1.6450209598260058e-08,-1.5413392968196437e-08,2.4048841662704944e-08,4.1184144754605545e-08,4.9025285161041867e-08,0.03590646088923677,-0.06552699910136116,0.056537959640991176,-0.015940137207508087,0.005909961238340346,0.020791565690753022,-0.22108597219652665,-0.018579227035649192,-0.07637569944657685,0.0830288752913475,0.12558479701692704,0.14261696734514118
-140,-1.0587307686829188e-08,-0.03854025250326289,-0.013773905230357287,-140,103723677737527.39,0.00023072359717791064,103723677737527.39,4.4955816832877395e+17,1.1512596122600249e+19,0.04187222698306518,0.04727891187972795,1.3663858769584568e-08,0.0040143886303597009,0.0031798799522273959,0.01606667103208707,0.11874081822779778,-140,-1.3051618089568153e-08,-1.0587307686829188e-08,-1.2927964419625113e-08,-1.8397909428924318e-09,-1.4454909966099368e-10,6.122406800164143e-10,-0.033395840755929385,-0.03854025250326289,0.0005621312084258534,-0.024781126528978348,0.001969522196330785,0.0033319744798022966,-0.02403746691781606,-0.013773905230357287,-0.04063051760054599,0.006648394279181957,-0.0014359130946104415,0.00024487630571812247
-130,-9.143831669669385e-09,-0.0340722356698079,-0.011502682632228959,-130,93695387939186.109,0.00025054046516703743,93695387939186.109,3.7397307407695046e+17,1.7494546608738814e+19,0.03614308999602655,0.039390650924455775,1.1606636883169253e-08,0.013128054318360359,0.0031053664558810968,0.013706919097234599,0.10102295092225227,-130,-1.1364010444026395e-08,-9.143831669669385e-09,-1.1082559722099817e-08,-1.9233056478202342e-09,-4.050365339373204e-10,2.426264391428568e-10,-0.029948422762117843,-0.0340722356698079,4.1185518057318404e-05,-0.021566245704889297,0.0007238603308025353,0.0020708543262186463,-0.02049398600978501,-0.011502682632228959,-0.03461035468817915,0.004780296236276627,-0.0016260891352430917,-0.00027816611709541306
-120,-7.208777880729425e-09,-0.026849209630552057,-0.009074701928573615,-120,84642420519575.422,0.00027205940551331309,84642420519575.422,3.1111742069668486e+17,1.5470834110165148e+19,0.028241458148938164,0.027893624341071847,7.330505807125041e-09,0.011814131349661387,0.0030958012350700112,0.01002235928831911,0.061792917131249125,-120,-6.915796614660326e-09,-7.208777880729425e-09,-9.128596271817934e-09,-2.7488254057243464e-09,-2.093869013938369e-09,-1.7980904646928931e-09,-0.027906615727488315,-0.026849209630552057,-0.002379157394898357,-0.01834261789917946,-0.0002790487596593714,0.0003348424214498491,-0.0076315754529235275,-0.009074701928573615,-0.027301670590372088,0.0005919537506997585,-0.0063956473240978085,-0.005779438890790134
-110,-7.3542443809875524e-09,-0.027749844279092117,-0.009078399898492495,-110,76469854153406.906,0.00029542660934595949,76469854153406.906,2.5884551944289094e+17,9.9264928271382016e+18,0.029013319830587407,0.028331452801044425,7.403154293507181e-09,0.010413841980081181,0.0030772009789860346,0.010271786127849739,0.063461066403335667,-110,-7.101515392814771e-09,-7.3542443809875524e-09,-9.335886881536408e-09,-2.861926347948611e-09,-2.1812981264090816e-09,-1.9327325880292264e-09,-0.0292221291720125,-0.027749844279092117,-0.0025019630484166555,-0.018753129988908768,-0.0007589301396759528,-0.00020880934142509383,-0.007553465354114757,-0.009078399898492495,-0.027887242200936517,0.00044421060010790825,-0.0064285815169569105,-0.0059278443555959015
-100,-6.01540858184988e-09,-0.02300312692692979,-0.007273120000486041,-100,69092006266081.953,0.00032080082416183664,69092006266081.953,2.1537353105809549e+17,4.7562135065135145e+19,0.02417876089803067,0.022421195330075645,5.879543144902293e-09,0.0095612357110289609,0.0030241358633869399,0.0082531096053602513,0.052018677140660413,-100,-5.393488511255507e-09,-6.01540858184988e-09,-7.684945780820327e-09,-2.6226103151799177e-09,-2.093436058315707e-09,-1.8054026359180338e-09,-0.024634457450474656,-0.02300312692692979,-0.002461037558532553,-0.01570333167910576,-0.0008722171605727284,-0.0004556965524439849,-0.004516380860454018,-0.007273120000486041,-0.02275495494364361,-0.00033375961356796324,-0.0060977118264418095,-0.005406991411412321
-90,-5.133359879153019e-09,-0.019539380510806698,-0.006252032213863252,-90,62431533812453.297,0.00034835443229285114,62431533812453.297,1.7921842820122058e+17,2.1295188621486277e+20,0.019235916528510172,0.019604654041787455,4.931566005834604e-09,0.008518509458222254,0.0050271495620379039,0.0070494617970049151,0.044498943049888329,-90,-4.489356991127796e-09,-5.133359879153019e-09,-6.761634222755063e-09,-2.351131049271498e-09,-1.9315149056294856e-09,-1.830068216920459e-09,-0.020638461542489495,-0.019539380510806698,-0.002131268374796491,-0.013809345662593842,-0.0016650678818703698,-0.0014025450139793227,-0.0036924951686048042,-0.006252032213863252,-0.020038093099602576,-0.0004334390578151215,-0.005195914578507654,-0.005010550891638488
-80,-4.894060384765058e-09,-0.018904124645824957,-0.00582278282304588,-80,56418621578205.914,0.0003782746220030155,56418621578205.914,1.4914725518582675e+17,1.1789351484791148e+20,0.019241028076380007,0.018779746044845454,4.684531332232526e-09,0.0079424784468463665,0.0038255006376155683,0.006753325615141176,0.043353203200160367,-80,-4.2792465529146385e-09,-4.894060384765058e-09,-6.448898766392658e-09,-2.2450234213008115e-09,-1.8469308053156361e-09,-1.764367434160132e-09,-0.02070230761273706,-0.018904124645824957,-0.0020605769932444673,-0.013378649950027466,-0.001662918936368195,-0.0014612795363570519,-0.003004796733315113,-0.00582278282304588,-0.019097360587000296,-0.00031761454215484264,-0.004932993731927127,-0.004776125007602161
-70,-4.272767889819402e-09,-0.017021304805090454,-0.004825077590648912,-70,50990249485142.219,0.00041076465917112647,50990249485142.219,1.2413494770468909e+17,2.1336814196393288e+19,0.01720029827982919,0.016073834141446402,4.031324892648496e-09,0.0073789331726240234,0.0031259028631322443,0.0059339147397240218,0.03810552934117583,-70,-3.6656727163806654e-09,-4.272767889819402e-09,-5.7176164642561175e-09,-2.1166196392150595e-09,-1.8155767003005534e-09,-1.6862915716076211e-09,-0.018428682587000367,-0.017021304805090454,-0.0020883334814243426,-0.011757869273424149,-0.001809605392771986,-0.0012283843071711764,-0.0022265847875880367,-0.004825077590648912,-0.016801078153969844,-0.0007272440125234425,-0.004761791249620728,-0.004648890154802743
-60,-4.03670899656829e-09,-0.01650881629326689,-0.004344558759010408,-60,46089531210796.039,0.00044604526819836906,46089531210796.039,1.0332926834300304e+17,4.4270306338698584e+19,0.016697920855652776,0.016344416637080084,4.112886727898096e-09,0.0067575085658724198,0.0031906090279672137,0.0058549037310788882,0.03727376959974895,-60,-3.4317213213603514e-09,-4.03670899656829e-09,-5.626026618549433e-09,-1.968999604904093e-09,-1.6200164695207987e-09,-1.5131398906513375e-09,-0.018049705400642324,-0.01650881629326689,-0.0017385243613716739,-0.011599473655223846,-0.0018199742139441092,-0.0013517845449895483,-0.001685888003050721,-0.004344558759010408,-0.01669012177233986,-0.0003457051352597773,-0.004146244071307592,-0.004046766562247228
