voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4","current, barrier 5",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_2 transport over barrier 4,solute_2 transport over barrier 5,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4,solute_1 transport over barrier 5
-150,3.569389523503675e-10,-4.842877388000488e-06,0.0011164631126963959,-150,22921310230.508453,5.0520764103363884e-09,22921310230.508453,4.5370078298127437e+18,32427185866655276.0,1.0126047152386136e-05,3.6983669660271227e-06,2.1787223087970286e-12,0.00010541190447009471,2.2576443855344322e-06,7.6551676497672448e-06,7.8658997454173827e-05,-150,3.5522449968945264e-10,3.569389523503675e-10,3.567953037666499e-10,3.5734692646055546e-10,3.5706301222224974e-10,3.5740322199824967e-10,-1.239776611328125e-05,-4.842877388000488e-06,-6.556510925292969e-06,-6.545893484144472e-06,-2.2717189608951135e-06,-2.563577958679262e-06,0.0011148895812134842,0.0011164631126963959,0.0011168715880676711,0.0011185879481795113,0.0011155647365786053,0.0011167724943421664
-140,4.0581678488427604e-10,-5.21540641784668e-06,0.0012692019132097849,-140,22163949124.543102,4.7275132729148433e-09,22163949124.543102,4.6882891374469847e+18,28403086658481520.0,6.601214408874512e-06,1.1604380102949244e-05,3.168510460253975e-12,0.00014558876720637069,2.2244797257162583e-06,7.6755626612799611e-06,7.9677050871244828e-05,-140,4.057981591394479e-10,4.0581678488427604e-10,4.0392695917968646e-10,4.0321918165375934e-10,4.034618295639521e-10,4.0264827442402206e-10,-3.5762786865234375e-07,-5.21540641784668e-06,-6.9588422775268555e-06,-2.0447369024623185e-06,-2.572607589421144e-06,-1.7851135044196779e-06,0.001266714891148583,0.0012692019132097849,0.0012641752987282966,0.0012595092025765725,0.0012605304659793301,0.0012575975331068356
-130,4.5037958520328203e-10,-6.705522537231445e-06,0.0014090318661477731,-130,21431612584.759949,4.4238012116879081e-09,21431612584.759949,4.844614746281216e+18,31893334059502972.0,1.100616942994956e-05,1.342456727394933e-05,3.3439777792483653e-12,0.00019730074398439704,2.1228299212221956e-06,9.3629674587428473e-06,8.853269369588166e-05,-130,4.519647530955842e-10,4.5037958520328203e-10,4.486207753163358e-10,4.4911627924067184e-10,4.509404832369956e-10,4.50648428519675e-10,-4.827976226806641e-06,-6.705522537231445e-06,1.1473894119262695e-06,-2.5539320631651208e-06,2.95358530697468e-06,-8.05258412297488e-06,0.0014130405583243403,0.0014090318661477731,0.001399615991050391,0.0014030131684057146,0.0014059529303084217,0.001410544483446241
-120,5.005422948598354e-10,2.0235776901245117e-05,0.0015521239806499873,-120,20723473754.712784,4.13960068026739e-09,20723473754.712784,5.0061528527370394e+18,1.5728585378667088e+17,2.1344420144972077e-05,9.936129528046594e-06,2.9083991429123105e-12,0.00025719732128970336,1.9337561324419336e-06,9.9443488374225896e-06,0.00011087213086504344,-120,5.018086129758619e-10,5.005422948598354e-10,4.993405448271581e-10,5.000189697596648e-10,4.989002138329496e-10,5.005370042346724e-10,2.4974346160888672e-05,2.0235776901245117e-05,1.6033649444580078e-05,1.2960132153239101e-05,1.1013951056659478e-05,3.6299260159165945e-06,0.0015537069997530824,0.0015521239806499873,0.0015504742640016743,0.0015541284537725214,0.0015516097967343094,0.0015604103935297209
-110,5.454750785573274e-10,-8.255243301391602e-06,0.0017066091402441023,-110,20038733098.772003,3.8736581894311355e-09,20038733098.772003,5.1730772615522857e+18,1.4533315654717917e+17,6.722688899464651e-06,8.637151532902036e-06,2.3154596978607923e-12,0.00032354781731851098,1.987446990880657e-06,7.4048617218686522e-06,7.6138296097311121e-05,-110,5.46100340227258e-10,5.454750785573274e-10,5.443673926996469e-10,5.438311667823345e-10,5.437848805293972e-10,5.441378347111594e-10,-6.645917892456055e-06,-8.255243301391602e-06,-8.344650268554688e-06,-6.122805643826723e-06,-3.932741460508509e-06,-1.6219613690900373e-06,0.0017077559808789933,0.0017066091402441023,0.0017031966469184439,0.0017004121106319464,0.0016991726145798088,0.0016991188293460913
-100,-1.542541216754544e-08,-0.09997555613517761,0.0018435453349251382,-100,19376617499.395901,3.6248007785083418e-09,19376617499.395901,5.3455675727838648e+18,17763138886376052.0,5.2839355363931695e-06,4.221807038936112e-06,1.7662284241068264e-12,0.0003890559220624923,1.2193097344341884e-05,7.5445681223189705e-06,7.5491590476062901e-05,-100,-1.542619501199509e-08,-1.542541216754544e-08,-1.542550507120123e-08,-1.5424542413627818e-08,-1.5424809853293337e-08,-1.5424428783570983e-08,-0.09997865557670593,-0.09997555613517761,-0.09997502714395523,-0.09997472213581204,-0.09997845275694017,-0.09997337164116954,0.0018426517209525625,0.0018435453349251382,0.0018429908778414454,0.0018458429230002182,0.0018468735279914986,0.001845522326293314
-90,-2.059715169712278e-08,-0.1325531005859375,0.0019908084168052597,-90,18736379384.229774,3.3919308419425182e-09,18736379384.229774,5.5238093750460058e+18,29527850421078168.0,6.0138485229455085e-06,1.1052757395497992e-05,3.974771145729819e-12,0.00045233255648077271,1.1899570896052197e-05,7.4411758394572887e-06,7.4319607943922273e-05,-90,-2.0597258325698328e-08,-2.059715169712278e-08,-2.059573886510118e-08,-2.059504786058424e-08,-2.0593283554552598e-08,-2.059455510256233e-08,-0.13254979252815247,-0.1325531005859375,-0.1325494349002838,-0.1325502754189074,-0.13254708673741455,-0.13255159515104983,0.0019888215896120337,0.0019908084168052597,0.0019933851620608104,0.0019959621146214968,0.0019998743470075317,0.0019981599270781913
-80,-1.265076160270814e-08,-0.08328598737716675,0.0021587190234518498,-80,18117295882.047279,3.1740212882141993e-09,18117295882.047279,5.7079944451918346e+18,44151362121183064.0,1.4088596842182222e-05,4.567771222841258e-06,3.2959128989652555e-12,0.00050918386738323617,1.1623032645964888e-05,8.8630710860441298e-06,9.1605814201528899e-05,-80,-1.2650103444790102e-08,-1.265076160270814e-08,-1.2649823125123812e-08,-1.2648699106234098e-08,-1.2648253825927672e-08,-1.2647465689809175e-08,-0.0832834541797638,-0.08328598737716675,-0.08327747881412506,-0.08327714633196592,-0.08327609253354554,-0.08327189878032457,0.0021595066005245236,0.0021587190234518498,0.0021573938230306563,0.0021607357557641774,0.0021615986203068747,0.0021619615942534975
-70,-6.88758936536515e-09,-0.0476471483707428,0.0023267284757423393,-70,17518668006.580902,2.9701110097714822e-09,17518668006.580902,5.8983209546530632e+18,2.7187019164812963e+17,5.223862797706924e-06,6.1307204634467385e-06,2.2945537070862247e-12,0.00056164302827920517,1.1363385379299601e-05,7.6440822976432163e-06,7.9165529162429144e-05,-70,-6.88625892919206e-09,-6.88758936536515e-09,-6.8876176465979475e-09,-6.887473661207268e-09,-6.885323092890861e-09,-6.88602189964878e-09,-0.04764437675476074,-0.0476471483707428,-0.04764624871313572,-0.04764308733865619,-0.04764192450794509,-0.04764483976351339,0.002329495090264077,0.0023267284757423393,0.0023261903784219523,0.002325059083787308,0.0023311898042507545,0.002330466387222424
-60,-5.721108987412902e-09,-0.04072621464729309,0.0025069619197361117,-60,16939819867.320179,2.7793006439881348e-09,16939819867.320179,6.0949936826598666e+18,59050966856217008.0,7.055699825286865e-06,5.5142584651159295e-06,7.21830543399406e-13,0.00061560940563903737,1.1120547200046297e-05,5.7362484522288516e-06,5.5200965986679955e-05,-60,-5.721166144615928e-09,-5.721108987412902e-09,-5.72180258991614e-09,-5.721490472585095e-09,-5.721207355342285e-09,-5.721830817956302e-09,-0.04073053598403931,-0.04072621464729309,-0.04072348028421402,-0.040725511498749256,-0.040726984369717834,-0.040727145555697584,0.002508944194841351,0.0025069619197361117,0.002503429936376235,0.002505419692617153,0.0025070397649391736,0.002505174469620633
