voltage,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150.0,0.000000000453065755797135456720314695501021381018522803448345902133294452399999999999999999999996815680584206,0.0000000005469342442028645432796853044989786189814771965516540978667055475999999999999999999999947166010861263
-140.0,0.0000000003308028927641141806258471212572892032296216675078831647115771640000000000000000000000064272766644424,0.0000000003691971072358858193741528787427107967703783324921168352884228360000000000000000000000041248212733068
-130.0,0.00000000006042944088300395884432211539028847315673311943823783227769958249999999999999999999999879164260143205,0.0000000003604294408830039588443221153902884731567331194382378322776995824999999999999999999999947531906690302
-120.0,0.0000000001758688886313542668808144192024230280296302339738277853518944628399999999999999999999942513051616858,0.0000000002758688886313542668808144192024230280296302339738277853518944628399999999999999999999978989426292235
-110.0,0.000000000466288985057583807299498341383191322236110486939707074361464000159999999999999999999998140880629863,0.0000000000337110149424161927005016586168086777638895130602929256385359998400000000000000000000051159423728107
-100.0,0.00000000002142615184019383521356635942272893817085660071591032494573362741000000000000000000000416845211085934,0.0000000001214261518401938352135663594227289381708566007159103249457336274100000000000000000000003254074108896
-90.0,0.0000000002586633296192510878368681814266667848879169689789403334418836648800000000000000000000001238625206499,0.0000000001586633296192510878368681814266667848879169689789403334418836648699999999999999999999993868521266705
-80.0,0.000000000001592259094908402819438688501004886338903362721487823364289369490000000000000000000001100078008022457,0.0000000000415922590949084028194386885010048863389033627214878233642893694900000000000000000000018100647782868
-70.0,0.00000000001519588686002592257395426806691533823551616319015677503423821498999999999999999999999741243052511478,0.00000000008480411313997407742604573193308466176448383680984322496576178501000000000000000000000248986585866921
-60.0,0.0000000000584228708521880373219129535341425722154458437655519597928860612599999999999999999999992006345550276,0.0000000000715771291478119626780870464658574277845541562344480402071139387400000000000000000000002978166355162
-50.0,0.000000000001657585649385599056508900670073880420587936276055372011833148260000000000000000000000676453491527706,0.00000000001834241435061440094349109932992611957941206372394462798816685173999999999999999999999967853989360447
-40.0,0.00000000004725910581177731505950473818498564432850437587664441885272366276999999999999999999999953475404879632,0.00000000007274089418822268494049526181501435567149562412335558114727633723000000000000000000000072253572011984
-30.0,0.00000000006631936011264127469926666516027525472567212325160651688168535924000000000000000000000016100802218543,0.00000000005368063988735872530073333483972474527432787674839348311831464076000000000000000000000009628174673073
-20.0,0.000000000008817099704257745336537047585104229070945541973850416646418295662999999999999999999999852412825651131,0.000000000008817099704257745336537047585104229070945541973850416646418295662000000000000000000000330742587194658
-10.0,0.00000000002448398512748469514015937306041793376493154562604449068711862054400000000000000000000017355751032155,0.00000000004551601487251530485984062693958206623506845437395550931288137945599999999999999999999966441643123339
0.0,0.000000000029103830456733704,0.000000000029103830456733704
10.0,0.00000000004551601487251530485984062693958206623506845437395550931288137945599999999999999999999966441643123339,0.00000000002448398512748469514015937306041793376493154562604449068711862054400000000000000000000017355751032155
20.0,0.000000000008817099704257745336537047585104229070945541973850416646418295662000000000000000000000330742587194658,0.000000000008817099704257745336537047585104229070945541973850416646418295662999999999999999999999852412825651131
30.0,0.00000000005368063988735872530073333483972474527432787674839348311831464076000000000000000000000009628174673073,0.00000000006631936011264127469926666516027525472567212325160651688168535924000000000000000000000016100802218543
40.0,0.00000000007274089418822268494049526181501435567149562412335558114727633723000000000000000000000072253572011984,0.00000000004725910581177731505950473818498564432850437587664441885272366276999999999999999999999953475404879632
